rec_date,code,method,topk,horizon,score,entry_price,exit_price,stop_price,target_price,ret_pct,win,exit_type,b_ratio,MACRO_REGIME_MODE,ACTION_TIER,ROUTE,TOP_PICK_TYPE,fill_status,fill_day
20260327,078160,POSITION_TRACK,0,0,0.0,24400.0,19700.0,20700.0,25500.0,-19.2623,0,STOP_HIT,0.2973,,,,,unknown,0
20260319,010060,POSITION_TRACK,0,0,0.0,162000.0,229500.0,137700.0,206000.0,41.6667,1,TP2_HIT,1.8107,,,,,unknown,0
20260313,322000,POSITION_TRACK,0,0,0.0,99200.0,191100.0,84300.0,135300.0,92.6411,1,TP2_HIT,2.4228,,,,,unknown,0
20260324,023160,POSITION_TRACK,0,0,0.0,30750.0,43800.0,26100.0,38450.0,42.439,1,TP2_HIT,1.6559,,,,,unknown,0
20260318,033160,POSITION_TRACK,0,0,0.0,11660.0,20600.0,9910.0,16430.0,76.6724,1,TP2_HIT,2.7257,,,,,unknown,0
20260331,006890,POSITION_TRACK,0,0,0.0,9890.0,8270.0,8400.0,11640.0,-16.3802,0,STOP_HIT,1.1745,,,,,unknown,0
20260409,474610,POSITION_TRACK,0,0,0.0,11230.0,14400.0,9540.0,13490.0,28.228,1,TP2_HIT,1.3373,,,,,unknown,0
20260325,432720,POSITION_TRACK,0,0,0.0,14090.0,20550.0,11970.0,16920.0,45.8481,1,TP2_HIT,1.3349,,,,,unknown,0
20260408,047040,POSITION_TRACK,0,0,0.0,16950.0,28500.0,14400.0,22550.0,68.1416,1,TP2_HIT,2.1961,,,,,unknown,0
20260413,066310,POSITION_TRACK,0,0,0.0,11920.0,17510.0,10130.0,14250.0,46.896,1,TP2_HIT,1.3017,,,,,unknown,0
20260319,090460,POSITION_TRACK,0,0,0.0,19880.0,29200.0,17450.0,21350.0,46.8813,1,TP2_HIT,0.6049,,,,,unknown,0
20260415,089890,POSITION_TRACK,0,0,0.0,24300.0,32000.0,20600.0,28650.0,31.6872,1,TP2_HIT,1.1757,,,,,unknown,0
20260327,091580,POSITION_TRACK,0,0,0.0,18590.0,27350.0,15800.0,19420.0,47.1221,1,TP2_HIT,0.2975,,,,,unknown,0
20260327,054920,POSITION_TRACK,0,0,0.0,4755.0,7090.0,4055.0,5450.0,49.1062,1,TP2_HIT,0.9929,,,,,unknown,0
20260331,020150,POSITION_TRACK,0,0,0.0,41400.0,56700.0,35150.0,43100.0,36.9565,1,TP2_HIT,0.272,,,,,unknown,0
20260417,278280,POSITION_TRACK,0,0,0.0,56500.0,70000.0,49050.0,68100.0,23.8938,1,TP2_HIT,1.557,,,,,unknown,0
20260410,098120,POSITION_TRACK,0,0,0.0,29400.0,36550.0,25550.0,30300.0,24.3197,1,TP2_HIT,0.2338,,,,,unknown,0
20260416,036540,POSITION_TRACK,0,0,0.0,7190.0,9640.0,6390.0,7410.0,34.0751,1,TP2_HIT,0.275,,,,,unknown,0
20260416,008770,POSITION_TRACK,0,0,0.0,48200.0,62300.0,43900.0,55000.0,29.2531,1,TP2_HIT,1.5814,,,,,unknown,0
20260304,440110,POSITION_TRACK,0,0,0.0,49400.0,81300.0,42000.0,71600.0,64.5749,1,TP2_HIT,3.0,,,,,unknown,0
20260410,175330,POSITION_TRACK,0,0,0.0,30950.0,27500.0,27750.0,38500.0,-11.147,0,STOP_HIT,2.3594,,,,,unknown,0
20260416,060370,POSITION_TRACK,0,0,0.0,32300.0,39150.0,28700.0,34350.0,21.2074,1,TP2_HIT,0.5694,,,,,unknown,0
20260423,001250,POSITION_TRACK,0,0,0.0,3435.0,5060.0,2920.0,4230.0,47.3071,1,TP2_HIT,1.5437,,,,,unknown,0
20260410,092790,POSITION_TRACK,0,0,0.0,13510.0,21600.0,11470.0,17760.0,59.8816,1,TP2_HIT,2.0833,,,,,unknown,0
20260305,388050,POSITION_TRACK,0,0,0.0,10020.0,15050.0,8520.0,13430.0,50.1996,1,TP2_HIT,2.2733,,,,,unknown,0
20260402,001780,POSITION_TRACK,0,0,0.0,2385.0,3260.0,2075.0,2740.0,36.6876,1,TP2_HIT,1.1452,,,,,unknown,0
20260409,138360,POSITION_TRACK,0,0,0.0,2105.0,3995.0,1789.0,2595.0,89.7862,1,TP2_HIT,1.5506,,,,,unknown,0
20260421,417200,POSITION_TRACK,0,0,0.0,22400.0,31250.0,19310.0,23300.0,39.5089,1,TP2_HIT,0.2913,,,,,unknown,0
20260327,215600,POSITION_TRACK,0,0,0.0,4000.0,3390.0,3450.0,4480.0,-15.25,0,STOP_HIT,0.8727,,,,,unknown,0
20260420,161580,POSITION_TRACK,0,0,0.0,41850.0,63000.0,35900.0,49700.0,50.5376,1,TP2_HIT,1.3193,,,,,unknown,0
20260428,006800,POSITION_TRACK,0,0,0.0,68500.0,83800.0,63700.0,74100.0,22.3358,1,TP2_HIT,1.1667,,,,,unknown,0
20260422,439260,POSITION_TRACK,0,0,0.0,93900.0,82600.0,84700.0,109700.0,-12.0341,0,STOP_HIT,1.7174,,,,,unknown,0
20260415,389500,POSITION_TRACK,0,0,0.0,52900.0,90000.0,44900.0,62600.0,70.1323,1,TP2_HIT,1.2125,,,,,unknown,0
20260424,002790,POSITION_TRACK,0,0,0.0,29100.0,26700.0,27050.0,30150.0,-8.2474,0,STOP_HIT,0.5122,,,,,unknown,0
20260424,046120,POSITION_TRACK,0,0,0.0,12480.0,10480.0,10600.0,14130.0,-16.0256,0,STOP_HIT,0.8777,,,,,unknown,0
20260427,038500,POSITION_TRACK,0,0,0.0,16260.0,14210.0,15040.0,19690.0,-12.6076,0,STOP_HIT,2.8115,,,,,unknown,0
20260429,100130,POSITION_TRACK,0,0,0.0,2495.0,2205.0,2275.0,2685.0,-11.6232,0,STOP_HIT,0.8636,,,,,unknown,0
