시장,종목명,종목코드,업종,종가,거래대금(억원),시가총액(억원),거래대금(원),RSI14,MFI14,이격도,BB_BW,TTM_SQUEEZE,TTM_SQUEEZE_CNT,BB_SQUEEZE_BW,ret_1d_%,ret_5d_%,ret_10d_%,ret_20d_%,ret_60d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,RES_RATIO,RES_RATIO_NEAR,IS_ABOVE_POC,POC_GAP,NEAR_THRES,Low_Trend_PCT,RSI_Rising,BB_Expanding,Vol_Quality,Range_Pos,외인순매수,기관순매수,메이저순매수,TRIGGER,Above_MA20,SUPERTREND_DIR,SUPERTREND_VAL,VWAP,VWAP_GAP,MACD_Slope_PCT,거래강도,V_POWER,IS_SWING_SUPPORT,주봉20선_상회,주봉추세,HMA20,HMA_Trend,HMA_On,OBV_Div,gap_pct,_data_length,consecutive_limit_up,MTF_WEEKLY_TREND,MTF_MONTHLY_TREND,MTF_DATA_SUFFICIENT,추천매수가,손절가,추천매도가1,추천매도가2,추천매도가3,ENTRY_ACTION,POSITION_PCT,PLAN_REASON,STOP_PCT,MAX_LOSS_PCT,RR_MULT,REGIME,TIME_STOP_DAYS,EXEC_RULE_ID,STOP_REASON,TP1_METHOD,TP1_PROB,TP2_METHOD,TP2_PROB,TP3_METHOD,TP3_PROB,개인순매수,업종_상세,업종_대분류,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,V23_ATR_Pct,V23_OBV_Slope,V23_Upper_Shadow_Ratio,V23_SIGNAL_STATUS,ML_SCORE,ML_STATUS,TRIGGER_SCORE,RAW_TRIGGER_SCORE,EBS,PASS_EBS,STRUCT_SCORE,TIMING_SCORE,AI_SCORE,FINAL_SCORE,DISPLAY_SCORE,W_STRUCT,W_TIMING,W_AI,SCORING_AXES,BLOCK_REASON
KOSPI,SK하이닉스,000660,반도체 제조업,1976000,135355.38,14082998.7,13535538165412.0,92.8,77.7,41.99,79.58,0,0,0,7.68,23.42,52.94,90.0,125.57,222.88,85.26,111.22,197.04,0.0,0.0,1,128.01,11.1,18.83,1,0,1.07,0.98,0,0,0,,1,1,1574000.0,1118734,76.63,0.2726,1.45,1.36,False,O,▲,1812382,▲,O,X,-2.94,250,0,1,1,1,1461000.0,1274000.0,1990000.0,2313000.0,2722000.0,split,50.0,NORMAL+WARN:mcap=14082999억 — 원 단위 혼입 의심(>1000조)+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,12.8,4.0,2.8,normal,7,v1_sl_first_gap_at_open,NORMAL+WARN:mcap=14082999억 — 원 단위 혼입 의심(>1000조)+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,0.0,반도체 제조업,반도체,4.6030303030303035,49.512121212121215,1.0,0.055631868131868135,0.14638876565687117,0.06698564593301436,OK,13.4,OK,84.0,84.0,4,1,83.1,97.3,13.4,74.8,74.8,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[RSI극단: RSI 85+ 극단과열]
KOSPI,SK스퀘어,402340,기타 금융업,1190000,11691.19,1570304.8,1169118518000.0,89.2,58.5,37.41,90.27,0,0,0,5.68,9.27,50.82,105.17,119.15,267.85,100.43,104.8,242.01,0.0,0.0,1,119.92,12.0,32.83,1,0,0.87,0.94,0,0,0,,1,1,921650.0,707424,68.22,-0.1111,1.28,0.8,False,O,▲,1183068,▲,O,X,-4.88,250,0,1,1,1,909000.0,772000.0,1231000.0,1257000.0,1441000.0,split,50.0,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,15.07,4.0,2.4,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,SWING_20D,80,BB_UPPER,75,FIBO_1.272,40,0.0,기타 금융업,금융,-3.1687179487179487,16.880000000000003,8.0,0.06941776710684273,0.17701557703869691,0.02459016393442623,OK,35.0,OK,60.0,60.0,2,0,75.7,62.7,35.0,62.4,62.4,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[RSI극단: RSI 85+ 극단과열]
KOSPI,현대모비스,012330,자동차 신품 부품 제조업,649000,11015.63,588854.5,1101563372500.0,81.2,87.0,41.53,52.82,0,0,0,18.43,50.06,50.06,65.77,48.51,116.33,61.03,34.16,90.49,0.0,0.0,1,49.34,12.0,6.12,1,0,1.46,0.9,-41536,79178,37642,,1,1,465100.0,465440,39.44,0.698,3.35,1.18,False,O,▲,517899,▲,O,X,2.92,250,0,1,1,1,481500.0,411500.0,677000.0,760000.0,866000.0,hold,0.0,NORMAL+PM_BLOCK_INTRADAY+EF:당일 15%+ 급등 진입 보류+ENTRY:hold,14.54,4.0,2.8,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:당일 15%+ 급등 진입 보류+ENTRY:hold,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,0.0,자동차 신품 부품 제조업,자동차·모빌리티,19.86173913043478,31.272173913043478,2.0,0.06476997578692494,0.2371787923882023,0.22950819672131148,OK,76.9,OK,67.68233968309468,67.68233968309468,6,1,86.8,79.2,76.9,81.8,81.8,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSPI,현대오토에버,307950,소프트웨어 개발 및 공급업,699000,5937.17,191693.6,593716634000.0,82.0,82.4,45.74,69.78,0,0,0,13.66,58.5,58.5,80.15,62.18,266.74,75.41,47.83,240.9,0.0,0.0,1,59.27,12.0,10.48,1,0,2.51,0.93,0,0,0,,1,1,475950.0,499965,39.81,0.8044,2.98,2.54,False,O,▲,578392,▲,O,X,2.93,250,0,1,1,1,504000.0,428000.0,723000.0,823000.0,950000.0,split,50.0,NORMAL+PM_BLOCK_INTRADAY+EF:당일 10%+ 급등 분할 진입 + RSI 80+ 과열 분할 진입+ENTRY:split,15.08,4.0,2.9,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:당일 10%+ 급등 분할 진입 + RSI 80+ 과열 분할 진입+ENTRY:split,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,0.0,소프트웨어 개발 및 공급업,IT/전기전자,3.911222222222222,20.697,6.0,0.07546494992846924,0.09170860433834768,0.22429906542056074,OK,69.3,OK,83.70071436193513,83.70071436193513,6,1,94.0,93.0,69.3,88.7,88.7,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSPI,계양전기,012200,일반 목적용 기계 제조업,12380,5134.74,3370.2,513474175410.0,85.2,97.5,66.26,84.64,0,0,0,12.65,81.52,72.66,102.95,45.48,781.77,98.21,31.13,755.93,0.164,0.164,0,-0.7,12.0,4.49,1,0,8.62,0.8,0,0,0,,1,1,9011.0,9103,35.99,1.0326,7.44,2.23,False,O,▲,8877,▲,O,X,8.37,247,0,1,1,1,7820.0,6640.0,13900.0,14270.0,16210.0,split,50.0,NORMAL+PM_BLOCK_INTRADAY+EF:갭 7%+ 분할 진입 + 당일 10%+ 급등 분할 진입 + RSI 80+ 과열 분할 진입+ENTRY:split,15.09,6.0,5.2,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:갭 7%+ 분할 진입 + 당일 10%+ 급등 분할 진입 + RSI 80+ 과열 분할 진입+ENTRY:split,SWING_20D,80,SWING_120D,45,FIBO_1.272,40,0.0,일반 목적용 기계 제조업,조선·기계·설비,6.517777777777777,28.848333333333333,4.0,0.08712208631433188,0.05533068734603664,0.6468085106382979,OK,75.3,OK,28.0,28.0,6,1,92.0,4.6,75.3,53.7,53.7,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열][RSI극단: RSI 85+ 극단과열]
KOSDAQ,PS일렉트로닉스,332570,전자부품 제조업,14180,3497.19,6623.7,349718867185.0,80.5,83.2,55.21,86.19,0,0,0,17.0,43.09,51.98,112.59,119.84,202.35,107.85,105.49,176.51,0.0,0.0,1,73.45,12.0,23.03,1,0,2.0,0.91,10607,-57,10550,,1,1,9078.0,8935,58.69,0.3992,2.64,1.37,False,O,▲,11624,▲,O,X,5.94,250,0,1,1,1,9590.0,8150.0,14990.0,17870.0,21550.0,hold,0.0,NORMAL+PM_BLOCK_INTRADAY+EF:당일 15%+ 급등 진입 보류+ENTRY:hold,15.02,5.0,3.8,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:당일 15%+ 급등 진입 보류+ENTRY:hold,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,0.0,전자부품 제조업,IT/전기전자,3.911222222222222,20.697,6.0,0.0967660689099335,0.08730953056979679,0.30223880597014924,OK,72.2,OK,67.5,67.5,6,1,93.6,65.0,72.2,77.9,77.9,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSPI,LG이노텍,011070,전자부품 제조업,753000,3149.68,178213.3,314968175500.0,90.6,82.6,39.37,86.41,0,0,0,8.19,19.15,40.49,108.3,209.24,207.98,103.56,194.89,182.14,0.0,0.0,1,173.97,12.0,54.17,1,0,1.45,0.99,0,0,0,,1,1,552300.0,389935,93.11,0.0268,1.39,1.35,False,O,▲,701952,▲,O,X,0.14,250,0,1,1,1,567000.0,482000.0,757000.0,774000.0,898000.0,split,50.0,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,14.99,4.0,2.2,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,SWING_20D,80,BB_UPPER,75,FIBO_1.272,40,0.0,전자부품 제조업,IT/전기전자,3.911222222222222,20.697,6.0,0.0739423259343578,0.11431149196592515,0.05,OK,10.6,OK,65.27025644490344,65.27025644490344,6,1,88.0,72.5,10.6,66.3,66.3,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[RSI극단: RSI 85+ 극단과열]
KOSDAQ,현대무벡스,319400,일반 목적용 기계 제조업,43650,3243.11,48615.6,324311393775.0,86.7,93.5,32.23,50.45,0,1,0,2.71,35.77,39.01,43.35,43.59,359.96,38.61,29.24,334.12,0.024,0.024,1,235.11,12.0,5.48,0,0,2.08,0.75,0,0,0,,1,1,33270.0,33597,29.92,0.6894,1.73,1.17,False,O,▲,37891,▲,O,X,3.41,249,0,1,1,1,34650.0,29450.0,48350.0,50400.0,55100.0,split,50.0,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,15.01,5.0,2.6,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,SWING_20D,80,SWING_120D,45,FIBO_1.272,40,0.0,일반 목적용 기계 제조업,조선·기계·설비,6.517777777777777,28.848333333333333,4.0,0.06881034200621829,0.027065953669045083,0.5375,OK,89.0,OK,66.0,66.0,6,1,91.2,72.4,89.0,83.2,83.2,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[RSI극단: RSI 85+ 극단과열]
KOSDAQ,레인보우로보틱스,277810,특수 목적용 기계 제조업,878000,2709.21,170330.8,270920816500.0,92.4,86.9,29.18,54.84,0,0,0,2.69,25.07,31.24,49.83,31.44,118.68,45.09,17.09,92.84,0.018,0.018,1,89.66,12.0,11.97,1,0,1.91,0.74,0,0,0,,1,1,664800.0,721161,21.75,0.4497,1.38,1.75,False,O,▲,814553,▲,O,X,-1.29,250,0,1,1,1,714000.0,610000.0,979000.0,1105000.0,1266000.0,split,50.0,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,14.57,4.0,2.5,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,0.0,특수 목적용 기계 제조업,조선·기계·설비,6.517777777777777,28.848333333333333,4.0,0.07281158477058249,0.022439395316202943,0.22857142857142856,OK,49.4,OK,81.7638332633831,81.7638332633831,6,1,90.0,90.1,49.4,81.9,81.9,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[RSI극단: RSI 85+ 극단과열]
KOSDAQ,모베이스전자,012860,자동차 신품 부품 제조업,5730,2634.1,4196.3,263410142920.0,78.1,94.7,39.25,63.6,0,2,0,-4.98,45.25,43.61,63.95,53.62,325.71,59.21,39.27,299.87,0.046,0.046,1,29.85,12.0,7.99,1,0,2.21,0.62,0,0,0,,1,1,4477.5,4622,23.96,0.9098,4.9,1.21,False,O,▲,4754,▲,O,X,3.15,248,0,1,1,1,4320.0,3670.0,7070.0,8140.0,9490.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,15.05,6.0,4.2,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,0.0,자동차 신품 부품 제조업,자동차·모빌리티,19.86173913043478,31.272173913043478,2.0,0.0913113936674146,0.1409156708343621,0.6115107913669064,OK,74.7,OK,52.5,52.5,6,1,89.3,60.5,74.7,74.9,74.9,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
