시장,종목명,종목코드,종가,거래대금(억원),시가총액(억원),RSI14,乖離%,MACD_hist,MACD_slope,Vol_Z,ret_5d_%,ret_10d_%,EBS,통과,근거,추천매수가,추천매도가1,추천매도가2,손절가
KOSPI,한국전력,015760,44100,2717.85,283106.2,55.0,3.41,46.1886,-112.76712,1.41,3.64,1.85,6,초입,"RSI 45~65, MA20 근처, 거래량증가, 상승구조, MACD>sig, 과열아님",43070,44780,46480,41370
KOSPI,KB금융,105560,123700,1890.57,471868.6,62.2,5.8,888.4447,20.15412,1.43,6.09,8.7,6,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",118080,122760,127440,113410
KOSPI,하나금융지주,086790,92000,1385.98,256059.7,62.0,5.22,482.4163,181.02828,1.52,7.6,4.55,6,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",88310,91810,95300,84810
KOSPI,신한지주,055550,77400,1385.25,375773.1,60.3,4.83,299.0706,2.9176,1.22,5.59,5.45,6,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",74570,77530,80480,71620
KOSDAQ,피아이이,452450,9130,887.76,3275.7,54.9,7.08,66.0391,24.84607,3.55,9.87,10.94,6,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",8610,8950,9290,8270
KOSPI,우리금융지주,316140,25700,713.13,188657.6,47.2,-0.04,34.0672,-31.23419,1.3,1.18,0.78,6,초입,"RSI 45~65, MA20 근처, 거래량증가, 상승구조, MACD>sig, 과열아님",25700,26460,27220,24940
KOSPI,LG,003550,82100,383.97,126615.9,59.6,3.66,259.4402,-170.37736,1.2,2.24,2.37,6,초입,"RSI 45~65, MA20 근처, 거래량증가, 상승구조, MACD>sig, 과열아님",80000,83170,86330,76830
KOSPI,기업은행,024110,19700,321.54,157092.9,55.9,1.87,54.3348,4.7262,1.56,1.91,1.49,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, MACD>sig, 과열아님",19530,20100,20660,18970
KOSDAQ,GST,083450,26700,254.48,4920.8,56.0,3.37,61.3844,-72.15848,2.49,3.49,6.16,6,초입,"RSI 45~65, MA20 근처, 거래량증가, 상승구조, MACD>sig, 과열아님",26090,27120,28150,25060
KOSPI,LG유플러스,032640,15710,240.97,67526.0,58.5,4.25,33.5637,45.05381,1.47,3.08,3.56,6,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",15220,15820,16430,14620
KOSPI,LG생활건강,051900,289000,226.27,44224.1,59.7,1.17,577.2025,82.27481,1.38,1.58,1.76,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, MACD>sig, 과열아님",288510,299110,309720,277900
KOSPI,오리온,271560,103600,178.21,40959.4,63.4,2.31,451.7607,147.59549,1.36,4.33,2.37,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, MACD>sig, 과열아님",102280,105080,107890,99470
KOSPI,BGF리테일,282330,106900,121.57,18476.5,51.0,2.09,462.8561,208.89414,1.71,3.19,3.59,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, MACD>sig, 과열아님",105760,109360,112960,102160
KOSPI,제일기획,030000,21000,102.93,24158.7,64.4,2.68,60.0739,11.99633,1.15,3.19,2.94,6,초입,"RSI 45~65, MACD상승, MA20 근처, 상승구조, MACD>sig, 과열아님",20660,21350,22040,19970
KOSPI,CJ대한통운,000120,83400,95.86,19025.5,55.9,1.37,41.0617,148.08235,1.65,1.21,0.97,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, MACD>sig, 과열아님",83090,85590,88090,80600
KOSDAQ,블루엠텍,439580,5200,94.91,1758.9,50.7,1.3,24.2042,11.75303,1.64,3.79,1.96,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, MACD>sig, 과열아님",5180,5390,5600,4980
KOSPI,대웅제약,069620,139700,92.38,16186.4,49.6,0.85,460.5827,-267.5516,1.49,0.22,4.02,6,초입,"RSI 45~65, MA20 근처, 거래량증가, 상승구조, MACD>sig, 과열아님",139700,145030,150360,134370
KOSDAQ,펄어비스,263750,35900,79.33,23065.0,45.7,1.58,-23.6455,87.88088,1.31,3.76,2.57,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, 과열아님",35690,37110,38520,34280
KOSPI,영원무역홀딩스,009970,146800,70.45,19816.9,60.6,5.32,879.5411,23.83693,2.42,3.31,5.69,6,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",140780,146350,151930,135200
KOSPI,롯데지주,004990,29800,68.12,31263.0,53.1,1.75,45.0487,7.45473,0.94,1.88,0.68,6,초입,"RSI 45~65, MACD상승, MA20 근처, 상승구조, MACD>sig, 과열아님",29580,30750,31920,28410
KOSPI,롯데쇼핑,023530,66500,68.06,18812.0,47.0,0.01,12.5943,98.67557,1.38,2.15,-0.89,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, MACD>sig, 과열아님",66500,68500,70500,64500
KOSDAQ,동국생명과학,303810,3865,58.28,1236.2,50.3,1.24,7.6972,15.75665,7.14,2.66,2.38,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, MACD>sig, 과열아님",3860,4010,4160,3700
KOSPI,서울보증보험,031210,51800,56.97,36167.6,67.1,3.28,10.8731,117.76383,1.98,2.57,2.98,6,초입,"MACD상승, MA20 근처, 거래량증가, 상승구조, MACD>sig, 과열아님",50650,52660,54670,48650
KOSDAQ,디아이티,110990,16360,53.2,3092.0,53.5,3.43,-84.5475,69.7145,1.68,7.14,5.21,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, 과열아님",15980,16610,17240,15340
KOSPI,카카오,035720,62800,6116.16,277775.8,57.2,2.01,85.9495,-43.11674,2.48,-3.53,6.08,5,초입,"RSI 45~65, MA20 근처, 거래량증가, MACD>sig, 과열아님",62180,64640,67100,59710
KOSPI,NAVER,035420,260000,4309.03,407816.9,50.9,0.22,20.0503,-746.58381,0.92,-2.8,5.26,5,초입,"RSI 45~65, MA20 근처, 상승구조, MACD>sig, 과열아님",260000,268360,276720,251640
KOSDAQ,고영,098460,18530,3685.08,12721.7,58.9,9.78,191.7836,22.734,3.22,10.96,9.84,5,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, MACD>sig",17050,17720,18400,16370
KOSPI,아모레퍼시픽,090430,126500,2051.86,73993.3,63.8,5.4,449.9084,421.85771,5.71,4.63,6.57,5,초입,"RSI 45~65, MACD상승, 거래량증가, MACD>sig, 과열아님",121220,126020,130820,116410
KOSPI,현대차,005380,264000,1752.04,540560.5,58.2,3.39,157.4052,-1140.21006,0.52,-8.97,4.55,5,초입,"RSI 45~65, MA20 근처, 상승구조, MACD>sig, 과열아님",257900,268120,278330,247690
KOSDAQ,펩트론,087010,286000,1422.6,66687.6,55.6,7.67,2206.7011,1714.90614,2.63,5.73,11.07,5,초입,"RSI 45~65, MACD상승, 거래량증가, MACD>sig, 과열아님",268280,278910,289530,257660
KOSPI,하이브,352820,305500,1046.54,128661.4,63.6,1.39,1587.1741,-2389.82963,0.99,-10.41,6.08,5,초입,"RSI 45~65, MA20 근처, 상승구조, MACD>sig, 과열아님",304340,316390,328440,292290
KOSDAQ,로킷헬스케어,376900,35300,924.86,5457.3,46.5,0.38,-652.5485,-177.88074,1.28,-6.49,-0.56,5,초입,"RSI 45~65, MA20 근처, 거래량증가, 상승구조, 과열아님",35300,36490,37680,34110
