date,selected,known,hit_rate,gross_return,net_return,universe_net_return,excess_return
2026-06-25,5,5,0.2,0.16040137906006172,0.1574013790600617,-0.024459605104340493,0.18186098416440222
2026-06-26,5,5,0.0,-0.07999999999999999,-0.08299999999999999,0.023106520214318596,-0.10610652021431859
2026-06-29,5,5,0.0,-0.08186407766990289,-0.0848640776699029,-0.0393591497627805,-0.04550492790712239
2026-06-30,5,5,0.0,-0.07999999999999999,-0.08299999999999999,-0.03879312668686041,-0.04420687331313958
2026-07-01,5,5,0.0,-0.07999999999999996,-0.08299999999999996,-0.05191167224422995,-0.031088327755770015
2026-07-02,5,5,0.2,-0.05521706398996233,-0.058217063989962334,-0.05737588577649686,-0.0008411782134654724
2026-07-03,5,4,0.0,-0.07999999999999996,-0.08299999999999996,-0.05640349137092218,-0.02659650862907778
2026-07-06,5,5,0.0,-0.07999999999999996,-0.08299999999999996,-0.056097840679267076,-0.026902159320732887
2026-07-07,5,4,0.0,-0.07999999999999996,-0.08299999999999996,-0.04565140825780085,-0.037348591742199115
2026-07-08,5,4,0.25,-0.05809523809523806,-0.061095238095238064,-0.002172713659451579,-0.05892252443578649
2026-07-09,5,5,0.2,-0.06207036528574117,-0.06507036528574117,-0.014613151685346656,-0.05045721360039451
2026-07-10,5,3,0.0,-0.07999999999999996,-0.08299999999999996,-0.06386026309537425,-0.019139736904625712
2026-07-13,5,5,0.2,-0.05799141630901283,-0.060991416309012836,-0.052360363800644974,-0.008631052508367862
2026-07-14,5,4,0.0,-0.091035795887281,-0.094035795887281,-0.04908986566053506,-0.04494593022674594
2026-07-15,5,4,0.0,-0.07999999999999996,-0.08299999999999996,-0.04015312787766205,-0.04284687212233791
2026-07-16,5,5,0.2,-0.06272093023255813,-0.06572093023255814,-0.005902916826693099,-0.05981801340586504
2026-07-20,5,5,0.4,0.039100478468899545,0.03610047846889954,0.03383265524744387,0.0022678232214556754
2026-07-21,5,5,0.4,-0.0225508850540163,-0.0255508850540163,-0.049794726248104645,0.024243841194088345
2026-07-22,5,5,0.2,-0.05939641943734011,-0.06239641943734011,-0.06147157337541545,-0.0009248460619246598
2026-07-23,5,4,0.0,-0.07999999999999996,-0.08299999999999996,-0.0663272427664936,-0.016672757233506363
2026-07-24,5,5,0.0,-0.03651988624782534,-0.03951988624782534,-0.07084044663572506,0.03132056038789972
2026-07-27,5,5,0.0,-0.050574182975031315,-0.05357418297503132,-0.07090976698809309,0.017335584013061775
2026-07-28,5,5,0.2,-0.049999999999999954,-0.05299999999999996,-0.05307366867705194,7.366867705198288e-05
2026-07-29,5,5,0.6,0.027024155801402206,0.024024155801402207,0.20177534420744186,-0.17775118840603965
2026-07-30,5,5,0.6,0.049164175501550875,0.04616417550155087,0.11861097592945896,-0.07244680042790809
2026-07-31,5,5,0.8,0.043322726818294834,0.04032272681829483,0.10970543034802989,-0.06938270352973505
2026-08-03,5,5,0.6,0.023436471013281522,0.020436471013281523,0.10962556775355774,-0.08918909674027621
2026-08-04,5,5,0.8,0.03709617870256574,0.03409617870256574,0.03060176399363831,0.0034944147089274284
2026-08-05,5,5,0.4,-0.0025922791045736916,-0.005592279104573692,0.03181864825650377,-0.037410927361077456
2026-08-06,5,5,0.6,0.010053199091142617,0.0070531990911426165,0.025228992248041333,-0.018175793156898715
2026-08-07,5,5,0.4,-0.003106841455316811,-0.006106841455316811,0.06140663992365358,-0.0675134813789704
2026-08-10,5,5,0.4,-0.0008903390021629987,-0.0038903390021629985,0.003386326503913525,-0.0072766655060765234
2026-08-11,5,5,0.2,-0.002054412080322354,-0.005054412080322354,-0.029417028467887636,0.024362616387565282
2026-08-12,5,5,0.2,-0.00859306039856329,-0.011593060398563289,-0.04095520807123847,0.029362147672675185
2026-08-13,5,5,0.4,0.0016693522857932131,-0.001330647714206787,-0.05841615144799129,0.0570855037337845
2026-08-14,5,5,0.2,-0.06145551394968618,-0.06445551394968618,-0.06067811153921458,-0.0037774024104716003
2026-08-18,5,5,0.6,-0.014661147618706826,-0.017661147618706827,0.0010171736664365662,-0.018678321285143393
2026-08-19,5,5,0.8,0.0341595214353682,0.0311595214353682,-0.023001712668247756,0.05416123410361595
2026-08-20,5,5,0.2,-0.04109062263809491,-0.04409062263809491,-0.0065756682597034625,-0.03751495437839145
2026-08-21,5,5,0.6,-0.004270200137699076,-0.007270200137699076,0.037232739426855746,-0.044502939564554825
2026-08-24,5,4,0.25,-0.016398104265402835,-0.019398104265402834,0.0371864444138405,-0.05658454867924334
2026-08-25,5,5,0.0,-0.07999999999999992,-0.08299999999999992,-0.005822372000781602,-0.07717762799921832
2026-08-26,5,5,0.6,0.07528342465267619,0.07228342465267619,-0.038510044096649855,0.11079346874932605
2026-08-27,5,5,0.6,0.06537839885713063,0.06237839885713063,-0.03331731499266933,0.09569571384979997
2026-08-28,5,5,0.4,0.02184555984555987,0.01884555984555987,-0.01814563093955989,0.03699119078511976
2026-08-31,5,5,0.0,-0.08340700808625338,-0.08640700808625339,-0.022032859683654347,-0.06437414840259904
2026-09-01,5,4,0.5,0.012032818691879915,0.009032818691879916,0.01204780571198797,-0.0030149870201080543
2026-09-02,5,3,0.3333333333333333,0.06393549526137869,0.06093549526137869,0.021771977639805845,0.039163517621572844
