종목코드,종목명,시장,업종,업종_상세,업종_대분류,종가,거래대금(억원),시가총액(억원),상태,IS_ACTIVE,IS_NOW_ENTRY,IS_WATCH,추천매수가,손절가,추천매도가1,추천매도가2,FINAL_SCORE,TRIGGER_SCORE,TOTAL_SCORE,RANK_SCORE,LDY_SCORE,ENTRY_SCORE,ML_SCORE,NEWS_SCORE,NEWS_REASON,TRIGGER,ROUTE,REGIME,ret_20d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,TTM_SQUEEZE_CNT,NORM_RR,NORM_T1,NORM_SL,NORM_NEAR,NORM_MOM,NORM_LIQ,NORM_TEC,RSI14,MFI14,이격도,BB_BW,TTM_SQUEEZE,BB_SQUEEZE_BW,ret_1d_%,ret_5d_%,ret_10d_%,ret_60d_%,Low_Trend_PCT,RSI_Rising,BB_Expanding,Vol_Quality,Range_Pos,Above_MA20,SUPERTREND_DIR,SUPERTREND_VAL,VWAP,VWAP_GAP,MACD_Slope_PCT,거래강도,V_POWER,IS_SWING_SUPPORT,주봉20선_상회,주봉추세,HMA20,HMA_Trend,HMA_On,OBV_Div,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,EBS,ENG_SCORE,MOM_SCORE,RR1,Now%,AI_COMMENT,켈리_수량,켈리_금액(원),추천수량,추천금액(만원),MKT_BREADTH_ALL_%,MKT_BREADTH_KOSPI_%,MKT_BREADTH_KOSDAQ_%,MKT_TEMP,TOP_SECTORS_5D,REGIME_RANK,LDY_RANK,기준일,시총기준일,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,60일_종목수익률_%,60일_초과수익(α)_%
454910,두산로보틱스,KOSPI,특수 목적용 기계 제조업,특수 목적용 기계 제조업,조선·기계·설비,91300,1997.72,0.0,ATTACK,True,True,False,91300,83500,106800,117480.00000000001,78.0,100.0,72.5,74.9,74.9,72.5,66.80000305175781,0.0,특이사항 없음,🚀급등시동,ATTACK,③ 박스 / 중립,7.92,48.46,-9.36,-1.89,-2.02,1,0.99,0.85,0.53,1.0,0.34,1.0,0.63,62.5,70.1,11.22,17.99,0,0,3.87,9.87,17.05,23.88,2.48,1,1,1.59,0.81,1,1,77590.0,88003,3.75,0.1512,3.6,1.42,False,O,▲,86540,▲,O,X,13.856166666666667,28.16416666666667,1.0,7,64.0,34.4,1.9871794871794872,0.0,💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.,15,1429838,15.0,143.0,78.7,80.2,77.2,🔥 과열,1.조선·기계·설비(+22.4%) / 2.자동차·모빌리티(+20.8%) / 3.반도체(+18.4%) / 4.IT/전기전자(+17.3%) / 5.철강·금속(+12.7%),3,1,20260115,20260115,25.77,8.61,23.88,-1.89
431190,케이쓰리아이,KOSDAQ,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업,IT/전기전자,5550,57.6,0.0,ARMED,True,False,False,5550,4905,6840,7524.000000000001,73.2,94.0,68.0,58.2,58.2,60.9,91.0,0.0,특이사항 없음,📦박스돌파,ARMED,③ 박스 / 중립,5.71,8.4,4.4,-3.89,-7.5,4,1.0,1.0,0.11,1.0,0.1,0.04,0.7,62.3,89.0,7.19,15.51,0,0,6.12,8.61,10.34,4.72,4.38,1,1,8.15,0.51,1,1,4167.0,5477,1.33,-0.0153,2.32,1.51,False,O,▲,5434,▲,O,X,11.934788732394367,20.89239436619718,4.0,5,47.3,9.9,2.0,0.0,💪 매수세 장악(Power Buying). 💰 외국인/기관 수급 집중. ⚠️ 단기 급등 조정 주의.,198,1100000,198.0,110.0,78.7,80.2,77.2,🔥 과열,1.조선·기계·설비(+22.4%) / 2.자동차·모빌리티(+20.8%) / 3.반도체(+18.4%) / 4.IT/전기전자(+17.3%) / 5.철강·금속(+12.7%),3,2,20260115,20260115,25.77,8.61,4.72,-3.89
060280,큐렉소,KOSDAQ,기타 상품 전문 소매업,기타 상품 전문 소매업,유통·소비재,14190,357.91,0.0,ATTACK,True,True,False,14190,12680,17200,18920.0,71.6,100.0,64.5,60.6,60.6,53.2,73.69999694824219,0.0,특이사항 없음,,ATTACK,① 강한 상승 추세,2.98,56.45,1.67,21.1,40.55,0,0.99,1.0,0.2,1.0,0.48,0.27,0.72,53.3,65.0,8.88,17.73,0,0,7.91,15.84,9.49,29.71,2.7,0,0,1.47,0.91,1,1,11717.0,13547,4.74,0.3292,3.27,1.38,False,O,▲,13001,▲,O,X,11.665555555555555,-2.1483333333333334,8.0,6,33.8,48.4,1.9933774834437086,0.0,💸 자금 유입 지속. 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.,58,832890,58.0,83.3,78.7,80.2,77.2,🔥 과열,1.조선·기계·설비(+22.4%) / 2.자동차·모빌리티(+20.8%) / 3.반도체(+18.4%) / 4.IT/전기전자(+17.3%) / 5.철강·금속(+12.7%),1,3,20260115,20260115,25.77,8.61,29.71,21.1
413390,엠오티,KOSDAQ,특수 목적용 기계 제조업,특수 목적용 기계 제조업,조선·기계·설비,7900,53.32,0.0,ATTACK,True,True,False,7900,7060,9570,10527.0,70.9,89.5,66.2,58.7,58.7,65.1,83.80000305175781,0.0,특이사항 없음,🚀급등시동,ATTACK,③ 박스 / 중립,10.96,8.97,9.65,4.25,-6.93,0,0.99,1.0,0.2,1.0,0.21,0.04,0.48,64.7,84.5,10.34,23.49,0,0,3.4,8.82,11.11,12.86,2.91,1,0,1.55,0.79,1,1,6374.0,7655,3.19,0.0896,2.51,0.41,False,O,▲,7641,▲,O,X,13.856166666666667,28.16416666666667,1.0,5,52.1,21.3,1.9880952380952381,0.0,📉 매도세 우위. 💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.,121,956946,121.0,95.7,78.7,80.2,77.2,🔥 과열,1.조선·기계·설비(+22.4%) / 2.자동차·모빌리티(+20.8%) / 3.반도체(+18.4%) / 4.IT/전기전자(+17.3%) / 5.철강·금속(+12.7%),3,4,20260115,20260115,25.77,8.61,12.86,4.25
352820,하이브,KOSPI,오디오물 출판 및 원판 녹음업,오디오물 출판 및 원판 녹음업,미디어·콘텐츠,338500,2200.82,0.0,WAIT,False,False,True,338500,313000,389500,428450.00000000006,69.5,82.1,66.4,63.5,63.5,54.8,73.30000305175781,0.0,특이사항 없음,,WAIT,③ 박스 / 중립,12.46,26.31,-4.82,-2.9,-24.17,0,1.0,0.75,0.73,1.0,0.02,1.0,0.58,58.9,56.7,4.35,16.48,0,0,2.27,0.89,2.58,22.87,8.67,1,0,1.19,0.75,1,1,303300.0,333503,1.5,-0.1012,1.61,-0.3,False,O,▲,337549,▼,O,X,2.033333333333333,-7.316666666666667,13.0,6,60.7,2.5,2.0,0.0,📉 매도세 우위. ,2,980000,2.0,98.0,78.7,80.2,77.2,🔥 과열,1.조선·기계·설비(+22.4%) / 2.자동차·모빌리티(+20.8%) / 3.반도체(+18.4%) / 4.IT/전기전자(+17.3%) / 5.철강·금속(+12.7%),3,5,20260115,20260115,25.77,8.61,22.87,-2.9
307930,컴퍼니케이,KOSDAQ,기타 금융업,기타 금융업,금융,6890,102.72,0.0,ATTACK,True,True,False,6890,6260,8150,8965.0,67.5,100.0,59.4,52.7,52.7,49.8,75.0,0.0,특이사항 없음,,ATTACK,⑤ 하락 / 약세,11.13,11.67,9.82,9.77,-4.23,0,1.0,0.91,0.42,1.0,0.16,0.08,0.81,67.0,83.8,8.73,14.6,0,0,10.77,11.13,7.82,18.38,1.68,0,1,1.62,0.74,1,-1,6915.0,6670,3.29,0.071,7.39,2.51,False,O,▲,6314,▲,O,X,4.9879411764705885,-11.34470588235294,14.0,5,41.6,16.0,2.0,0.0,💪 매수세 장악(Power Buying). 💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.,0,0,,,78.7,80.2,77.2,🔥 과열,1.조선·기계·설비(+22.4%) / 2.자동차·모빌리티(+20.8%) / 3.반도체(+18.4%) / 4.IT/전기전자(+17.3%) / 5.철강·금속(+12.7%),5,6,20260115,20260115,25.77,8.61,18.38,9.77
047040,대우건설,KOSPI,건물 건설업,건물 건설업,건설·부동산,3970,107.64,0.0,ATTACK,True,True,False,3970,3720,4470,4917.0,67.2,85.5,62.6,65.7,65.7,68.8,55.5,0.0,특이사항 없음,🚀급등시동,ATTACK,④ 바닥 반등 시도,5.44,-1.12,-11.84,-17.6,-51.6,5,1.0,0.63,0.92,1.0,0.21,0.08,0.76,59.9,70.6,5.12,8.55,1,1,0.76,8.92,3.93,8.17,0.98,1,1,1.75,0.88,1,1,3546.0,3857,2.92,0.1448,1.69,2.13,False,O,▲,3830,▲,O,X,12.024000000000001,-7.072,11.0,6,61.5,21.1,2.0,0.0,🌪️ 5일 연속 응축 중! 폭발 임박. 💪 매수세 장악(Power Buying). 💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.,175,695000,175.0,69.5,78.7,80.2,77.2,🔥 과열,1.조선·기계·설비(+22.4%) / 2.자동차·모빌리티(+20.8%) / 3.반도체(+18.4%) / 4.IT/전기전자(+17.3%) / 5.철강·금속(+12.7%),4,7,20260115,20260115,25.77,8.61,8.17,-17.6
270660,에브리봇,KOSDAQ,가정용 기기 제조업,가정용 기기 제조업,기타,23450,288.32,0.0,WAIT,False,False,True,23450,20350,29600,32560.000000000004,67.0,96.0,59.8,51.9,51.9,53.4,78.30000305175781,0.0,특이사항 없음,,WAIT,④ 바닥 반등 시도,10.61,39.58,9.3,-10.29,23.68,0,0.99,1.0,0.03,1.0,0.11,0.22,0.49,63.0,78.0,11.11,25.05,0,0,8.06,9.07,1.3,-1.68,11.9,1,0,0.9,0.57,1,1,20138.0,22534,4.06,0.0826,2.74,0.57,False,O,▲,21710,▲,O,X,3.6315887850467288,6.728691588785047,6.0,5,53.0,11.1,1.9838709677419355,0.0,📉 매도세 우위. 💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.,0,0,,,78.7,80.2,77.2,🔥 과열,1.조선·기계·설비(+22.4%) / 2.자동차·모빌리티(+20.8%) / 3.반도체(+18.4%) / 4.IT/전기전자(+17.3%) / 5.철강·금속(+12.7%),4,8,20260115,20260115,25.77,8.61,-1.68,-10.29
282880,코윈테크,KOSDAQ,특수 목적용 기계 제조업,특수 목적용 기계 제조업,조선·기계·설비,17820,552.6,0.0,ATTACK,True,True,False,17820,15640,22200,24420.000000000004,66.1,100.0,57.6,53.2,53.2,49.1,67.9000015258789,0.0,특이사항 없음,,ATTACK,④ 바닥 반등 시도,16.17,44.67,14.86,-5.61,28.77,0,1.0,1.0,0.07,1.0,0.42,0.42,0.68,62.8,82.5,12.14,21.37,0,0,18.64,19.28,11.17,3.0,1.27,0,0,2.06,0.71,1,1,14470.6,17127,4.04,0.2594,6.91,3.24,False,O,▲,15087,▲,O,X,13.856166666666667,28.16416666666667,1.0,5,26.9,41.7,2.0091743119266057,0.0,💪 매수세 장악(Power Buying). 💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.,0,0,,,78.7,80.2,77.2,🔥 과열,1.조선·기계·설비(+22.4%) / 2.자동차·모빌리티(+20.8%) / 3.반도체(+18.4%) / 4.IT/전기전자(+17.3%) / 5.철강·금속(+12.7%),4,9,20260115,20260115,25.77,8.61,3.0,-5.61
000150,두산,KOSPI,기타 금융업,기타 금융업,금융,834000,1237.63,0.0,WAIT,False,False,True,834000,752000,997000,1096700.0,65.9,65.9,65.9,66.3,66.3,58.8,64.9000015258789,0.0,특이사항 없음,,WAIT,④ 바닥 반등 시도,-1.42,41.36,-18.7,-10.26,-9.12,0,0.99,0.98,0.31,1.0,0.52,0.94,0.58,58.7,59.8,5.54,14.7,0,0,-1.88,9.88,6.79,15.51,0.14,1,0,0.95,0.76,1,-1,866000.0,800057,4.24,0.381,1.03,1.22,False,O,▲,784843,▲,O,X,4.9879411764705885,-11.34470588235294,14.0,6,45.9,52.0,1.9878048780487805,0.0,🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.,1,934202,1.0,93.4,78.7,80.2,77.2,🔥 과열,1.조선·기계·설비(+22.4%) / 2.자동차·모빌리티(+20.8%) / 3.반도체(+18.4%) / 4.IT/전기전자(+17.3%) / 5.철강·금속(+12.7%),4,10,20260115,20260115,25.77,8.61,15.51,-10.26
