date,ndx_close,spx_close,rut_close
20210826,15278.51953125,4470.0,2213.97998046875
20210827,15432.9501953125,4509.3701171875,2277.14990234375
20210830,15605.08984375,4528.7900390625,2265.989990234375
20210831,15582.509765625,4522.68017578125,2273.77001953125
20210901,15611.5703125,4524.08984375,2287.06005859375
20210902,15604.25,4536.9501953125,2304.02001953125
20210903,15652.8603515625,4535.43017578125,2292.050048828125
20210907,15675.759765625,4520.02978515625,2275.610107421875
20210908,15620.849609375,4514.06982421875,2249.72998046875
20210909,15561.0498046875,4493.27978515625,2249.1298828125
20210910,15440.75,4458.580078125,2227.550048828125
20210913,15434.5,4468.72998046875,2240.780029296875
20210914,15382.900390625,4443.0498046875,2209.97998046875
20210915,15503.5302734375,4480.7001953125,2234.449951171875
20210916,15515.91015625,4473.75,2232.909912109375
20210917,15333.4697265625,4432.990234375,2236.8701171875
20210920,15012.1904296875,4357.72998046875,2182.199951171875
20210921,15027.76953125,4354.18994140625,2186.179931640625
20210922,15176.509765625,4395.64013671875,2218.56005859375
20210923,15316.580078125,4448.97998046875,2259.0400390625
20210924,15329.6796875,4455.47998046875,2248.070068359375
20210927,15204.8203125,4443.10986328125,2281.0
20210928,14770.2998046875,4352.6298828125,2229.780029296875
20210929,14752.8896484375,4359.4599609375,2225.31005859375
20210930,14689.6201171875,4307.5400390625,2204.3701171875
20211001,14791.8701171875,4357.0400390625,2241.6298828125
20211004,14472.1201171875,4300.4599609375,2217.469970703125
20211005,14674.150390625,4345.72021484375,2228.360107421875
20211006,14766.75,4363.5498046875,2214.9599609375
20211007,14897.1298828125,4399.759765625,2250.090087890625
20211008,14820.75,4391.33984375,2233.090087890625
20211011,14713.73046875,4361.18994140625,2220.639892578125
20211012,14662.1103515625,4350.64990234375,2234.27001953125
20211013,14774.599609375,4363.7998046875,2241.969970703125
20211014,15052.419921875,4438.259765625,2274.179931640625
20211015,15146.919921875,4471.3701171875,2265.64990234375
20211018,15300.8896484375,4486.4599609375,2267.840087890625
20211019,15410.7197265625,4519.6298828125,2275.909912109375
20211020,15388.7099609375,4536.18994140625,2289.77001953125
20211021,15489.58984375,4549.77978515625,2296.179931640625
20211022,15355.0703125,4544.89990234375,2291.27001953125
20211025,15514.1904296875,4566.47998046875,2312.639892578125
20211026,15559.490234375,4574.7900390625,2296.080078125
20211027,15598.3896484375,4551.68017578125,2252.489990234375
20211028,15778.16015625,4596.419921875,2297.97998046875
20211029,15850.4697265625,4605.3798828125,2297.18994140625
20211101,15905.2802734375,4613.669921875,2358.1201171875
20211102,15972.490234375,4630.64990234375,2361.860107421875
20211103,16144.5,4660.56982421875,2404.280029296875
20211104,16346.240234375,4680.06005859375,2402.429931640625
20211105,16359.3798828125,4697.52978515625,2437.080078125
20211108,16336.0302734375,4701.7001953125,2442.739990234375
20211109,16219.9404296875,4685.25,2427.2900390625
20211110,15985.5703125,4646.7099609375,2389.580078125
20211111,16032.4697265625,4649.27001953125,2409.139892578125
20211112,16199.8896484375,4682.85009765625,2411.780029296875
20211115,16189.1201171875,4682.7998046875,2400.929931640625
20211116,16309.76953125,4700.89990234375,2405.02001953125
20211117,16308.0703125,4688.669921875,2377.010009765625
20211118,16482.970703125,4704.5400390625,2363.590087890625
20211119,16573.33984375,4697.9599609375,2343.159912109375
20211122,16380.98046875,4682.93994140625,2331.35009765625
20211123,16306.7197265625,4690.7001953125,2327.860107421875
20211124,16367.8095703125,4701.4599609375,2331.4599609375
20211126,16025.580078125,4594.6201171875,2245.93994140625
20211129,16399.240234375,4655.27001953125,2241.97998046875
20211130,16135.919921875,4567.0,2198.909912109375
20211201,15877.7197265625,4513.0400390625,2147.419921875
20211202,15990.759765625,4577.10009765625,2206.330078125
20211203,15712.0400390625,4538.43017578125,2159.31005859375
20211206,15846.16015625,4591.669921875,2203.47998046875
20211207,16325.66015625,4686.75,2253.7900390625
20211208,16394.33984375,4701.2099609375,2271.7099609375
20211209,16149.5703125,4667.4501953125,2220.2099609375
20211210,16331.98046875,4712.02001953125,2211.81005859375
20211213,16082.5498046875,4668.97021484375,2180.5
20211214,15914.900390625,4634.08984375,2159.64990234375
20211215,16289.58984375,4709.85009765625,2195.2099609375
20211216,15863.9404296875,4668.669921875,2152.4599609375
20211217,15801.4599609375,4620.64013671875,2173.929931640625
20211220,15627.6396484375,4568.02001953125,2139.8701171875
20211221,15986.2802734375,4649.22998046875,2202.949951171875
20211222,16180.1396484375,4696.56005859375,2221.89990234375
20211223,16308.2099609375,4725.7900390625,2241.580078125
20211227,16567.5,4791.18994140625,2261.4599609375
20211228,16488.66015625,4786.35009765625,2246.510009765625
20211229,16491.009765625,4793.06005859375,2249.239990234375
20211230,16429.099609375,4778.72998046875,2248.7900390625
20211231,16320.080078125,4766.18017578125,2245.31005859375
20220103,16501.76953125,4796.56005859375,2272.56005859375
20220104,16279.73046875,4793.5400390625,2268.8701171875
20220105,15771.7802734375,4700.580078125,2194.0
20220106,15765.3603515625,4696.0498046875,2206.3701171875
20220107,15592.1904296875,4677.02978515625,2179.81005859375
20220110,15614.4296875,4670.2900390625,2171.14990234375
20220111,15844.1201171875,4713.06982421875,2194.0
20220112,15905.099609375,4726.35009765625,2176.06005859375
20220113,15495.6201171875,4659.02978515625,2159.43994140625
20220114,15611.58984375,4662.85009765625,2162.4599609375
20220118,15210.759765625,4577.10986328125,2096.22998046875
20220119,15047.83984375,4532.759765625,2062.780029296875
20220120,14846.4599609375,4482.72998046875,2024.0400390625
20220121,14438.400390625,4397.93994140625,1987.9200439453125
20220124,14509.580078125,4410.1298828125,2033.510009765625
20220125,14149.1201171875,4356.4501953125,2004.030029296875
20220126,14172.759765625,4349.93017578125,1976.4599609375
20220127,14003.1103515625,4326.509765625,1931.2900390625
20220128,14454.6103515625,4431.85009765625,1968.510009765625
20220131,14930.0498046875,4515.5498046875,2028.449951171875
20220201,15019.6796875,4546.5400390625,2050.739990234375
20220202,15139.740234375,4589.3798828125,2029.52001953125
20220203,14501.1103515625,4477.43994140625,1991.030029296875
20220204,14694.349609375,4500.52978515625,2002.3599853515625
20220207,14571.25,4483.8701171875,2012.5999755859375
20220208,14747.0302734375,4521.5400390625,2045.3699951171875
20220209,15056.9599609375,4587.18017578125,2083.5
20220210,14705.6396484375,4504.080078125,2051.159912109375
20220211,14253.83984375,4418.64013671875,2030.1500244140625
20220214,14268.58984375,4401.669921875,2020.7900390625
20220215,14620.8203125,4471.06982421875,2076.4599609375
20220216,14603.6396484375,4475.009765625,2079.31005859375
20220217,14171.740234375,4380.259765625,2028.0899658203125
20220218,14009.5400390625,4348.8701171875,2009.3299560546875
20220222,13870.5302734375,4304.759765625,1980.1700439453125
20220223,13509.4296875,4225.5,1944.0899658203125
20220224,13974.669921875,4288.7001953125,1996.010009765625
20220225,14189.16015625,4384.64990234375,2040.9300537109375
20220228,14237.8095703125,4373.93994140625,2048.090087890625
20220301,14005.990234375,4306.259765625,2008.510009765625
20220302,14243.6904296875,4386.5400390625,2058.8701171875
20220303,14035.2099609375,4363.490234375,2032.4100341796875
20220304,13837.830078125,4328.8701171875,2000.9000244140625
20220307,13319.3798828125,4201.08984375,1951.3299560546875
20220308,13267.6103515625,4170.7001953125,1963.010009765625
20220309,13742.2001953125,4277.8798828125,2016.2900390625
20220310,13591.0,4259.52001953125,2011.6700439453125
20220311,13301.830078125,4204.31005859375,1979.6700439453125
20220314,13046.6396484375,4173.10986328125,1941.719970703125
20220315,13458.5595703125,4262.4501953125,1968.969970703125
20220316,13956.7900390625,4357.85986328125,2030.719970703125
20220317,14118.599609375,4411.669921875,2065.02001953125
20220318,14420.080078125,4463.1201171875,2086.139892578125
20220321,14376.08984375,4461.18017578125,2065.93994140625
20220322,14654.330078125,4511.60986328125,2088.340087890625
20220323,14447.5498046875,4456.240234375,2052.2099609375
20220324,14765.6904296875,4520.16015625,2075.43994140625
20220325,14754.3095703125,4543.06005859375,2077.97998046875
20220328,14987.400390625,4575.52001953125,2078.06005859375
20220329,15239.3203125,4631.60009765625,2133.10009765625
20220330,15071.5498046875,4602.4501953125,2091.070068359375
20220331,14838.490234375,4530.41015625,2070.1298828125
20220401,14861.2099609375,4545.85986328125,2091.110107421875
20220404,15159.580078125,4582.64013671875,2095.43994140625
20220405,14820.6396484375,4525.1201171875,2046.0400390625
20220406,14498.8896484375,4481.14990234375,2016.93994140625
20220407,14531.8095703125,4500.2099609375,2009.800048828125
20220408,14327.259765625,4488.27978515625,1994.56005859375
20220411,13990.2099609375,4412.52978515625,1980.3199462890625
20220412,13940.240234375,4397.4501953125,1986.93994140625
20220413,14217.2900390625,4446.58984375,2025.0999755859375
20220414,13893.2099609375,4392.58984375,2004.97998046875
20220418,13910.759765625,4391.68994140625,1990.1300048828125
20220419,14210.259765625,4462.2099609375,2030.77001953125
20220420,13998.5302734375,4459.4501953125,2038.18994140625
20220421,13720.4501953125,4393.66015625,1991.4599609375
20220422,13356.8701171875,4271.77978515625,1940.6600341796875
20220425,13533.2197265625,4296.1201171875,1954.199951171875
20220426,13009.7099609375,4175.2001953125,1890.469970703125
20220427,13003.3603515625,4183.9599609375,1884.0400390625
20220428,13456.0595703125,4287.5,1917.93994140625
20220429,12854.7998046875,4131.93017578125,1864.0999755859375
20220502,13075.849609375,4155.3798828125,1882.9100341796875
20220503,13089.900390625,4175.47998046875,1898.8599853515625
20220504,13535.7099609375,4300.169921875,1949.9200439453125
20220505,12850.5498046875,4146.8701171875,1871.1500244140625
