시장,종목명,종목코드,업종,종가,거래대금(억원),시가총액(억원),거래대금(원),RSI14,MFI14,이격도,BB_BW,TTM_SQUEEZE,TTM_SQUEEZE_CNT,BB_SQUEEZE_BW,ret_1d_%,ret_5d_%,ret_10d_%,ret_20d_%,ret_60d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,RES_RATIO,RES_RATIO_NEAR,IS_ABOVE_POC,POC_GAP,NEAR_THRES,Low_Trend_PCT,RSI_Rising,BB_Expanding,Vol_Quality,Range_Pos,외인순매수,기관순매수,메이저순매수,TRIGGER,Above_MA20,SUPERTREND_DIR,SUPERTREND_VAL,VWAP,VWAP_GAP,MACD_Slope_PCT,거래강도,V_POWER,IS_SWING_SUPPORT,주봉20선_상회,주봉추세,HMA20,HMA_Trend,HMA_On,OBV_Div,gap_pct,_data_length,consecutive_limit_up,MTF_WEEKLY_TREND,MTF_MONTHLY_TREND,MTF_DATA_SUFFICIENT,추천매수가,손절가,추천매도가1,추천매도가2,추천매도가3,ENTRY_ACTION,POSITION_PCT,PLAN_REASON,STOP_PCT,MAX_LOSS_PCT,RR_MULT,REGIME,TIME_STOP_DAYS,EXEC_RULE_ID,STOP_REASON,TP1_METHOD,TP1_PROB,TP2_METHOD,TP2_PROB,TP3_METHOD,TP3_PROB,개인순매수,업종_상세,업종_대분류,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,V23_ATR_Pct,V23_OBV_Slope,V23_Upper_Shadow_Ratio,V23_SIGNAL_STATUS,ML_SCORE,ML_STATUS,TRIGGER_SCORE,RAW_TRIGGER_SCORE,EBS,PASS_EBS,STRUCT_SCORE,TIMING_SCORE,AI_SCORE,FINAL_SCORE,DISPLAY_SCORE,W_STRUCT,W_TIMING,W_AI,SCORING_AXES,BLOCK_REASON
KOSPI,삼성전기,009150,전자부품 제조업,1630000,31018.95,1217507.2,3101894707500.0,90.9,80.4,57.5,90.0,0,0,0,3.69,65.15,70.15,106.85,249.41,534.24,79.78,218.95,426.49,0.02,0.02,1,465.36,12.0,19.46,0,0,1.29,0.89,0,0,0,,1,1,1199800.0,755490,115.75,0.8659,1.66,1.7,False,O,▲,1323458,▲,O,X,9.54,250,0,1,1,1,1087000.0,923000.0,1734000.0,2111000.0,2590000.0,split,50.0,NORMAL+PM_BLOCK_INTRADAY+EF:갭 7%+ 분할 진입 + RSI 80+ 과열 분할 진입+ENTRY:split,15.09,4.0,3.9,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:갭 7%+ 분할 진입 + RSI 80+ 과열 분할 진입+ENTRY:split,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,0.0,전자부품 제조업,IT/전기전자,11.03921568627451,5.005686274509804,3.0,0.07699386503067485,0.09452603019282779,0.07792207792207792,OK,58.6,OK,79.5,79.5,6,1,84.5,81.5,58.6,78.6,78.6,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열][RSI극단: RSI 85+ 극단과열]
KOSPI,LG이노텍,011070,전자부품 제조업,1044000,11126.68,247084.6,1112667924500.0,83.9,78.9,43.78,80.4,0,0,0,-2.25,31.65,50.0,92.62,202.61,330.52,65.55,172.15,222.77,0.023,0.023,1,304.61,12.0,30.17,0,0,1.08,0.68,0,0,0,,1,1,826100.0,523270,99.51,0.5059,2.64,-0.37,False,O,▲,920810,▲,O,X,18.54,250,0,1,1,1,762000.0,648000.0,1295000.0,1582000.0,1947000.0,hold,0.0,NORMAL+PM_BLOCK_INTRADAY+EF:갭 12%+ 진입 보류+ENTRY:hold,14.96,4.0,4.7,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:갭 12%+ 진입 보류+ENTRY:hold,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,0.0,전자부품 제조업,IT/전기전자,11.03921568627451,5.005686274509804,3.0,0.09592227695675971,0.08237176422378685,0.1111111111111111,OK,13.5,OK,85.5,85.5,4,1,78.7,88.1,13.5,68.0,68.0,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,[갭과대: 갭 15%+ 비정상]
KOSPI,삼성에스디에스,018260,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",261500,7498.15,202342.9,749815104250.0,81.4,83.0,44.03,46.58,0,3,0,29.78,52.92,45.84,54.0,36.7,54.46,26.93,6.24,-53.29,0.0,0.0,1,47.61,12.0,-2.65,1,0,1.44,1.0,0,0,0,,1,1,170870.0,183811,42.27,0.6199,4.81,3.56,False,O,▲,195637,▲,O,X,0.74,250,1,1,1,1,190600.0,163300.0,261500.0,293000.0,333000.0,hold,0.0,NORMAL+PM_BLOCK_INTRADAY+EF:당일 15%+ 급등 진입 보류+ENTRY:hold,14.32,4.0,2.6,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:당일 15%+ 급등 진입 보류+ENTRY:hold,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,0.0,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",IT/전기전자,11.03921568627451,5.005686274509804,3.0,0.06596558317399617,0.25835908261495755,0.0,OK,33.3,OK,75.14946280169394,75.14946280169394,4,1,48.0,87.5,33.3,54.9,54.9,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSPI,현대오토에버,307950,소프트웨어 개발 및 공급업,765000,4477.16,209793.5,447716338000.0,73.5,76.0,34.01,69.92,0,0,0,19.91,42.72,24.39,78.11,51.49,311.29,51.04,21.03,203.54,0.0,0.0,1,58.12,12.0,20.32,0,0,1.82,0.99,19125,14535,33660,,1,1,500200.0,534445,43.14,0.2177,1.73,3.05,False,O,▲,653967,▲,O,X,-1.25,250,0,1,1,1,599000.0,509000.0,768000.0,887000.0,1022000.0,hold,0.0,NORMAL+PM_BLOCK_INTRADAY+EF:당일 15%+ 급등 진입 보류+ENTRY:hold,15.03,4.0,1.9,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:당일 15%+ 급등 진입 보류+ENTRY:hold,SWING_20D,80,ATR_3.5x,45,FIBO_1.618,25,0.0,소프트웨어 개발 및 공급업,IT/전기전자,11.03921568627451,5.005686274509804,3.0,0.10732959850606909,0.06620881484418666,0.0189873417721519,OK,53.8,OK,56.5,56.5,6,1,92.6,86.8,53.8,83.4,83.4,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSPI,삼화콘덴서,001820,전자부품 제조업,125900,4296.59,13087.3,429658617150.0,82.6,95.5,67.53,109.49,0,1,0,-5.05,97.03,98.27,97.96,119.72,307.44,70.89,89.26,199.69,0.052,0.052,1,104.23,12.0,-8.33,0,0,1.82,0.65,0,0,0,,1,1,94760.0,77571,62.3,1.3851,3.74,1.85,False,O,▲,95445,▲,O,X,20.74,250,0,1,1,1,78900.0,67000.0,163400.0,197000.0,240000.0,hold,0.0,NORMAL+PM_BLOCK_INTRADAY+EF:갭 12%+ 진입 보류+ENTRY:hold,15.08,5.0,7.1,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:갭 12%+ 진입 보류+ENTRY:hold,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,0.0,전자부품 제조업,IT/전기전자,11.03921568627451,5.005686274509804,3.0,0.1017814592079882,0.23839026734774713,0.08333333333333333,OK,70.7,OK,56.42352306048748,56.42352306048748,4,1,47.5,51.6,70.7,53.2,53.2,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열][갭과대: 갭 15%+ 비정상]
KOSDAQ,디앤디파마텍,347850,자연과학 및 공학 연구개발업,98800,3256.02,43278.5,325601986800.0,73.2,72.8,37.65,49.21,0,0,0,30.0,61.97,39.15,20.78,11.26,0.2,26.65,15.89,-28.96,0.012,0.012,1,5.16,12.0,-16.15,0,0,1.59,1.0,18476,29442,47918,,1,1,56380.0,78562,25.76,0.9421,5.79,3.13,False,O,▼,67102,▲,O,X,-5.0,250,1,-1,1,1,75400.0,64000.0,98800.0,101700.0,110000.0,hold,0.0,NORMAL+PM_BLOCK_INTRADAY+EF:당일 15%+ 급등 진입 보류+ENTRY:hold,15.12,5.0,2.1,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:당일 15%+ 급등 진입 보류+ENTRY:hold,SWING_20D,80,ATR_3.5x,45,SWING_120D,45,0.0,자연과학 및 공학 연구개발업,기타,3.9775,-6.289196428571429,6.0,0.07605552342394448,-0.0011553750049966584,0.0,OK,60.4,OK,65.5,65.5,4,1,44.9,96.3,60.4,60.8,60.8,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSDAQ,아이씨티케이,456010,반도체 제조업,36350,2642.14,5093.0,264214131200.0,71.9,79.8,53.52,66.31,0,0,0,18.02,42.83,73.92,63.74,103.07,173.93,69.61,107.7,144.77,0.0,0.0,1,52.87,12.0,-8.73,1,0,1.18,0.84,0,0,0,,1,1,22919.0,24187,50.29,0.9244,3.72,1.07,False,O,▲,26267,▲,O,X,2.44,250,0,1,1,1,24850.0,21100.0,39950.0,47300.0,56700.0,hold,0.0,NORMAL+PM_BLOCK_INTRADAY+EF:당일 15%+ 급등 진입 보류+ENTRY:hold,15.09,5.0,4.0,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:당일 15%+ 급등 진입 보류+ENTRY:hold,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,0.0,반도체 제조업,반도체,8.94918918918919,25.942972972972974,1.0,0.10172921988602869,0.014633154130485257,0.4,OK,39.4,OK,28.738561470020507,28.738561470020507,4,1,42.4,55.9,39.4,45.2,45.2,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSDAQ,라온로보틱스,232680,특수 목적용 기계 제조업,22500,1621.52,2951.1,162151611760.0,68.2,84.7,31.04,39.29,0,0,0,22.28,53.06,32.9,34.01,37.03,208.64,39.88,41.66,179.48,0.0,0.0,1,55.95,12.0,-16.26,0,0,2.86,0.86,0,0,0,,1,1,14404.0,17725,26.94,0.8242,7.03,3.04,False,O,▲,17227,▲,O,X,0.11,250,0,1,1,1,18030.0,15320.0,23900.0,25350.0,27050.0,hold,0.0,NORMAL+PM_BLOCK_INTRADAY+EF:당일 15%+ 급등 진입 보류+ENTRY:hold,15.03,6.0,2.2,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:당일 15%+ 급등 진입 보류+ENTRY:hold,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,0.0,특수 목적용 기계 제조업,조선·기계·설비,7.550972222222222,1.5959722222222223,4.0,0.09295238095238095,0.05924707631439013,0.25547445255474455,OK,72.8,OK,59.5,59.5,4,1,52.9,86.1,72.8,65.2,65.2,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSDAQ,아모텍,052710,전자부품 제조업,29850,1582.0,4361.8,158200017125.0,67.2,78.4,36.45,63.64,0,0,0,0.84,76.84,47.04,26.48,113.37,219.25,32.35,118.0,190.09,0.0,0.0,1,114.18,12.0,-18.72,0,0,1.3,0.7,0,0,0,,1,1,22145.0,20803,43.48,1.4702,4.6,0.94,False,O,▲,21505,▲,O,X,17.57,250,0,1,1,1,22950.0,19520.0,35950.0,43100.0,52100.0,hold,0.0,NORMAL+PM_BLOCK_INTRADAY+EF:갭 12%+ 진입 보류+ENTRY:hold,14.95,6.0,3.8,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:갭 12%+ 진입 보류+ENTRY:hold,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,0.0,전자부품 제조업,IT/전기전자,11.03921568627451,5.005686274509804,3.0,0.09980856664273749,0.10780007985205811,0.16083916083916083,OK,43.2,OK,52.5,52.5,4,1,41.8,72.3,43.2,49.7,49.7,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열][갭과대: 갭 15%+ 비정상]
KOSPI,한올바이오파마,009420,의약품 제조업,70700,1545.0,36934.1,154500044350.0,77.2,79.0,45.92,59.5,0,0,0,19.63,71.6,51.55,37.02,15.71,52.54,9.95,-14.75,-55.21,0.0,0.0,1,31.64,12.0,-12.43,0,0,1.82,0.93,0,0,0,,1,1,45185.0,53326,32.58,1.0994,4.11,2.13,False,O,▲,51766,▲,O,X,-0.34,250,0,1,1,1,50900.0,43200.0,73000.0,82500.0,94400.0,hold,0.0,NORMAL+PM_BLOCK_INTRADAY+EF:당일 15%+ 급등 진입 보류+ENTRY:hold,15.13,5.0,2.9,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:당일 15%+ 급등 진입 보류+ENTRY:hold,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,0.0,의약품 제조업,바이오·의약품,7.311764705882353,-11.873529411764705,7.0,0.0807738937159022,0.002800481473828015,0.1619718309859155,OK,70.4,OK,71.5,71.5,4,1,51.7,75.4,70.4,61.4,61.4,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
