종목코드,종목명,시장,업종,업종_상세,업종_대분류,종가,거래대금(억원),시가총액(억원),추천매수가,손절가,추천매도가1,추천매도가2,RANK_SCORE,LDY_SCORE,ENTRY_SCORE,NEWS_SCORE,NEWS_REASON,ROUTE,REGIME,ret_20d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,TTM_SQUEEZE_CNT,NORM_RR,NORM_T1,NORM_SL,NORM_NEAR,NORM_MOM,NORM_LIQ,NORM_TEC,RSI14,MFI14,이격도,VWAP,VWAP_GAP,캔들패턴,MACD_Hist,MACD_Slope_PCT,거래강도,V_POWER,SUPERTREND_VAL,SUPERTREND_DIR,BB_BW,BB_SQUEEZE_BW,TTM_SQUEEZE,BB_SQUEEZE,Above_MA20,IS_SWING_SUPPORT,ret_5d_%,ret_10d_%,ret_60d_%,주봉20선_상회,주봉추세,EBS,통과,근거,ATR_MULT,추천수량,추천금액(만원),HMA20,HMA_Trend,HMA_On,OBV_Div,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,RR1,Now%,ST_DIR,AI_COMMENT,ML_SCORE,TOTAL_SCORE,MKT_BREADTH_ALL_%,MKT_BREADTH_KOSPI_%,MKT_BREADTH_KOSDAQ_%,MKT_TEMP,TOP_SECTORS_5D,REGIME_RANK,LDY_RANK,기준일,시총기준일,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,60일_종목수익률_%,60일_초과수익(α)_%
298380,에이비엘바이오,KOSDAQ,기초 의약물질 제조업,기초 의약물질 제조업,기타,201000,2666.38,,199000,185100,227000,255000,87.7,86.9,84.8,0.0,뉴스없음,🔥 SQZ (폭발대기),① 강한 상승 추세,0.0,203.63,-2.81,98.78,182.68,3,0.61,0.72,1.0,0.91,0.69,1.0,0.72,56.9,51.9,4.01,201587,-0.29,,-808.7973,0.1848,1.22,0.29,172740,1,15.54,0,1,1,1,False,1.01,7.72,110.69,O,▲,9,★,"주봉20선↑, 주봉추세우상향, HMA추세↑, RSI적정, MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑)",1.8,12,238.8,200035,▲,O,X,9.200079365079365,11.427460317460318,5.0,1.6352201257861636,1.0050251256281406,1,🌪️ 에너지 응축 시작 (3일차). 📉 매도세 우위. 🚀 단기 모멘텀 가속.  (매수 유효),53.29999923706055,77.4,67.7,59.5,74.9,🔥 과열,1.철강·금속(+18.3%) / 2.반도체(+16.3%) / 3.조선·기계·설비(+15.2%) / 4.IT/전기전자(+14.4%) / 5.기타(+10.5%),1,1,20260106,20260106,27.51,11.91,110.69,98.78
086280,현대글로비스,KOSPI,기타 운송관련 서비스업,기타 운송관련 서비스업,서비스 기타,187100,965.09,,185800,171200,230000,273500,86.8,78.6,87.7,0.0,뉴스없음,🔼 BRK (돌파),④ 바닥 반등 시도,6.01,31.67,-6.33,-13.56,-12.74,3,1.0,1.0,0.92,0.94,0.32,0.87,0.46,57.2,60.5,3.72,183355,2.04,,12.137,0.0061,3.12,0.99,169730,1,5.29,1,1,1,1,False,4.76,6.43,13.95,O,▲,13,★,"주봉20선↑, 주봉추세우상향, HMA추세↑, HMA돌파, RSI적정, MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입, MACD>Sig, VWAP상회",2.5,13,241.5,180597,▲,O,X,3.216086956521739,-7.848260869565217,15.0,2.69811320754717,0.6996770721205597,1,🌪️ 에너지 응축 시작 (3일차). 💸 자금 유입 지속. 📈 상승 모멘텀 개선. ,53.099998474121094,76.7,67.7,59.5,74.9,🔥 과열,1.철강·금속(+18.3%) / 2.반도체(+16.3%) / 3.조선·기계·설비(+15.2%) / 4.IT/전기전자(+14.4%) / 5.기타(+10.5%),4,2,20260106,20260106,27.51,11.91,13.95,-13.56
348340,뉴로메카,KOSDAQ,특수 목적용 기계 제조업,특수 목적용 기계 제조업,조선·기계·설비,33000,101.51,,33000,30650,37900,42800,83.9,72.1,86.0,0.0,뉴스없음,🔺 Watch (관찰·돌파예상),⑤ 하락 / 약세,7.67,41.03,4.86,6.58,20.08,4,0.78,0.83,1.0,1.0,0.4,0.01,0.78,47.9,59.6,1.13,33605,-1.8,,-29.1628,0.0582,0.97,-0.9,28035,1,16.61,0,1,1,1,False,5.77,11.11,18.49,O,▲,7,★,"주봉20선↑, 주봉추세우상향, RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑)",1.8,75,247.5,33106,▲,X,X,11.36,17.7134375,3.0,2.0851063829787235,0.0,1,🌪️ 에너지 응축 시작 (4일차). 📉 매도세 우위. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간.,58.70000076293945,76.3,67.7,59.5,74.9,🔥 과열,1.철강·금속(+18.3%) / 2.반도체(+16.3%) / 3.조선·기계·설비(+15.2%) / 4.IT/전기전자(+14.4%) / 5.기타(+10.5%),5,3,20260106,20260106,27.51,11.91,18.49,6.58
178320,서진시스템,KOSDAQ,기타 전기장비 제조업,기타 전기장비 제조업,IT/전기전자,26650,100.2,,26650,24750,30400,34150,83.0,71.3,84.7,0.0,뉴스없음,🔺 Watch (관찰·돌파예상),⑤ 하락 / 약세,7.03,15.62,4.22,12.33,-5.33,8,0.74,0.78,1.0,1.0,0.4,0.01,0.86,47.7,48.3,1.83,26169,1.83,,-5.4981,0.1273,1.01,1.16,24005,1,8.77,1,1,1,1,False,5.34,2.3,24.24,O,▲,9,★,"주봉20선↑, 주봉추세우상향, HMA추세↑, RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), VWAP상회",1.8,93,247.8,25695,▲,O,X,10.104084507042254,17.202957746478873,4.0,1.9736842105263157,0.0,1,🌪️ 8일 연속 응축 중! 폭발 임박. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간.,59.70000076293945,76.0,67.7,59.5,74.9,🔥 과열,1.철강·금속(+18.3%) / 2.반도체(+16.3%) / 3.조선·기계·설비(+15.2%) / 4.IT/전기전자(+14.4%) / 5.기타(+10.5%),5,4,20260106,20260106,27.51,11.91,24.24,12.33
055550,신한지주,KOSPI,기타 금융업,기타 금융업,금융,80500,984.11,,79900,74600,90600,101200,80.8,75.0,78.8,0.0,뉴스없음,🔼 BRK (돌파),④ 바닥 반등 시도,2.29,15.33,-10.05,-14.76,-29.08,3,0.64,0.7,0.99,0.93,0.35,0.89,0.88,58.9,57.3,3.72,78165,2.99,,193.3942,0.0908,1.3,2.33,74635,1,6.47,1,1,1,1,False,4.82,5.64,12.75,O,▲,13,★,"주봉20선↑, 주봉추세우상향, HMA추세↑, OBV매집, RSI적정, MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), MACD>Sig, VWAP상회",1.8,31,247.7,77849,▲,O,O,4.441724137931034,-4.2844827586206895,11.0,1.7118644067796611,0.7509386733416771,1,🌪️ 에너지 응축 시작 (3일차). 💪 매수세 장악(Power Buying). 🚀 단기 모멘텀 가속. ,56.20000076293945,73.4,67.7,59.5,74.9,🔥 과열,1.철강·금속(+18.3%) / 2.반도체(+16.3%) / 3.조선·기계·설비(+15.2%) / 4.IT/전기전자(+14.4%) / 5.기타(+10.5%),4,5,20260106,20260106,27.51,11.91,12.75,-14.76
010950,S-Oil,KOSPI,석유 정제품 제조업,석유 정제품 제조업,기타,85200,245.14,,84900,79200,96400,107900,80.4,68.1,81.8,0.0,뉴스없음,🔥 SQZ (폭발대기),⑤ 하락 / 약세,4.67,34.17,-7.67,9.25,-10.24,5,0.7,0.73,0.99,0.97,0.37,0.15,0.75,56.3,53.9,3.31,83144,2.47,,-24.0565,0.0712,1.23,0.54,77700,1,9.42,1,1,1,1,False,3.9,5.84,36.76,O,▲,10,★,"주봉20선↑, 주봉추세우상향, HMA추세↑, RSI적정, MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), VWAP상회",1.8,29,246.2,82737,▲,O,X,9.200079365079365,11.427460317460318,5.0,1.8666666666666667,0.35335689045936397,1,🌪️ 5일 연속 응축 중! 폭발 임박. 📉 매도세 우위. 🚀 단기 모멘텀 가속. ,52.599998474121094,72.1,67.7,59.5,74.9,🔥 과열,1.철강·금속(+18.3%) / 2.반도체(+16.3%) / 3.조선·기계·설비(+15.2%) / 4.IT/전기전자(+14.4%) / 5.기타(+10.5%),5,6,20260106,20260106,27.51,11.91,36.76,9.25
115180,큐리언트,KOSDAQ,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,기타,29250,58.43,,29250,27200,33450,37600,80.2,71.6,79.5,0.0,뉴스없음,🔺 Watch (관찰·돌파예상),① 강한 상승 추세,-10.28,157.94,-13.09,47.84,136.99,2,0.77,0.8,1.0,1.0,0.6,0.0,0.88,52.2,64.9,0.46,29540,-0.99,,-119.9194,0.1531,0.92,1.3,24650,1,14.45,0,1,1,1,False,2.81,0.86,59.75,O,▲,8,★,"주봉20선↑, 주봉추세우상향, RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입",1.8,85,248.6,29514,▲,X,X,9.200079365079365,11.427460317460318,5.0,2.048780487804878,0.0,1,🌪️ 에너지 응축 시작 (2일차). 💸 자금 유입 지속. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간.,57.0,73.2,67.7,59.5,74.9,🔥 과열,1.철강·금속(+18.3%) / 2.반도체(+16.3%) / 3.조선·기계·설비(+15.2%) / 4.IT/전기전자(+14.4%) / 5.기타(+10.5%),1,7,20260106,20260106,27.51,11.91,59.75,47.84
204320,HL만도,KOSPI,자동차 신품 부품 제조업,자동차 신품 부품 제조업,자동차·모빌리티,56200,2370.68,,56200,52200,65700,75100,79.8,87.5,88.4,0.0,뉴스없음,🔺 Watch (관찰·돌파예상),① 강한 상승 추세,3.88,63.61,-8.46,38.03,19.2,0,0.89,0.94,1.0,1.0,0.55,1.0,0.59,55.3,57.4,1.13,60346,-6.87,,19.8976,0.247,2.14,-0.46,50340,1,25.22,0,0,0,1,False,4.27,9.55,65.54,O,▲,9,★,"주봉20선↑, 주봉추세우상향, RSI적정, MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), MACD>Sig",2.0,44,247.3,59293,▲,X,X,10.148947368421053,9.362105263157895,6.0,2.375,0.0,1,📉 매도세 우위. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간. (매수 유효),62.900001525878906,74.7,67.7,59.5,74.9,🔥 과열,1.철강·금속(+18.3%) / 2.반도체(+16.3%) / 3.조선·기계·설비(+15.2%) / 4.IT/전기전자(+14.4%) / 5.기타(+10.5%),1,8,20260106,20260106,27.51,11.91,65.54,38.03
389650,넥스트바이오메디컬,KOSDAQ,의료용 기기 제조업,의료용 기기 제조업,기타,90300,105.7,,89200,82900,101800,114300,79.1,66.9,80.1,0.0,뉴스없음,🔼 BRK (돌파),① 강한 상승 추세,-7.86,107.11,-10.67,20.69,86.16,1,0.58,0.71,1.0,0.89,0.52,0.01,0.7,55.3,62.3,4.22,87684,2.98,,-240.7853,0.1486,0.84,-0.08,76730,1,15.4,0,1,1,1,False,3.2,10.66,32.6,O,▲,10,★,"주봉20선↑, 주봉추세우상향, HMA추세↑, RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입, VWAP상회",1.8,28,249.8,87171,▲,O,X,9.200079365079365,11.427460317460318,5.0,1.554054054054054,1.2331838565022422,1,🌪️ 에너지 응축 시작 (1일차). 📉 매도세 우위. 💸 자금 유입 지속. 🚀 단기 모멘텀 가속. ,52.5,71.1,67.7,59.5,74.9,🔥 과열,1.철강·금속(+18.3%) / 2.반도체(+16.3%) / 3.조선·기계·설비(+15.2%) / 4.IT/전기전자(+14.4%) / 5.기타(+10.5%),1,9,20260106,20260106,27.51,11.91,32.6,20.69
005387,현대차2우B,KOSPI,기타,기타,자동차·모빌리티,218500,494.26,,216500,202500,245000,273000,78.0,67.4,77.8,0.0,뉴스없음,🔼 BRK (돌파),③ 박스 / 중립,7.64,35.38,-4.7,1.7,-9.03,2,0.62,0.67,0.97,0.92,0.37,0.4,0.65,63.8,76.1,3.9,216007,1.15,,630.0141,0.1028,1.86,0.77,202600,1,8.12,1,1,1,1,False,5.81,7.37,29.21,O,▲,12,★,"주봉20선↑, 주봉추세우상향, HMA추세↑, RSI적정, MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입, MACD>Sig, VWAP상회",1.8,11,238.2,213013,▲,O,X,10.148947368421053,9.362105263157895,6.0,1.65625,0.9237875288683602,1,🌪️ 에너지 응축 시작 (2일차). 💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속. ,53.29999923706055,70.6,67.7,59.5,74.9,🔥 과열,1.철강·금속(+18.3%) / 2.반도체(+16.3%) / 3.조선·기계·설비(+15.2%) / 4.IT/전기전자(+14.4%) / 5.기타(+10.5%),3,10,20260106,20260106,27.51,11.91,29.21,1.7
