시장,종목명,종목코드,업종,종가,거래대금(억원),시가총액(억원),RSI14,MFI14,이격도,MACD_Hist,MACD_Slope,거래강도,ret_5d_%,ret_10d_%,ret_60d_%,idx_60d_%,rel_60d_%,EBS,통과,근거,추천매수가,손절가,추천매도가1,추천매도가2,업종_상세,업종_대분류,RR1,Now%,LDY_SCORE,ENTRY_SCORE,ROUTE,REGIME,AI_COMMENT,REGIME_RANK,기준일,시총기준일,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,60일_종목수익률_%,60일_지수수익률_%,60일_초과수익(α)_%
KOSDAQ,올릭스,226950,자연과학 및 공학 연구개발업,140200,2810.85,28200.9,55.1,50.2,7.49,-616.5167,1069.6183,2.21,14.73,12.7,62.83,11.97,50.86,5,★,"RSI적정, MACD상승, 거래량↑, 정배열(단), 장기추세(120↑)",134300,124900,145600,157800,자연과학 및 공학 연구개발업,기타,1.202127659574468,4.393149664929263,68.0,65.1,🔺 Watch (관찰·돌파예상),① 강한 상승 추세,🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ⚠️ 단기 급등으로 인한 조정 가능성을 염두에 두세요.,1,20251211,20251211,22.92,11.97,62.83,11.97,50.86
KOSDAQ,오스코텍,039200,의약품 제조업,59900,286.11,22916.6,59.4,59.2,5.55,-448.6662,103.32659,0.78,-2.28,0.67,35.67,11.97,23.7,4,★,"RSI적정, MACD상승, 정배열(단), 장기추세(120↑)",58500,54400,63400,68700,의약품 제조업,바이오·의약품,1.1951219512195121,2.3931623931623935,67.1,70.7,🔺 Watch (상승 준비),① 강한 상승 추세,🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ⚠️ 단기 급등으로 인한 조정 가능성을 염두에 두세요.,1,20251211,20251211,22.92,11.97,35.67,11.97,23.7
KOSDAQ,에이프릴바이오,397030,자연과학 및 공학 연구개발업,42250,326.55,9805.5,62.7,74.4,6.54,-60.4466,51.59978,0.65,0.36,12.52,57.94,11.97,45.97,5,★,"RSI적정, MACD상승, 정배열(단), 장기추세(120↑), 자금유입(MFI)",40850,38000,44300,48000,자연과학 및 공학 연구개발업,기타,1.2105263157894737,3.4271725826193387,64.2,66.5,🔺 Watch (상승 준비),① 강한 상승 추세,💰 외국인/기관의 강력한 수급이 집중되고 있습니다. 📈 상승 추세가 견고하게 유지되고 있습니다. ⚠️ 단기 급등으로 인한 조정 가능성을 염두에 두세요.,1,20251211,20251211,22.92,11.97,57.94,11.97,45.97
KOSDAQ,씨피시스템,413630,플라스틱제품 제조업,4690,363.28,1708.9,62.3,83.3,6.27,-19.6669,7.23374,1.18,1.3,15.23,43.43,11.97,31.46,5,★,"RSI적정, MACD상승, 정배열(단), 장기추세(120↑), 자금유입(MFI)",4545,4225,4925,5340,플라스틱제품 제조업,기타,1.1875,3.1903190319031904,64.2,65.1,🔺 Watch (상승 준비),① 강한 상승 추세,💰 외국인/기관의 강력한 수급이 집중되고 있습니다. 📈 상승 추세가 견고하게 유지되고 있습니다. ⚠️ 단기 급등으로 인한 조정 가능성을 염두에 두세요.,1,20251211,20251211,22.92,11.97,43.43,11.97,31.46
KOSDAQ,퓨쳐켐,220100,의약품 제조업,34200,575.51,7661.0,56.6,61.5,8.67,-259.2996,165.4679,1.08,6.21,9.09,60.19,11.97,48.22,5,★,"RSI적정, MACD상승, 정배열(단), 장기추세(120↑), 자금유입(MFI)",32400,30150,35150,38100,의약품 제조업,바이오·의약품,1.2222222222222223,5.555555555555555,62.3,59.2,🔼 BRK (돌파),① 강한 상승 추세,💸 자금 유입이 꾸준히 이어지고 있습니다. 🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ⚠️ 단기 급등으로 인한 조정 가능성을 염두에 두세요.,1,20251211,20251211,22.92,11.97,60.19,11.97,48.22
KOSPI,한올바이오파마,009420,의약품 제조업,51500,329.41,26903.9,60.7,60.4,7.4,-197.3681,6.467,0.66,-8.04,14.44,54.19,22.92,31.27,5,★,"RSI적정, MACD상승, 정배열(단), 장기추세(120↑), 자금유입(MFI)",49400,45950,53500,58000,의약품 제조업,바이오·의약품,1.1884057971014492,4.251012145748987,59.7,59.6,🔺 Watch (상승 준비),① 강한 상승 추세,💸 자금 유입이 꾸준히 이어지고 있습니다. 📈 상승 추세가 견고하게 유지되고 있습니다. ⚠️ 단기 급등으로 인한 조정 가능성을 염두에 두세요.,1,20251211,20251211,22.92,11.97,54.19,22.92,31.27
KOSPI,롯데관광개발,032350,여행사 및 기타 여행보조 서비스업,23100,205.83,18373.6,55.4,62.8,9.39,164.4584,21.42721,0.51,8.45,17.74,38.49,22.92,15.57,6,★,"RSI적정, MACD상승, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",21750,20250,24050,26300,여행사 및 기타 여행보조 서비스업,서비스 기타,1.5333333333333334,6.206896551724138,57.6,56.7,🔼 BRK (돌파),① 강한 상승 추세,💸 자금 유입이 꾸준히 이어지고 있습니다. 📈 상승 추세가 견고하게 유지되고 있습니다. ⚠️ 단기 급등으로 인한 조정 가능성을 염두에 두세요.,1,20251211,20251211,22.92,11.97,38.49,22.92,15.57
KOSDAQ,대한광통신,010170,절연선 및 케이블 제조업,2360,266.53,3114.9,59.6,67.9,8.77,-13.148,11.59389,1.01,0.0,3.51,42.86,11.97,30.89,5,★,"RSI적정, MACD상승, 정배열(단), 장기추세(120↑), 자금유입(MFI)",2235,2080,2425,2625,절연선 및 케이블 제조업,기타,1.2258064516129032,5.592841163310962,55.3,52.9,🔺 Watch (상승 준비),① 강한 상승 추세,💸 자금 유입이 꾸준히 이어지고 있습니다. 📈 상승 추세가 견고하게 유지되고 있습니다. ⚠️ 단기 급등으로 인한 조정 가능성을 염두에 두세요.,1,20251211,20251211,22.92,11.97,42.86,11.97,30.89
KOSDAQ,서부T&D,006730,일반 및 생활 숙박시설 운영업,14070,1149.07,9205.6,61.8,73.2,22.3,111.3151,151.61322,4.93,26.19,26.42,36.6,11.97,24.63,7,★,"RSI적정, MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",11850,11020,13090,14340,일반 및 생활 숙박시설 운영업,기타,1.4939759036144578,18.734177215189874,50.4,54.8,🔺 Watch (관찰·돌파예상),① 강한 상승 추세,💰 외국인/기관의 강력한 수급이 집중되고 있습니다. 🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ⚠️ 단기 급등으로 인한 조정 가능성을 염두에 두세요.,1,20251211,20251211,22.92,11.97,36.6,11.97,24.63
KOSPI,신세계,004170,종합 소매업,256000,324.45,24691.7,65.7,64.6,10.79,1302.5878,231.29755,1.85,5.79,17.97,46.7,22.92,23.78,6,★,"MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",238000,221500,263000,288000,종합 소매업,유통·소비재,1.5151515151515151,7.563025210084033,50.0,52.1,🔼 BRK (돌파),① 강한 상승 추세,💸 자금 유입이 꾸준히 이어지고 있습니다. 🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ⚠️ 단기 급등으로 인한 조정 가능성을 염두에 두세요.,1,20251211,20251211,22.92,11.97,46.7,22.92,23.78
