종목코드,종목명,시장,업종,업종_상세,업종_대분류,종가,거래대금(억원),시가총액(억원),추천매수가,손절가,추천매도가1,추천매도가2,RANK_SCORE,LDY_SCORE,ENTRY_SCORE,ROUTE,REGIME,ret_20d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,TTM_SQUEEZE_CNT,NORM_RR,NORM_T1,NORM_SL,NORM_NEAR,NORM_MOM,NORM_LIQ,NORM_TEC,RSI14,MFI14,이격도,MACD_Hist,MACD_Slope_PCT,거래강도,V_POWER,SUPERTREND_VAL,SUPERTREND_DIR,BB_BW,BB_SQUEEZE_BW,TTM_SQUEEZE,BB_SQUEEZE,Above_MA20,IS_SWING_SUPPORT,ret_5d_%,ret_10d_%,ret_60d_%,EBS,통과,근거,ATR_MULT,SECTOR_RET_5D,SECTOR_RANK,RR1,Now%,ST_DIR,AI_COMMENT,MKT_BREADTH_ALL_%,MKT_BREADTH_KOSPI_%,MKT_BREADTH_KOSDAQ_%,MKT_TEMP,TOP_SECTORS_5D,REGIME_RANK,LDY_RANK,기준일,시총기준일,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,60일_종목수익률_%,60일_초과수익(α)_%,오늘종가,전일추천매수가,전일→오늘_수익률%,검증기준일,비교대상추천일
226950,올릭스,KOSDAQ,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,기타,130400,1039.31,26327.6,130400,121200,141400,152400,98.3,99.7,97.1,🔁 MR (반전),① 강한 상승 추세,-5.51,231.81,-6.56,49.16,218.89,3,0.98,0.99,1.0,1.0,0.68,1.0,0.76,51.1,54.7,0.36,-117.2802,0.0799,0.84,-0.84,112050,1,21.12,0,1,1,1,False,-6.99,6.71,54.32,5,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑)",1.8,-0.7406060606060607,9.0,1.1956521739130437,0.0,1,🌪️ 에너지 응축 시작 (3일차). 📉 매도세 우위. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간. (강력 매수),51.5,43.1,60.6,🌤 중립,1.유통·소비재(+16.2%) / 2.철강·금속(+8.6%) / 3.미디어·콘텐츠(+4.8%) / 4.금융(+0.8%) / 5.건설·부동산(+0.5%),1,1,20251218,20251218,15.4,5.16,54.32,49.16,135300,130400,3.7576687116564367,20251219,20251218
021240,코웨이,KOSPI,그외 기타 개인 서비스업,그외 기타 개인 서비스업,서비스 기타,89700,137.1,64502.5,89700,83400,97300,104800,90.3,82.1,92.0,🔺 Watch (관찰·돌파예상),④ 바닥 반등 시도,2.51,-6.17,2.77,-32.11,-34.68,31,0.99,0.99,1.0,1.0,0.42,0.05,0.77,61.5,63.5,2.31,611.2634,0.1599,0.65,0.74,92230,-1,8.43,1,1,1,1,False,4.42,2.63,-16.71,4,,"RSI적정, MACD상승, 20선근접, 자금유입, MACD>Sig",1.8,-1.072105263157895,12.0,1.2063492063492065,0.0,-1,🌪️ 31일 연속 응축 중! 폭발 임박. 💸 자금 유입 지속. 🚀 단기 모멘텀 가속.  (매수 유효),51.5,43.1,60.6,🌤 중립,1.유통·소비재(+16.2%) / 2.철강·금속(+8.6%) / 3.미디어·콘텐츠(+4.8%) / 4.금융(+0.8%) / 5.건설·부동산(+0.5%),4,2,20251218,20251218,15.4,5.16,-16.71,-32.11,88700,89700,-1.114827201783719,20251219,20251218
353200,대덕전자,KOSPI,전자부품 제조업,전자부품 제조업,IT/전기전자,47800,535.78,23621.3,47800,44450,51900,55900,90.1,93.6,94.5,↩️ PULL (눌림),⑤ 하락 / 약세,-7.0,169.9,-6.74,60.98,141.39,1,1.0,1.0,1.0,1.0,0.53,0.58,0.78,46.0,49.5,-1.13,-703.9789,0.0217,0.77,0.42,41395,1,14.67,0,1,1,0,False,-0.52,2.69,76.38,4,,"RSI적정, MACD상승, 정배열(단), 장기추세(120↑)",1.8,-0.175681818181818,8.0,1.2238805970149254,0.0,1,🌪️ 에너지 응축 시작 (1일차). 📉 매도세 우위. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간. (강력 매수),51.5,43.1,60.6,🌤 중립,1.유통·소비재(+16.2%) / 2.철강·금속(+8.6%) / 3.미디어·콘텐츠(+4.8%) / 4.금융(+0.8%) / 5.건설·부동산(+0.5%),5,3,20251218,20251218,15.4,5.16,76.38,60.98,46500,47800,-2.7196652719665315,20251219,20251218
271560,오리온,KOSPI,기타 식품 제조업,기타 식품 제조업,유통·소비재,106100,116.5,41947.8,106100,99400,114100,122000,89.6,86.1,88.6,🔺 Watch (관찰·돌파예상),④ 바닥 반등 시도,0.57,-2.3,0.83,-18.59,-30.81,3,0.98,0.88,0.95,1.0,0.35,0.02,0.77,52.4,44.7,1.89,188.0693,0.1108,0.42,0.89,99350,1,6.1,1,1,1,1,False,4.43,1.53,-3.19,4,,"RSI적정, MACD상승, 20선근접, 정배열(단), MACD>Sig",1.8,16.2175,1.0,1.1940298507462686,0.0,1,🌪️ 에너지 응축 시작 (3일차). 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간. (매수 유효),51.5,43.1,60.6,🌤 중립,1.유통·소비재(+16.2%) / 2.철강·금속(+8.6%) / 3.미디어·콘텐츠(+4.8%) / 4.금융(+0.8%) / 5.건설·부동산(+0.5%),4,4,20251218,20251218,15.4,5.16,-3.19,-18.59,106000,106100,-0.09425070688030557,20251219,20251218
047810,한국항공우주,KOSPI,"항공기,우주선 및 부품 제조업","항공기,우주선 및 부품 제조업",기타,109400,658.27,106637.8,109400,102100,118100,126800,87.5,85.6,85.1,↩️ PULL (눌림),⑤ 하락 / 약세,1.96,21.69,2.22,-13.54,-6.82,11,0.98,0.93,0.99,1.0,0.12,0.74,0.77,50.8,51.2,0.88,-153.1775,-0.16,0.99,-0.14,102190,1,9.5,1,1,1,1,False,-0.18,3.7,1.86,4,,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑)",1.8,-0.7406060606060607,9.0,1.1917808219178083,0.0,1,🌪️ 11일 연속 응축 중! 폭발 임박. 📉 매도세 우위. ✅ 20일선 눌림목 구간. (매수 유효),51.5,43.1,60.6,🌤 중립,1.유통·소비재(+16.2%) / 2.철강·금속(+8.6%) / 3.미디어·콘텐츠(+4.8%) / 4.금융(+0.8%) / 5.건설·부동산(+0.5%),5,5,20251218,20251218,15.4,5.16,1.86,-13.54,108800,109400,-0.5484460694698323,20251219,20251218
011170,롯데케미칼,KOSPI,기초 화학물질 제조업,기초 화학물질 제조업,화학·소재,72500,199.68,31012.2,72500,67400,78600,84700,86.3,83.1,93.4,🔺 Watch (상승 준비),④ 바닥 반등 시도,-9.38,15.26,-9.12,-8.63,-13.25,2,0.98,0.99,1.0,1.0,0.5,0.13,0.72,50.7,55.4,-2.26,-14.3845,0.1598,1.68,0.72,79030,-1,9.59,1,1,1,0,True,0.14,-1.23,6.77,5,★,"RSI적정, MACD상승, 거래량↑, 정배열(단), 장기추세(120↑)",1.8,-0.7853333333333334,11.0,1.196078431372549,0.0,-1,🌪️ 에너지 응축 시작 (2일차). 🧱 구조적 지지선(Swing Low) 근접. 🚀 단기 모멘텀 가속.  (매수 유효),51.5,43.1,60.6,🌤 중립,1.유통·소비재(+16.2%) / 2.철강·금속(+8.6%) / 3.미디어·콘텐츠(+4.8%) / 4.금융(+0.8%) / 5.건설·부동산(+0.5%),4,6,20251218,20251218,15.4,5.16,6.77,-8.63,71200,72500,-1.7931034482758568,20251219,20251218
00680K,미래에셋증권2우B,KOSPI,기타,기타,기타,10260,116.22,14107.5,10260,9570,11080,11900,83.9,74.1,84.9,↩️ PULL (눌림),⑤ 하락 / 약세,1.58,9.15,1.84,-11.66,-19.36,14,0.97,0.94,0.99,1.0,0.11,0.02,0.57,59.8,58.5,2.67,-1.0019,-0.0245,2.87,1.17,9578,1,6.93,1,1,1,1,False,3.12,1.28,3.74,4,,"RSI적정, 20선근접, 거래량↑, 장기추세(120↑)",2.5,-0.7406060606060607,9.0,1.1884057971014492,0.0,1,🌪️ 14일 연속 응축 중! 폭발 임박. ,51.5,43.1,60.6,🌤 중립,1.유통·소비재(+16.2%) / 2.철강·금속(+8.6%) / 3.미디어·콘텐츠(+4.8%) / 4.금융(+0.8%) / 5.건설·부동산(+0.5%),5,7,20251218,20251218,15.4,5.16,3.74,-11.66,10750,10260,4.775828460038989,20251219,20251218
460940,피앤에스로보틱스,KOSDAQ,의료용 기기 제조업,의료용 기기 제조업,기타,12160,108.13,1596.8,12160,11300,13190,14210,83.8,80.1,90.5,↩️ PULL (눌림),② 상승 후 조정,21.12,52.29,20.07,53.28,39.37,3,0.98,0.99,1.0,1.0,0.35,0.01,0.81,51.8,76.1,-1.92,-118.3351,-0.1637,0.33,1.37,9961,1,23.66,0,1,1,0,False,0.41,-7.53,58.44,4,,"RSI적정, 정배열(단), 장기추세(120↑), 자금유입",1.8,-0.7406060606060607,9.0,1.197674418604651,0.0,1,🌪️ 에너지 응축 시작 (3일차). 💰 외국인/기관 수급 집중. ✅ 20일선 눌림목 구간. (매수 유효),51.5,43.1,60.6,🌤 중립,1.유통·소비재(+16.2%) / 2.철강·금속(+8.6%) / 3.미디어·콘텐츠(+4.8%) / 4.금융(+0.8%) / 5.건설·부동산(+0.5%),2,8,20251218,20251218,15.4,5.16,58.44,53.28,12040,12160,-0.9868421052631526,20251219,20251218
034020,두산에너빌리티,KOSPI,일반 목적용 기계 제조업,일반 목적용 기계 제조업,조선·기계·설비,74500,2306.23,477218.1,74500,69200,80800,87100,83.1,86.4,85.8,↩️ PULL (눌림),② 상승 후 조정,-4.12,13.22,-3.86,7.54,-15.29,2,0.97,0.99,1.0,1.0,0.12,1.0,0.7,45.1,43.3,-2.64,-205.1584,-0.1367,0.79,0.08,83970,-1,11.2,0,1,1,0,True,-3.62,-5.93,22.94,2,,"RSI적정, 장기추세(120↑)",1.8,-2.7915686274509803,14.0,1.1886792452830188,0.0,-1,🌪️ 에너지 응축 시작 (2일차). 🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위.  (매수 유효),51.5,43.1,60.6,🌤 중립,1.유통·소비재(+16.2%) / 2.철강·금속(+8.6%) / 3.미디어·콘텐츠(+4.8%) / 4.금융(+0.8%) / 5.건설·부동산(+0.5%),2,9,20251218,20251218,15.4,5.16,22.94,7.54,77400,74500,3.892617449664426,20251219,20251218
128940,한미약품,KOSPI,의약품 제조업,의약품 제조업,바이오·의약품,434000,616.69,55599.7,434000,404500,469000,504000,83.0,84.8,86.5,🔁 MR (반전),⑤ 하락 / 약세,-4.93,47.12,-4.67,15.13,18.61,4,0.97,0.94,1.0,1.0,0.19,0.68,0.68,37.8,44.8,-1.36,-2254.3351,0.0181,1.5,-1.99,404850,1,9.43,1,1,1,0,True,-3.56,0.93,30.53,4,,"MACD상승, 거래량↑, 정배열(단), 장기추세(120↑)",1.8,-0.7529999999999999,10.0,1.1864406779661016,0.0,1,🌪️ 에너지 응축 시작 (4일차). 🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. 📈 상승 모멘텀 개선. ✅ 20일선 눌림목 구간. (매수 유효),51.5,43.1,60.6,🌤 중립,1.유통·소비재(+16.2%) / 2.철강·금속(+8.6%) / 3.미디어·콘텐츠(+4.8%) / 4.금융(+0.8%) / 5.건설·부동산(+0.5%),5,10,20251218,20251218,15.4,5.16,30.53,15.13,441000,434000,1.6129032258064502,20251219,20251218
