종목코드,종목명,시장,종가
095570,AJ네트웍스,KOSPI,4630
006840,AK홀딩스,KOSPI,8980
027410,BGF,KOSPI,4065
282330,BGF리테일,KOSPI,110900
138930,BNK금융지주,KOSPI,15940
001460,BYC,KOSPI,43400
001465,BYC우,KOSPI,25650
001040,CJ,KOSPI,174200
079160,CJ CGV,KOSPI,5990
00104K,CJ4우(전환),KOSPI,157000
000120,CJ대한통운,KOSPI,100900
011150,CJ씨푸드,KOSPI,2810
011155,CJ씨푸드1우,KOSPI,16150
001045,CJ우,KOSPI,87200
097950,CJ제일제당,KOSPI,209000
097955,CJ제일제당 우,KOSPI,137500
000480,CR홀딩스,KOSPI,5030
000590,CS홀딩스,KOSPI,80700
012030,DB,KOSPI,1489
005830,DB손해보험,KOSPI,123100
016610,DB증권,KOSPI,10600
000990,DB하이텍,KOSPI,64000
000300,DH오토넥스,KOSPI,1984
001530,DI동일,KOSPI,19870
015590,DKME,KOSPI,515
000210,DL,KOSPI,38700
000215,DL우,KOSPI,24600
375500,DL이앤씨,KOSPI,42100
37550L,DL이앤씨2우(전환),KOSPI,31600
37550K,DL이앤씨우,KOSPI,23000
007340,DN오토모티브,KOSPI,26300
004840,DRB동일,KOSPI,4815
155660,DSR,KOSPI,3920
069730,DSR제강,KOSPI,3890
017860,DS단석,KOSPI,18690
092780,DYP,KOSPI,3465
017940,E1,KOSPI,89800
365550,ESR켄달스퀘어리츠,KOSPI,4115
383220,F&F,KOSPI,79500
007700,F&F홀딩스,KOSPI,20450
114090,GKL,KOSPI,14750
078930,GS,KOSPI,55200
006360,GS건설,KOSPI,20100
001250,GS글로벌,KOSPI,2345
007070,GS리테일,KOSPI,21850
078935,GS우,KOSPI,47350
499790,GS피앤엘,KOSPI,44400
012630,HDC,KOSPI,17640
039570,HDC랩스,KOSPI,8570
089470,HDC현대EP,KOSPI,4300
294870,HDC현대산업개발,KOSPI,21350
009540,HD한국조선해양,KOSPI,409000
267250,HD현대,KOSPI,191100
267270,HD현대건설기계,KOSPI,98900
443060,HD현대마린솔루션,KOSPI,186300
071970,HD현대마린엔진,KOSPI,80500
322000,HD현대에너지솔루션,KOSPI,58000
042670,HD현대인프라코어,KOSPI,15330
267260,HD현대일렉트릭,KOSPI,790000
329180,HD현대중공업,KOSPI,504000
097230,HJ중공업,KOSPI,22000
014790,HL D&I,KOSPI,2660
003580,HLB글로벌,KOSPI,2110
204320,HL만도,KOSPI,51300
060980,HL홀딩스,KOSPI,46650
011200,HMM,KOSPI,20500
035000,HS애드,KOSPI,9160
002460,HS화성,KOSPI,13300
487570,HS효성,KOSPI,63100
298050,HS효성첨단소재,KOSPI,185600
003560,IHQ,KOSPI,10760
015360,INVENI,KOSPI,67300
175330,JB금융지주,KOSPI,24550
234080,JW생명과학,KOSPI,14670
001060,JW중외제약,KOSPI,27650
001067,JW중외제약2우B,KOSPI,60500
001065,JW중외제약우,KOSPI,29850
096760,JW홀딩스,KOSPI,3760
008970,KBI동양철관,KOSPI,1800
105560,KB금융,KOSPI,124000
415640,KB발해인프라,KOSPI,9880
432320,KB스타리츠,KOSPI,3175
002380,KCC,KOSPI,415000
344820,KCC글라스,KOSPI,26550
009070,KCTC,KOSPI,6330
009440,KC그린홀딩스,KOSPI,756
119650,KC코트렐,KOSPI,918
092220,KEC,KOSPI,675
003620,KG모빌리티,KOSPI,3585
016380,KG스틸,KOSPI,5450
001390,KG케미칼,KOSPI,5750
033180,KH 필룩스,KOSPI,5310
001940,KISCO홀딩스,KOSPI,26600
025000,KPX케미칼,KOSPI,52900
092230,KPX홀딩스,KOSPI,75100
000040,KR모터스,KOSPI,495
044450,KSS해운,KOSPI,9560
030200,KT,KOSPI,53000
033780,KT&G,KOSPI,143600
058850,KTcs,KOSPI,2830
058860,KTis,KOSPI,2790
093050,LF,KOSPI,19470
003550,LG,KOSPI,81000
034220,LG디스플레이,KOSPI,11890
051900,LG생활건강,KOSPI,262500
051905,LG생활건강우,KOSPI,113100
064400,LG씨엔에스,KOSPI,63500
373220,LG에너지솔루션,KOSPI,378500
003555,LG우,KOSPI,67100
032640,LG유플러스,KOSPI,15060
011070,LG이노텍,KOSPI,281000
066570,LG전자,KOSPI,93000
066575,LG전자우,KOSPI,50500
037560,LG헬로비전,KOSPI,2370
051910,LG화학,KOSPI,333000
051915,LG화학우,KOSPI,171500
079550,LIG넥스원,KOSPI,383000
006260,LS,KOSPI,182200
010120,LS ELECTRIC,KOSPI,461500
000680,LS네트웍스,KOSPI,3340
229640,LS에코에너지,KOSPI,35400
108320,LX세미콘,KOSPI,50000
001120,LX인터내셔널,KOSPI,33000
108670,LX하우시스,KOSPI,29700
108675,LX하우시스우,KOSPI,17150
383800,LX홀딩스,KOSPI,8070
38380K,LX홀딩스1우,KOSPI,8790
023150,MH에탄올,KOSPI,5030
035420,NAVER,KOSPI,230500
181710,NHN,KOSPI,29100
400760,NH올원리츠,KOSPI,3500
005940,NH투자증권,KOSPI,20600
005945,NH투자증권우,KOSPI,19170
338100,NH프라임리츠,KOSPI,4440
034310,NICE,KOSPI,14170
030190,NICE평가정보,KOSPI,17800
008260,NI스틸,KOSPI,3650
004250,NPC,KOSPI,3945
004255,NPC우,KOSPI,2540
456040,OCI,KOSPI,59600
010060,OCI홀딩스,KOSPI,106000
178920,PI첨단소재,KOSPI,15950
001340,PKC,KOSPI,5690
005490,POSCO홀딩스,KOSPI,303000
010950,S-Oil,KOSPI,80500
010955,S-Oil우,KOSPI,47600
034120,SBS,KOSPI,19110
003080,SB성보,KOSPI,2805
005090,SGC에너지,KOSPI,23600
001380,SG글로벌,KOSPI,1879
004060,SG세계물산,KOSPI,350
001770,SHD,KOSPI,18100
002360,SH에너지화학,KOSPI,387
009160,SIMPAC,KOSPI,5450
033530,SJG세종,KOSPI,8910
123700,SJM,KOSPI,3770
025530,SJM홀딩스,KOSPI,3870
034730,SK,KOSPI,251500
011790,SKC,KOSPI,105200
018670,SK가스,KOSPI,233000
001740,SK네트웍스,KOSPI,4590
006120,SK디스커버리,KOSPI,60200
006125,SK디스커버리우,KOSPI,39900
210980,SK디앤디,KOSPI,12680
395400,SK리츠,KOSPI,5740
302440,SK바이오사이언스,KOSPI,50300
326030,SK바이오팜,KOSPI,129000
402340,SK스퀘어,KOSPI,290500
361610,SK아이이테크놀로지,KOSPI,26900
100090,SK오션플랜트,KOSPI,19900
03473K,SK우,KOSPI,190000
096770,SK이노베이션,KOSPI,104800
096775,SK이노베이션우,KOSPI,74000
475150,SK이터닉스,KOSPI,21650
001510,SK증권,KOSPI,644
001515,SK증권우,KOSPI,2040
285130,SK케미칼,KOSPI,69500
28513K,SK케미칼우,KOSPI,29000
017670,SK텔레콤,KOSPI,53000
000660,SK하이닉스,KOSPI,552000
003570,SNT다이내믹스,KOSPI,48950
064960,SNT모티브,KOSPI,34200
100840,SNT에너지,KOSPI,38650
036530,SNT홀딩스,KOSPI,60800
005610,SPC삼립,KOSPI,53700
011810,STX,KOSPI,3530
465770,STX그린로지스,KOSPI,6070
077970,STX엔진,KOSPI,37100
002820,SUN&L,KOSPI,2755
084870,TBH글로벌,KOSPI,1260
002710,TCC스틸,KOSPI,15000
069260,TKG휴켐스,KOSPI,19690
007980,TP,KOSPI,1934
002900,TYM,KOSPI,6400
024070,WISCOM,KOSPI,1893
037270,YG PLUS,KOSPI,6570
139130,iM금융지주,KOSPI,14490
000500,가온전선,KOSPI,82000
000860,강남제비스코,KOSPI,12660
035250,강원랜드,KOSPI,18450
011420,갤럭시아에스엠,KOSPI,1895
002100,경농,KOSPI,9410
009450,경동나비엔,KOSPI,56500
267290,경동도시가스,KOSPI,21850
012320,경동인베스트,KOSPI,51800
000050,경방,KOSPI,10070
214390,경보제약,KOSPI,6010
012610,경인양행,KOSPI,3565
009140,경인전자,KOSPI,20950
013580,계룡건설,KOSPI,20850
012200,계양전기,KOSPI,2040
012205,계양전기우,KOSPI,4345
002140,고려산업,KOSPI,2540
010130,고려아연,KOSPI,1306000
002240,고려제강,KOSPI,20200
009290,광동제약,KOSPI,6080
017040,광명전기,KOSPI,1240
017900,광전자,KOSPI,1810
037710,광주신세계,KOSPI,32000
030610,교보증권,KOSPI,9620
339770,교촌에프앤비,KOSPI,4435
007690,국도화학,KOSPI,32800
001140,국보,KOSPI,2110
002720,국제약품,KOSPI,4395
083420,그린케미칼,KOSPI,6680
014530,극동유화,KOSPI,3500
014280,금강공업,KOSPI,6740
014285,금강공업우,KOSPI,10400
008870,금비,KOSPI,53200
001570,금양,KOSPI,9900
002990,금호건설,KOSPI,4345
002995,금호건설우,KOSPI,50100
011780,금호석유화학,KOSPI,121500
011785,금호석유화학우,KOSPI,62600
214330,금호에이치티,KOSPI,536
001210,금호전기,KOSPI,602
073240,금호타이어,KOSPI,6110
092440,기신정기,KOSPI,2290
000270,기아,KOSPI,120400
024110,기업은행,KOSPI,20700
013700,까뮤이앤씨,KOSPI,1174
004540,깨끗한나라,KOSPI,1955
004545,깨끗한나라우,KOSPI,11580
001260,남광토건,KOSPI,8180
008350,남선알미늄,KOSPI,1021
008355,남선알미우,KOSPI,13350
004270,남성,KOSPI,923
003920,남양유업,KOSPI,50800
003925,남양유업우,KOSPI,34250
025860,남해화학,KOSPI,6730
005720,넥센,KOSPI,6370
005725,넥센우,KOSPI,4600
002350,넥센타이어,KOSPI,8020
002355,넥센타이어1우B,KOSPI,3785
092790,넥스틸,KOSPI,9220
251270,넷마블,KOSPI,48450
090350,노루페인트,KOSPI,8820
090355,노루페인트우,KOSPI,14690
000320,노루홀딩스,KOSPI,22400
000325,노루홀딩스우,KOSPI,39500
006280,녹십자,KOSPI,166500
005250,녹십자홀딩스,KOSPI,16910
005257,녹십자홀딩스2우,KOSPI,27100
004370,농심,KOSPI,430000
072710,농심홀딩스,KOSPI,91000
058730,다스코,KOSPI,3370
030210,다올투자증권,KOSPI,3500
023590,다우기술,KOSPI,38500
145210,다이나믹디자인,KOSPI,855
483650,달바글로벌,KOSPI,158900
019680,대교,KOSPI,1915
019685,대교우B,KOSPI,1251
006370,대구백화점,KOSPI,6010
008060,대덕,KOSPI,10840
00806K,대덕1우,KOSPI,9310
353200,대덕전자,KOSPI,47800
35320K,대덕전자1우,KOSPI,15000
000490,대동,KOSPI,9620
008110,대동전자,KOSPI,15040
005750,대림바스,KOSPI,5050
006570,대림통상,KOSPI,2225
001680,대상,KOSPI,21250
001685,대상우,KOSPI,17060
084690,대상홀딩스,KOSPI,9690
084695,대상홀딩스우,KOSPI,14350
128820,대성산업,KOSPI,11810
117580,대성에너지,KOSPI,8100
016710,대성홀딩스,KOSPI,8950
0030R0,대신밸류리츠,KOSPI,4515
003540,대신증권,KOSPI,27250
003547,대신증권2우B,KOSPI,20100
003545,대신증권우,KOSPI,20950
009190,대양금속,KOSPI,1289
014160,대영포장,KOSPI,1080
047040,대우건설,KOSPI,3685
003090,대웅,KOSPI,23450
069620,대웅제약,KOSPI,180800
000430,대원강업,KOSPI,3830
006340,대원전선,KOSPI,3750
006345,대원전선우,KOSPI,3680
003220,대원제약,KOSPI,12210
024890,대원화성,KOSPI,706
002880,대유에이텍,KOSPI,1111
012800,대창,KOSPI,1200
015230,대창단조,KOSPI,6490
001070,대한방직,KOSPI,6590
006650,대한유화,KOSPI,144700
001440,대한전선,KOSPI,22200
084010,대한제강,KOSPI,18210
001790,대한제당,KOSPI,2955
001795,대한제당우,KOSPI,2720
001130,대한제분,KOSPI,152000
439260,대한조선,KOSPI,73300
003490,대한항공,KOSPI,21950
003495,대한항공우,KOSPI,24000
005880,대한해운,KOSPI,1839
003830,대한화섬,KOSPI,123000
016090,대현,KOSPI,1775
069460,대호에이엘,KOSPI,1505
475560,더본코리아,KOSPI,24400
192080,더블유게임즈,KOSPI,54100
012510,더존비즈온,KOSPI,86200
004830,덕성,KOSPI,4890
004835,덕성우,KOSPI,7550
145720,덴티움,KOSPI,45100
002150,도화엔지니어링,KOSPI,6420
460850,동국씨엠,KOSPI,5420
460860,동국제강,KOSPI,8560
001230,동국홀딩스,KOSPI,7630
023450,동남합성,KOSPI,33500
004140,동방,KOSPI,2655
007590,동방아그로,KOSPI,6220
005960,동부건설,KOSPI,5800
005965,동부건설우,KOSPI,43900
026960,동서,KOSPI,28950
002210,동성제약,KOSPI,973
102260,동성케미컬,KOSPI,4475
000640,동아쏘시오홀딩스,KOSPI,119500
170900,동아에스티,KOSPI,56000
028100,동아지질,KOSPI,17050
001520,동양,KOSPI,878
001527,동양2우B,KOSPI,11360
084670,동양고속,KOSPI,133600
082640,동양생명,KOSPI,6680
001525,동양우,KOSPI,7090
018500,동원금속,KOSPI,1335
006040,동원산업,KOSPI,45450
030720,동원수산,KOSPI,6080
014820,동원시스템즈,KOSPI,26100
014825,동원시스템즈우,KOSPI,18220
111380,동인기연,KOSPI,14000
163560,동일고무벨트,KOSPI,6820
004890,동일산업,KOSPI,39000
002690,동일제강,KOSPI,1632
000020,동화약품,KOSPI,6340
000150,두산,KOSPI,770000
000157,두산2우B,KOSPI,416500
454910,두산로보틱스,KOSPI,77700
241560,두산밥캣,KOSPI,59000
034020,두산에너빌리티,KOSPI,74500
000155,두산우,KOSPI,478000
336260,두산퓨얼셀,KOSPI,29000
33626K,두산퓨얼셀1우,KOSPI,7160
33626L,두산퓨얼셀2우B,KOSPI,10750
016740,두올,KOSPI,3765
192650,드림텍,KOSPI,6890
024090,디씨엠,KOSPI,13200
003160,디아이,KOSPI,19870
092200,디아이씨,KOSPI,11760
377190,디앤디플랫폼리츠,KOSPI,3340
013570,디와이,KOSPI,4390
024900,디와이덕양,KOSPI,2150
210540,디와이파워,KOSPI,13750
032350,롯데관광개발,KOSPI,22500
089860,롯데렌탈,KOSPI,32350
330590,롯데리츠,KOSPI,3895
000400,롯데손해보험,KOSPI,1763
023530,롯데쇼핑,KOSPI,75900
020150,롯데에너지머티리얼즈,KOSPI,32150
280360,롯데웰푸드,KOSPI,119800
286940,롯데이노베이트,KOSPI,20000
004000,롯데정밀화학,KOSPI,46350
004990,롯데지주,KOSPI,28150
00499K,롯데지주우,KOSPI,28600
005300,롯데칠성,KOSPI,130700
005305,롯데칠성우,KOSPI,73700
011170,롯데케미칼,KOSPI,72500
071840,롯데하이마트,KOSPI,7810
027740,마니커,KOSPI,785
357430,마스턴프리미어리츠,KOSPI,1613
001080,만호제강,KOSPI,45800
088980,맥쿼리인프라,KOSPI,11580
094800,맵스리얼티,KOSPI,5140
138040,메리츠금융지주,KOSPI,107800
090370,메타랩스,KOSPI,2140
118000,메타케어,KOSPI,316
017180,명문제약,KOSPI,1850
009900,명신산업,KOSPI,8980
317450,명인제약,KOSPI,73600
012690,모나리자,KOSPI,2195
005360,모나미,KOSPI,1980
070960,모나용평,KOSPI,3405
009680,모토닉,KOSPI,11290
009580,무림P&P,KOSPI,2570
009200,무림페이퍼,KOSPI,2030
033920,무학,KOSPI,8570
008420,문배철강,KOSPI,2095
025560,미래산업,KOSPI,12520
007120,미래아이앤지,KOSPI,948
396690,미래에셋글로벌리츠,KOSPI,2585
357250,미래에셋맵스리츠,KOSPI,2600
085620,미래에셋생명,KOSPI,8950
006800,미래에셋증권,KOSPI,22100
00680K,미래에셋증권2우B,KOSPI,10260
006805,미래에셋증권우,KOSPI,11200
081660,미스토홀딩스,KOSPI,44950
002840,미원상사,KOSPI,151700
268280,미원에스씨,KOSPI,141000
107590,미원홀딩스,KOSPI,67700
