종목코드,종목명,시장,업종,업종_상세,업종_대분류,종가,거래대금(억원),시가총액(억원),추천매수가,손절가,추천매도가1,추천매도가2,RANK_SCORE,LDY_SCORE,ENTRY_SCORE,NEWS_SCORE,NEWS_REASON,ROUTE,REGIME,ret_20d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,TTM_SQUEEZE_CNT,NORM_RR,NORM_T1,NORM_SL,NORM_NEAR,NORM_MOM,NORM_LIQ,NORM_TEC,RSI14,MFI14,이격도,VWAP,VWAP_GAP,캔들패턴,MACD_Hist,MACD_Slope_PCT,거래강도,V_POWER,SUPERTREND_VAL,SUPERTREND_DIR,BB_BW,BB_SQUEEZE_BW,TTM_SQUEEZE,BB_SQUEEZE,Above_MA20,IS_SWING_SUPPORT,ret_5d_%,ret_10d_%,ret_60d_%,주봉20선_상회,주봉추세,EBS,통과,근거,ATR_MULT,추천수량,추천금액(만원),HMA20,HMA_Trend,HMA_On,OBV_Div,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,RR1,Now%,ST_DIR,AI_COMMENT,ML_SCORE,ML_REASON,TOTAL_SCORE,MKT_BREADTH_ALL_%,MKT_BREADTH_KOSPI_%,MKT_BREADTH_KOSDAQ_%,MKT_TEMP,TOP_SECTORS_5D,REGIME_RANK,LDY_RANK,기준일,시총기준일,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,60일_종목수익률_%,60일_초과수익(α)_%
347850,디앤디파마텍,KOSDAQ,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,기타,93800,1169.77,,93800,87200,108300,122700,94.4,93.3,93.4,0.0,뉴스없음,🔺 Watch (관찰·돌파예상),① 강한 상승 추세,-2.8,220.09,-5.53,72.75,198.0,8,0.92,0.88,1.0,1.0,0.61,1.0,0.73,56.2,56.7,3.01,93172,0.67,장악형,-648.4791,0.0135,0.6,0.55,75860,1,17.52,0,1,1,1,False,5.04,4.22,86.02,O,▲,13,★,"주봉20선↑, 주봉추세우상향, HMA추세↑, HMA돌파, OBV매집, RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), VWAP상회, 패턴(장악형)",1.8,26,243.9,93078,▲,O,O,9.101774193548387,13.977822580645162,6.0,2.196969696969697,0.0,1,🌪️ 8일 연속 응축 중! 폭발 임박. 📉 매도세 우위. 📈 상승 모멘텀 개선.  (강력 매수),40.7,,78.3,69.4,54.2,82.0,🔥 과열,1.철강·금속(+17.9%) / 2.조선·기계·설비(+17.4%) / 3.IT/전기전자(+17.2%) / 4.자동차·모빌리티(+16.3%) / 5.반도체(+14.1%),1,1,20260105,20260105,28.99,13.27,86.02,72.75
458870,씨어스테크놀로지,KOSDAQ,의료용 기기 제조업,의료용 기기 제조업,기타,121900,135.63,,121800,113300,138900,156000,88.9,77.8,92.0,0.0,뉴스없음,🔥 SQZ (폭발대기),① 강한 상승 추세,-1.22,318.9,-3.95,68.4,296.81,4,0.83,0.79,1.0,0.99,0.69,0.04,0.73,55.0,52.8,3.06,122323,-0.35,,-88.7187,0.2219,0.56,0.63,108220,1,16.32,0,1,1,1,False,2.44,6.18,81.67,O,▲,9,★,"주봉20선↑, 주봉추세우상향, OBV매집, RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑)",1.8,20,243.6,124250,▲,X,O,9.101774193548387,13.977822580645162,6.0,1.9767441860465116,0.08210180623973727,1,🌪️ 에너지 응축 시작 (4일차). 🚀 단기 모멘텀 가속. ,51.5,,77.7,69.4,54.2,82.0,🔥 과열,1.철강·금속(+17.9%) / 2.조선·기계·설비(+17.4%) / 3.IT/전기전자(+17.2%) / 4.자동차·모빌리티(+16.3%) / 5.반도체(+14.1%),1,2,20260105,20260105,28.99,13.27,81.67,68.4
353200,대덕전자,KOSPI,전자부품 제조업,전자부품 제조업,IT/전기전자,47800,443.72,,47800,44450,54500,61200,88.6,80.9,89.8,0.0,뉴스없음,🔺 Watch (관찰·돌파예상),⑤ 하락 / 약세,-4.21,166.59,-14.65,32.77,123.49,7,0.84,0.8,1.0,1.0,0.56,0.34,0.75,49.0,42.8,0.89,47392,0.86,,-159.3352,0.1518,0.81,-0.58,41845,1,9.21,1,1,1,1,False,2.47,2.03,61.76,O,▲,9,★,"주봉20선↑, 주봉추세우상향, HMA추세↑, RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), VWAP상회",1.8,52,248.6,47128,▲,O,X,11.99,20.745970149253733,3.0,2.0,0.0,1,🌪️ 7일 연속 응축 중! 폭발 임박. 📉 매도세 우위. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간. (매수 유효),75.1,,84.6,69.4,54.2,82.0,🔥 과열,1.철강·금속(+17.9%) / 2.조선·기계·설비(+17.4%) / 3.IT/전기전자(+17.2%) / 4.자동차·모빌리티(+16.3%) / 5.반도체(+14.1%),5,3,20260105,20260105,28.99,13.27,61.76,32.77
090360,로보스타,KOSDAQ,특수 목적용 기계 제조업,특수 목적용 기계 제조업,조선·기계·설비,78000,172.31,,78000,72500,89100,100100,88.4,78.1,90.9,0.0,뉴스없음,↩️ PULL (눌림),① 강한 상승 추세,0.0,179.57,-2.73,60.26,157.48,6,0.85,0.81,1.0,1.0,0.6,0.07,0.74,50.3,78.7,0.35,81230,-3.98,,75.7957,0.032,0.33,0.67,65260,1,16.34,0,1,1,1,False,-1.64,7.88,73.53,O,▲,11,★,"주봉20선↑, 주봉추세우상향, OBV매집, RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입, MACD>Sig",1.8,32,249.6,79453,▲,X,O,13.261969696969697,20.135151515151517,2.0,2.018181818181818,0.0,1,🌪️ 6일 연속 응축 중! 폭발 임박. 💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간.,32.6,,71.7,69.4,54.2,82.0,🔥 과열,1.철강·금속(+17.9%) / 2.조선·기계·설비(+17.4%) / 3.IT/전기전자(+17.2%) / 4.자동차·모빌리티(+16.3%) / 5.반도체(+14.1%),1,4,20260105,20260105,28.99,13.27,73.53,60.26
012330,현대모비스,KOSPI,자동차 신품 부품 제조업,자동차 신품 부품 제조업,자동차·모빌리티,372000,892.61,,372000,345500,424500,476500,86.2,81.3,85.1,0.0,뉴스없음,🔺 Watch (관찰·돌파예상),③ 박스 / 중립,16.43,21.97,5.99,-3.1,-21.13,1,0.83,0.8,1.0,1.0,0.33,0.77,0.79,55.7,65.6,2.44,368794,0.87,,-949.0185,0.0193,0.75,0.83,329550,1,7.6,1,1,1,1,False,1.92,2.76,25.89,O,▲,10,★,"주봉20선↑, 주봉추세우상향, HMA추세↑, RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입, VWAP상회",1.8,6,223.2,367511,▲,O,X,14.021666666666668,17.857222222222223,4.0,1.9811320754716981,0.0,1,🌪️ 에너지 응축 시작 (1일차). 💸 자금 유입 지속. 📈 상승 모멘텀 개선.  (매수 유효),10.0,,63.3,69.4,54.2,82.0,🔥 과열,1.철강·금속(+17.9%) / 2.조선·기계·설비(+17.4%) / 3.IT/전기전자(+17.2%) / 4.자동차·모빌리티(+16.3%) / 5.반도체(+14.1%),3,5,20260105,20260105,28.99,13.27,25.89,-3.1
018260,삼성에스디에스,KOSPI,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터 프로그래밍, 시스템 통합 및 관리업",IT/전기전자,177100,262.19,,177100,164700,202000,227000,84.8,75.2,85.9,0.0,뉴스없음,🔺 Watch (관찰·돌파예상),④ 바닥 반등 시도,2.91,7.79,-7.53,-22.69,-35.31,2,0.84,0.8,1.0,1.0,0.36,0.16,0.93,57.1,51.6,2.24,172558,2.63,,310.2539,0.1198,1.18,2.41,163710,1,6.1,1,1,1,1,False,4.48,2.73,6.3,O,▲,12,★,"주봉20선↑, 주봉추세우상향, HMA추세↑, OBV매집, RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), MACD>Sig, VWAP상회",1.8,14,247.9,171176,▲,O,O,11.99,20.745970149253733,3.0,2.0080645161290325,0.0,1,🌪️ 에너지 응축 시작 (2일차). 💪 매수세 장악(Power Buying). 🚀 단기 모멘텀 가속. ,48.4,,73.9,69.4,54.2,82.0,🔥 과열,1.철강·금속(+17.9%) / 2.조선·기계·설비(+17.4%) / 3.IT/전기전자(+17.2%) / 4.자동차·모빌리티(+16.3%) / 5.반도체(+14.1%),4,6,20260105,20260105,28.99,13.27,6.3,-22.69
454910,두산로보틱스,KOSPI,특수 목적용 기계 제조업,특수 목적용 기계 제조업,조선·기계·설비,83100,396.91,,83100,77200,94800,106400,84.7,75.5,85.5,0.0,뉴스없음,🔺 Watch (관찰·돌파예상),③ 박스 / 중립,8.34,36.01,-2.1,-0.95,-7.09,1,0.83,0.8,1.0,1.0,0.35,0.29,0.82,49.2,57.0,2.49,79873,4.04,,-198.9979,0.09,0.89,0.89,72990,1,11.11,0,1,1,1,False,5.59,4.4,28.04,O,▲,9,★,"주봉20선↑, 주봉추세우상향, HMA추세↑, RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), VWAP상회",1.8,30,249.3,78853,▲,O,X,13.261969696969697,20.135151515151517,2.0,1.9830508474576272,0.0,1,🌪️ 에너지 응축 시작 (1일차). 🚀 단기 모멘텀 가속. ,53.8,,75.4,69.4,54.2,82.0,🔥 과열,1.철강·금속(+17.9%) / 2.조선·기계·설비(+17.4%) / 3.IT/전기전자(+17.2%) / 4.자동차·모빌리티(+16.3%) / 5.반도체(+14.1%),3,7,20260105,20260105,28.99,13.27,28.04,-0.95
277810,레인보우로보틱스,KOSDAQ,특수 목적용 기계 제조업,특수 목적용 기계 제조업,조선·기계·설비,476500,1404.46,,476500,443000,534000,590000,84.2,78.7,82.9,0.0,뉴스없음,↩️ PULL (눌림),② 상승 후 조정,7.2,80.83,4.47,41.69,58.74,2,0.72,0.69,1.0,1.0,0.39,1.0,0.76,51.7,55.8,1.89,478087,-0.33,,-1319.1409,-0.0449,1.02,-1.03,418000,1,15.02,0,1,1,1,False,-1.24,6.6,54.96,O,▲,6,★,"주봉20선↑, 주봉추세우상향, RSI적정, 20선근접, 정배열(단), 장기추세(120↑)",1.8,5,238.2,482012,▲,X,X,13.261969696969697,20.135151515151517,2.0,1.7164179104477613,0.0,1,🌪️ 에너지 응축 시작 (2일차). 📉 매도세 우위. ✅ 20일선 눌림목 구간.,83.6,,84.0,69.4,54.2,82.0,🔥 과열,1.철강·금속(+17.9%) / 2.조선·기계·설비(+17.4%) / 3.IT/전기전자(+17.2%) / 4.자동차·모빌리티(+16.3%) / 5.반도체(+14.1%),2,8,20260105,20260105,28.99,13.27,54.96,41.69
010950,S-Oil,KOSPI,석유 정제품 제조업,석유 정제품 제조업,기타,84600,419.62,,84600,78900,98300,111900,83.9,69.6,87.3,0.0,뉴스없음,↩️ PULL (눌림),② 상승 후 조정,4.57,37.12,-5.87,6.59,-5.98,4,1.0,0.92,0.99,1.0,0.22,0.31,0.58,56.9,51.8,2.82,82367,2.71,,-188.729,-0.0098,2.21,0.32,77080,1,8.96,1,1,1,1,False,1.68,-0.35,35.58,O,▲,9,★,"주봉20선↑, 주봉추세우상향, HMA돌파, RSI적정, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), VWAP상회",1.8,29,245.3,82451,▼,O,X,9.101774193548387,13.977822580645162,6.0,2.4035087719298245,0.0,1,🌪️ 에너지 응축 시작 (4일차). 📉 매도세 우위. ,52.7,,74.5,69.4,54.2,82.0,🔥 과열,1.철강·금속(+17.9%) / 2.조선·기계·설비(+17.4%) / 3.IT/전기전자(+17.2%) / 4.자동차·모빌리티(+16.3%) / 5.반도체(+14.1%),2,9,20260105,20260105,28.99,13.27,35.58,6.59
178320,서진시스템,KOSDAQ,기타 전기장비 제조업,기타 전기장비 제조업,IT/전기전자,26700,132.85,,26700,24800,30450,34200,83.7,71.6,85.9,0.0,뉴스없음,🔺 Watch (관찰·돌파예상),⑤ 하락 / 약세,7.01,18.14,4.28,14.18,-3.95,7,0.83,0.8,1.0,1.0,0.37,0.04,0.74,49.3,39.5,2.37,25903,3.07,,-51.2401,0.0553,1.39,0.57,24005,1,9.63,1,1,1,1,False,3.49,0.56,27.45,O,▲,10,★,"주봉20선↑, 주봉추세우상향, HMA추세↑, RSI적정, MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), VWAP상회",1.8,93,248.3,25545,▲,O,X,11.99,20.745970149253733,3.0,1.9736842105263157,0.0,1,🌪️ 7일 연속 응축 중! 폭발 임박. 📉 매도세 우위. 🚀 단기 모멘텀 가속. ,30.4,,67.7,69.4,54.2,82.0,🔥 과열,1.철강·금속(+17.9%) / 2.조선·기계·설비(+17.4%) / 3.IT/전기전자(+17.2%) / 4.자동차·모빌리티(+16.3%) / 5.반도체(+14.1%),5,10,20260105,20260105,28.99,13.27,27.45,14.18
