종목코드,종목명,시장,종가,시가,저가,고가
196450,코아시아씨엠,KOSDAQ,1347,1375,1319,1400
413640,비아이매트릭스,KOSDAQ,8460,8590,8320,8650
038010,제일테크노스,KOSDAQ,6760,6850,6710,6860
014190,원익큐브,KOSDAQ,1713,1768,1700,1784
340440,세림B&G,KOSDAQ,2135,2300,2135,2380
003465,유화증권우,KOSPI,3465,3420,3400,3470
465480,인스피언,KOSDAQ,5950,5870,5720,6040
052790,액토즈소프트,KOSDAQ,5520,5550,5350,5570
053980,오상자이엘,KOSDAQ,3175,3235,3165,3245
173940,에프엔씨엔터,KOSDAQ,3910,4035,3845,4035
089150,케이씨티,KOSDAQ,3505,3510,3450,3605
053950,경남제약,KOSDAQ,769,0,0,0
215790,이노인스트루먼트,KOSDAQ,1488,1620,1421,1690
037950,엘컴텍,KOSDAQ,709,0,0,0
123700,SJM,KOSPI,3830,3835,3750,3870
057540,옴니시스템,KOSDAQ,1006,1015,990,1053
104200,NHN벅스,KOSDAQ,4000,4140,3945,4235
223310,사토시홀딩스,KOSDAQ,2275,0,0,0
440290,HB인베스트먼트,KOSDAQ,2140,2190,2140,2195
219420,링크제니시스,KOSDAQ,5130,5080,4955,5280
033830,티비씨,KOSDAQ,588,602,577,602
419120,산돌,KOSDAQ,3990,3985,3965,4040
072770,멤레이비티,KOSDAQ,707,0,0,0
185490,아이진,KOSDAQ,1355,1416,1349,1425
261200,덴티스,KOSDAQ,3705,3920,3665,3930
017180,명문제약,KOSPI,1721,1787,1721,1787
052460,아이크래프트,KOSDAQ,4000,4135,3915,4150
010770,평화홀딩스,KOSPI,3995,4135,3975,4135
364950,에이아이코리아,KOSDAQ,7030,7230,6860,7300
026940,부국철강,KOSPI,2915,3055,2905,3060
000890,보해양조,KOSPI,422,0,0,0
035460,기산텔레콤,KOSDAQ,3905,3995,3730,3995
099520,DGI,KOSDAQ,1284,0,0,0
105760,포스뱅크,KOSDAQ,5700,5620,5350,5780
28513K,SK케미칼우,KOSPI,27400,27400,27200,28000
090410,덕신이피씨,KOSDAQ,1257,1292,1249,1292
171010,램테크놀러지,KOSDAQ,4050,3810,3810,4360
237820,플레이디,KOSDAQ,4510,4625,4435,4640
033560,블루콤,KOSDAQ,3380,3405,3335,3440
041650,상신브레이크,KOSPI,2690,2765,2690,2775
277070,린드먼아시아,KOSDAQ,4215,4350,4110,4350
008420,문배철강,KOSPI,2810,3100,2810,3100
004910,조광페인트,KOSPI,4500,4820,4475,4820
471820,셀로맥스사이언스,KOSDAQ,5090,5220,5000,5220
245620,EDGC,KOSDAQ,415,0,0,0
075180,새론오토모티브,KOSPI,2990,3030,2980,3060
038070,서린바이오,KOSDAQ,6170,6270,6090,6310
025530,SJM홀딩스,KOSPI,3835,3905,3795,3905
357250,미래에셋맵스리츠,KOSPI,2285,2290,2265,2320
369370,블리츠웨이엔터테인먼트,KOSDAQ,1144,1162,1118,1163
014990,인디에프,KOSPI,759,800,735,810
466410,사이냅소프트,KOSDAQ,11300,11610,11230,11720
023350,한국종합기술,KOSPI,5180,5280,5130,5280
097870,효성오앤비,KOSDAQ,6670,6800,6570,6800
122350,삼기,KOSDAQ,1473,1515,1462,1525
311390,네오크레마,KOSDAQ,4460,4720,4460,4720
126640,화신정공,KOSDAQ,1609,1569,1569,1620
093240,형지엘리트,KOSPI,917,943,914,955
088340,유라클,KOSDAQ,12880,13200,12710,13510
079000,와토스코리아,KOSDAQ,7800,8000,7620,8000
429270,시지트로닉스,KOSDAQ,8690,7800,7730,9000
043910,자연과환경,KOSDAQ,493,0,0,0
476080,M83,KOSDAQ,6920,7100,6740,7120
100660,서암기계공업,KOSDAQ,4430,4520,4410,4525
432430,와이랩,KOSDAQ,3380,3570,3380,3570
000950,전방,KOSPI,33150,34150,33150,34150
133820,화인베스틸,KOSPI,1500,1599,1466,1599
009320,아진전자부품,KOSPI,1129,1180,1120,1191
340930,유일에너테크,KOSDAQ,806,0,0,0
114450,그린생명과학,KOSDAQ,2770,2870,2730,2880
033200,모아텍,KOSDAQ,3865,4025,3805,4025
066670,디티씨,KOSDAQ,2955,2870,2735,3585
189690,포시에스,KOSDAQ,2020,2045,1995,2045
066360,체리부로,KOSDAQ,1150,1248,1150,1250
090080,평화산업,KOSPI,1004,1040,1000,1040
361570,알비더블유,KOSDAQ,1917,1913,1892,1921
056700,신화인터텍,KOSDAQ,1888,1927,1870,1928
070300,엑스큐어,KOSDAQ,2360,2605,2305,2605
123010,알엔티엑스,KOSDAQ,1680,1602,1602,1810
179530,애드바이오텍,KOSDAQ,2790,2910,2625,3010
403490,우듬지팜,KOSDAQ,1193,1220,1185,1230
217480,에스디생명공학,KOSDAQ,499,0,0,0
464500,아이언디바이스,KOSDAQ,3910,3770,3770,4170
065130,탑엔지니어링,KOSDAQ,3415,3465,3305,3465
430690,한싹,KOSDAQ,5010,4860,4610,5140
001210,금호전기,KOSPI,879,922,867,927
376180,피코그램,KOSDAQ,2930,2970,2860,3020
314140,알피바이오,KOSDAQ,6260,6370,6080,6370
051490,나라엠앤디,KOSDAQ,3820,3945,3800,3945
012280,영화금속,KOSPI,1049,1080,1046,1089
300120,라온피플,KOSDAQ,1094,1101,1080,1190
066130,하츠,KOSDAQ,4230,4410,4210,4420
309930,조이웍스앤코,KOSDAQ,2210,0,0,0
031310,아이즈비전,KOSDAQ,1809,1740,1686,1847
006125,SK디스커버리우,KOSPI,43650,42500,42000,43700
273060,와이즈버즈,KOSDAQ,1063,1067,1030,1095
007120,미래아이앤지,KOSPI,1851,1873,1817,1935
011330,유니켐,KOSPI,590,612,582,617
049800,우진플라임,KOSPI,2660,2750,2640,2760
002410,범양건영,KOSPI,1935,0,0,0
260660,알리코제약,KOSDAQ,3460,3510,3405,3535
352700,씨앤투스,KOSDAQ,2010,2065,1993,2080
355390,크라우드웍스,KOSDAQ,3385,3345,3205,3455
050110,캠시스,KOSDAQ,1803,1930,1787,1940
053160,프리엠스,KOSDAQ,8780,8930,8650,9070
221840,하이즈항공,KOSDAQ,2815,2900,2780,2970
012160,영흥,KOSPI,519,519,505,523
434480,모니터랩,KOSDAQ,4265,4235,4140,4440
200350,아티스트스튜디오,KOSDAQ,5250,5460,5110,5460
078590,휴림에이텍,KOSDAQ,525,0,0,0
073110,엘엠에스,KOSDAQ,5880,5900,5800,5900
016600,큐캐피탈,KOSDAQ,293,0,0,0
011420,갤럭시아에스엠,KOSPI,1895,1878,1878,1943
043340,에쎈테크,KOSDAQ,549,0,0,0
027740,마니커,KOSPI,821,0,0,0
003080,SB성보,KOSPI,2600,2670,2590,2670
087600,픽셀플러스,KOSDAQ,6370,6310,6200,6420
263020,디케이앤디,KOSDAQ,3750,3670,3625,3855
051390,YW,KOSDAQ,4565,4540,4497,4570
376290,씨유테크,KOSDAQ,2935,2875,2870,3020
046310,백금T&A,KOSDAQ,3150,3225,3095,3225
096610,알에프세미,KOSDAQ,2965,0,0,0
064480,브리지텍,KOSDAQ,4310,4295,4210,4325
466910,엔에이치스팩30호,KOSDAQ,5640,0,0,0
388610,지에프씨생명과학,KOSDAQ,9670,9880,9520,10040
219750,한국비티비,KOSDAQ,783,799,760,833
199480,뱅크웨어글로벌,KOSDAQ,5020,5070,4990,5340
250000,보라티알,KOSDAQ,7580,7670,7470,7730
332290,누보,KOSDAQ,1282,1390,1275,1390
320000,한울반도체,KOSDAQ,1533,0,0,0
451700,엔에이치스팩29호,KOSDAQ,3560,3525,3520,3640
006920,모헨즈,KOSDAQ,4670,5050,4640,5080
020760,일진디스플,KOSPI,902,0,0,0
128540,에코캡,KOSDAQ,1909,2010,1904,2040
002290,삼일기업공사,KOSDAQ,4105,4175,4065,4175
007530,와이엠,KOSDAQ,2285,2420,2285,2420
097780,에코볼트,KOSDAQ,801,0,0,0
103840,우양,KOSDAQ,3100,3200,3080,3200
033540,파라텍,KOSDAQ,970,1013,945,1014
026040,제이에스티나,KOSDAQ,3070,3145,2945,3145
122690,서진오토모티브,KOSDAQ,2195,2340,2185,2340
297570,알로이스,KOSDAQ,1460,1661,1380,1661
393970,대진첨단소재,KOSDAQ,2825,0,0,0
307280,원바이오젠,KOSDAQ,7090,7560,7000,7620
347770,핌스,KOSDAQ,2200,2020,1950,2360
060850,영림원소프트랩,KOSDAQ,6180,6450,6150,6480
086040,바이오톡스텍,KOSDAQ,3145,3300,3130,3300
119500,포메탈,KOSDAQ,4230,4320,4205,4420
003060,에이프로젠바이오로직스,KOSPI,251,0,0,0
336060,웨이버스,KOSDAQ,1033,1090,1026,1099
032860,더라미,KOSDAQ,1231,1330,1227,1330
080520,오디텍,KOSDAQ,4390,4415,4210,4505
335810,프리시젼바이오,KOSDAQ,2260,2270,2215,2345
073570,리튬포어스,KOSDAQ,821,0,0,0
