종목코드,종목명,시장,업종,업종_상세,업종_대분류,종가,거래대금(억원),시가총액(억원),추천매수가,손절가,추천매도가1,추천매도가2,FINAL_SCORE,TRIGGER_SCORE,TOTAL_SCORE,RANK_SCORE,LDY_SCORE,ENTRY_SCORE,ML_SCORE,NEWS_SCORE,NEWS_REASON,TRIGGER,ROUTE,REGIME,ret_20d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,TTM_SQUEEZE_CNT,NORM_RR,NORM_T1,NORM_SL,NORM_NEAR,NORM_MOM,NORM_LIQ,NORM_TEC,RSI14,MFI14,이격도,BB_BW,TTM_SQUEEZE,BB_SQUEEZE_BW,ret_5d_%,ret_10d_%,ret_60d_%,Low_Trend_PCT,RSI_Rising,BB_Expanding,Vol_Quality,Range_Pos,Above_MA20,SUPERTREND_DIR,SUPERTREND_VAL,VWAP,VWAP_GAP,MACD_Slope_PCT,거래강도,V_POWER,IS_SWING_SUPPORT,주봉20선_상회,주봉추세,HMA20,HMA_Trend,HMA_On,OBV_Div,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,EBS,ENG_SCORE,MOM_SCORE,RR1,Now%,AI_COMMENT,켈리_수량,켈리_금액(원),추천수량,추천금액(만원),MKT_BREADTH_ALL_%,MKT_BREADTH_KOSPI_%,MKT_BREADTH_KOSDAQ_%,MKT_TEMP,TOP_SECTORS_5D,REGIME_RANK,LDY_RANK,기준일,시총기준일,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,60일_종목수익률_%,60일_초과수익(α)_%
049630,재영솔루텍,KOSDAQ,사진장비 및 광학기기 제조업,사진장비 및 광학기기 제조업,기타,4840,235.88,0.0,4840,3980,6560,7216.000000000001,52.8,21.3,73.8,70.3,70.3,72.9,81.80000305175781,0.0,,,↩️ PULL (눌림),② 상승 후 조정,95.16,505.0,93.38,465.78,486.42,0,1.0,1.0,0.0,1.0,0.4,0.21,0.36,83.4,78.5,27.67,97.75,0,0,-2.62,56.89,477.57,22.98,1,0,1.35,0.9,1,1,3580.0,4872,-0.68,-0.4678,0.24,0.29,False,O,▲,5314,▲,X,X,7.949459459459459,15.482972972972972,5.0,7,87.3,40.0,2.0,0.0,📉 매도세 우위. 💰 외국인/기관 수급 집중. ⚠️ 단기 급등 조정 주의.,317,1535000,317.0,153.5,62.0,48.6,76.0,🌤 중립,1.철강·금속(+17.4%) / 2.IT/전기전자(+14.7%) / 3.조선·기계·설비(+13.8%) / 4.자동차·모빌리티(+13.0%) / 5.기타(+12.5%),2,144,20260109,20260109,28.76,11.79,477.57,465.78
402340,SK스퀘어,KOSPI,기타 금융업,기타 금융업,금융,430500,1802.12,0.0,430500,389500,512000,563200.0,52.3,17.6,75.5,83.6,83.6,73.1,56.599998474121094,0.0,,,🔺 Watch (관찰·돌파예상),⑤ 하락 / 약세,33.28,141.45,22.59,54.82,98.22,0,0.99,0.95,0.36,1.0,0.43,1.0,0.55,98.4,80.9,24.66,64.79,0,0,9.82,36.67,83.58,14.26,1,0,0.92,0.89,1,1,366350.0,425014,1.29,0.0167,0.91,1.65,False,O,▲,437676,▲,X,X,0.7539999999999999,-6.009333333333333,11.0,8,86.3,42.7,1.9878048780487805,0.0,💪 매수세 장악(Power Buying). 💰 외국인/기관 수급 집중. 📈 상승 모멘텀 개선. ⚠️ 단기 급등 조정 주의. (매수 유효),3,1655674,3.0,165.6,62.0,48.6,76.0,🌤 중립,1.철강·금속(+17.4%) / 2.IT/전기전자(+14.7%) / 3.조선·기계·설비(+13.8%) / 4.자동차·모빌리티(+13.0%) / 5.기타(+12.5%),5,145,20260109,20260109,28.76,11.79,83.58,54.82
005290,동진쎄미켐,KOSDAQ,기초 화학물질 제조업,기초 화학물질 제조업,화학·소재,40200,274.99,0.0,40200,36850,46900,51590.00000000001,52.2,46.2,56.2,54.7,54.7,51.7,59.79999923706055,0.0,,,🔺 Watch (상승 준비),④ 바닥 반등 시도,4.01,32.02,2.23,-20.11,13.44,0,1.0,0.83,0.57,1.0,0.12,0.24,0.21,63.8,56.3,5.03,17.96,0,0,1.39,6.07,-8.32,2.69,1,1,1.05,0.53,1,1,36850.0,41130,-2.26,0.0356,1.14,-1.24,False,O,▲,40684,▲,X,X,1.8561290322580646,-1.9829032258064514,9.0,5,48.1,12.5,2.0,0.0,📉 매도세 우위. 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.,0,0,,,62.0,48.6,76.0,🌤 중립,1.철강·금속(+17.4%) / 2.IT/전기전자(+14.7%) / 3.조선·기계·설비(+13.8%) / 4.자동차·모빌리티(+13.0%) / 5.기타(+12.5%),4,146,20260109,20260109,28.76,11.79,-8.32,-20.11
218410,RFHIC,KOSDAQ,통신 및 방송 장비 제조업,통신 및 방송 장비 제조업,IT/전기전자,37850,83.95,0.0,37850,33800,45900,50490.00000000001,52.2,43.7,57.8,54.7,54.7,54.0,65.0999984741211,0.0,,,🔺 Watch (관찰·돌파예상),① 강한 상승 추세,28.09,41.23,26.31,23.87,22.65,0,0.99,1.0,0.2,1.0,0.34,0.07,0.27,69.6,64.8,11.74,28.64,0,0,7.99,12.15,35.66,4.91,0,0,1.99,0.82,1,1,32240.0,37219,1.69,0.1258,0.69,0.48,False,O,▲,37152,▲,O,X,7.4117460317460315,19.624126984126985,2.0,5,43.1,33.8,1.9876543209876543,0.0,📉 매도세 우위. 💸 자금 유입 지속. 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.,0,0,,,62.0,48.6,76.0,🌤 중립,1.철강·금속(+17.4%) / 2.IT/전기전자(+14.7%) / 3.조선·기계·설비(+13.8%) / 4.자동차·모빌리티(+13.0%) / 5.기타(+12.5%),1,147,20260109,20260109,28.76,11.79,35.66,23.87
317830,에스피시스템스,KOSDAQ,특수 목적용 기계 제조업,특수 목적용 기계 제조업,조선·기계·설비,13100,687.77,0.0,13100,10570,18160,19976.0,52.2,38.0,61.6,52.9,52.9,47.5,82.0,0.0,,⚡눌림회복,↩️ PULL (눌림),② 상승 후 조정,0.0,87.68,-1.78,32.01,69.1,3,1.0,1.0,0.0,1.0,0.06,0.6,0.37,59.5,76.0,2.52,23.96,1,0,-1.5,5.05,43.8,4.3,0,0,4.19,0.41,1,1,10572.0,12900,1.55,-0.2919,2.23,0.41,False,O,▲,13002,▼,O,X,5.072241379310345,19.69,3.0,5,16.0,5.6,2.0,0.0,🌪️ 에너지 응축 시작 (3일차). 📉 매도세 우위. 💰 외국인/기관 수급 집중. ,47,620000,47.0,62.0,62.0,48.6,76.0,🌤 중립,1.철강·금속(+17.4%) / 2.IT/전기전자(+14.7%) / 3.조선·기계·설비(+13.8%) / 4.자동차·모빌리티(+13.0%) / 5.기타(+12.5%),2,148,20260109,20260109,28.76,11.79,43.8,32.01
189300,인텔리안테크,KOSDAQ,통신 및 방송 장비 제조업,통신 및 방송 장비 제조업,IT/전기전자,73500,106.38,0.0,73500,64700,91000,100100.00000000001,52.2,26.2,69.6,67.2,67.2,70.9,75.30000305175781,0.0,,,↩️ PULL (눌림),② 상승 후 조정,58.75,54.41,56.97,34.62,35.83,0,0.99,1.0,0.09,1.0,0.35,0.09,0.5,81.1,88.5,26.3,67.3,0,0,7.77,32.19,46.41,16.67,1,0,1.68,0.96,1,1,57650.0,71277,3.12,-0.1301,0.54,1.54,False,O,▲,73311,▲,O,X,7.4117460317460315,19.624126984126985,2.0,6,84.6,35.4,1.9886363636363635,0.0,💪 매수세 장악(Power Buying). 💰 외국인/기관 수급 집중. ⚠️ 단기 급등 조정 주의.,16,1212800,16.0,121.3,62.0,48.6,76.0,🌤 중립,1.철강·금속(+17.4%) / 2.IT/전기전자(+14.7%) / 3.조선·기계·설비(+13.8%) / 4.자동차·모빌리티(+13.0%) / 5.기타(+12.5%),2,149,20260109,20260109,28.76,11.79,46.41,34.62
001040,CJ,KOSPI,기타 금융업,기타 금융업,금융,179200,269.01,0.0,179200,166900,204000,224400.00000000003,52.0,83.0,31.3,28.6,28.6,43.0,37.70000076293945,0.0,,,🔺 Watch (관찰·돌파예상),④ 바닥 반등 시도,-2.45,2.46,-13.14,-22.47,-40.77,2,1.0,0.69,0.84,1.0,0.23,0.24,0.33,54.9,54.5,2.4,8.91,1,1,3.4,4.25,6.29,-2.65,0,0,1.4,0.66,1,1,166220.0,176803,1.36,0.1145,1.59,0.9,False,O,▲,175117,▲,O,X,0.7539999999999999,-6.009333333333333,11.0,2,20.9,23.3,2.016260162601626,0.0,🌪️ 에너지 응축 시작 (2일차). 🚀 단기 모멘텀 가속. ,0,0,,,62.0,48.6,76.0,🌤 중립,1.철강·금속(+17.4%) / 2.IT/전기전자(+14.7%) / 3.조선·기계·설비(+13.8%) / 4.자동차·모빌리티(+13.0%) / 5.기타(+12.5%),4,150,20260109,20260109,28.76,11.79,6.29,-22.47
042700,한미반도체,KOSPI,특수 목적용 기계 제조업,특수 목적용 기계 제조업,반도체,176300,4631.66,0.0,176300,157700,213500,234850.00000000003,51.9,16.2,75.7,87.6,87.6,75.0,47.900001525878906,0.0,,,🔺 Watch (관찰·돌파예상),⑤ 하락 / 약세,45.34,96.76,34.65,8.23,53.53,0,1.0,1.0,0.21,1.0,0.95,1.0,0.59,78.5,86.0,27.62,74.88,0,0,22.01,38.82,36.99,8.11,1,0,1.75,0.71,1,1,153600.0,178557,-1.26,0.3409,1.11,1.51,False,O,▲,178415,▲,X,X,4.4714285714285715,15.612857142857143,6.0,8,64.7,95.4,2.0,0.0,💪 매수세 장악(Power Buying). 💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의. (매수 유효),9,1677500,9.0,167.8,62.0,48.6,76.0,🌤 중립,1.철강·금속(+17.4%) / 2.IT/전기전자(+14.7%) / 3.조선·기계·설비(+13.8%) / 4.자동차·모빌리티(+13.0%) / 5.기타(+12.5%),5,151,20260109,20260109,28.76,11.79,36.99,8.23
003530,한화투자증권,KOSPI,금융 지원 서비스업,금융 지원 서비스업,서비스 기타,4720,79.0,0.0,4720,4510,5140,5654.000000000001,51.5,54.6,49.4,41.0,41.0,56.8,69.0999984741211,0.0,,⚡눌림회복,↩️ PULL (눌림),⑤ 하락 / 약세,0.64,-34.26,-10.05,-42.94,-77.49,0,1.0,0.44,0.98,1.0,0.0,0.07,0.17,53.6,65.8,-0.45,9.13,0,1,-1.67,-2.98,-14.18,2.33,1,1,1.32,0.44,0,1,4398.5,4848,-2.65,-0.0886,1.2,-0.18,True,X,▼,4827,▼,X,X,0.538421052631579,-7.675789473684211,13.0,4,41.9,0.0,2.0,0.0,🔇 변동성 축소 (BW 9.1%). 🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. 💸 자금 유입 지속. ✅ 20일선 눌림목 구간.,0,0,,,62.0,48.6,76.0,🌤 중립,1.철강·금속(+17.4%) / 2.IT/전기전자(+14.7%) / 3.조선·기계·설비(+13.8%) / 4.자동차·모빌리티(+13.0%) / 5.기타(+12.5%),5,152,20260109,20260109,28.76,11.79,-14.18,-42.94
454910,두산로보틱스,KOSPI,특수 목적용 기계 제조업,특수 목적용 기계 제조업,조선·기계·설비,83600,305.53,0.0,83600,76200,98400,108240.00000000001,51.0,48.2,52.8,50.6,50.6,44.8,57.900001525878906,0.0,,,🔺 Watch (관찰·돌파예상),④ 바닥 반등 시도,2.08,37.27,-8.61,-6.54,-5.96,1,1.0,0.89,0.48,1.0,0.25,0.27,0.18,56.3,63.0,2.6,12.98,0,0,4.11,0.97,22.22,0.65,0,1,1.29,0.53,1,1,74050.0,84586,-1.17,0.1477,0.72,0.56,False,O,▲,82397,▲,O,X,5.072241379310345,19.69,3.0,5,24.5,25.1,2.0,0.0,📉 매도세 우위. 💸 자금 유입 지속. 🚀 단기 모멘텀 가속. ,0,0,,,62.0,48.6,76.0,🌤 중립,1.철강·금속(+17.4%) / 2.IT/전기전자(+14.7%) / 3.조선·기계·설비(+13.8%) / 4.자동차·모빌리티(+13.0%) / 5.기타(+12.5%),4,153,20260109,20260109,28.76,11.79,22.22,-6.54
