종목코드,종목명,시장,업종,업종_상세,업종_대분류,종가,거래대금(억원),시가총액(억원),추천매수가,손절가,추천매도가1,추천매도가2,RANK_SCORE,LDY_SCORE,ENTRY_SCORE,NEWS_SCORE,NEWS_REASON,ROUTE,REGIME,ret_20d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,TTM_SQUEEZE_CNT,NORM_RR,NORM_T1,NORM_SL,NORM_NEAR,NORM_MOM,NORM_LIQ,NORM_TEC,RSI14,MFI14,이격도,VWAP,VWAP_GAP,캔들패턴,MACD_Hist,MACD_Slope_PCT,거래강도,V_POWER,SUPERTREND_VAL,SUPERTREND_DIR,BB_BW,BB_SQUEEZE_BW,TTM_SQUEEZE,BB_SQUEEZE,Above_MA20,IS_SWING_SUPPORT,ret_5d_%,ret_10d_%,ret_60d_%,주봉20선_상회,주봉추세,EBS,통과,근거,ATR_MULT,추천수량,추천금액(만원),HMA20,HMA_Trend,HMA_On,OBV_Div,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,RR1,Now%,ST_DIR,AI_COMMENT,MKT_BREADTH_ALL_%,MKT_BREADTH_KOSPI_%,MKT_BREADTH_KOSDAQ_%,MKT_TEMP,TOP_SECTORS_5D,REGIME_RANK,LDY_RANK,기준일,시총기준일,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,60일_종목수익률_%,60일_초과수익(α)_%,오늘종가,전일추천매수가,전일→오늘_수익률%,검증기준일,비교대상추천일
277810,레인보우로보틱스,KOSDAQ,특수 목적용 기계 제조업,특수 목적용 기계 제조업,조선·기계·설비,473500,997.66,91858.3,473000,439500,540000,606000,89.5,93.1,87.4,0.0,뉴스없음,🔥 SQZ (폭발대기),① 강한 상승 추세,23.47,72.5,18.97,40.32,54.92,1,0.69,0.79,1.0,0.98,0.6,1.0,0.78,59.5,64.2,3.09,485856,-2.54,,-206.6746,0.1673,0.66,0.98,418000,1,17.38,0,1,1,1,False,8.98,0.74,48.2,O,▲,9,★,"주봉20선↑, 주봉추세우상향, HMA추세↑, RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입",1.8,5,236.5,473488,▲,O,X,8.895833333333334,18.951166666666666,2.0,1.9558823529411764,0.1057082452431289,1,🌪️ 에너지 응축 시작 (1일차). 💸 자금 유입 지속. 🚀 단기 모멘텀 가속.  (강력 매수),51.7,43.1,60.2,🌤 중립,1.자동차·모빌리티(+17.9%) / 2.조선·기계·설비(+14.9%) / 3.철강·금속(+14.8%) / 4.IT/전기전자(+14.4%) / 5.기타(+12.7%),1,1,20251226,20251226,18.97,7.88,48.2,40.32,475500,473000,0.5285412262156397,20251229,20251226
347850,디앤디파마텍,KOSDAQ,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,기타,94900,2161.25,41315.1,94100,87400,108800,123600,88.5,90.6,84.2,0.0,뉴스없음,🔥 SQZ (폭발대기),⑤ 하락 / 약세,2.26,199.79,-2.24,95.13,182.21,4,0.66,0.83,1.0,0.83,0.68,1.0,0.69,48.9,53.6,3.9,92082,3.06,,-893.1155,0.0756,1.09,0.06,74790,1,17.31,0,1,1,1,False,4.98,7.47,103.01,O,▲,12,★,"주봉20선↑, 주봉추세우상향, HMA추세↑, HMA돌파, OBV매집, RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), VWAP상회",1.8,26,244.7,91385,▲,O,O,5.192385321100918,17.718715596330277,5.0,1.8533333333333333,0.8501594048884166,1,🌪️ 에너지 응축 시작 (4일차). 📉 매도세 우위. 🚀 단기 모멘텀 가속.  (강력 매수),51.7,43.1,60.2,🌤 중립,1.자동차·모빌리티(+17.9%) / 2.조선·기계·설비(+14.9%) / 3.철강·금속(+14.8%) / 4.IT/전기전자(+14.4%) / 5.기타(+12.7%),5,2,20251226,20251226,18.97,7.88,103.01,95.13,97700,94100,3.825717321997879,20251229,20251226
000650,천일고속,KOSPI,육상 여객 운송업,육상 여객 운송업,기타,360000,488.71,5145.2,360000,334500,584000,807000,88.1,87.8,94.0,0.0,뉴스없음,↩️ PULL (눌림),② 상승 후 조정,97.59,745.07,94.01,768.82,710.77,1,1.0,1.0,1.0,1.0,0.5,0.5,0.67,44.7,79.3,-1.99,355147,1.37,,-16457.8092,-0.542,0.51,0.01,179500,1,69.43,0,1,1,0,False,-17.05,-21.31,787.79,O,▲,6,★,"주봉20선↑, 주봉추세우상향, 정배열(단), 장기추세(120↑), 자금유입, VWAP상회",1.8,6,216.0,364164,▼,X,X,5.192385321100918,17.718715596330277,5.0,8.784313725490197,0.0,1,🌪️ 에너지 응축 시작 (1일차). 📉 매도세 우위. 💰 외국인/기관 수급 집중. ✅ 20일선 눌림목 구간. (매수 유효),51.7,43.1,60.2,🌤 중립,1.자동차·모빌리티(+17.9%) / 2.조선·기계·설비(+14.9%) / 3.철강·금속(+14.8%) / 4.IT/전기전자(+14.4%) / 5.기타(+12.7%),2,3,20251226,20251226,18.97,7.88,787.79,768.82,354000,360000,-1.6666666666666718,20251229,20251226
047810,한국항공우주,KOSPI,"항공기,우주선 및 부품 제조업","항공기,우주선 및 부품 제조업",기타,110100,646.56,107320.1,110100,102300,125600,141000,86.9,87.0,83.3,0.0,뉴스없음,🔺 Watch (상승 준비),④ 바닥 반등 시도,1.1,23.15,-2.48,-18.42,-11.15,16,0.71,0.79,1.0,1.0,0.35,0.7,0.77,56.2,70.2,0.54,112046,-1.74,,73.1004,0.0774,0.93,-0.25,102190,1,10.49,0,1,1,1,False,0.64,0.46,0.55,O,▲,11,★,"주봉20선↑, 주봉추세우상향, OBV매집, RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입, MACD>Sig",1.8,22,242.2,112062,▲,X,O,5.192385321100918,17.718715596330277,5.0,1.9871794871794872,0.0,1,🌪️ 16일 연속 응축 중! 폭발 임박. 📉 매도세 우위. 💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간. (매수 유효),51.7,43.1,60.2,🌤 중립,1.자동차·모빌리티(+17.9%) / 2.조선·기계·설비(+14.9%) / 3.철강·금속(+14.8%) / 4.IT/전기전자(+14.4%) / 5.기타(+12.7%),4,4,20251226,20251226,18.97,7.88,0.55,-18.42,117500,110100,6.721162579473217,20251229,20251226
090360,로보스타,KOSDAQ,특수 목적용 기계 제조업,특수 목적용 기계 제조업,조선·기계·설비,76200,275.05,7429.5,76200,70800,88000,99700,86.6,87.0,91.8,0.0,뉴스없음,🔺 Watch (관찰·돌파예상),① 강한 상승 추세,14.59,170.21,10.09,51.53,152.63,2,0.78,0.87,1.0,1.0,0.67,0.23,0.73,52.9,73.5,-0.07,77784,-2.04,,-77.6485,0.1626,0.47,0.18,64260,1,18.33,0,1,1,0,False,6.28,-2.06,59.41,O,▲,8,★,"주봉20선↑, 주봉추세우상향, RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입",1.8,32,243.8,76331,▲,X,X,8.895833333333334,18.951166666666666,2.0,2.185185185185185,0.0,1,🌪️ 에너지 응축 시작 (2일차). 📉 매도세 우위. 💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간. (매수 유효),51.7,43.1,60.2,🌤 중립,1.자동차·모빌리티(+17.9%) / 2.조선·기계·설비(+14.9%) / 3.철강·금속(+14.8%) / 4.IT/전기전자(+14.4%) / 5.기타(+12.7%),1,5,20251226,20251226,18.97,7.88,59.41,51.53,83500,76200,9.580052493438318,20251229,20251226
067310,하나마이크론,KOSDAQ,반도체 제조업,반도체 제조업,반도체,25100,470.41,16660.9,25100,23300,28650,32150,86.1,79.0,86.2,0.0,뉴스없음,🔺 Watch (관찰·돌파예상),⑤ 하락 / 약세,-1.57,113.8,-6.07,9.14,96.22,18,0.7,0.8,1.0,1.0,0.5,0.48,0.69,49.1,52.7,1.64,24659,1.79,,46.8838,0.1484,1.44,0.07,27055,-1,11.79,0,1,1,1,False,3.08,2.45,17.02,O,▲,12,★,"주봉20선↑, 주봉추세우상향, HMA추세↑, OBV매집, RSI적정, MACD상승, 20선근접, 거래량↑, 장기추세(120↑), MACD>Sig, VWAP상회",1.8,99,248.5,24156,▲,O,O,10.506315789473684,7.721052631578947,6.0,1.9722222222222223,0.0,-1,🌪️ 18일 연속 응축 중! 폭발 임박. 📉 매도세 우위. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간.,51.7,43.1,60.2,🌤 중립,1.자동차·모빌리티(+17.9%) / 2.조선·기계·설비(+14.9%) / 3.철강·금속(+14.8%) / 4.IT/전기전자(+14.4%) / 5.기타(+12.7%),5,6,20251226,20251226,18.97,7.88,17.02,9.14,25200,25100,0.3984063745019917,20251229,20251226
226950,올릭스,KOSDAQ,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,기타,134800,954.85,27216.0,134300,124800,153600,172900,85.1,84.6,81.3,0.0,뉴스없음,🔺 Watch (상승 준비),② 상승 후 조정,8.36,246.98,3.86,35.83,229.4,8,0.67,0.79,1.0,0.93,0.41,1.0,0.69,60.0,67.7,3.39,131405,2.58,,-827.2827,-0.1376,0.79,0.15,112050,1,21.17,0,1,1,1,False,3.37,-3.85,43.71,O,▲,9,★,"주봉20선↑, 주봉추세우상향, HMA돌파, RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입, VWAP상회",1.8,18,241.7,133400,▼,O,X,5.192385321100918,17.718715596330277,5.0,1.88,0.3723008190618019,1,🌪️ 8일 연속 응축 중! 폭발 임박. 📉 매도세 우위. 💸 자금 유입 지속.  (매수 유효),51.7,43.1,60.2,🌤 중립,1.자동차·모빌리티(+17.9%) / 2.조선·기계·설비(+14.9%) / 3.철강·금속(+14.8%) / 4.IT/전기전자(+14.4%) / 5.기타(+12.7%),2,7,20251226,20251226,18.97,7.88,43.71,35.83,140000,134300,4.24422933730455,20251229,20251226
000990,DB하이텍,KOSPI,반도체 제조업,반도체 제조업,반도체,67300,214.9,29278.6,67300,62500,76800,86200,85.0,78.4,84.4,0.0,뉴스없음,🔺 Watch (관찰·돌파예상),③ 박스 / 중립,5.82,47.43,2.24,-1.11,13.13,9,0.7,0.8,1.0,1.0,0.41,0.15,0.84,57.5,75.0,2.11,67738,-0.65,,99.004,0.146,0.88,0.99,61600,1,9.59,1,1,1,1,False,5.16,1.2,17.86,O,▲,9,★,"주봉20선↑, 주봉추세우상향, RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입, MACD>Sig",1.8,37,249.0,67437,▲,X,X,10.506315789473684,7.721052631578947,6.0,1.9791666666666667,0.0,1,🌪️ 9일 연속 응축 중! 폭발 임박. 💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속. ,51.7,43.1,60.2,🌤 중립,1.자동차·모빌리티(+17.9%) / 2.조선·기계·설비(+14.9%) / 3.철강·금속(+14.8%) / 4.IT/전기전자(+14.4%) / 5.기타(+12.7%),3,8,20251226,20251226,18.97,7.88,17.86,-1.11,67100,67300,-0.2971768202080227,20251229,20251226
475400,씨메스,KOSDAQ,특수 목적용 기계 제조업,특수 목적용 기계 제조업,조선·기계·설비,34850,148.07,4078.0,34850,32400,41150,47450,84.0,83.1,89.3,0.0,뉴스없음,↩️ PULL (눌림),② 상승 후 조정,23.36,47.36,18.86,30.14,29.78,1,0.91,1.0,1.0,1.0,0.34,0.07,0.7,53.4,73.9,-0.64,36436,-4.35,,-144.704,-0.0652,0.5,-0.09,30910,1,21.52,0,1,1,0,False,2.65,0.14,38.02,O,▲,7,★,"주봉20선↑, 주봉추세우상향, RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입",1.8,71,247.4,35990,▼,X,X,8.895833333333334,18.951166666666666,2.0,2.571428571428572,0.0,1,🌪️ 에너지 응축 시작 (1일차). 📉 매도세 우위. 💰 외국인/기관 수급 집중. ✅ 20일선 눌림목 구간. (매수 유효),51.7,43.1,60.2,🌤 중립,1.자동차·모빌리티(+17.9%) / 2.조선·기계·설비(+14.9%) / 3.철강·금속(+14.8%) / 4.IT/전기전자(+14.4%) / 5.기타(+12.7%),2,9,20251226,20251226,18.97,7.88,38.02,30.14,35650,34850,2.295552367288378,20251229,20251226
128940,한미약품,KOSPI,의약품 제조업,의약품 제조업,바이오·의약품,450500,418.67,57713.5,450500,419500,513000,574000,82.9,76.8,81.7,0.0,뉴스없음,🔺 Watch (관찰·돌파예상),③ 박스 / 중립,0.22,55.88,-3.36,1.16,21.58,9,0.72,0.78,1.0,1.0,0.27,0.41,0.77,66.0,69.4,2.75,442768,1.75,장악형,-254.3407,0.079,1.0,0.36,404850,1,8.61,1,1,1,1,False,3.8,0.11,20.13,O,▲,11,★,"주봉20선↑, 주봉추세우상향, HMA추세↑, HMA돌파, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입, VWAP상회, 패턴(장악형)",1.8,5,225.2,441631,▲,O,X,1.1927777777777775,11.547777777777778,7.0,2.0161290322580645,0.0,1,🌪️ 9일 연속 응축 중! 폭발 임박. 📉 매도세 우위. 💸 자금 유입 지속. 🚀 단기 모멘텀 가속. ,51.7,43.1,60.2,🌤 중립,1.자동차·모빌리티(+17.9%) / 2.조선·기계·설비(+14.9%) / 3.철강·금속(+14.8%) / 4.IT/전기전자(+14.4%) / 5.기타(+12.7%),3,10,20251226,20251226,18.97,7.88,20.13,1.16,451000,450500,0.11098779134295356,20251229,20251226
