date,action,code,name,ret_pct_gross,ret_pct_net,realized_pl,cash,invested_total,total_assets,open_positions
2026-03-03,ENTER,383310,에코프로에이치엔,0,0,0,0.0,10000000.0,10000000.0,1
2026-03-04,EXIT,383310,에코프로에이치엔,-5.11,-5.33,-533000.0,9467000.0,0,9467000.0,0
2026-03-26,ENTER,298020,효성티앤씨,0,0,0,0.0,9467000.0,9467000.0,1
2026-04-09,EXIT,298020,효성티앤씨,4.34,4.12,390040.0,9857040.0,0,9857040.0,0
2026-04-09,ENTER,054920,한컴위드,0,0,0,0.0,9857040.0,9857040.0,1
2026-04-16,EXIT,054920,한컴위드,23.92,23.7,2336119.0,12193159.0,0,12193159.0,0
2026-04-16,ENTER,036200,유니셈,0,0,0,0.0,12193159.0,12193159.0,1
2026-04-30,EXIT,036200,유니셈,9.2,8.98,1094946.0,13288105.0,0,13288105.0,0
2026-05-04,ENTER,089010,켐트로닉스,0,0,0,0.0,13288105.0,13288105.0,1
2026-05-06,EXIT,089010,켐트로닉스,10.16,9.94,1320838.0,14608942.0,0,14608942.0,0
2026-05-06,ENTER,100130,동국S&C,0,0,0,0.0,14608942.0,14608942.0,1
2026-05-08,EXIT,100130,동국S&C,-9.04,-9.26,-1352788.0,13256154.0,0,13256154.0,0
2026-05-08,ENTER,042510,라온시큐어,0,0,0,0.0,13256154.0,13256154.0,1
2026-05-18,EXIT,042510,라온시큐어,-15.03,-15.25,-2021564.0,11234591.0,0,11234591.0,0
2026-05-26,ENTER,321370,센서뷰,0,0,0,0.0,11234591.0,11234591.0,1
2026-06-02,EXIT,321370,센서뷰,-15.06,-15.28,-1716645.0,9517945.0,0,9517945.0,0
2026-06-05,ENTER,007660,이수페타시스,0,0,0,0.0,9517945.0,9517945.0,1
2026-06-09,EXIT,007660,이수페타시스,-22.36,-22.58,-2149152.0,7368793.0,0,7368793.0,0
2026-06-18,ENTER,089030,테크윙,0,0,0,0.0,7368793.0,7368793.0,1
2026-06-25,EXIT,089030,테크윙,-15.2,-15.42,-1136268.0,6232525.0,0,6232525.0,0
2026-07-03,ENTER,037710,광주신세계,0,0,0,0.0,6232525.0,6232525.0,1
2026-07-15,EXIT_FINAL,037710,광주신세계,1.72,1.5,93488.0,6326013.0,0,6326013.0,0
