LDY_RANK,종목코드,종목명,시장,업종_대분류,종가,거래대금(억원),시가총액(억원),켈리_수량,추천금액(만원),상태,ROUTE,ACTION_PRIORITY,IS_ACTIVE,IS_NOW_ENTRY,IS_WATCH,DISPLAY_SCORE,FINAL_SCORE,STRUCT_SCORE,TIMING_SCORE,AI_SCORE,NEWS_SCORE,ELITE_SCORE,AXIS_MEAN,AXIS_GAP,BALANCE_SCORE,RR_NOW_TP1,ENTRY_GAP_PCT,ELITE_REASON,TOP_PICK,추천매수가,손절가,추천매도가1,추천매도가2,TRIGGER,V_POWER,거래강도,VWAP,POC_GAP,NEWS_REASON,TTM_SQUEEZE_CNT,Low_Trend_PCT,RSI14,이격도,SCORE_REASON_TOP1,SCORE_REASON_TOP2,SCORE_RISK,ROUTE_REASON,MACRO_RISK,MARKET_BREADTH,업종,거래대금(원),MFI14,BB_BW,TTM_SQUEEZE,BB_SQUEEZE_BW,ret_1d_%,ret_5d_%,ret_10d_%,ret_20d_%,ret_60d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,RES_RATIO,RES_RATIO_NEAR,IS_ABOVE_POC,NEAR_THRES,RSI_Rising,BB_Expanding,Vol_Quality,Range_Pos,추천매도가3,TP1_METHOD,TP1_PROB,TP2_METHOD,TP2_PROB,TP3_METHOD,TP3_PROB,EXEC_RULE_ID,STOP_PCT,MAX_LOSS_PCT,RR_MULT,STOP_REASON,ENTRY_ACTION,POSITION_PCT,Above_MA20,SUPERTREND_DIR,SUPERTREND_VAL,VWAP_GAP,MACD_Slope_PCT,IS_SWING_SUPPORT,주봉20선_상회,주봉추세,HMA20,HMA_Trend,HMA_On,OBV_Div,외인순매수,기관순매수,메이저순매수,gap_pct,_data_length,consecutive_limit_up,MTF_WEEKLY_TREND,MTF_MONTHLY_TREND,MTF_DATA_SUFFICIENT,개인순매수,업종_상세,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,ML_SCORE,ML_STATUS,TRIGGER_SCORE,RAW_TRIGGER_SCORE,EBS,PASS_EBS,W_STRUCT,W_TIMING,W_AI,SCORING_AXES,STRATEGY,STRATEGY_SCORE,STRATEGY_HORIZON,REASON_THRESHOLD,기준일,시총기준일,AI_COMMENT,LDY_SCORE,TOTAL_SCORE,RANK_SCORE,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,ROW_BUILD_MODE,EST_WIN_RATE,CAL_HOLD_REASON,LOW_WR_FLAG,LEGACY_EST_WIN_RATE,LEGACY_LOW_WR_FLAG,CALIBRATION_MODE,CAL_N_TRADES,KELLY_PLANNED_B,KELLY_EMPIRICAL_B,KELLY_FINAL_B,KELLY_FRACTION,켈리_금액(원),추천수량,KELLY_ENGINE,KELLY_ERROR,CARRY_FROM_DATE,CARRY_AGE_DAYS,IS_STALE_CARRY,STALE_PENALTY,DATA_FRESHNESS_OK,TP1_PCT,TOP_PICK_TYPE,EST_WIN_RATE_METHOD,EST_WIN_RATE_MODE,EST_WIN_RATE_N,CONFIG_VERSION,RUN_STATUS,DEGRADED_REASONS,CONFIDENCE_SCORE,MAX_ALLOWED_ROUTE,AXIS_MCAP,AXIS_BENCH,AXIS_FLOW,AXIS_NEWS,AXIS_SECTOR,AXIS_ML,AXIS_TRIGGER,FALLBACK_COUNT,AXIS_QUALITY,HAS_NEWS,HAS_FLOW,HAS_SECTOR
61,009420,한올바이오파마,KOSPI,바이오·의약품,51800,188.29,27060.7,0.0,0.0,WAIT,WAIT,3,False,1,True,63.9,63.9,84.1,58.3,34.5,0.0,52.6,59.0,49.6,38.0,1.33,0.0,RR1.3 + 진입적정,0,51800.0,46100.0,59400.0,66600.0,,-0.09,0.87,54103,17.86,특이사항 없음,0,2.45,71.0,4.74,STRUCT 강점,,RSI 과열,추세 관망,CAUTION,66.5,의약품 제조업,18828573550.0,70.7,27.62,0,0,0.39,1.97,12.24,-11.15,0.58,53.25,-21.14,-29.7,-1.26,0.266,0.166,1,8.5,0,0,1.15,0.47,,SWING_20D,80,SWING_60D,60,,0,v1_sl_first_gap_at_open,11.0,5.0,1.3,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,-1,54000.0,-4.26,0.2472,False,O,▲,50101,▲,O,X,0,0,0,-0.58,250,0,1,1,1,0.0,의약품 제조업,0.49769230769230777,-13.36076923076923,16.0,34.5,OK,52.46481015405392,52.46481015405392,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260427,20260427,,63.9,63.9,63.9,30.28,30.28,FRESH,0.627,,False,0.431,True,MATURE,4068.0,1.333,0.878,0.878,0.0,0.0,0.0,v22_calibrated,,,,,,True,14.7,,ELITE_SCORE,MATURE,4068,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True
62,272210,한화시스템,KOSPI,IT/전기전자,126100,1267.58,238227.3,0.0,0.0,WAIT,WAIT,3,False,1,True,56.1,56.1,59.2,45.0,72.3,0.0,52.3,58.8,27.3,65.9,2.98,0.0,RR3.0 + 진입적정,0,126100.0,121800.0,138900.0,184000.0,,-1.0,0.82,128248,131.65,특이사항 없음,1,10.66,41.1,-3.3,AI 강점,,,추세 관망,CAUTION,66.5,전자부품 제조업,126757598050.0,49.4,14.15,1,0,-3.3,-3.37,-4.4,4.47,43.95,100.16,-5.52,13.67,45.65,0.247,0.094,1,7.2,1,0,1.55,0.5,211000.0,SWING_20D,80,SWING_60D,60,FIBO_1.272,40,v1_sl_first_gap_at_open,3.41,4.0,3.0,SWING+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,0,1,121500.0,-1.68,-0.0491,True,O,▲,130715,▼,X,X,0,0,0,0.31,250,0,1,1,1,0.0,전자부품 제조업,4.268910891089109,25.11871287128713,5.0,72.3,OK,23.42525064062152,23.42525064062152,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260427,20260427,,56.1,56.1,56.1,30.28,30.28,FRESH,0.627,,False,0.369,True,MATURE,4068.0,2.977,0.878,0.878,0.0,0.0,0.0,v22_calibrated,,,,,,True,10.2,,ELITE_SCORE,MATURE,4068,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True
63,003230,삼양식품,KOSPI,유통·소비재,1301000,438.28,98004.5,0.0,0.0,WAIT,WAIT,3,False,1,True,61.2,61.2,85.6,44.3,46.3,0.0,51.3,58.7,41.3,48.4,1.07,0.0,RR1.1 + 진입적정,0,1301000.0,1200000.0,1409000.0,1461000.0,,-1.68,0.6,1194456,8.3,특이사항 없음,0,7.75,67.9,1.51,STRUCT 강점,,,추세 관망,CAUTION,66.5,기타 식품 제조업,43827892500.0,62.8,22.4,0,0,-1.06,-5.52,0.85,10.82,8.33,-1.59,0.83,-21.95,-56.1,0.234,0.234,1,8.4,0,0,1.17,0.58,1493000.0,SWING_20D,80,SWING_120D,45,ATR_3.5x,45,v1_sl_first_gap_at_open,7.76,4.0,1.1,SWING+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,1203100.0,8.92,-0.2978,True,O,▲,1381887,▼,X,X,0,0,0,0.53,250,0,1,-1,1,0.0,기타 식품 제조업,11.287272727272727,11.034545454545453,10.0,46.3,OK,33.020908597103265,33.020908597103265,4,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260427,20260427,,61.2,61.2,61.2,30.28,30.28,FRESH,0.627,,False,0.41,True,MATURE,4068.0,1.069,0.878,0.878,0.0,0.0,0.0,v22_calibrated,,,,,,True,8.3,,ELITE_SCORE,MATURE,4068,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True
64,087010,펩트론,KOSDAQ,기타,283000,410.23,65988.1,0.0,0.0,WAIT,WAIT,3,False,1,True,55.8,55.8,51.2,71.0,34.7,0.0,50.9,52.3,36.3,54.6,1.02,0.0,RR1.0 + 진입적정,0,283000.0,251000.0,315500.0,359000.0,,-0.07,1.13,288953,3.41,특이사항 없음,0,-2.55,53.0,4.18,TIMING 강점,,,추세 관망,CAUTION,66.5,기초 의약물질 제조업,41022537000.0,51.5,20.89,0,0,1.62,8.22,8.85,-4.87,-1.39,7.6,-14.86,-31.67,-46.91,0.468,0.291,1,10.0,0,0,1.64,0.51,392500.0,SWING_20D,80,SWING_60D,60,SWING_120D,45,v1_sl_first_gap_at_open,11.31,4.0,1.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,-1,286350.0,-2.06,0.3676,False,O,▲,258576,▲,O,X,0,0,0,0.54,250,0,1,1,1,0.0,기초 의약물질 제조업,8.452571428571428,12.478571428571428,11.0,34.7,OK,63.879308474598226,63.879308474598226,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260427,20260427,,55.8,55.8,55.8,30.28,30.28,FRESH,0.627,,False,0.366,True,MATURE,4068.0,1.016,0.878,0.878,0.0,0.0,0.0,v22_calibrated,,,,,,True,11.5,,ELITE_SCORE,MATURE,4068,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True
65,006650,대한유화,KOSPI,화학·소재,157200,70.16,10218.0,0.0,0.0,WAIT,WAIT,3,False,1,True,62.8,62.8,91.8,40.5,49.5,0.0,50.7,60.6,51.3,35.9,1.01,0.0,RR1.0 + 진입적정,0,157200.0,144500.0,170000.0,202500.0,,0.04,0.65,146945,17.36,특이사항 없음,0,22.63,66.2,5.36,STRUCT 강점,,,추세 관망,CAUTION,66.5,기초 화학물질 제조업,7016074800.0,63.1,31.43,0,0,-1.38,-0.32,3.83,22.72,-2.36,16.88,12.73,-32.64,-37.63,0.212,0.176,1,12.0,1,0,1.09,0.74,,SWING_20D,80,SWING_60D,60,,0,v1_sl_first_gap_at_open,8.08,5.0,1.0,SWING+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,136910.0,6.98,-0.1744,False,O,▲,159555,▼,X,X,0,0,0,0.38,250,0,1,1,1,0.0,기초 화학물질 제조업,10.261224489795918,15.06795918367347,8.0,49.5,OK,31.92287453266169,31.92287453266169,2,0,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260427,20260427,,62.8,62.8,62.8,30.28,30.28,FRESH,0.627,,False,0.422,True,MATURE,4068.0,1.008,0.878,0.878,0.0,0.0,0.0,v22_calibrated,,,,,,True,8.1,,ELITE_SCORE,MATURE,4068,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True
66,049080,기가레인,KOSDAQ,IT/전기전자,2480,473.7,2105.1,0.0,0.0,WAIT,WAIT,3,False,1,True,55.5,55.5,51.7,43.1,88.1,0.0,50.5,61.0,45.0,43.8,1.72,0.0,RR1.7 + 진입적정,0,2480.0,2105.0,3125.0,3220.0,,-0.47,0.47,1995,3.36,특이사항 없음,0,148.57,51.6,12.13,AI 강점,,,추세 관망,CAUTION,66.5,전자부품 제조업,47369710869.0,58.5,90.82,0,0,2.27,-6.06,-0.6,198.8,359.26,394.02,188.81,328.98,339.51,0.16,0.16,1,12.0,0,0,0.72,0.73,3510.0,SWING_20D,80,BB_UPPER,75,ATR_2x,70,v1_sl_first_gap_at_open,15.12,6.0,1.7,NORMAL+WARN:ATR%=20.2% > 20% — 이상치 의심+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,1380.5,24.3,-0.5729,False,O,▲,2564,▼,X,X,0,0,0,-0.21,248,0,1,1,1,0.0,전자부품 제조업,4.268910891089109,25.11871287128713,5.0,88.1,OK,25.649764783540064,25.649764783540064,4,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260427,20260427,,55.5,55.5,55.5,30.28,30.28,FRESH,0.627,,False,0.364,True,MATURE,4068.0,1.72,0.878,0.878,0.0,0.0,0.0,v22_calibrated,,,,,,True,26.0,,ELITE_SCORE,MATURE,4068,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True
67,052400,코나아이,KOSDAQ,IT/전기전자,59100,65.81,8606.9,0.0,0.0,WAIT,WAIT,3,False,1,True,62.0,62.0,91.6,37.7,51.5,0.0,49.6,60.3,53.9,32.6,5.0,0.0,RR5.0 + 진입적정,0,59100.0,56600.0,71600.0,75200.0,,-2.69,0.85,62124,-3.01,특이사항 없음,0,13.84,60.5,0.15,STRUCT 강점,,,추세 관망,CAUTION,66.5,소프트웨어 개발 및 공급업,6580539300.0,58.3,32.35,0,0,0.34,-7.22,-3.11,10.67,5.35,21.6,0.68,-24.93,-32.91,0.418,0.285,0,12.0,1,0,1.62,0.38,,SWING_20D,80,RR_LEGACY,35,,0,v1_sl_first_gap_at_open,4.23,5.0,5.0,SWING+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,56140.0,-4.87,-0.4907,True,O,▲,63779,▼,X,X,0,0,0,2.21,250,0,1,1,1,0.0,소프트웨어 개발 및 공급업,4.268910891089109,25.11871287128713,5.0,51.5,OK,42.83016096725652,42.83016096725652,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260427,20260427,,62.0,62.0,62.0,30.28,30.28,FRESH,0.627,,False,0.416,True,MATURE,4068.0,5.0,0.878,0.878,0.0,0.0,0.0,v22_calibrated,,,,,,True,21.2,,ELITE_SCORE,MATURE,4068,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True
68,001120,LX인터내셔널,KOSPI,기타,54900,62.8,21279.2,0.0,0.0,WAIT,WAIT,3,False,1,True,62.3,62.3,86.8,55.4,27.3,0.0,49.2,56.5,59.5,25.6,2.41,0.0,RR2.4 + 진입적정,0,54900.0,49500.0,67900.0,73800.0,,1.04,0.46,45865,17.94,특이사항 없음,0,8.48,63.8,8.86,STRUCT 강점,,,추세 관망,CAUTION,66.5,상품 중개업,6280163700.0,48.1,21.63,0,0,2.43,8.93,11.59,16.93,48.38,82.39,6.94,18.1,27.88,0.0,0.0,1,8.3,0,0,1.19,0.93,,FIBO_1.618,25,RR_LEGACY,35,,0,v1_sl_first_gap_at_open,9.84,5.0,2.4,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,49025.0,19.7,0.2217,False,O,▲,52730,▲,O,X,0,0,0,1.49,250,0,1,1,1,0.0,상품 중개업,8.452571428571428,12.478571428571428,11.0,27.3,OK,35.45091156229746,35.45091156229746,8,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260427,20260427,,62.3,62.3,62.3,30.28,30.28,FRESH,0.627,,False,0.418,True,MATURE,4068.0,2.407,0.878,0.878,0.0,0.0,0.0,v22_calibrated,,,,,,True,23.7,,ELITE_SCORE,MATURE,4068,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True
69,458870,씨어스,KOSDAQ,기타,52500,145.72,19981.4,0.0,0.0,WAIT,WAIT,3,False,1,True,51.5,51.5,49.2,60.5,38.3,0.0,48.7,49.3,22.2,72.2,1.96,0.0,RR2.0 + 진입적정,0,52500.0,44600.0,68000.0,72000.0,,1.23,0.89,50604,31.99,특이사항 없음,0,-3.47,66.6,12.82,TIMING 강점,,5일 급등,추세 관망,CAUTION,66.5,의료용 기기 제조업,14571827750.0,71.4,26.97,0,0,1.16,17.19,10.41,0.96,-1.0,90.11,-9.03,-31.28,35.6,0.146,0.137,1,12.0,0,0,1.09,0.89,81900.0,ATR_3.5x,45,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,15.05,5.0,2.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,-1,56005.0,3.75,0.6201,False,O,▲,47222,▲,O,X,0,0,0,1.54,250,0,1,1,1,0.0,의료용 기기 제조업,8.452571428571428,12.478571428571428,11.0,38.3,OK,52.53973100093445,52.53973100093445,2,0,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260427,20260427,,51.5,51.5,51.5,30.28,30.28,FRESH,0.627,,False,0.332,True,MATURE,4068.0,1.962,0.878,0.878,0.0,0.0,0.0,v22_calibrated,,,,,,True,29.5,,ELITE_SCORE,MATURE,4068,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True
70,008350,남선알미늄,KOSPI,철강·금속,2250,115.8,2904.3,0.0,0.0,WAIT,WAIT,3,False,1,True,58.3,58.3,70.8,29.8,90.5,0.0,48.6,63.7,60.7,24.1,7.26,0.0,RR7.3 + 진입적정,0,2250.0,2080.0,3485.0,4130.0,,-1.09,0.07,1992,31.35,특이사항 없음,0,48.34,51.8,-1.07,AI 강점,STRUCT 보조,,추세 관망,CAUTION,66.5,1차 비철금속 제조업,11579956145.0,77.0,65.19,0,0,0.0,-6.83,-21.47,62.45,85.8,107.56,52.46,55.52,53.05,0.06,0.017,1,12.0,0,0,3.34,0.39,4945.0,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,7.56,6.0,7.3,SWING+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,0,1,1851.1,12.9,-0.7429,True,O,▲,2470,▼,X,X,0,0,0,0.22,250,0,1,1,1,0.0,1차 비철금속 제조업,10.794166666666667,24.017083333333332,4.0,90.5,OK,11.0,11.0,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260427,20260427,,58.3,58.3,58.3,30.28,30.28,FRESH,0.627,,False,0.386,True,MATURE,4068.0,7.265,0.878,0.878,0.0,0.0,0.0,v22_calibrated,,,,,,True,54.9,,ELITE_SCORE,MATURE,4068,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True
71,005880,대한해운,KOSPI,기타,2675,289.84,8633.5,0.0,0.0,WAIT,WAIT,3,False,1,True,63.6,63.6,97.8,31.2,59.8,0.0,48.6,62.9,66.6,16.8,4.58,0.0,RR4.6 + 진입적정,0,2675.0,2520.0,3385.0,3565.0,,0.29,0.24,2553,-0.74,특이사항 없음,0,17.91,59.7,2.99,STRUCT 강점,,,추세 관망,CAUTION,66.5,해상 운송업,28983673600.0,75.5,34.67,0,0,-3.25,-0.37,-6.47,18.36,41.76,41.53,8.37,11.48,-12.98,0.178,0.178,0,12.0,1,0,1.74,0.4,3795.0,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,v1_sl_first_gap_at_open,5.79,5.0,4.6,SWING+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,2298.0,4.78,-0.2126,True,O,▲,2777,▼,X,X,0,0,0,0.0,250,0,1,1,1,0.0,해상 운송업,8.452571428571428,12.478571428571428,11.0,59.8,OK,28.958586773230472,28.958586773230472,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260427,20260427,,63.6,63.6,63.6,30.28,30.28,FRESH,0.627,,False,0.429,True,MATURE,4068.0,4.581,0.878,0.878,0.0,0.0,0.0,v22_calibrated,,,,,,True,26.5,,ELITE_SCORE,MATURE,4068,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True
72,464080,에스오에스랩,KOSDAQ,기타,17240,115.48,3094.1,0.0,0.0,WAIT,WAIT,3,False,1,True,58.8,58.8,56.1,82.8,16.3,0.0,48.5,51.7,66.5,16.9,4.75,0.0,RR4.8 + 진입적정,0,17240.0,15310.0,26400.0,28700.0,,0.32,1.89,18894,52.65,특이사항 없음,0,-0.51,70.9,11.44,TIMING 강점,,RSI 과열,추세 관망,CAUTION,66.5,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",11548417395.0,65.6,27.7,0,0,1.95,2.25,20.81,15.24,-34.07,66.57,5.25,-64.35,12.06,0.58,0.25,1,10.7,1,0,1.57,0.97,,SWING_60D,60,SWING_120D,45,,0,v1_sl_first_gap_at_open,11.19,6.0,4.7,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,14103.5,-8.76,-0.0901,False,X,▲,17046,▲,O,X,0,0,0,0.53,250,0,1,1,1,0.0,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",8.452571428571428,12.478571428571428,11.0,16.3,OK,70.0,70.0,2,0,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260427,20260427,,58.8,58.8,58.8,30.28,30.28,FRESH,0.627,,False,0.39,True,MATURE,4068.0,4.746,0.878,0.878,0.0,0.0,0.0,v22_calibrated,,,,,,True,53.1,,ELITE_SCORE,MATURE,4068,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True
73,012330,현대모비스,KOSPI,자동차·모빌리티,432500,1412.29,392418.4,0.0,0.0,WAIT,WAIT,3,False,1,True,62.4,62.4,91.0,52.9,24.3,0.0,47.6,56.1,66.7,16.6,1.05,0.0,RR1.1 + 진입적정,0,432500.0,395000.0,472000.0,531000.0,,-0.56,1.23,436076,-1.16,특이사항 없음,0,6.37,63.5,4.96,STRUCT 강점,,,추세 관망,CAUTION,66.5,자동차 신품 부품 제조업,141229218750.0,55.3,21.3,0,0,2.37,2.98,10.47,8.67,-5.98,40.88,-1.32,-36.26,-13.63,0.412,0.383,0,8.4,1,0,1.41,0.59,,SWING_20D,80,SWING_60D,60,,0,v1_sl_first_gap_at_open,8.67,4.0,1.1,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,403250.0,-0.82,-0.1625,False,O,▲,445668,▲,X,X,0,0,0,0.95,250,0,1,1,1,0.0,자동차 신품 부품 제조업,5.217777777777778,3.132222222222222,13.0,24.3,OK,60.0,60.0,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260427,20260427,,62.4,62.4,62.4,30.28,30.28,FRESH,0.627,,False,0.419,True,MATURE,4068.0,1.053,0.878,0.878,0.0,0.0,0.0,v22_calibrated,,,,,,True,9.1,,ELITE_SCORE,MATURE,4068,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True
74,011780,금호석유화학,KOSPI,화학·소재,132200,136.41,33258.0,0.0,0.0,WAIT,WAIT,3,False,1,True,64.4,64.4,94.0,62.3,9.3,0.0,46.8,55.2,84.7,0.0,1.45,0.0,RR1.4 + 진입적정,0,132200.0,126700.0,140200.0,144600.0,,-0.86,1.03,133286,8.49,특이사항 없음,0,12.67,64.1,1.59,STRUCT 강점,TIMING 보조,,추세 관망,CAUTION,66.5,기초 화학물질 제조업,13640503900.0,67.4,22.19,0,0,-0.9,-3.36,-1.42,9.8,-10.8,14.56,-0.19,-41.08,-39.95,0.428,0.268,1,8.5,1,0,1.19,0.67,162300.0,SWING_20D,80,BB_UPPER,75,SWING_60D,60,v1_sl_first_gap_at_open,4.16,5.0,1.5,SWING+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,121540.0,-0.82,-0.2222,True,X,▲,138601,▼,X,X,0,0,0,0.45,250,0,1,1,1,0.0,기초 화학물질 제조업,10.261224489795918,15.06795918367347,8.0,9.3,OK,51.536763194555206,51.536763194555206,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260427,20260427,,64.4,64.4,64.4,30.28,30.28,FRESH,0.627,,False,0.435,True,MATURE,4068.0,1.455,0.878,0.878,0.0,0.0,0.0,v22_calibrated,,,,,,True,6.1,,ELITE_SCORE,MATURE,4068,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True
75,323410,카카오뱅크,KOSPI,인터넷/플랫폼·게임,24950,135.59,119041.5,0.0,0.0,WAIT,WAIT,3,False,1,True,59.6,59.6,93.0,35.7,40.7,0.0,46.4,56.5,57.3,28.4,0.81,0.0,진입적정,0,24950.0,23600.0,26050.0,29500.0,,-1.18,0.79,25892,-7.63,특이사항 없음,0,4.96,64.1,0.76,STRUCT 강점,,,추세 관망,CAUTION,66.5,은행 및 저축기관,13559339400.0,63.8,11.15,0,0,-1.38,-0.8,0.0,2.25,6.62,9.43,-7.74,-23.66,-45.08,0.372,0.078,0,6.0,1,0,1.29,0.61,31600.0,SWING_20D,80,SWING_60D,60,FIBO_1.272,40,v1_sl_first_gap_at_open,5.41,4.0,0.8,SWING+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,-1,26365.0,-3.64,-0.0609,True,O,▲,25277,▼,X,X,0,0,0,1.19,250,0,1,1,1,0.0,은행 및 저축기관,0.61,-5.68,14.0,40.7,OK,43.2751745187662,43.2751745187662,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260427,20260427,,59.6,59.6,59.6,30.28,30.28,FRESH,0.627,,False,0.397,True,MATURE,4068.0,0.815,0.878,0.815,0.0,0.0,0.0,v22_calibrated,,,,,,True,4.4,,ELITE_SCORE,MATURE,4068,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True
76,161390,한국타이어앤테크놀로지,KOSPI,화학·소재,62200,178.41,77050.3,0.0,0.0,WAIT,WAIT,3,False,1,True,60.0,60.0,90.4,47.1,25.0,0.0,45.6,54.2,65.4,18.2,0.96,0.0,진입적정,0,62200.0,57200.0,67000.0,78400.0,,-0.62,0.74,63033,4.0,특이사항 없음,0,13.68,68.3,4.51,STRUCT 강점,,,추세 관망,CAUTION,66.5,고무제품 제조업,17841139350.0,56.9,27.71,0,0,-0.8,4.89,1.3,13.09,-4.45,34.92,3.1,-34.73,-19.59,0.314,0.18,1,9.4,1,0,1.21,0.68,,SWING_20D,80,SWING_60D,60,,0,v1_sl_first_gap_at_open,8.04,4.0,1.0,SWING+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,57740.0,-1.32,-0.027,False,X,▲,63098,▲,X,X,0,0,0,0.48,250,0,1,1,1,0.0,고무제품 제조업,10.261224489795918,15.06795918367347,8.0,25.0,OK,37.86008763617556,37.86008763617556,4,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260427,20260427,,60.0,60.0,60.0,30.28,30.28,FRESH,0.627,,False,0.4,True,MATURE,4068.0,0.96,0.878,0.878,0.0,0.0,0.0,v22_calibrated,,,,,,True,7.7,,ELITE_SCORE,MATURE,4068,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True
