종목코드,종목명,시장,종가,시가,저가,고가
005930,삼성전자,KOSPI,299000,290500,287500,306500
000660,SK하이닉스,KOSPI,2101000,1975000,1960000,2163000
402340,SK스퀘어,KOSPI,1228000,1124000,1075000,1234000
005935,삼성전자우,KOSPI,193500,183900,183000,195400
009150,삼성전기,KOSPI,1805000,1725000,1691000,1844000
005380,현대차,KOSPI,597000,570000,561000,598000
373220,LG에너지솔루션,KOSPI,384500,377000,367000,392000
032830,삼성생명,KOSPI,365000,354500,342000,369500
329180,HD현대중공업,KOSPI,646000,638000,609000,659000
028260,삼성물산,KOSPI,410000,389500,384000,420500
000270,기아,KOSPI,156000,154300,150300,156000
207940,삼성바이오로직스,KOSPI,1286000,1270000,1244000,1310000
034020,두산에너빌리티,KOSPI,88600,88500,85300,89200
105560,KB금융,KOSPI,151500,153800,147400,153800
012450,한화에어로스페이스,KOSPI,1014000,1012000,965000,1020000
012330,현대모비스,KOSPI,576000,542000,534000,583000
055550,신한지주,KOSPI,96900,96100,94100,98300
034730,SK,KOSPI,575000,555000,535000,583000
006400,삼성SDI,KOSPI,498500,476500,466500,498500
267260,HD현대일렉트릭,KOSPI,1033000,970000,931000,1070000
068270,셀트리온,KOSPI,166200,163000,160000,167100
066570,LG전자,KOSPI,226000,210000,207500,228000
035420,NAVER,KOSPI,224000,218500,218500,228500
010120,LS ELECTRIC,KOSPI,229500,237500,219000,240000
042660,한화오션,KOSPI,104500,108400,101800,108600
086790,하나금융지주,KOSPI,114800,117800,112000,117900
298040,효성중공업,KOSPI,3246000,3358000,3129000,3358000
000810,삼성화재,KOSPI,663000,615000,597000,663000
006800,미래에셋증권,KOSPI,51100,49200,45650,51100
005490,POSCO홀딩스,KOSPI,358000,350000,342500,360000
042700,한미반도체,KOSPI,291000,262500,259000,291000
009540,HD한국조선해양,KOSPI,375500,377000,360000,382500
000150,두산,KOSPI,1621000,1538000,1485000,1634000
011070,LG이노텍,KOSPI,1072000,1023000,1009000,1098000
010130,고려아연,KOSPI,1164000,1131000,1085000,1165000
015760,한국전력,KOSPI,35900,35550,35000,36150
051910,LG화학,KOSPI,316500,313000,304000,318500
010140,삼성중공업,KOSPI,25300,25150,24550,25500
316140,우리금융지주,KOSPI,30150,29400,28950,30300
017670,SK텔레콤,KOSPI,100000,100000,97200,102000
064350,현대로템,KOSPI,188400,187700,178700,189000
307950,현대오토에버,KOSPI,710000,648000,628000,710000
267250,HD현대,KOSPI,245500,241500,231500,248000
033780,KT&G,KOSPI,185100,185000,181400,186100
196170,알테오젠,KOSDAQ GLOBAL,347000,311000,299500,348000
011200,HMM,KOSPI,18850,18100,18000,18850
018260,삼성에스디에스,KOSPI,229500,214500,211000,230000
138040,메리츠금융지주,KOSPI,106000,105500,102800,106300
096770,SK이노베이션,KOSPI,103200,101200,99500,103700
035720,카카오,KOSPI,39300,37150,36500,39700
079550,LIG디펜스앤에어로스페이스,KOSPI,764000,796000,732000,807000
272210,한화시스템,KOSPI,88600,89400,81800,90100
024110,기업은행,KOSPI,20950,20750,20100,21000
003550,LG,KOSPI,107500,103400,99600,107500
003670,포스코퓨처엠,KOSPI,184700,181100,177400,187400
247540,에코프로비엠,KOSDAQ GLOBAL,164300,159900,155500,164300
278470,에이피알,KOSPI,410500,407000,403000,416000
030200,KT,KOSPI,60000,55100,53600,60000
086520,에코프로,KOSDAQ GLOBAL,108800,102600,99700,108800
086280,현대글로비스,KOSPI,195800,189100,184000,198500
047810,한국항공우주,KOSPI,141900,140500,131500,141900
000720,현대건설,KOSPI,122700,125200,118500,126300
071050,한국금융지주,KOSPI,230000,224000,216500,235000
010950,S-Oil,KOSPI,113100,111200,109400,113500
277810,레인보우로보틱스,KOSDAQ,605000,585000,555000,605000
006260,LS,KOSPI,373500,375000,353500,381500
036930,주성엔지니어링,KOSDAQ GLOBAL,245500,197300,183000,254000
323410,카카오뱅크,KOSPI,23400,24300,22600,24500
005940,NH투자증권,KOSPI,31200,29900,29150,31750
443060,HD현대마린솔루션,KOSPI,245500,226500,224000,252000
0126Z0,삼성에피스홀딩스,KOSPI,434000,415500,400000,434000
259960,크래프톤,KOSPI,233000,226000,221500,233000
047050,포스코인터내셔널,KOSPI,58100,58200,55600,58300
016360,삼성증권,KOSPI,111800,107900,106500,113100
352820,하이브,KOSPI,218000,199300,198900,219000
005830,DB손해보험,KOSPI,140000,140500,135800,143300
003490,대한항공,KOSPI,24800,24700,24100,24950
007660,이수페타시스,KOSPI,123200,109000,104400,124700
064400,LG씨엔에스,KOSPI,93000,88500,88000,94400
039490,키움증권,KOSPI,341500,331500,324000,350500
028050,삼성E&A,KOSPI,45550,45300,43200,46050
003230,삼양식품,KOSPI,1176000,1132000,1113000,1187000
161390,한국타이어앤테크놀로지,KOSPI,71100,69100,67800,75000
950160,코오롱티슈진,KOSDAQ,103000,99800,98300,106500
047040,대우건설,KOSPI,20450,19970,19270,20450
000880,한화,KOSPI,117600,115800,113400,123700
005387,현대차2우B,KOSPI,235500,232500,227000,236000
180640,한진칼,KOSPI,118400,112700,110000,120000
353200,대덕전자,KOSPI,156800,143100,141400,160700
058470,리노공업,KOSDAQ GLOBAL,99800,91000,91000,99800
001440,대한전선,KOSPI,36950,36650,34650,37100
454910,두산로보틱스,KOSPI,109300,101100,98500,109300
011790,SKC,KOSPI,140000,118900,116700,140000
326030,SK바이오팜,KOSPI,88500,85000,82500,89500
240810,원익IPS,KOSDAQ GLOBAL,141000,116700,116100,142900
267270,HD건설기계,KOSPI,143100,140900,137000,147000
000990,DB하이텍,KOSPI,155200,149500,146900,162400
004170,신세계,KOSPI,714000,713000,642000,725000
078930,GS,KOSPI,71700,71500,69600,73700
090430,아모레퍼시픽,KOSPI,111800,109300,106900,112400
032640,LG유플러스,KOSPI,15390,14420,14280,15390
062040,산일전기,KOSPI,213000,210000,200000,215500
021240,코웨이,KOSPI,92000,91900,86100,92400
034220,LG디스플레이,KOSPI,12850,12680,12120,12850
009830,한화솔루션,KOSPI,36950,37200,34600,37250
028300,HLB,KOSDAQ,47400,47950,41900,49200
039030,이오테크닉스,KOSDAQ GLOBAL,504000,438000,435000,510000
241560,두산밥캣,KOSPI,64400,61300,59300,64700
000250,삼천당제약,KOSDAQ,263000,250500,237500,263000
000100,유한양행,KOSPI,76400,74800,72600,76600
377300,카카오페이,KOSPI,44800,41200,40650,44800
023530,롯데쇼핑,KOSPI,202000,197400,188300,202000
036570,NC,KOSPI,260000,247500,244000,260000
087010,펩트론,KOSDAQ,237500,239500,231500,249500
005385,현대차우,KOSPI,234500,233500,228000,236000
029780,삼성카드,KOSPI,47150,45400,44550,47600
271560,오리온,KOSPI,138100,131700,130100,138100
000500,가온전선,KOSPI,324000,304000,295000,325500
