시장,종목명,종목코드,업종,종가,거래대금(억원),시가총액(억원),거래대금(원),RSI14,MFI14,이격도,BB_BW,TTM_SQUEEZE,TTM_SQUEEZE_CNT,BB_SQUEEZE_BW,ret_1d_%,ret_5d_%,ret_10d_%,ret_20d_%,ret_60d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,RES_RATIO,RES_RATIO_NEAR,IS_ABOVE_POC,POC_GAP,NEAR_THRES,Low_Trend_PCT,RSI_Rising,BB_Expanding,Vol_Quality,Range_Pos,추천매수가,손절가,추천매도가1,추천매도가2,추천매도가3,TP1_METHOD,TP1_PROB,TP2_METHOD,TP2_PROB,TP3_METHOD,TP3_PROB,EXEC_RULE_ID,STOP_PCT,MAX_LOSS_PCT,RR_MULT,STOP_REASON,ENTRY_ACTION,POSITION_PCT,TRIGGER,Above_MA20,SUPERTREND_DIR,SUPERTREND_VAL,VWAP,VWAP_GAP,MACD_Slope_PCT,거래강도,V_POWER,IS_SWING_SUPPORT,주봉20선_상회,주봉추세,HMA20,HMA_Trend,HMA_On,OBV_Div,외인순매수,기관순매수,메이저순매수,gap_pct,_data_length,consecutive_limit_up,MTF_WEEKLY_TREND,MTF_MONTHLY_TREND,MTF_DATA_SUFFICIENT,개인순매수,업종_상세,업종_대분류,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,ML_SCORE,TRIGGER_SCORE,RAW_TRIGGER_SCORE,EBS,PASS_EBS,STRUCT_SCORE,TIMING_SCORE,AI_SCORE,FINAL_SCORE,DISPLAY_SCORE,W_STRUCT,W_TIMING,W_AI,SCORING_AXES,BLOCK_REASON
KOSDAQ,우리기술,032820,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",24450,14354.97,40796.6,1435497016925.0,72.6,83.2,47.62,91.4,0,0,0,11.64,41.9,47.47,156.83,527.73,497.07,147.84,500.5,448.05,0.0,0.0,1,482.63,12.0,31.08,1,0,1.89,0.97,17390.0,14780.0,24950.0,27500.0,30800.0,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,v1_sl_first_gap_at_open,15.01,5.0,2.9,NORMAL+PM_BLOCK_INTRADAY+EF:갭(-4.1%)/급등(11.6%)/VI → 50% 분할+ENTRY:split,split,50.0,,1,1,13662.0,12509,95.45,0.5935,1.53,2.11,False,O,▲,20844,▲,O,X,18704,-734,17970,-4.11,250,0,1,1,1,0.0,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",인프라·에너지,10.655,15.234,2.0,20.1,77.7467462581436,77.7467462581436,6,1,93.2,100.0,20.1,81.3,81.3,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSPI,대우건설,047040,건물 건설업,12320,10681.15,51204.7,1068114536015.0,71.9,83.8,41.13,61.27,0,0,0,17.78,40.48,22.59,113.52,239.86,225.5,104.53,212.63,176.48,0.0,0.0,1,57.41,12.0,17.55,0,0,2.68,0.83,9170.0,7790.0,13550.0,16270.0,19720.0,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,15.05,4.0,3.2,NORMAL+PM_BLOCK_INTRADAY+EF:극단갭(-1.4%)/급등(17.8%) → 진입 보류+ENTRY:hold,hold,0.0,,1,1,7756.0,7872,56.5,0.4477,3.0,2.32,False,O,▲,9970,▲,O,X,0,0,0,-1.43,250,0,1,1,1,0.0,건물 건설업,건설·부동산,18.22625,23.291249999999998,1.0,86.8,35.60498378573701,35.60498378573701,6,1,92.4,63.6,86.8,79.8,79.8,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSPI,SK이터닉스,475150,건물 건설업,39350,4715.19,13282.2,471519147875.0,66.3,86.2,38.79,61.68,0,0,0,5.35,44.14,35.22,74.12,93.84,76.06,65.13,66.61,27.04,0.087,0.087,1,36.95,12.0,-5.63,0,0,2.1,0.81,29750.0,25300.0,43700.0,50500.0,59100.0,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,14.96,5.0,3.1,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,,1,1,29490.0,29258,34.49,0.7525,3.34,2.29,False,O,▲,30045,▲,O,X,0,0,0,4.82,250,0,1,1,1,0.0,건물 건설업,건설·부동산,18.22625,23.291249999999998,1.0,64.7,30.276122239444312,30.276122239444312,4,1,52.2,51.2,64.7,54.3,54.3,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSDAQ,대한광통신,010170,절연선 및 케이블 제조업,7400,3168.53,9766.9,316853115025.0,71.2,77.7,59.56,115.01,0,0,0,-3.52,55.3,80.71,131.25,255.94,383.98,122.26,228.71,334.96,0.021,0.021,1,311.05,12.0,14.38,1,0,3.19,0.74,4870.0,4135.0,8900.0,10770.0,13150.0,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,15.09,5.0,5.5,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,,1,1,5086.0,4243,74.39,1.1692,1.39,2.32,False,O,▲,6223,▲,O,X,0,0,0,-6.0,250,0,1,1,1,0.0,절연선 및 케이블 제조업,기타,5.998571428571429,13.026974789915966,5.0,33.1,66.0,66.0,6,1,91.1,92.5,33.1,80.1,80.1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSDAQ,폴라리스AI,039980,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2045,2063.98,1488.3,206398253822.0,65.2,96.0,31.72,52.66,0,0,0,16.52,51.59,32.36,19.24,2.25,-16.19,10.25,-24.98,-65.21,0.162,0.035,1,2.14,12.0,-22.77,0,0,9.62,0.81,1630.0,1385.0,2250.0,2970.0,,SWING_20D,80,SWING_120D,45,,0,v1_sl_first_gap_at_open,15.03,6.0,2.5,NORMAL+PM_BLOCK_INTRADAY+EF:극단갭(8.0%)/급등(16.5%) → 진입 보류+ENTRY:hold,hold,0.0,,1,1,1419.6,1859,9.98,1.0161,13.81,2.14,False,O,▼,1400,▲,O,X,0,0,0,8.03,250,0,-1,-1,1,0.0,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",IT/전기전자,13.911168831168832,11.2012987012987,4.0,80.5,32.5,32.5,4,1,27.2,43.6,80.5,44.4,44.4,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSDAQ,쏠리드,050890,통신 및 방송 장비 제조업,12750,1950.26,7746.5,195025886405.0,67.5,88.9,39.5,65.75,0,0,0,2.82,53.99,51.97,35.64,55.49,92.02,26.65,28.26,43.0,0.0,0.0,1,0.99,12.0,-15.09,0,0,3.73,0.9,9600.0,8150.0,13410.0,15160.0,17390.0,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,15.1,5.0,2.6,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,,1,1,9388.0,10164,25.44,1.2796,2.46,2.61,False,O,▲,9944,▲,O,X,0,0,0,-2.18,250,0,1,1,1,0.0,통신 및 방송 장비 제조업,IT/전기전자,13.911168831168832,11.2012987012987,4.0,77.0,66.0,66.0,4,1,53.5,97.3,77.0,75.7,75.7,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSDAQ,한선엔지니어링,452280,기타 금속 가공제품 제조업,16580,1777.31,2962.3,177731054025.0,73.0,92.6,58.03,71.28,0,0,0,16.51,78.47,61.13,59.42,87.56,87.77,50.43,60.33,38.75,0.0,0.0,1,46.35,12.0,-19.92,0,0,4.1,0.87,11020.0,9360.0,17870.0,20600.0,24100.0,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,15.06,6.0,4.1,NORMAL+PM_BLOCK_INTRADAY+EF:극단갭(0.8%)/급등(16.5%) → 진입 보류+ENTRY:hold,hold,0.0,,1,1,11245.0,12951,28.02,1.2291,11.52,3.17,False,O,▲,10827,▲,O,X,0,0,0,0.84,250,0,1,1,1,0.0,기타 금속 가공제품 제조업,기타,5.998571428571429,13.026974789915966,5.0,60.5,45.5,45.5,4,1,53.0,70.6,60.5,61.5,61.5,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSDAQ,오르비텍,046120,기타 과학기술 서비스업,8480,1619.78,2789.6,161977572375.0,61.2,81.5,38.79,64.46,0,0,0,3.92,57.04,40.17,76.12,111.21,128.26,67.13,83.98,79.24,0.0,0.0,1,111.43,12.0,-5.06,0,0,2.73,0.9,6420.0,5450.0,8940.0,10340.0,12120.0,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,15.11,6.0,2.6,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,,1,1,5973.0,5976,41.89,1.1087,2.85,2.89,False,O,▲,6177,▲,O,X,0,0,0,-0.25,250,0,1,1,1,0.0,기타 과학기술 서비스업,서비스 기타,2.9540740740740743,13.58148148148148,6.0,69.0,55.58145704216563,55.58145704216563,6,1,53.5,81.8,69.0,67.9,67.9,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSDAQ,오이솔루션,138080,통신 및 방송 장비 제조업,35850,1026.89,4319.8,102688820050.0,77.4,93.9,68.03,102.51,0,0,0,11.86,61.85,79.34,113.65,180.96,253.55,104.66,153.73,204.53,0.0,0.0,1,141.25,12.0,6.57,1,0,4.2,0.92,22400.0,19040.0,37600.0,44350.0,52900.0,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,15.0,6.0,4.5,NORMAL+PM_BLOCK_INTRADAY+EF:갭(-1.1%)/급등(11.9%)/VI → 50% 분할+ENTRY:split,split,50.0,,1,1,21275.5,23099,55.2,1.035,2.91,2.39,False,O,▲,27723,▲,O,X,0,0,0,-1.09,250,0,1,1,1,0.0,통신 및 방송 장비 제조업,IT/전기전자,13.911168831168832,11.2012987012987,4.0,72.3,58.020789358201824,58.020789358201824,6,1,93.8,64.5,72.3,77.8,77.8,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSDAQ,SKAI,357880,소프트웨어 개발 및 공급업,4800,947.14,2397.9,94714174215.0,80.7,89.9,90.23,116.71,0,0,0,29.38,86.05,99.17,208.29,181.86,105.57,199.3,154.63,56.55,0.0,0.0,1,129.01,12.0,34.52,1,0,1.45,1.0,2650.0,2250.0,4800.0,5720.0,6890.0,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,15.09,6.0,5.4,NORMAL+PM_BLOCK_INTRADAY+EF:극단갭(2.4%)/급등(29.4%) → 진입 보류+ENTRY:hold,hold,0.0,,1,1,2696.5,2661,80.33,0.8488,2.32,3.23,False,O,▲,3173,▲,O,X,0,0,0,2.43,250,1,1,1,1,0.0,소프트웨어 개발 및 공급업,IT/전기전자,13.911168831168832,11.2012987012987,4.0,49.7,85.5,85.5,6,1,88.1,95.0,49.7,83.2,83.2,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
