LDY_RANK,종목코드,종목명,시장,업종_대분류,종가,거래대금(억원),시가총액(억원),켈리_수량,추천금액(만원),상태,ROUTE,ACTION_PRIORITY,IS_ACTIVE,IS_NOW_ENTRY,IS_WATCH,DISPLAY_SCORE,FINAL_SCORE,STRUCT_SCORE,TIMING_SCORE,AI_SCORE,NEWS_SCORE,ELITE_SCORE,AXIS_MEAN,AXIS_GAP,BALANCE_SCORE,RR_NOW_TP1,ENTRY_GAP_PCT,ELITE_REASON,TOP_PICK,추천매수가,손절가,추천매도가1,추천매도가2,TRIGGER,V_POWER,거래강도,VWAP,POC_GAP,NEWS_REASON,TTM_SQUEEZE_CNT,Low_Trend_PCT,RSI14,이격도,SCORE_REASON_TOP1,SCORE_REASON_TOP2,SCORE_RISK,ROUTE_REASON,MACRO_RISK,MARKET_BREADTH,업종,거래대금(원),MFI14,BB_BW,TTM_SQUEEZE,BB_SQUEEZE_BW,ret_1d_%,ret_5d_%,ret_10d_%,ret_20d_%,ret_60d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,RES_RATIO,RES_RATIO_NEAR,IS_ABOVE_POC,NEAR_THRES,RSI_Rising,BB_Expanding,Vol_Quality,Range_Pos,추천매도가3,TP1_METHOD,TP1_PROB,TP2_METHOD,TP2_PROB,TP3_METHOD,TP3_PROB,EXEC_RULE_ID,STOP_PCT,MAX_LOSS_PCT,RR_MULT,STOP_REASON,ENTRY_ACTION,POSITION_PCT,Above_MA20,SUPERTREND_DIR,SUPERTREND_VAL,VWAP_GAP,MACD_Slope_PCT,IS_SWING_SUPPORT,주봉20선_상회,주봉추세,HMA20,HMA_Trend,HMA_On,OBV_Div,외인순매수,기관순매수,메이저순매수,gap_pct,_data_length,consecutive_limit_up,MTF_WEEKLY_TREND,MTF_MONTHLY_TREND,MTF_DATA_SUFFICIENT,개인순매수,업종_상세,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,ML_SCORE,ML_STATUS,TRIGGER_SCORE,RAW_TRIGGER_SCORE,EBS,PASS_EBS,W_STRUCT,W_TIMING,W_AI,SCORING_AXES,STRATEGY,STRATEGY_SCORE,STRATEGY_HORIZON,REASON_THRESHOLD,기준일,시총기준일,AI_COMMENT,LDY_SCORE,TOTAL_SCORE,RANK_SCORE,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,ROW_BUILD_MODE,EST_WIN_RATE,CAL_HOLD_REASON,LOW_WR_FLAG,LEGACY_EST_WIN_RATE,LEGACY_LOW_WR_FLAG,CALIBRATION_MODE,CAL_N_TRADES,KELLY_PLANNED_B,KELLY_EMPIRICAL_B,KELLY_FINAL_B,KELLY_FRACTION,켈리_금액(원),추천수량,KELLY_ENGINE,KELLY_ERROR,CARRY_FROM_DATE,CARRY_AGE_DAYS,IS_STALE_CARRY,STALE_PENALTY,DATA_FRESHNESS_OK,TP1_PCT,TOP_PICK_TYPE,EST_WIN_RATE_METHOD,EST_WIN_RATE_MODE,EST_WIN_RATE_N,CONFIG_VERSION,RUN_STATUS,DEGRADED_REASONS,CONFIDENCE_SCORE,MAX_ALLOWED_ROUTE,AXIS_MCAP,AXIS_BENCH,AXIS_FLOW,AXIS_NEWS,AXIS_SECTOR,AXIS_ML,AXIS_TRIGGER,FALLBACK_COUNT,AXIS_QUALITY,HAS_NEWS,HAS_FLOW,HAS_SECTOR,CARRY_FAIL_REASON
124,052400,코나아이,KOSDAQ,IT/전기전자,56500,79.19,8228.3,0.0,0.0,WAIT,WAIT,3,False,1,True,45.2,45.2,57.3,25.2,60.9,0.0,39.9,47.8,35.7,55.4,8.88,0.0,RR8.9 + 진입적정,0,56500.0,54800.0,71600.0,75200.0,,-3.06,1.08,62173,-7.28,특이사항 없음,0,10.14,51.7,-4.42,AI 강점,,,추세 관망,CAUTION,49.2,소프트웨어 개발 및 공급업,7918516550.0,53.1,31.76,0,0,-4.4,-9.16,-5.36,3.67,-10.46,19.96,-6.32,-40.74,-34.55,0.488,0.319,0,12.0,1,0,1.58,0.26,,SWING_20D,80,RR_LEGACY,35,,0,v1_sl_first_gap_at_open,3.01,5.0,8.9,SWING+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,0,1,56140.0,-9.13,-0.4779,False,O,▲,62262,▼,X,X,0,0,0,0.85,250,0,1,1,1,0.0,소프트웨어 개발 및 공급업,2.8081111111111112,29.43988888888889,7.0,60.9,OK,36.15221056070008,36.15221056070008,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260428,20260428,,45.2,45.2,45.2,30.28,30.28,FRESH,0.62,,False,0.3,True,MATURE,4069.0,8.882,0.878,0.878,0.0,0.0,0.0,v22_calibrated,,,,,,True,26.7,,ELITE_SCORE,MATURE,4069,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
125,000720,현대건설,KOSPI,건설·부동산,167100,3601.45,186075.5,0.0,0.0,WAIT,WAIT,3,False,1,True,45.8,45.8,52.9,53.4,16.4,0.0,39.9,40.9,37.0,53.8,4.97,0.0,RR5.0 + 진입적정,0,167100.0,160800.0,198400.0,226000.0,,-1.36,1.32,151483,138.92,특이사항 없음,0,13.56,24.9,-2.06,저점추세 양호,,,추세 관망,CAUTION,49.2,토목 건설업,360144732250.0,40.5,26.58,0,0,-2.51,-4.46,-5.43,17.59,58.09,137.7,7.6,27.81,83.19,0.075,0.075,1,9.6,0,0,1.44,0.4,260500.0,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,3.77,4.0,5.0,SWING+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,0,1,151830.0,10.31,-0.1359,True,O,▲,173730,▼,X,X,20888,7687,28575,0.12,250,0,1,1,1,0.0,토목 건설업,5.953333333333334,34.00888888888889,4.0,16.4,OK,35.5,35.5,4,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260428,20260428,,45.8,45.8,45.8,30.28,30.28,FRESH,0.62,,False,0.3,True,MATURE,4069.0,4.968,0.878,0.878,0.0,0.0,0.0,v22_calibrated,,,,,,True,18.7,,ELITE_SCORE,MATURE,4069,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
126,050890,쏠리드,KOSDAQ,IT/전기전자,15930,629.59,9678.5,0.0,0.0,WAIT,WAIT,3,False,1,True,49.4,49.4,70.8,14.5,76.5,0.0,39.6,53.9,62.0,22.5,5.73,0.0,RR5.7 + 진입적정,0,15930.0,15220.0,20000.0,21750.0,,-0.33,0.31,14283,-3.5,특이사항 없음,1,18.13,54.3,-1.75,AI 강점,STRUCT 보조,,추세 관망,CAUTION,49.2,통신 및 방송 장비 제조업,62958916910.0,72.0,26.11,1,0,-5.07,-3.92,-5.63,26.13,92.86,97.64,16.14,62.58,43.13,0.231,0.231,0,12.0,0,0,2.55,0.39,23550.0,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,v1_sl_first_gap_at_open,4.46,5.0,5.7,SWING+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,0,1,12594.0,11.53,-0.209,True,O,▲,16858,▼,X,X,0,0,0,0.72,250,0,1,1,1,0.0,통신 및 방송 장비 제조업,2.8081111111111112,29.43988888888889,7.0,76.5,OK,11.0,11.0,8,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260428,20260428,,49.4,49.4,49.4,30.28,30.28,FRESH,0.62,,False,0.315,True,MATURE,4069.0,5.732,0.878,0.878,0.0,0.0,0.0,v22_calibrated,,,,,,True,25.5,,ELITE_SCORE,MATURE,4069,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
127,017860,DS단석,KOSPI,화학·소재,23700,124.62,4208.9,0.0,0.0,WAIT,WAIT,3,False,1,True,51.3,51.3,80.8,36.4,22.3,0.0,39.4,46.5,58.5,26.9,1.17,0.0,RR1.2 + 진입적정,0,23700.0,21350.0,26450.0,28000.0,,1.94,0.8,21693,-1.96,특이사항 없음,0,2.21,71.4,13.39,STRUCT 강점,,RSI 과열,추세 관망,CAUTION,49.2,기타 화학제품 제조업,12462097325.0,87.7,50.31,0,0,-4.82,17.33,24.08,22.1,20.0,18.48,12.11,-10.28,-36.03,0.233,0.233,0,10.3,1,0,1.6,0.65,29450.0,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,v1_sl_first_gap_at_open,9.92,6.0,1.2,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,21832.0,9.25,0.079,False,O,▲,24870,▲,X,X,0,0,0,0.2,250,0,1,1,1,0.0,기타 화학제품 제조업,8.020196078431372,19.193137254901963,9.0,22.3,OK,39.7169808216341,39.7169808216341,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260428,20260428,,51.3,51.3,51.3,30.28,30.28,FRESH,0.62,,False,0.33,True,MATURE,4069.0,1.17,0.878,0.878,0.0,0.0,0.0,v22_calibrated,,,,,,True,11.6,,ELITE_SCORE,MATURE,4069,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
128,068270,셀트리온,KOSPI,바이오·의약품,207000,932.38,459412.2,0.0,0.0,WAIT,WAIT,3,False,1,True,55.4,55.4,90.8,42.5,10.5,0.0,39.2,47.9,80.3,0.0,3.64,0.0,RR3.6 + 진입적정,0,207000.0,194900.0,251000.0,264000.0,🚀급등시동/⚡눌림회복,0.04,1.02,214563,-1.61,특이사항 없음,0,4.91,56.2,2.42,STRUCT 강점,,,추세 관망,CAUTION,49.2,기초 의약물질 제조업,93237701250.0,49.0,9.6,0,1,1.47,1.97,3.97,4.97,-5.26,17.88,-5.02,-35.54,-36.63,0.336,0.213,0,6.0,1,1,1.39,0.75,,SWING_60D,60,RR_LEGACY,35,,0,v1_sl_first_gap_at_open,5.85,4.0,3.6,SWING+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,-1,214890.0,-3.53,-0.0287,True,X,▲,207747,▲,X,X,20286,5382,25668,-0.49,250,0,1,1,1,0.0,기초 의약물질 제조업,-0.5384615384615384,-9.735384615384616,16.0,10.5,OK,52.826363010866636,52.826363010866636,8,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260428,20260428,,55.4,55.4,55.4,30.28,30.28,FRESH,0.62,,False,0.363,True,MATURE,4069.0,3.636,0.878,0.878,0.0,0.0,0.0,v22_calibrated,,,,,,True,21.3,,ELITE_SCORE,MATURE,4069,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
129,271560,오리온,KOSPI,유통·소비재,141200,87.36,55825.0,0.0,0.0,WAIT,WAIT,3,False,1,True,52.4,52.4,77.6,49.8,7.0,0.0,39.1,44.8,70.6,11.8,0.83,0.0,진입적정,0,141200.0,133000.0,148000.0,155600.0,,1.2,0.6,131219,37.91,특이사항 없음,0,2.42,70.1,4.65,STRUCT 강점,,RSI 과열,추세 관망,CAUTION,49.2,기타 식품 제조업,8735693100.0,52.7,14.28,0,0,-0.14,4.28,7.46,10.31,20.68,42.2,0.32,-9.6,-12.31,0.027,0.027,1,6.0,1,1,0.95,0.66,167800.0,SWING_20D,80,ATR_3.5x,45,FIBO_1.618,25,v1_sl_first_gap_at_open,5.81,4.0,0.8,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,129800.0,7.61,0.0447,False,O,▲,142196,▲,X,X,0,0,0,-0.57,250,0,1,1,1,0.0,기타 식품 제조업,8.645,9.898333333333333,12.0,7.0,OK,31.351861681181852,31.351861681181852,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260428,20260428,,52.4,52.4,52.4,30.28,30.28,FRESH,0.62,,False,0.339,True,MATURE,4069.0,0.829,0.878,0.829,0.0,0.0,0.0,v22_calibrated,,,,,,True,4.8,,ELITE_SCORE,MATURE,4069,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
130,015760,한국전력,KOSPI,기타,44700,1026.46,286957.9,0.0,0.0,WAIT,WAIT,3,False,1,True,50.7,50.7,85.2,26.9,29.4,0.0,38.5,47.2,58.3,27.1,1.55,0.0,RR1.6 + 진입적정,0,44700.0,42800.0,47650.0,65300.0,,-1.73,0.92,51163,-7.94,특이사항 없음,0,11.35,55.2,1.58,STRUCT 강점,,,추세 관망,CAUTION,49.2,전기업,102646362725.0,57.8,19.87,0,0,-2.51,-2.83,0.79,7.32,-24.75,5.05,-2.67,-55.03,-49.46,0.922,0.207,0,6.9,1,0,1.23,0.63,69500.0,SWING_20D,80,SWING_60D,60,SWING_120D,45,v1_sl_first_gap_at_open,4.25,4.0,1.6,SWING+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,-1,46520.0,-12.63,-0.195,True,X,▼,46906,▼,X,X,0,0,0,-0.76,250,0,-1,1,1,0.0,전기업,7.818846153846153,14.542115384615384,10.0,29.4,OK,42.23068065526541,42.23068065526541,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260428,20260428,,50.7,50.7,50.7,30.28,30.28,FRESH,0.62,,False,0.326,True,MATURE,4069.0,1.553,0.878,0.878,0.0,0.0,0.0,v22_calibrated,,,,,,True,6.6,,ELITE_SCORE,MATURE,4069,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
131,035720,카카오,KOSPI,서비스 기타,48850,622.55,216406.0,0.0,0.0,WAIT,WAIT,3,False,1,True,48.0,48.0,69.4,43.1,15.1,0.0,38.0,42.5,54.3,32.1,0.9,0.0,진입적정,0,48850.0,46250.0,51200.0,58400.0,⚡눌림회복,-0.61,1.02,54626,-16.32,특이사항 없음,0,8.41,55.7,1.96,STRUCT 강점,,,추세 관망,CAUTION,49.2,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",62254854225.0,54.3,12.83,0,0,0.83,-0.2,1.56,6.66,-20.95,-24.96,-3.33,-51.23,-79.47,0.927,0.107,0,6.0,1,0,1.62,0.67,64500.0,SWING_20D,80,VP_RESISTANCE,65,SWING_60D,60,v1_sl_first_gap_at_open,5.32,4.0,0.9,SWING+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,-1,50965.0,-10.57,-0.1122,True,X,▼,49170,▼,X,X,0,0,0,0.1,250,0,-1,-1,1,0.0,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",7.153870967741935,13.568709677419355,11.0,15.1,OK,52.26709114008817,52.26709114008817,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260428,20260428,,48.0,48.0,48.0,30.28,30.28,FRESH,0.62,,False,0.304,True,MATURE,4069.0,0.904,0.878,0.878,0.0,0.0,0.0,v22_calibrated,,,,,,True,4.8,,ELITE_SCORE,MATURE,4069,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
132,003280,흥아해운,KOSPI,기타,3025,361.52,7272.9,0.0,0.0,WAIT,WAIT,3,False,1,True,46.7,46.7,66.4,13.9,73.0,0.0,37.9,51.1,59.1,26.1,11.8,0.0,RR11.8 + 진입적정,0,3025.0,2875.0,4795.0,5660.0,,-0.19,0.19,3250,8.1,특이사항 없음,0,4.04,51.1,-10.38,AI 강점,STRUCT 보조,,추세 관망,CAUTION,49.2,해상 운송업,36151992310.0,81.2,46.7,0,0,-3.04,-4.87,-5.91,-23.99,81.03,73.85,-33.98,50.75,19.34,0.617,0.306,1,12.0,0,0,3.83,0.09,6760.0,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,4.96,5.0,11.8,SWING+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,0,1,2247.5,-6.95,0.1742,True,O,▲,3057,▼,X,X,0,0,0,-0.48,250,0,1,1,1,0.0,해상 운송업,7.818846153846153,14.542115384615384,10.0,73.0,OK,8.0,8.0,8,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260428,20260428,,46.7,46.7,46.7,30.28,30.28,FRESH,0.62,,False,0.3,True,MATURE,4069.0,11.8,0.878,0.878,0.0,0.0,0.0,v22_calibrated,,,,,,True,58.5,,ELITE_SCORE,MATURE,4069,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
133,005830,DB손해보험,KOSPI,금융,173500,215.98,113643.1,0.0,0.0,WAIT,WAIT,3,False,1,True,54.0,54.0,91.2,38.6,10.2,0.0,37.8,46.7,81.0,0.0,3.09,0.0,RR3.1 + 진입적정,0,173500.0,160400.0,214000.0,235500.0,⚡눌림회복,-0.45,0.68,176938,42.01,특이사항 없음,0,3.34,56.1,2.95,STRUCT 강점,,,추세 관망,CAUTION,49.2,보험업,21597811950.0,63.5,10.92,0,0,1.28,1.64,1.17,5.92,27.11,36.83,-4.07,-3.17,-17.68,0.313,0.161,1,6.7,1,0,0.94,0.79,263000.0,SWING_60D,60,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,7.55,4.0,3.1,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,-1,188400.0,-1.94,-0.0046,False,O,▲,174510,▲,X,X,0,0,0,-0.23,250,0,1,1,1,0.0,보험업,8.51875,22.95075,8.0,10.2,OK,34.75104094207161,34.75104094207161,4,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260428,20260428,,54.0,54.0,54.0,30.28,30.28,FRESH,0.62,,False,0.352,True,MATURE,4069.0,3.092,0.878,0.878,0.0,0.0,0.0,v22_calibrated,,,,,,True,23.3,,ELITE_SCORE,MATURE,4069,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
134,377300,카카오페이,KOSPI,서비스 기타,55300,120.83,74790.7,0.0,0.0,WAIT,WAIT,3,False,1,True,53.5,53.5,96.3,22.0,30.7,0.0,37.8,49.7,74.3,7.1,1.1,0.0,RR1.1 + 진입적정,0,55300.0,52300.0,58600.0,73300.0,,-1.31,0.69,61824,-11.8,특이사항 없음,0,15.51,62.7,3.74,STRUCT 강점,,,추세 관망,CAUTION,49.2,금융 지원 서비스업,12082643250.0,79.2,23.14,0,0,0.73,-2.98,4.34,13.2,-15.44,5.74,3.21,-45.72,-48.77,0.588,0.075,0,6.9,1,0,1.24,0.72,79200.0,SWING_20D,80,SWING_60D,60,SWING_120D,45,v1_sl_first_gap_at_open,5.42,4.0,1.1,SWING+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,-1,58205.0,-10.55,-0.2451,True,X,▲,57231,▼,X,X,0,0,0,0.18,248,0,1,1,1,0.0,금융 지원 서비스업,7.153870967741935,13.568709677419355,11.0,30.7,OK,33.25655534965655,33.25655534965655,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260428,20260428,,53.5,53.5,53.5,30.28,30.28,FRESH,0.62,,False,0.348,True,MATURE,4069.0,1.1,0.878,0.878,0.0,0.0,0.0,v22_calibrated,,,,,,True,6.0,,ELITE_SCORE,MATURE,4069,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
135,081180,쎄크,KOSDAQ,조선·기계·설비,13370,81.69,1180.0,0.0,0.0,WAIT,WAIT,3,False,1,True,49.8,49.8,84.1,26.8,27.0,0.0,37.7,46.0,57.3,28.4,3.23,0.0,RR3.2 + 진입적정,0,13370.0,12620.0,15790.0,16160.0,,-1.49,3.42,15396,-17.21,특이사항 없음,0,15.22,60.7,2.8,STRUCT 강점,,,추세 관망,CAUTION,49.2,일반 목적용 기계 제조업,8169415450.0,52.3,34.65,0,0,-3.05,-5.71,2.85,16.56,-10.45,57.67,6.57,-40.73,3.16,0.546,0.196,0,12.0,1,0,1.11,0.46,19530.0,SWING_20D,80,VP_RESISTANCE,65,SWING_60D,60,v1_sl_first_gap_at_open,5.61,6.0,3.2,SWING+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,12522.0,-13.16,-0.4317,True,X,▲,14604,▼,X,X,0,0,0,1.31,244,0,1,1,1,0.0,일반 목적용 기계 제조업,10.904931506849314,32.65931506849315,3.0,27.0,OK,25.92949823535722,25.92949823535722,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260428,20260428,,49.8,49.8,49.8,30.28,30.28,FRESH,0.62,,False,0.318,True,MATURE,4069.0,3.227,0.878,0.878,0.0,0.0,0.0,v22_calibrated,,,,,,True,18.1,,ELITE_SCORE,MATURE,4069,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
136,347700,스피어,KOSDAQ,IT/전기전자,39700,360.74,19885.4,0.0,0.0,WAIT,WAIT,3,False,1,True,41.3,41.3,53.2,27.9,44.5,0.0,37.1,41.9,25.3,68.4,8.19,0.0,RR8.2 + 진입적정,0,39700.0,38100.0,52800.0,57300.0,,-1.39,0.7,41619,123.39,특이사항 없음,5,5.22,37.9,-9.36,저점추세 양호,,,추세 관망,CAUTION,49.2,소프트웨어 개발 및 공급업,36073684725.0,45.8,24.5,1,0,-4.45,-10.28,-15.89,-8.1,76.84,385.92,-18.09,46.56,331.41,0.332,0.109,1,12.0,0,0,1.6,0.15,67000.0,SWING_20D,80,SWING_60D,60,FIBO_1.272,40,v1_sl_first_gap_at_open,4.03,5.0,8.2,SWING+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,0,1,36045.0,-4.61,-0.2311,True,O,▲,43153,▼,X,X,0,0,0,0.24,249,0,1,1,1,0.0,소프트웨어 개발 및 공급업,2.8081111111111112,29.43988888888889,7.0,44.5,OK,11.642322894231649,11.642322894231649,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260428,20260428,,41.3,41.3,41.3,30.28,30.28,FRESH,0.62,,False,0.3,True,MATURE,4069.0,8.188,0.878,0.878,0.0,0.0,0.0,v22_calibrated,,,,,,True,33.0,,ELITE_SCORE,MATURE,4069,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
137,187660,페니트리움바이오,KOSDAQ,기타,12510,199.63,6938.8,0.0,0.0,WAIT,WAIT,3,False,1,True,42.4,42.4,57.6,23.0,50.6,0.0,36.8,43.7,34.6,56.8,3.15,0.0,RR3.1 + 진입적정,0,12510.0,10630.0,18440.0,21500.0,,-0.46,0.44,10953,348.87,특이사항 없음,0,15.0,42.7,-4.8,저점추세 양호,,,추세 관망,CAUTION,49.2,자연과학 및 공학 연구개발업,19962840015.0,38.3,54.23,0,0,-5.66,1.3,-17.81,13.21,352.44,329.9,3.22,322.16,275.39,0.319,0.041,1,12.0,1,0,2.59,0.3,26650.0,SWING_20D,80,SWING_60D,60,FIBO_1.272,40,v1_sl_first_gap_at_open,15.03,5.0,3.2,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,0,1,11343.5,14.21,0.0368,False,O,▲,12488,▼,O,X,0,0,0,2.26,248,0,1,1,1,0.0,자연과학 및 공학 연구개발업,7.818846153846153,14.542115384615384,10.0,50.6,OK,16.219368837941815,16.219368837941815,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260428,20260428,,42.4,42.4,42.4,30.28,30.28,FRESH,0.62,,False,0.3,True,MATURE,4069.0,3.154,0.878,0.878,0.0,0.0,0.0,v22_calibrated,,,,,,True,47.4,,ELITE_SCORE,MATURE,4069,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
138,127120,제이에스링크,KOSDAQ,기타,42300,77.06,14624.7,0.0,0.0,WAIT,WAIT,3,False,1,True,36.7,36.7,24.1,47.7,39.8,0.0,36.4,37.2,23.6,70.5,2.2,0.0,RR2.2 + 진입적정,0,42300.0,38850.0,49900.0,52600.0,,0.75,0.99,35348,141.09,특이사항 없음,0,4.56,56.5,-1.36,저점추세 양호,,,추세 관망,CAUTION,49.2,자연과학 및 공학 연구개발업,7706427400.0,48.1,27.3,0,0,-3.2,3.3,-10.67,11.46,77.73,101.91,1.47,47.45,47.4,0.031,0.031,1,12.0,1,0,0.79,0.34,58100.0,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,v1_sl_first_gap_at_open,8.16,5.0,2.2,SWING+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,0,1,39880.0,19.66,-0.0875,False,O,▲,44164,▼,X,X,0,0,0,-1.14,250,0,1,1,1,0.0,자연과학 및 공학 연구개발업,7.818846153846153,14.542115384615384,10.0,39.8,OK,29.66017461099047,29.66017461099047,4,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260428,20260428,,36.7,36.7,36.7,30.28,30.28,FRESH,0.62,,False,0.3,True,MATURE,4069.0,2.203,0.878,0.878,0.0,0.0,0.0,v22_calibrated,,,,,,True,18.0,,ELITE_SCORE,MATURE,4069,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
139,128940,한미약품,KOSPI,바이오·의약품,491500,348.2,62966.0,0.0,0.0,WAIT,WAIT,3,False,1,True,37.9,37.9,25.3,33.2,72.7,0.0,35.9,43.7,47.4,40.7,2.93,0.0,RR2.9 + 진입적정,0,491500.0,468500.0,559000.0,647000.0,,-1.63,0.87,534251,10.02,특이사항 없음,5,1.58,49.2,-3.03,AI 강점,,,추세 관망,CAUTION,49.2,의약품 제조업,34820400500.0,43.9,13.32,1,0,-0.61,-2.48,-1.9,-4.56,-5.3,15.65,-14.55,-35.58,-38.86,0.398,0.217,1,8.6,0,0,0.89,0.19,698000.0,SWING_20D,80,SWING_60D,60,FIBO_1.272,40,v1_sl_first_gap_at_open,4.68,4.0,2.9,SWING+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,0,-1,550450.0,-8.0,-0.0821,True,X,▲,501792,▼,X,X,0,0,0,-0.1,250,0,1,1,1,0.0,의약품 제조업,-0.5384615384615384,-9.735384615384616,16.0,72.7,OK,20.86210032461438,20.86210032461438,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260428,20260428,,37.9,37.9,37.9,30.28,30.28,FRESH,0.62,,False,0.3,True,MATURE,4069.0,2.935,0.878,0.878,0.0,0.0,0.0,v22_calibrated,,,,,,True,13.7,,ELITE_SCORE,MATURE,4069,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
