시장,종목명,종목코드,업종,종가,거래대금(억원),시가총액(억원),거래대금(원),RSI14,MFI14,이격도,BB_BW,TTM_SQUEEZE,TTM_SQUEEZE_CNT,BB_SQUEEZE_BW,ret_1d_%,ret_5d_%,ret_10d_%,ret_20d_%,ret_60d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,RES_RATIO,RES_RATIO_NEAR,IS_ABOVE_POC,POC_GAP,NEAR_THRES,Low_Trend_PCT,RSI_Rising,BB_Expanding,Vol_Quality,Range_Pos,추천매수가,손절가,추천매도가1,추천매도가2,EXEC_RULE_ID,STOP_PCT,MAX_LOSS_PCT,RR_MULT,STOP_REASON,ENTRY_ACTION,POSITION_PCT,TRIGGER,Above_MA20,SUPERTREND_DIR,SUPERTREND_VAL,VWAP,VWAP_GAP,MACD_Slope_PCT,거래강도,V_POWER,IS_SWING_SUPPORT,주봉20선_상회,주봉추세,HMA20,HMA_Trend,HMA_On,OBV_Div,외인순매수,기관순매수,메이저순매수,개인순매수,업종_상세,업종_대분류,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,ML_SCORE,TRIGGER_SCORE,RAW_TRIGGER_SCORE,EBS,PASS_EBS,STRUCT_SCORE,TIMING_SCORE,AI_SCORE,FINAL_SCORE,DISPLAY_SCORE,BLOCK_REASON
KOSPI,대우건설,047040,건물 건설업,10050,7656.77,41770.1,765677387520.0,85.7,88.7,52.18,93.17,0,0,0,14.86,26.73,74.18,108.51,183.9,163.78,81.08,,,0.0,0.0,1,29.6,12.0,30.46,1,0,2.84,0.87,6930.0,6580.0,7980.0,8160.0,v1_sl_first_gap_at_open,5.05,5.0,3.0,NORMAL+PM_BLOCK_INTRADAY+EF:갭(2.6%)/급등(14.9%)/VI → 50% 분할+ENTRY:split,split,50.0,,1,1,6734.0,8914,12.73,0.0974,3.81,1.88,False,O,▲,8802,▲,O,X,0,0,0,0.0,건물 건설업,건설·부동산,8.43625,4.12125,8.0,74.4,26.5,26.5,6,1,83.0,25.4,74.4,58.2,58.2,[RSI극단: RSI 85+ 극단과열]
KOSPI,한화비전,489790,통신 및 방송 장비 제조업,86000,6026.07,43420.0,602607133500.0,70.7,86.3,34.81,51.78,0,0,0,13.46,40.52,26.84,65.38,93.91,59.55,37.95,,,0.0,0.0,1,59.68,12.0,13.37,0,0,2.0,0.8,67000.0,63600.0,77200.0,78900.0,v1_sl_first_gap_at_open,5.07,5.0,3.0,NORMAL+PM_BLOCK_INTRADAY+EF:갭(2.6%)/급등(13.5%)/VI → 50% 분할+ENTRY:split,split,50.0,,1,1,61060.0,77918,10.37,0.7234,3.31,1.68,False,O,▲,70296,▲,O,X,0,0,0,0.0,통신 및 방송 장비 제조업,IT/전기전자,7.389753086419754,8.579876543209878,6.0,62.2,35.585701055491924,35.585701055491924,6,1,82.0,59.5,62.2,69.0,69.0,[연속급등: 5일 수익률 40%+ 과열]
KOSDAQ,현대ADM,187660,자연과학 및 공학 연구개발업,18670,7246.57,10355.5,724656621970.0,98.0,99.2,211.11,310.07,0,0,0,19.14,152.98,521.3,581.39,673.08,762.36,569.76,,,0.055,0.055,1,569.3,12.0,9.34,1,0,2.55,0.9,6300.0,5980.0,7260.0,7420.0,v1_sl_first_gap_at_open,5.08,5.0,3.0,NORMAL+WARN:ATR%=20.8% > 20% — 이상치 의심+PM_BLOCK_INTRADAY+EF:극단갭(17.9%)/급등(19.1%) → 진입 보류+ENTRY:hold,hold,0.0,,1,1,11827.0,12333,51.38,1.2506,2.03,1.57,False,O,▲,12130,▲,O,X,0,0,0,0.0,자연과학 및 공학 연구개발업,기타,8.893543307086615,10.180157480314962,5.0,65.9,51.5,51.5,6,1,83.5,52.0,65.9,67.4,67.4,[연속급등: 5일 수익률 40%+ 과열][RSI극단: RSI 85+ 극단과열]
KOSPI,기아,000270,자동차용 엔진 및 자동차 제조업,206000,4010.89,804250.8,401088765850.0,89.3,88.7,25.96,36.98,0,0,0,5.05,21.18,33.94,32.73,81.98,99.03,5.3,,,0.0,0.0,1,71.23,7.2,5.96,0,0,1.45,0.97,171700.0,164800.0,192400.0,195900.0,v1_sl_first_gap_at_open,4.02,4.0,3.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,,1,1,176270.0,186440,10.49,0.3534,1.24,2.74,False,O,▲,182811,▲,O,X,0,0,0,0.0,자동차용 엔진 및 자동차 제조업,자동차·모빌리티,13.632173913043479,-4.748695652173913,10.0,43.8,90.0,90.0,6,1,77.7,96.0,43.8,78.2,78.2,[RSI극단: RSI 85+ 극단과열]
KOSPI,현대건설,000720,토목 건설업,162000,3000.73,180396.3,300073340200.0,86.7,92.9,36.47,57.64,0,0,0,4.38,30.33,41.86,52.54,147.33,160.03,25.11,,,0.0,0.0,1,134.11,12.0,12.86,1,0,1.48,0.98,124600.0,119600.0,139600.0,142100.0,v1_sl_first_gap_at_open,4.01,4.0,3.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,,1,1,129990.0,144311,12.26,0.5083,1.11,2.1,False,O,▲,141586,▲,O,X,0,0,0,0.0,토목 건설업,건설·부동산,8.43625,4.12125,8.0,42.0,87.41474435291312,87.41474435291312,6,1,78.2,93.1,42.0,76.9,76.9,[RSI극단: RSI 85+ 극단과열]
KOSPI,LG디스플레이,034220,전자부품 제조업,15850,2547.32,79250.0,254732074700.0,88.6,95.6,28.16,42.77,0,0,0,6.95,29.07,38.19,27.41,25.59,34.09,-0.02,,,0.0,0.0,1,13.49,9.3,4.83,1,0,2.27,0.96,12990.0,12460.0,14580.0,14850.0,v1_sl_first_gap_at_open,4.08,4.0,3.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,,1,1,12828.0,14240,11.3,0.4465,2.45,2.49,False,O,▲,14067,▲,O,X,0,0,0,0.0,전자부품 제조업,IT/전기전자,7.389753086419754,8.579876543209878,6.0,50.8,84.8711898343899,84.8711898343899,6,1,84.4,94.3,50.8,81.6,81.6,[RSI극단: RSI 85+ 극단과열]
KOSDAQ,유투바이오,221800,기타 과학기술 서비스업,26850,2281.93,4277.9,228192600775.0,84.3,84.8,154.97,310.19,0,0,0,3.47,83.03,499.33,465.26,353.55,753.74,453.63,,,0.0,0.0,1,335.43,12.0,3.88,1,0,1.76,0.79,11060.0,10500.0,12740.0,13020.0,v1_sl_first_gap_at_open,5.06,6.0,3.0,NORMAL+WARN:ATR%=22.5% > 20% — 이상치 의심+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,,1,1,15014.0,23161,15.93,0.6471,2.32,1.39,False,O,▲,23115,▲,O,X,0,0,0,0.0,기타 과학기술 서비스업,서비스 기타,6.189302325581395,24.134883720930233,1.0,76.9,65.5,65.5,6,1,78.8,76.8,76.9,77.6,77.6,[연속급등: 5일 수익률 40%+ 과열]
KOSPI,SK,034730,기타 금융업,422500,1731.89,306323.9,173189032200.0,86.1,93.7,22.6,40.9,0,0,0,3.3,18.85,28.03,45.69,68.33,122.84,18.26,,,0.0,0.0,1,90.32,9.7,13.68,1,0,1.48,0.99,362000.0,347000.0,407000.0,414500.0,v1_sl_first_gap_at_open,4.14,4.0,3.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,,1,1,347400.0,393951,7.25,0.211,1.37,1.37,False,O,▲,395266,▲,O,X,0,0,0,0.0,기타 금융업,금융,5.558085106382979,6.287234042553192,7.0,35.6,89.71763400793594,89.71763400793594,6,1,78.4,95.7,35.6,76.8,76.8,[RSI극단: RSI 85+ 극단과열]
KOSPI,DB손해보험,005830,보험업,205500,1569.01,142584.1,156900794450.0,86.9,69.6,21.75,56.46,0,0,0,5.28,12.05,21.89,59.8,64.4,56.27,32.37,,,0.0,0.0,1,61.63,12.0,29.99,1,0,1.13,0.9,177200.0,170100.0,198500.0,202500.0,v1_sl_first_gap_at_open,4.01,4.0,3.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,,1,1,169345.0,200221,2.64,-0.1521,2.23,0.17,False,O,▲,204345,▲,O,X,0,0,0,0.0,보험업,금융,5.558085106382979,6.287234042553192,7.0,43.4,30.026534472781186,30.026534472781186,4,1,72.5,29.4,43.4,49.4,49.4,[RSI극단: RSI 85+ 극단과열]
KOSPI,대원전선,006340,절연선 및 케이블 제조업,6410,1133.24,4940.5,113324491595.0,83.1,90.9,51.48,95.06,0,0,0,3.55,63.94,70.48,75.86,69.58,122.96,48.43,,,0.04,0.04,1,66.9,12.0,5.68,1,0,3.35,0.8,4445.0,4220.0,5120.0,5240.0,v1_sl_first_gap_at_open,5.06,6.0,3.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,,1,1,5067.6,5850,9.57,1.0965,1.16,2.09,False,O,▲,5491,▲,O,X,0,0,0,0.0,절연선 및 케이블 제조업,기타,8.893543307086615,10.180157480314962,5.0,73.3,90.0,90.0,6,1,82.0,98.4,73.3,86.8,86.8,[연속급등: 5일 수익률 40%+ 과열]
