시장,종목명,종목코드,종가,거래대금(억원),시가총액(억원),RSI14,乖離%,MACD_hist,MACD_slope,Vol_Z,ret_5d_%,ret_10d_%,EBS,통과,근거,추천매수가,추천매도가1,추천매도가2,손절가
KOSPI,동서,026960,28300,74.55,28215.1,55.7,3.11,113.0645,29.96154,3.19,3.28,5.6,7,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, MACD>sig, 과열아님",27720,28820,29920,26620
KOSDAQ,한국비엔씨,256840,5660,1208.56,3871.2,56.7,7.28,17.1119,19.3757,4.31,7.81,-6.45,6,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",5330,5540,5750,5120
KOSDAQ,미래나노텍,095500,13360,542.65,4142.9,56.6,13.46,124.812,46.31408,3.46,6.79,15.97,6,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",11890,12360,12840,11420
KOSPI,CJ,001040,178100,518.51,51964.2,53.9,3.91,737.8469,546.0358,1.83,4.34,3.13,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, MACD>sig, 과열아님",173120,179980,186830,166260
KOSPI,엔씨소프트,036570,224500,506.54,48366.3,52.9,1.62,603.0761,-650.6888,1.76,-2.18,1.81,6,초입,"RSI 45~65, MA20 근처, 거래량증가, 상승구조, MACD>sig, 과열아님",223130,231970,240810,214300
KOSDAQ,글로벌텍스프리,204620,5950,375.3,4181.9,57.4,5.38,35.609,13.06379,4.94,7.21,9.17,6,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",5700,5930,6150,5480
KOSPI,금강공업,014280,5790,324.05,1698.2,48.3,2.98,2.2297,23.7427,2.53,10.92,8.02,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, MACD>sig",5680,5900,6130,5450
KOSDAQ,에스티아이,039440,25100,127.52,3973.3,55.3,7.31,226.0924,2.89844,1.78,6.36,9.85,6,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",23620,24560,25500,22690
KOSPI,더존비즈온,012510,92500,123.77,28104.1,50.9,2.2,160.37,21.60156,0.38,8.7,0.87,6,초입,"RSI 45~65, MACD상승, MA20 근처, 상승구조, MACD>sig, 과열아님",91420,95040,98660,87790
KOSDAQ,유니셈,036200,10630,112.11,3259.6,54.5,4.23,6.7825,16.94513,1.3,-1.02,-0.28,6,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",10300,10710,11120,9890
KOSDAQ,툴젠,199800,71600,90.5,6331.9,64.1,14.33,93.0648,121.23984,1.64,9.31,26.95,6,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",63250,65760,68260,60750
