종목코드,종목명,시장,업종,업종_상세,업종_대분류,종가,거래대금(억원),시가총액(억원),추천매수가,손절가,추천매도가1,추천매도가2,RANK_SCORE,LDY_SCORE,ENTRY_SCORE,NEWS_SCORE,NEWS_REASON,ROUTE,REGIME,ret_20d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,TTM_SQUEEZE_CNT,NORM_RR,NORM_T1,NORM_SL,NORM_NEAR,NORM_MOM,NORM_LIQ,NORM_TEC,RSI14,MFI14,이격도,VWAP,VWAP_GAP,캔들패턴,MACD_Hist,MACD_Slope_PCT,거래강도,V_POWER,SUPERTREND_VAL,SUPERTREND_DIR,BB_BW,BB_SQUEEZE_BW,TTM_SQUEEZE,BB_SQUEEZE,Above_MA20,IS_SWING_SUPPORT,ret_5d_%,ret_10d_%,ret_60d_%,주봉20선_상회,주봉추세,EBS,통과,근거,ATR_MULT,추천수량,추천금액(만원),HMA20,HMA_Trend,HMA_On,OBV_Div,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,RR1,Now%,ST_DIR,AI_COMMENT,ML_SCORE,ML_REASON,TOTAL_SCORE,MKT_BREADTH_ALL_%,MKT_BREADTH_KOSPI_%,MKT_BREADTH_KOSDAQ_%,MKT_TEMP,TOP_SECTORS_5D,REGIME_RANK,LDY_RANK,기준일,시총기준일,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,60일_종목수익률_%,60일_초과수익(α)_%
474650,링크솔루션,KOSDAQ,특수 목적용 기계 제조업,특수 목적용 기계 제조업,조선·기계·설비,55500,245.34,,55500,51600,68500,81400,81.8,87.8,91.8,0.0,,↩️ PULL (눌림),② 상승 후 조정,47.61,221.18,45.76,183.86,199.71,0,1.0,1.0,1.0,1.0,0.59,0.25,0.77,56.6,54.7,0.6,60296,-7.96,,-534.6419,-0.5905,0.85,-1.44,44230,1,44.13,0,0,0,1,False,-11.2,-1.25,196.16,O,▲,6,★,"주봉20선↑, 주봉추세우상향, RSI적정, 20선근접, 정배열(단), 장기추세(120↑)",2.0,45,249.8,63223,▼,X,X,10.29156862745098,23.30627450980392,3.0,3.3333333333333335,0.0,1,📉 매도세 우위. ✅ 20일선 눌림목 구간. (매수 유효),95.5,,85.9,63.4,51.9,73.8,🌤 중립,1.철강·금속(+29.7%) / 2.유통·소비재(+23.3%) / 3.조선·기계·설비(+18.1%) / 4.IT/전기전자(+17.5%) / 5.자동차·모빌리티(+16.7%),2,11,20260102,20260102,25.84,12.3,196.16,183.86
388870,파로스아이바이오,KOSDAQ,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,기타,9060,235.73,,9060,8420,11300,13530,81.1,78.4,86.5,0.0,,↩️ PULL (눌림),② 상승 후 조정,-1.84,45.89,-3.69,48.91,24.42,3,1.0,1.0,1.0,1.0,0.12,0.24,0.56,35.2,57.8,-8.93,9571,-5.35,,-259.9768,-0.4724,0.44,-1.32,7357,1,23.3,0,1,1,0,True,-8.58,-10.12,61.21,O,▲,4,,"주봉20선↑, 주봉추세우상향, 정배열(단), 장기추세(120↑)",1.8,275,249.2,9875,▼,X,X,6.614880952380952,16.10452380952381,7.0,3.5,0.0,1,🌪️ 에너지 응축 시작 (3일차). 🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. 📉 과매도 기술적 반등 기대.,93.1,,84.7,63.4,51.9,73.8,🌤 중립,1.철강·금속(+29.7%) / 2.유통·소비재(+23.3%) / 3.조선·기계·설비(+18.1%) / 4.IT/전기전자(+17.5%) / 5.자동차·모빌리티(+16.7%),2,12,20260102,20260102,25.84,12.3,61.21,48.91
086280,현대글로비스,KOSPI,기타 운송관련 서비스업,기타 운송관련 서비스업,서비스 기타,180900,151.37,,180900,171000,201000,220500,80.7,71.5,80.5,0.0,,🔺 Watch (상승 준비),④ 바닥 반등 시도,6.79,33.8,-1.09,-16.47,-7.06,1,0.82,0.66,0.77,1.0,0.3,0.1,0.76,50.2,66.2,0.81,180357,0.3,,-218.5592,0.0025,0.81,0.02,167230,1,6.58,1,1,1,1,True,1.46,0.84,9.37,O,▲,10,★,"주봉20선↑, 주봉추세우상향, HMA추세↑, RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입, VWAP상회",1.8,13,235.2,179645,▲,O,X,1.453125,-0.9081250000000001,11.0,2.0303030303030303,0.0,1,🌪️ 에너지 응축 시작 (1일차). 🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. 💸 자금 유입 지속. ✅ 20일선 눌림목 구간.,37.6,,67.8,63.4,51.9,73.8,🌤 중립,1.철강·금속(+29.7%) / 2.유통·소비재(+23.3%) / 3.조선·기계·설비(+18.1%) / 4.IT/전기전자(+17.5%) / 5.자동차·모빌리티(+16.7%),4,13,20260102,20260102,25.84,12.3,9.37,-16.47
458870,씨어스테크놀로지,KOSDAQ,의료용 기기 제조업,의료용 기기 제조업,기타,122900,68.77,,121900,113300,139000,156100,80.2,74.2,78.0,0.0,,🔥 SQZ (폭발대기),① 강한 상승 추세,-4.65,337.37,-6.5,84.03,315.9,3,0.68,0.78,1.0,0.92,0.75,0.0,0.74,60.6,61.4,3.84,121968,0.76,,67.3428,0.3249,0.8,0.38,108220,1,16.55,0,1,1,1,False,3.89,4.6,96.33,O,▲,10,★,"주봉20선↑, 주봉추세우상향, RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입, MACD>Sig, VWAP상회",1.8,20,243.8,122970,▲,X,X,6.614880952380952,16.10452380952381,7.0,1.6770833333333333,0.8203445447087777,1,🌪️ 에너지 응축 시작 (3일차). 📉 매도세 우위. 💸 자금 유입 지속. 🚀 단기 모멘텀 가속. ,76.0,,78.9,63.4,51.9,73.8,🌤 중립,1.철강·금속(+29.7%) / 2.유통·소비재(+23.3%) / 3.조선·기계·설비(+18.1%) / 4.IT/전기전자(+17.5%) / 5.자동차·모빌리티(+16.7%),1,14,20260102,20260102,25.84,12.3,96.33,84.03
000650,천일고속,KOSPI,육상 여객 운송업,육상 여객 운송업,기타,333000,65.04,,333000,309500,531000,729000,79.6,78.0,84.0,0.0,,↩️ PULL (눌림),② 상승 후 조정,8.47,675.32,0.59,710.84,634.46,4,1.0,1.0,1.0,1.0,0.5,0.0,0.46,46.8,83.9,-12.44,375457,-11.31,,-17513.7538,-0.074,0.14,-0.48,179500,1,46.78,0,1,1,0,False,-7.5,-21.83,736.68,O,▲,6,★,"주봉20선↑, 주봉추세우상향, RSI적정, 정배열(단), 장기추세(120↑), 자금유입",1.8,7,233.1,337423,▼,X,X,6.614880952380952,16.10452380952381,7.0,8.425531914893616,0.0,1,🌪️ 에너지 응축 시작 (4일차). 📉 매도세 우위. 💰 외국인/기관 수급 집중. 📉 과매도 기술적 반등 기대.,85.8,,81.5,63.4,51.9,73.8,🌤 중립,1.철강·금속(+29.7%) / 2.유통·소비재(+23.3%) / 3.조선·기계·설비(+18.1%) / 4.IT/전기전자(+17.5%) / 5.자동차·모빌리티(+16.7%),2,15,20260102,20260102,25.84,12.3,736.68,710.84
089010,켐트로닉스,KOSDAQ,기타 화학제품 제조업,기타 화학제품 제조업,화학·소재,31450,59.29,,31450,29200,35900,40300,78.6,71.4,76.8,0.0,,🔺 Watch (관찰·돌파예상),④ 바닥 반등 시도,1.13,40.4,-0.72,-11.01,18.93,1,0.8,0.84,1.0,1.0,0.42,0.0,0.71,49.2,47.9,2.64,30248,3.97,,143.2947,0.1938,0.56,0.34,33345,-1,12.16,0,1,1,1,False,6.07,6.07,1.29,O,▲,11,★,"주봉20선↑, 주봉추세우상향, HMA추세↑, OBV매집, RSI적정, MACD상승, 20선근접, 장기추세(120↑), MACD>Sig, VWAP상회",1.8,79,248.5,29708,▲,O,O,7.824285714285715,9.766190476190477,8.0,1.9777777777777779,0.0,-1,🌪️ 에너지 응축 시작 (1일차). 📉 매도세 우위. 🚀 단기 모멘텀 가속. ,54.6,,71.4,63.4,51.9,73.8,🌤 중립,1.철강·금속(+29.7%) / 2.유통·소비재(+23.3%) / 3.조선·기계·설비(+18.1%) / 4.IT/전기전자(+17.5%) / 5.자동차·모빌리티(+16.7%),4,16,20260102,20260102,25.84,12.3,1.29,-11.01
195870,해성디에스,KOSPI,전자부품 제조업,전자부품 제조업,IT/전기전자,54800,85.44,,54800,50900,62500,70200,78.6,72.6,76.0,0.0,,↩️ PULL (눌림),② 상승 후 조정,1.86,93.98,-6.02,52.08,53.12,3,0.8,0.83,1.0,1.0,0.38,0.0,0.69,52.9,60.6,1.53,54858,-0.11,망치형,-80.7546,-0.0315,1.49,-0.5,47210,1,16.84,0,1,1,1,False,-1.62,11.72,77.92,O,▲,9,★,"주봉20선↑, 주봉추세우상향, RSI적정, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입, 패턴(망치형)",1.8,45,246.6,56024,▲,X,X,9.32,22.93195652173913,4.0,1.9743589743589745,0.0,1,🌪️ 에너지 응축 시작 (3일차). 📉 매도세 우위. 💸 자금 유입 지속. ✅ 20일선 눌림목 구간.,72.3,,76.7,63.4,51.9,73.8,🌤 중립,1.철강·금속(+29.7%) / 2.유통·소비재(+23.3%) / 3.조선·기계·설비(+18.1%) / 4.IT/전기전자(+17.5%) / 5.자동차·모빌리티(+16.7%),2,17,20260102,20260102,25.84,12.3,77.92,52.08
068760,셀트리온제약,KOSDAQ,의약품 제조업,의약품 제조업,바이오·의약품,61900,56.7,,61900,57800,74100,86200,78.4,68.1,78.1,0.0,,↩️ PULL (눌림),② 상승 후 조정,1.16,16.25,-0.69,5.69,-5.22,1,1.0,1.0,0.98,1.0,0.21,0.0,0.49,54.3,68.3,1.51,60561,2.21,,-192.2776,-0.028,3.36,1.21,63021,-1,6.61,1,1,1,1,False,3.14,-0.43,17.99,O,▲,12,★,"주봉20선↑, 주봉추세우상향, HMA돌파, OBV매집, RSI적정, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입, VWAP상회",2.5,40,247.6,59862,▼,O,O,4.963846153846154,6.10153846153846,10.0,2.975609756097561,0.0,-1,🌪️ 에너지 응축 시작 (1일차). 💸 자금 유입 지속. ✅ 20일선 눌림목 구간.,56.0,,71.7,63.4,51.9,73.8,🌤 중립,1.철강·금속(+29.7%) / 2.유통·소비재(+23.3%) / 3.조선·기계·설비(+18.1%) / 4.IT/전기전자(+17.5%) / 5.자동차·모빌리티(+16.7%),2,18,20260102,20260102,25.84,12.3,17.99,5.69
018260,삼성에스디에스,KOSPI,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터 프로그래밍, 시스템 통합 및 관리업",IT/전기전자,175100,86.71,,175100,164200,196900,219000,78.2,75.6,73.6,0.0,,🔺 Watch (관찰·돌파예상),④ 바닥 반등 시도,2.52,5.48,-5.36,-19.2,-35.38,1,0.81,0.74,0.94,1.0,0.34,0.0,0.86,54.5,41.8,1.23,171153,2.31,,-8.9759,0.083,1.53,1.94,161860,1,5.75,1,1,1,1,False,3.18,1.39,6.64,O,▲,12,★,"주봉20선↑, 주봉추세우상향, HMA추세↑, OBV매집, RSI적정, MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), VWAP상회",1.8,14,245.1,170040,▲,O,O,9.32,22.93195652173913,4.0,2.0,0.0,1,🌪️ 에너지 응축 시작 (1일차). 💪 매수세 장악(Power Buying). 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간.,48.5,,69.3,63.4,51.9,73.8,🌤 중립,1.철강·금속(+29.7%) / 2.유통·소비재(+23.3%) / 3.조선·기계·설비(+18.1%) / 4.IT/전기전자(+17.5%) / 5.자동차·모빌리티(+16.7%),4,19,20260102,20260102,25.84,12.3,6.64,-19.2
220100,퓨쳐켐,KOSDAQ,의약품 제조업,의약품 제조업,바이오·의약품,29200,50.59,,29200,27150,33900,38600,77.1,74.7,81.3,0.0,,↩️ PULL (눌림),⑤ 하락 / 약세,-11.38,87.54,-13.23,48.14,66.07,2,0.93,0.95,1.0,1.0,0.46,0.0,0.65,36.4,44.1,-5.12,30069,-2.89,,-436.2591,0.233,0.57,-0.28,25895,1,16.89,0,1,1,0,True,-1.02,-6.11,60.44,O,▲,5,★,"주봉20선↑, 주봉추세우상향, MACD상승, 정배열(단), 장기추세(120↑)",1.8,85,248.2,29505,▼,X,X,4.963846153846154,6.10153846153846,10.0,2.292682926829268,0.0,1,🌪️ 에너지 응축 시작 (2일차). 🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. 🚀 단기 모멘텀 가속. 📉 과매도 기술적 반등 기대.,92.6,,81.8,63.4,51.9,73.8,🌤 중립,1.철강·금속(+29.7%) / 2.유통·소비재(+23.3%) / 3.조선·기계·설비(+18.1%) / 4.IT/전기전자(+17.5%) / 5.자동차·모빌리티(+16.7%),5,20,20260102,20260102,25.84,12.3,60.44,48.14
