종목코드,종목명,시장,업종,업종_상세,업종_대분류,종가,거래대금(억원),시가총액(억원),추천매수가,손절가,추천매도가1,추천매도가2,RANK_SCORE,LDY_SCORE,ENTRY_SCORE,ROUTE,REGIME,ret_20d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,TTM_SQUEEZE_CNT,NORM_RR,NORM_T1,NORM_SL,NORM_NEAR,NORM_MOM,NORM_LIQ,NORM_TEC,RSI14,MFI14,이격도,VWAP,VWAP_GAP,캔들패턴,MACD_Hist,MACD_Slope_PCT,거래강도,V_POWER,SUPERTREND_VAL,SUPERTREND_DIR,BB_BW,BB_SQUEEZE_BW,TTM_SQUEEZE,BB_SQUEEZE,Above_MA20,IS_SWING_SUPPORT,ret_5d_%,ret_10d_%,ret_60d_%,EBS,통과,근거,ATR_MULT,추천수량,추천금액(만원),SECTOR_RET_5D,SECTOR_RANK,RR1,Now%,ST_DIR,AI_COMMENT,MKT_BREADTH_ALL_%,MKT_BREADTH_KOSPI_%,MKT_BREADTH_KOSDAQ_%,MKT_TEMP,TOP_SECTORS_5D,REGIME_RANK,LDY_RANK,기준일,시총기준일,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,60일_종목수익률_%,60일_초과수익(α)_%
226950,올릭스,KOSDAQ,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,기타,135300,1289.16,27316.9,134000,124500,145300,156500,81.6,80.7,77.1,↩️ PULL (눌림),② 상승 후 조정,1.73,257.94,-4.21,29.12,241.78,4,0.74,0.78,1.0,0.78,0.36,1.0,0.7,49.5,55.0,4.04,137009,-1.25,,-158.0343,-0.0955,0.99,0.13,112050,1,21.32,0,1,1,1,False,3.12,13.13,35.16,4,,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑)",1.8,18,241.2,0.4430701754385964,6.0,0.9259259259259259,0.9701492537313432,1,🌪️ 에너지 응축 시작 (4일차). 📉 매도세 우위.  (매수 유효),59.1,53.6,64.7,🌤 중립,1.미디어·콘텐츠(+4.0%) / 2.유통·소비재(+3.7%) / 3.바이오·의약품(+3.2%) / 4.금융(+1.6%) / 5.철강·금속(+0.9%),2,11,20251219,20251219,16.7,6.04,35.16,29.12
220100,퓨쳐켐,KOSDAQ,의약품 제조업,의약품 제조업,바이오·의약품,30800,209.49,6899.4,30800,28600,33400,36000,81.1,77.5,87.0,↩️ PULL (눌림),② 상승 후 조정,-4.05,98.71,-9.99,59.73,82.55,7,0.94,0.89,1.0,1.0,0.27,0.1,0.7,42.9,50.5,-1.72,31318,-1.66,,-539.7914,-0.1072,0.57,0.14,25280,1,16.63,0,1,1,0,False,-0.65,1.82,65.77,2,,"정배열(단), 장기추세(120↑)",1.8,81,249.5,3.2100000000000004,3.0,1.1818181818181819,0.0,1,🌪️ 7일 연속 응축 중! 폭발 임박. 📉 매도세 우위. ✅ 20일선 눌림목 구간.,59.1,53.6,64.7,🌤 중립,1.미디어·콘텐츠(+4.0%) / 2.유통·소비재(+3.7%) / 3.바이오·의약품(+3.2%) / 4.금융(+1.6%) / 5.철강·금속(+0.9%),2,12,20251219,20251219,16.7,6.04,65.77,59.73
011170,롯데케미칼,KOSPI,기초 화학물질 제조업,기초 화학물질 제조업,화학·소재,71200,144.29,30456.1,71200,66200,77200,83200,81.0,76.8,87.2,🔁 MR (반전),④ 바닥 반등 시도,-8.72,13.74,-13.06,-8.98,-16.82,3,0.96,0.88,1.0,1.0,0.27,0.04,0.67,46.5,52.5,-3.57,74941,-4.99,,-201.5581,0.0507,1.19,-0.31,79030,-1,8.96,1,1,1,0,True,-4.3,-2.33,7.72,4,,"RSI적정, MACD상승, 정배열(단), 장기추세(120↑)",1.8,35,249.2,-0.42531250000000004,8.0,1.2,0.0,-1,🌪️ 에너지 응축 시작 (3일차). 🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. 🚀 단기 모멘텀 가속. ,59.1,53.6,64.7,🌤 중립,1.미디어·콘텐츠(+4.0%) / 2.유통·소비재(+3.7%) / 3.바이오·의약품(+3.2%) / 4.금융(+1.6%) / 5.철강·금속(+0.9%),4,13,20251219,20251219,16.7,6.04,7.72,-8.98
010950,S-Oil,KOSPI,석유 정제품 제조업,석유 정제품 제조업,기타,81500,135.58,91755.0,81500,77000,86900,92200,80.9,70.7,81.3,↩️ PULL (눌림),② 상승 후 조정,-9.14,40.03,-13.48,24.3,9.47,1,0.96,0.7,0.78,1.0,0.19,0.03,0.7,57.8,53.8,0.62,84382,-3.42,,-248.0281,-0.0502,0.53,-0.62,77080,1,11.08,0,1,1,1,True,-0.12,1.24,41.0,4,,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑)",1.8,30,244.5,0.4430701754385964,6.0,1.2,0.0,1,🌪️ 에너지 응축 시작 (1일차). 🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. ✅ 20일선 눌림목 구간.,59.1,53.6,64.7,🌤 중립,1.미디어·콘텐츠(+4.0%) / 2.유통·소비재(+3.7%) / 3.바이오·의약품(+3.2%) / 4.금융(+1.6%) / 5.철강·금속(+0.9%),2,14,20251219,20251219,16.7,6.04,41.0,24.3
298040,효성중공업,KOSPI,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",인프라·에너지,1850000,659.73,172504.1,1850000,1720000,2006000,2161000,80.8,78.1,86.1,↩️ PULL (눌림),② 상승 후 조정,-3.14,114.37,-7.48,13.22,83.81,5,0.96,0.88,1.0,1.0,0.21,0.51,0.64,53.5,62.0,-3.44,1881928,-1.7,,-14291.4471,-0.101,0.62,-1.1,2079300,-1,12.49,0,1,1,0,True,-5.71,-8.05,29.92,4,,"RSI적정, 정배열(단), 장기추세(120↑), 자금유입",1.8,1,185.0,-4.486,14.0,1.2,0.0,-1,🌪️ 5일 연속 응축 중! 폭발 임박. 🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. 💸 자금 유입 지속. ,59.1,53.6,64.7,🌤 중립,1.미디어·콘텐츠(+4.0%) / 2.유통·소비재(+3.7%) / 3.바이오·의약품(+3.2%) / 4.금융(+1.6%) / 5.철강·금속(+0.9%),2,15,20251219,20251219,16.7,6.04,29.92,13.22
006800,미래에셋증권,KOSPI,금융 지원 서비스업,금융 지원 서비스업,서비스 기타,22700,4495.36,128728.5,22400,20150,26900,31400,80.5,76.9,77.1,🔻 REV (역추세 반등),④ 바닥 반등 시도,7.33,3.89,2.99,-13.75,-26.67,7,1.0,1.0,0.36,0.69,0.44,1.0,0.29,56.2,71.7,4.38,22083,2.79,,105.1495,0.0842,4.49,0.82,23010,-1,9.74,1,1,1,1,False,2.25,3.89,2.95,8,★,"RSI적정, MACD상승, 20선근접, 거래량↑, 장기추세(120↑), 자금유입, MACD>Sig, VWAP상회",2.5,88,197.1,-0.7638095238095237,9.0,1.6470588235294117,1.3392857142857142,-1,🌪️ 7일 연속 응축 중! 폭발 임박. 💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속. ,59.1,53.6,64.7,🌤 중립,1.미디어·콘텐츠(+4.0%) / 2.유통·소비재(+3.7%) / 3.바이오·의약품(+3.2%) / 4.금융(+1.6%) / 5.철강·금속(+0.9%),4,16,20251219,20251219,16.7,6.04,2.95,-13.75
298380,에이비엘바이오,KOSDAQ,기초 의약물질 제조업,기초 의약물질 제조업,기타,190400,2212.06,104958.3,190400,177000,206500,222500,80.4,90.3,87.9,↩️ PULL (눌림),② 상승 후 조정,6.49,188.48,0.55,69.77,172.32,0,0.96,0.89,1.0,1.0,0.5,1.0,0.79,45.8,53.6,0.95,189473,0.49,,-3787.1812,-0.1975,1.03,0.17,172740,1,22.09,0,0,0,1,False,0.21,-0.1,75.81,5,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), VWAP상회",2.0,13,247.5,0.4430701754385964,6.0,1.2014925373134329,0.0,1,📉 매도세 우위. ✅ 20일선 눌림목 구간. (강력 매수),59.1,53.6,64.7,🌤 중립,1.미디어·콘텐츠(+4.0%) / 2.유통·소비재(+3.7%) / 3.바이오·의약품(+3.2%) / 4.금융(+1.6%) / 5.철강·금속(+0.9%),2,17,20251219,20251219,16.7,6.04,75.81,69.77
278470,에이피알,KOSPI,기타 화학제품 제조업,기타 화학제품 제조업,화학·소재,243000,712.95,90956.5,243000,226000,263000,283000,80.0,79.8,83.8,↩️ PULL (눌림),⑤ 하락 / 약세,2.1,62.76,-2.24,-7.98,32.2,4,0.94,0.86,1.0,1.0,0.13,0.56,0.62,45.0,41.2,-3.9,254918,-4.68,,-1454.8778,-0.1429,0.55,-0.63,226350,1,11.63,0,1,1,0,True,-1.82,-4.52,8.72,2,,"정배열(단), 장기추세(120↑)",1.8,10,243.0,-0.42531250000000004,8.0,1.1764705882352942,0.0,1,🌪️ 에너지 응축 시작 (4일차). 🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. ,59.1,53.6,64.7,🌤 중립,1.미디어·콘텐츠(+4.0%) / 2.유통·소비재(+3.7%) / 3.바이오·의약품(+3.2%) / 4.금융(+1.6%) / 5.철강·금속(+0.9%),5,18,20251219,20251219,16.7,6.04,8.72,-7.98
067310,하나마이크론,KOSDAQ,반도체 제조업,반도체 제조업,반도체,23350,334.06,15499.3,23350,21700,25350,27300,79.9,74.7,86.3,🔁 MR (반전),⑤ 하락 / 약세,3.32,87.7,-2.62,12.31,71.54,14,0.97,0.9,1.0,1.0,0.21,0.22,0.65,38.0,46.7,-5.22,23966,-2.57,,-137.7809,0.006,1.03,-0.17,27055,-1,12.65,0,1,1,0,True,-5.27,-7.71,18.35,2,,"MACD상승, 장기추세(120↑)",1.8,107,249.8,-2.078888888888889,11.0,1.2121212121212122,0.0,-1,🌪️ 14일 연속 응축 중! 폭발 임박. 🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. 📈 상승 모멘텀 개선. 📉 과매도 기술적 반등 기대.,59.1,53.6,64.7,🌤 중립,1.미디어·콘텐츠(+4.0%) / 2.유통·소비재(+3.7%) / 3.바이오·의약품(+3.2%) / 4.금융(+1.6%) / 5.철강·금속(+0.9%),5,19,20251219,20251219,16.7,6.04,18.35,12.31
001450,현대해상,KOSPI,보험업,보험업,금융,30300,148.52,27088.2,30300,28350,34200,38050,79.8,86.9,88.5,🔺 Watch (관찰·돌파예상),④ 바닥 반등 시도,9.39,13.27,5.05,-9.06,-17.29,0,1.0,1.0,0.97,1.0,0.44,0.04,0.73,53.0,54.2,2.02,30095,0.68,,16.1289,0.0971,1.41,0.38,28155,1,9.67,1,0,0,1,False,2.89,0.17,7.64,8,★,"RSI적정, MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), MACD>Sig, VWAP상회",1.8,82,248.5,1.6223684210526317,4.0,2.0,0.0,1,🔇 변동성 축소 (BW 9.7%). 📉 매도세 우위. 🚀 단기 모멘텀 가속.  (매수 유효),59.1,53.6,64.7,🌤 중립,1.미디어·콘텐츠(+4.0%) / 2.유통·소비재(+3.7%) / 3.바이오·의약품(+3.2%) / 4.금융(+1.6%) / 5.철강·금속(+0.9%),4,20,20251219,20251219,16.7,6.04,7.64,-9.06
