종목코드,종목명,시장,업종,업종_상세,업종_대분류,종가,거래대금(억원),시가총액(억원),상태,IS_ACTIVE,IS_NOW_ENTRY,IS_WATCH,추천매수가,손절가,추천매도가1,추천매도가2,FINAL_SCORE,TRIGGER_SCORE,TOTAL_SCORE,RANK_SCORE,LDY_SCORE,ENTRY_SCORE,ML_SCORE,NEWS_SCORE,NEWS_REASON,TRIGGER,ROUTE,REGIME,ret_20d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,TTM_SQUEEZE_CNT,NORM_RR,NORM_T1,NORM_SL,NORM_NEAR,NORM_MOM,NORM_LIQ,NORM_TEC,RSI14,MFI14,이격도,BB_BW,TTM_SQUEEZE,BB_SQUEEZE_BW,ret_1d_%,ret_5d_%,ret_10d_%,ret_60d_%,Low_Trend_PCT,RSI_Rising,BB_Expanding,Vol_Quality,Range_Pos,Above_MA20,SUPERTREND_DIR,SUPERTREND_VAL,VWAP,VWAP_GAP,MACD_Slope_PCT,거래강도,V_POWER,IS_SWING_SUPPORT,주봉20선_상회,주봉추세,HMA20,HMA_Trend,HMA_On,OBV_Div,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,EBS,ENG_SCORE,MOM_SCORE,RR1,Now%,AI_COMMENT,켈리_수량,켈리_금액(원),추천수량,추천금액(만원),MKT_BREADTH_ALL_%,MKT_BREADTH_KOSPI_%,MKT_BREADTH_KOSDAQ_%,MKT_TEMP,TOP_SECTORS_5D,REGIME_RANK,LDY_RANK,기준일,시총기준일,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,60일_종목수익률_%,60일_초과수익(α)_%
010120,LS ELECTRIC,KOSPI,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",인프라·에너지,557000,1312.56,0.0,ATTACK,True,True,False,557000,494000,683000,751300.0000000001,66.6,66.3,66.7,68.4,68.4,69.7,62.70000076293945,0.0,,🚀급등시동,ATTACK,④ 바닥 반등 시도,21.09,90.43,-2.81,-9.65,23.05,0,1.0,1.0,0.14,1.0,0.26,0.87,0.37,68.2,66.2,8.43,20.49,0,0,-2.62,7.74,5.89,14.02,7.53,1,0,1.47,0.81,1,1,463500.0,536959,3.73,0.2096,0.9,0.66,False,O,▲,536109,▲,O,X,9.36,14.096428571428572,1.0,6,61.2,26.0,2.0,0.0,💸 자금 유입 지속. 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.💸 자금 유입 지속. 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.,1,1002500,1.0,100.2,92.2,88.9,94.8,🔥 과열,1.인프라·에너지(+12.2%) / 2.IT/전기전자(+11.7%) / 3.철강·금속(+11.5%) / 4.조선·기계·설비(+10.6%) / 5.서비스 기타(+9.8%),4,11,20260129,20260129,23.67,27.32,14.02,-9.65
093370,후성,KOSPI,기초 화학물질 제조업,기초 화학물질 제조업,화학·소재,8470,141.89,0.0,WAIT,False,False,True,8470,7740,9930,10923.0,66.6,74.4,63.3,52.1,52.1,60.7,89.5,0.0,,,WAIT,④ 바닥 반등 시도,12.48,83.93,-11.42,-31.6,16.55,2,1.0,0.86,0.52,1.0,0.33,0.09,0.38,73.3,80.5,10.02,17.41,0,0,0.24,7.9,11.59,-7.93,0.7,1,1,1.14,0.79,1,1,7229.0,8225,2.98,0.2298,2.03,-0.35,False,O,▲,8057,▲,O,X,13.180784313725491,3.605686274509804,7.0,5,60.2,33.2,2.0,0.0,📉 매도세 우위. 💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.,88,747500,88.0,74.8,92.2,88.9,94.8,🔥 과열,1.인프라·에너지(+12.2%) / 2.IT/전기전자(+11.7%) / 3.철강·금속(+11.5%) / 4.조선·기계·설비(+10.6%) / 5.서비스 기타(+9.8%),4,12,20260129,20260129,23.67,27.32,-7.93,-31.6
101160,월덱스,KOSDAQ,전자부품 제조업,전자부품 제조업,IT/전기전자,24400,73.4,0.0,WAIT,False,False,True,24400,22350,28450,31295.000000000004,66.6,90.0,56.6,52.1,52.1,48.0,67.19999694824219,0.0,,,WAIT,④ 바닥 반등 시도,13.23,4.95,-12.59,-31.26,-45.73,0,0.98,0.83,0.56,1.0,0.31,0.05,0.6,69.3,69.6,6.91,13.72,0,0,0.83,7.02,10.91,-3.94,0.47,0,0,1.45,0.78,1,1,21565.0,23415,4.21,0.2169,2.27,0.63,False,O,▲,23156,▲,O,X,14.996631578947369,9.572842105263158,2.0,5,29.4,31.3,1.975609756097561,0.0,💸 자금 유입 지속. 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.💸 자금 유입 지속. 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.,0,0,,,92.2,88.9,94.8,🔥 과열,1.인프라·에너지(+12.2%) / 2.IT/전기전자(+11.7%) / 3.철강·금속(+11.5%) / 4.조선·기계·설비(+10.6%) / 5.서비스 기타(+9.8%),4,13,20260129,20260129,23.67,27.32,-3.94,-31.26
033500,동성화인텍,KOSDAQ,기초 화학물질 제조업,기초 화학물질 제조업,화학·소재,28850,98.49,0.0,WAIT,False,False,True,28850,26250,34000,37400.0,66.3,70.0,64.7,65.8,65.8,71.8,62.099998474121094,0.0,,🚀급등시동,WAIT,④ 바닥 반등 시도,13.81,7.05,-12.01,-36.45,-43.63,0,0.99,0.89,0.45,1.0,0.2,0.07,0.65,50.5,68.1,5.72,20.05,0,0,-0.17,9.07,4.53,-9.13,11.97,1,0,1.28,0.83,1,1,25400.0,28019,2.96,0.1621,1.43,1.91,False,O,▼,27810,▲,O,X,13.180784313725491,3.605686274509804,7.0,6,69.5,20.1,1.9807692307692308,0.0,💪 매수세 장악(Power Buying). 💸 자금 유입 지속. 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.💸 자금 유입 지속. 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.,29,839077,29.0,83.9,92.2,88.9,94.8,🔥 과열,1.인프라·에너지(+12.2%) / 2.IT/전기전자(+11.7%) / 3.철강·금속(+11.5%) / 4.조선·기계·설비(+10.6%) / 5.서비스 기타(+9.8%),4,14,20260129,20260129,23.67,27.32,-9.13,-36.45
002900,TYM,KOSPI,특수 목적용 기계 제조업,특수 목적용 기계 제조업,조선·기계·설비,7310,86.07,0.0,WAIT,False,False,True,7310,6700,8520,9372.0,65.9,81.7,59.1,46.4,46.4,59.3,88.5999984741211,0.0,,,WAIT,③ 박스 / 중립,16.22,49.8,-7.68,-2.04,-17.58,0,0.99,0.83,0.57,1.0,0.52,0.06,0.53,72.4,74.3,13.24,21.54,0,0,5.79,17.52,22.24,21.63,1.03,1,0,1.18,0.95,1,1,6368.5,6874,6.34,0.3245,2.46,3.45,False,O,▲,6640,▲,O,X,11.96253164556962,9.646202531645569,4.0,4,47.0,52.3,1.9836065573770492,0.0,💪 매수세 장악(Power Buying). 💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.,0,0,,,92.2,88.9,94.8,🔥 과열,1.인프라·에너지(+12.2%) / 2.IT/전기전자(+11.7%) / 3.철강·금속(+11.5%) / 4.조선·기계·설비(+10.6%) / 5.서비스 기타(+9.8%),3,15,20260129,20260129,23.67,27.32,21.63,-2.04
001430,세아베스틸지주,KOSPI,1차 철강 제조업,1차 철강 제조업,철강·금속,73100,449.95,0.0,WAIT,False,False,True,73100,61800,95600,105160.00000000001,65.8,52.9,71.4,63.8,63.8,76.8,89.0,0.0,,🚀급등시동,WAIT,② 상승 후 조정,45.62,137.72,21.72,148.58,70.34,0,0.99,1.0,0.0,1.0,0.08,0.3,0.29,66.4,70.5,9.72,41.27,0,0,7.03,-0.27,8.78,172.25,31.93,1,0,1.5,0.84,1,1,58550.0,70876,3.14,-0.4837,1.08,-0.75,False,O,▲,73747,▼,X,X,11.317333333333334,11.582,3.0,6,88.0,8.0,1.991150442477876,0.0,📉 매도세 우위. 💰 외국인/기관 수급 집중. ⚠️ 단기 급등 조정 주의.💰 외국인/기관 수급 집중. ⚠️ 단기 급등 조정 주의.,18,1349600,18.0,135.0,92.2,88.9,94.8,🔥 과열,1.인프라·에너지(+12.2%) / 2.IT/전기전자(+11.7%) / 3.철강·금속(+11.5%) / 4.조선·기계·설비(+10.6%) / 5.서비스 기타(+9.8%),2,16,20260129,20260129,23.67,27.32,172.25,148.58
005935,삼성전자우,KOSPI,전기전자,전기전자,IT/전기전자,115600,6335.21,0.0,WAIT,False,False,True,115600,106100,134600,148060.0,65.8,62.5,67.2,55.6,55.6,54.6,94.4000015258789,0.0,,,WAIT,⑤ 하락 / 약세,29.6,106.8,5.7,9.51,39.42,0,1.0,0.82,0.6,1.0,0.08,1.0,0.39,73.3,74.8,7.79,21.47,0,0,-1.95,3.86,8.24,33.18,15.36,0,0,1.26,0.83,1,1,102650.0,113900,1.49,0.003,1.21,-0.09,False,O,▲,115184,▲,O,X,14.996631578947369,9.572842105263158,2.0,5,57.7,7.8,2.0,0.0,📉 매도세 우위. 💰 외국인/기관 수급 집중. ⚠️ 단기 급등 조정 주의.💰 외국인/기관 수급 집중. ↗️ 약한 플러스 모멘텀. ⚠️ 단기 급등 조정 주의.,8,1040000,8.0,104.0,92.2,88.9,94.8,🔥 과열,1.인프라·에너지(+12.2%) / 2.IT/전기전자(+11.7%) / 3.철강·금속(+11.5%) / 4.조선·기계·설비(+10.6%) / 5.서비스 기타(+9.8%),5,17,20260129,20260129,23.67,27.32,33.18,9.51
060370,LS마린솔루션,KOSDAQ,전기 및 통신 공사업,전기 및 통신 공사업,기타,31950,150.64,0.0,ATTACK,True,True,False,31950,29500,36800,40480.0,65.7,90.0,55.3,43.2,43.2,62.8,83.4000015258789,0.0,,,ATTACK,④ 바닥 반등 시도,6.68,27.54,-19.14,-22.39,-23.14,2,0.98,0.76,0.7,1.0,0.5,0.1,0.6,64.5,68.7,9.28,14.6,0,0,2.08,17.03,9.79,4.93,-4.77,1,1,1.53,0.95,1,1,26985.0,30009,6.47,0.4163,1.87,3.3,False,O,▲,29537,▲,O,X,12.718518518518518,-0.470814814814815,10.0,4,57.1,49.9,1.9795918367346939,0.0,💪 매수세 장악(Power Buying). 💸 자금 유입 지속. 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.💸 자금 유입 지속. 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.,0,0,,,92.2,88.9,94.8,🔥 과열,1.인프라·에너지(+12.2%) / 2.IT/전기전자(+11.7%) / 3.철강·금속(+11.5%) / 4.조선·기계·설비(+10.6%) / 5.서비스 기타(+9.8%),4,18,20260129,20260129,23.67,27.32,4.93,-22.39
025820,이구산업,KOSPI,1차 비철금속 제조업,1차 비철금속 제조업,철강·금속,6190,173.52,0.0,ATTACK,True,True,False,6190,5600,7370,8107.000000000001,65.3,73.8,61.7,53.8,53.8,47.7,80.0,0.0,,,ATTACK,④ 바닥 반등 시도,11.13,30.73,-12.77,-6.66,-36.65,5,1.0,0.95,0.36,1.0,0.25,0.11,0.7,63.5,70.7,6.83,12.0,1,0,5.09,11.73,6.17,17.01,1.1,0,0,1.82,0.83,1,1,5233.0,5917,4.6,0.1937,2.3,1.85,False,O,▲,5794,▲,O,X,11.317333333333334,11.582,3.0,5,31.9,24.7,2.0,0.0,🌪️ 5일 연속 응축 중! 폭발 임박. 💪 매수세 장악(Power Buying). 💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.🌪️ 5일 연속 응축 중! 폭발 임박 (Hot Zone). 💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.,101,627500,101.0,62.8,92.2,88.9,94.8,🔥 과열,1.인프라·에너지(+12.2%) / 2.IT/전기전자(+11.7%) / 3.철강·금속(+11.5%) / 4.조선·기계·설비(+10.6%) / 5.서비스 기타(+9.8%),4,19,20260129,20260129,23.67,27.32,17.01,-6.66
088350,한화생명,KOSPI,보험업,보험업,금융,3570,196.98,0.0,WAIT,False,False,True,3570,3240,4230,4653.0,64.7,77.9,59.0,52.1,52.1,55.0,75.0,0.0,,,WAIT,③ 박스 / 중립,9.68,7.21,-14.22,-4.87,-60.17,0,1.0,0.92,0.41,1.0,0.2,0.13,0.31,70.4,67.7,9.43,18.47,0,0,5.31,11.39,10.02,18.8,3.13,1,1,1.31,0.61,1,1,3068.5,3512,1.63,0.1072,1.14,-0.52,False,O,▲,3444,▲,O,X,9.786585365853659,-8.745121951219513,12.0,5,52.5,19.7,2.0,0.0,📉 매도세 우위. 💸 자금 유입 지속. 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.💸 자금 유입 지속. 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.,0,0,,,92.2,88.9,94.8,🔥 과열,1.인프라·에너지(+12.2%) / 2.IT/전기전자(+11.7%) / 3.철강·금속(+11.5%) / 4.조선·기계·설비(+10.6%) / 5.서비스 기타(+9.8%),3,20,20260129,20260129,23.67,27.32,18.8,-4.87
