시장,종목명,종목코드,업종,종가,거래대금(억원),시가총액(억원),거래대금(원),RSI14,MFI14,이격도,BB_BW,TTM_SQUEEZE,TTM_SQUEEZE_CNT,BB_SQUEEZE_BW,ret_1d_%,ret_5d_%,ret_10d_%,ret_20d_%,ret_60d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,RES_RATIO,RES_RATIO_NEAR,IS_ABOVE_POC,POC_GAP,NEAR_THRES,Low_Trend_PCT,RSI_Rising,BB_Expanding,Vol_Quality,Range_Pos,추천매수가,손절가,추천매도가1,추천매도가2,추천매도가3,TP1_METHOD,TP1_PROB,TP2_METHOD,TP2_PROB,TP3_METHOD,TP3_PROB,EXEC_RULE_ID,STOP_PCT,MAX_LOSS_PCT,RR_MULT,STOP_REASON,ENTRY_ACTION,POSITION_PCT,TRIGGER,Above_MA20,SUPERTREND_DIR,SUPERTREND_VAL,VWAP,VWAP_GAP,MACD_Slope_PCT,거래강도,V_POWER,IS_SWING_SUPPORT,주봉20선_상회,주봉추세,HMA20,HMA_Trend,HMA_On,OBV_Div,외인순매수,기관순매수,메이저순매수,gap_pct,_data_length,consecutive_limit_up,MTF_WEEKLY_TREND,MTF_MONTHLY_TREND,MTF_DATA_SUFFICIENT,개인순매수,업종_상세,업종_대분류,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,ML_SCORE,ML_STATUS,TRIGGER_SCORE,RAW_TRIGGER_SCORE,EBS,PASS_EBS,STRUCT_SCORE,TIMING_SCORE,AI_SCORE,FINAL_SCORE,DISPLAY_SCORE,W_STRUCT,W_TIMING,W_AI,SCORING_AXES,BLOCK_REASON
KOSDAQ,삼천당제약,000250,의약품 제조업,609000,8334.54,142856.0,833454155000.0,43.1,46.7,-29.32,75.24,0,0,0,-18.15,-47.41,-23.4,-23.49,149.08,182.6,-32.6,121.48,132.91,0.311,0.094,1,172.51,12.0,-23.76,0,0,0.8,0.1,609000.0,517000.0,1233000.0,1505000.0,1851000.0,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,15.11,4.0,6.8,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,,0,-1,1159900.0,570444,6.76,-2.8963,3.32,-2.6,False,O,▲,1022111,▼,X,X,0,0,0,6.18,250,0,1,1,1,0.0,의약품 제조업,바이오·의약품,-12.661052631578947,-13.283157894736842,15.0,67.5,OK,12.235538463102161,12.235538463102161,0,0,2.8,3.6,67.5,15.9,15.9,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,[급락종목: 5일 -25% 이하 급락]
KOSDAQ,우리로,046970,기타 전문 도매업,7400,2613.21,3243.0,261320578390.0,85.5,83.0,121.38,322.44,0,0,0,-13.75,61.75,352.6,427.44,491.53,482.68,418.33,463.93,432.99,0.0,0.0,1,427.49,12.0,29.56,1,0,1.09,0.69,3510.0,2980.0,10150.0,12590.0,15680.0,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,15.1,6.0,12.5,NORMAL+WARN:ATR%=21.5% > 20% — 이상치 의심+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,split,50.0,,1,1,6243.0,5554,33.22,0.8397,2.7,-0.79,False,O,▲,7631,▲,X,X,0,0,0,5.01,248,0,1,1,1,0.0,기타 전문 도매업,기타,-3.1170454545454547,-1.6940909090909089,6.0,52.2,OK,28.524722155009588,28.524722155009588,4,1,79.0,21.7,52.2,59.3,59.3,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열][RSI극단: RSI 85+ 극단과열]
KOSDAQ,기가레인,049080,전자부품 제조업,2045,1389.34,1735.9,138933877027.0,87.0,99.8,161.28,230.96,0,0,0,29.92,146.39,294.79,357.49,249.57,333.26,348.38,221.97,283.57,0.0,0.0,1,47.31,12.0,20.0,1,0,0.8,1.0,822.0,698.0,2045.0,2505.0,3090.0,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,15.09,6.0,9.9,NORMAL+WARN:ATR%=20.9% > 20% — 이상치 의심+PM_BLOCK_INTRADAY+EF:갭 12%+ 진입 보류 + 연속 상한가 진입 보류 + 당일 15%+ 급등 진입 보류+ENTRY:hold,hold,0.0,,1,1,989.5,1194,71.18,0.8901,4.52,0.32,False,O,▲,1389,▲,O,X,0,0,0,29.92,250,2,1,1,1,0.0,전자부품 제조업,IT/전기전자,-1.4643902439024392,16.57658536585366,3.0,48.9,OK,67.50481224421881,67.50481224421881,4,1,80.0,69.0,48.9,71.0,71.0,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열][갭과대: 갭 15%+ 비정상][RSI극단: RSI 85+ 극단과열][상한가연속: 연속 상한가 2회+]
KOSPI,애경케미칼,161000,기초 화학물질 제조업,15200,547.31,7394.6,54731436430.0,76.6,89.8,41.19,75.38,0,0,0,4.76,63.44,59.16,56.86,65.76,52.0,47.75,38.16,2.31,0.0,0.0,1,30.23,12.0,-4.26,0,0,1.95,0.67,11300.0,9600.0,18200.0,20900.0,24250.0,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,15.04,5.0,4.1,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,,1,1,12304.0,12638,20.26,0.873,2.06,0.58,False,O,▲,13109,▲,O,X,0,0,0,4.2,250,0,1,1,1,0.0,기초 화학물질 제조업,화학·소재,0.3438297872340425,-2.752553191489362,5.0,49.5,OK,75.0,75.0,4,1,49.4,83.3,49.5,57.9,57.9,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSDAQ,큐리옥스바이오시스템즈,445680,의료용 기기 제조업,77500,354.93,13267.9,35492903950.0,44.1,65.2,-26.69,59.75,0,0,0,-11.23,-33.59,-41.15,-25.48,-35.15,14.99,-34.59,-62.75,-34.7,0.679,0.134,1,10.66,12.0,-13.05,1,0,0.53,0.04,77500.0,72300.0,149200.0,156700.0,,SWING_20D,80,RR_LEGACY,35,,0,v1_sl_first_gap_at_open,6.71,5.0,13.8,SWING+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,,0,-1,120430.0,115883,-33.12,-1.4455,1.32,-1.96,True,X,▲,104889,▼,X,X,0,0,0,0.34,250,0,1,1,1,0.0,의료용 기기 제조업,기타,-3.1170454545454547,-1.6940909090909089,6.0,91.5,OK,39.475117526515916,39.475117526515916,0,0,1.3,47.9,91.5,31.0,31.0,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,[급락종목: 5일 -25% 이하 급락]
KOSDAQ,나우로보틱스,459510,특수 목적용 기계 제조업,22550,346.63,2924.6,34662807500.0,46.8,81.7,4.46,35.66,0,0,0,15.4,13.2,1.35,0.67,4.16,1.35,-8.44,-23.44,-48.34,0.754,0.354,0,-6.26,12.0,-16.67,0,0,3.8,0.58,23300.0,20000.0,26200.0,38250.0,,SWING_20D,80,SWING_60D,60,,0,v1_sl_first_gap_at_open,14.16,6.0,0.9,NORMAL+PM_BLOCK_INTRADAY+EF:갭 12%+ 진입 보류 + 당일 15%+ 급등 진입 보류+ENTRY:hold,hold,0.0,,1,1,17978.0,29916,-24.62,0.3134,10.64,-1.25,False,X,▲,18627,▲,O,X,0,0,0,22.82,221,0,1,-1,1,0.0,특수 목적용 기계 제조업,조선·기계·설비,-3.3850877192982454,-11.199824561403508,13.0,79.9,OK,10.503728491045992,10.503728491045992,6,1,58.7,0.0,79.9,48.3,48.3,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,[갭과대: 갭 15%+ 비정상]
KOSDAQ,오름테라퓨틱,475830,기초 의약물질 제조업,79500,330.41,16879.7,33041423150.0,17.2,28.1,-30.07,57.64,0,0,0,-8.09,-31.58,-36.35,-30.87,-30.14,137.31,-39.98,-57.74,87.62,0.692,0.087,0,-32.57,12.0,-23.27,0,0,1.38,0.03,79500.0,75100.0,141400.0,146500.0,,SWING_20D,80,BB_UPPER,75,,0,v1_sl_first_gap_at_open,5.53,5.0,14.1,SWING+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,,0,-1,114400.0,117231,-32.19,-0.9673,1.23,-2.74,True,X,▲,92241,▼,X,X,0,0,0,2.89,250,0,1,1,1,0.0,기초 의약물질 제조업,기타,-3.1170454545454547,-1.6940909090909089,6.0,92.6,OK,40.0,40.0,2,0,0.0,33.4,92.6,26.9,26.9,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,[급락종목: 5일 -25% 이하 급락]
KOSDAQ,삼현,437730,자동차 신품 부품 제조업,50100,277.0,15885.5,27699949575.0,49.4,59.8,-2.56,25.13,0,0,0,4.37,1.11,-10.54,1.11,-10.05,109.19,-8.0,-37.65,59.5,0.304,0.149,1,63.61,12.0,-6.9,0,0,1.22,0.44,49350.0,41900.0,57200.0,76900.0,,SWING_20D,80,SWING_60D,60,,0,v1_sl_first_gap_at_open,15.1,5.0,1.1,NORMAL+PM_BLOCK_INTRADAY+EF:갭 12%+ 진입 보류+ENTRY:hold,hold,0.0,,0,-1,55990.0,59601,-15.94,-0.093,2.18,-1.72,False,X,▲,47606,▼,O,X,0,0,0,15.62,250,0,1,1,1,0.0,자동차 신품 부품 제조업,자동차·모빌리티,-5.29764705882353,-15.067058823529411,14.0,12.7,OK,24.5,24.5,4,1,18.0,17.2,12.7,16.7,16.7,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,[갭과대: 갭 15%+ 비정상]
KOSDAQ,젬백스,082270,특수 목적용 기계 제조업,29900,188.24,13211.5,18824491500.0,33.8,35.6,-22.22,35.3,0,2,0,-10.61,-28.21,-21.73,-23.43,-2.29,-40.67,-32.54,-29.89,-90.36,0.824,0.176,0,-25.0,12.0,-23.18,0,0,1.39,0.08,29900.0,27600.0,46500.0,48850.0,54900.0,SWING_20D,80,SWING_60D,60,SWING_120D,45,v1_sl_first_gap_at_open,7.69,5.0,7.2,SWING+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,,0,-1,43335.0,36177,-17.35,-0.8933,1.82,-1.83,True,X,▼,37103,▼,X,X,0,0,0,1.64,250,0,-1,-1,1,0.0,특수 목적용 기계 제조업,조선·기계·설비,-3.3850877192982454,-11.199824561403508,13.0,89.4,OK,40.0,40.0,2,0,0.0,29.4,89.4,25.2,25.2,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,[급락종목: 5일 -25% 이하 급락]
KOSDAQ,에이치엠넥스,036170,반도체 제조업,4135,182.39,2537.5,18238615524.0,36.5,47.4,-18.6,68.68,0,0,0,-14.03,-36.38,-16.88,35.57,380.81,376.38,26.46,353.21,326.69,0.249,0.044,1,139.43,12.0,41.68,0,0,2.04,0.3,4135.0,3920.0,7120.0,8830.0,11010.0,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,5.2,6.0,13.9,SWING+WARN:ATR%=20.8% > 20% — 이상치 의심+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,,0,1,3921.0,3050,35.54,-2.0693,1.2,-2.89,True,O,▲,5733,▼,X,X,0,0,0,4.78,250,0,1,1,1,0.0,반도체 제조업,반도체,-6.2204,-2.6644,7.0,74.0,OK,32.67705581141291,32.67705581141291,4,1,61.0,42.3,74.0,58.9,58.9,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,[급락종목: 5일 -25% 이하 급락]
