시장,종목명,종목코드,업종,종가,거래대금(억원),시가총액(억원),RSI14,MFI14,이격도,MACD_Hist,MACD_Slope,거래강도,ret_5d_%,ret_10d_%,EBS,통과,근거,추천매수가,손절가,추천매도가1,추천매도가2,RR1,Now%,LDY_SCORE,ROUTE,AI_COMMENT,기준일,시총기준일
KOSPI,NAVER,035420,서비스업,246500,1555.87,386641.8,,38.4,-3.47,-1949.2224,244.68601,0.57,-6.45,-0.8,3,,"MACD상승, 정배열(단), 장기추세(120↑)",246500,229000,267000,289500,1.1714285714285715,0.0,77.1,↩️ PULL (눌림),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ,20251203,20251203
KOSPI,LG화학,051910,화학,380000,732.43,268250.9,,38.1,-1.71,-4030.9941,741.36573,0.59,-4.28,-2.69,3,,"MACD상승, 정배열(단), 장기추세(120↑)",380000,353500,412000,446500,1.2075471698113207,0.0,76.9,↩️ PULL (눌림),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,20251203,20251203
KOSPI,대덕전자,353200,기타,49900,741.64,24659.0,,56.1,1.68,-805.6745,67.75446,0.79,-1.38,-4.59,4,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑)",49900,46400,54100,58600,1.2,0.0,76.4,↩️ PULL (눌림),📈 상승 추세가 견고하게 유지되고 있습니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,20251203,20251203
KOSPI,LS ELECTRIC,010120,전기전자,478500,615.78,143550.0,,50.6,2.97,-4738.6389,1556.75634,0.55,6.69,0.74,4,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑)",478500,445000,519000,562000,1.208955223880597,0.0,76.4,🔺 Watch (관찰·돌파예상),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ,20251203,20251203
KOSPI,삼성전자,005930,전기전자,104500,15411.79,6186021.6,,59.4,4.18,55.4275,180.12765,0.71,1.65,8.29,5,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑), MACD>Sig",103300,96100,112000,121400,1.2083333333333333,1.1616650532429817,76.1,🔺 Watch (관찰·돌파예상),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ,20251203,20251203
KOSPI,현대차,005380,운수장비,266500,1289.62,545679.4,,46.6,0.43,-1413.2267,556.28647,0.86,1.91,0.95,4,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑)",266500,253500,282000,299000,1.1923076923076923,0.0,75.8,🔺 Watch (관찰·돌파예상),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,20251203,20251203
KOSPI,한화오션,042660,기타,108200,877.6,331539.3,,34.7,-9.9,-2296.5731,386.90231,0.47,-5.0,-12.03,3,,"MACD상승, 정배열(단), 장기추세(120↑)",108200,100600,117300,127100,1.1973684210526316,0.0,75.7,↩️ PULL (눌림),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. 📉 과매도 구간으로 기술적 반등이 기대됩니다.,20251203,20251203
KOSPI,HD현대,267250,기타,200500,543.88,158381.1,,30.0,-4.17,-3825.8315,849.15875,1.35,-1.72,-4.3,4,★,"MACD상승, 거래량↑, 정배열(단), 장기추세(120↑)",200500,186500,217500,235500,1.2142857142857142,0.0,75.2,↩️ PULL (눌림),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ,20251203,20251203
KOSPI,DB손해보험,005830,기타,127400,699.41,90199.2,,50.0,-1.41,421.8381,179.64815,0.55,1.92,5.9,1,,"MACD상승, MACD>Sig",127400,118500,138100,149700,1.202247191011236,0.0,74.6,🔺 Watch (관찰·돌파예상),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,20251203,20251203
KOSPI,HD현대중공업,329180,운수장비,534000,504.58,474048.4,,69.8,-3.24,-6243.6541,958.24514,0.29,-3.61,-6.97,4,★,"MACD상승, 정배열(단), 장기추세(120↑), 자금유입(MFI)",534000,496500,579000,627000,1.2,0.0,73.9,↩️ PULL (눌림),💸 자금 유입이 꾸준히 이어지고 있습니다. 🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ,20251203,20251203
KOSPI,HD한국조선해양,009540,운수장비,423000,515.66,299370.3,,49.3,-0.06,-1717.5884,979.4279,0.54,-1.17,1.2,3,,"MACD상승, 20선근접, 장기추세(120↑)",423000,393500,458500,497000,1.2033898305084745,0.0,73.8,↩️ PULL (눌림),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,20251203,20251203
KOSPI,삼성바이오로직스,207940,의약품,1654000,736.14,765652.3,,17.1,-5.05,-21129.9347,3187.25739,0.77,0.18,-7.96,3,,"MACD상승, 정배열(단), 장기추세(120↑)",1654000,1552000,1776000,1908000,1.196078431372549,0.0,73.6,🔺 Watch (상승 준비),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. 📉 과매도 구간으로 기술적 반등이 기대됩니다.,20251203,20251203
KOSDAQ,휴림로봇,090710,기타,5610,657.58,6701.5,,52.8,2.26,-35.5792,39.17746,1.23,12.65,9.14,5,★,"MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑)",5610,5220,6080,6590,1.205128205128205,0.0,73.6,🔺 Watch (관찰·돌파예상),📈 상승 추세가 견고하게 유지되고 있습니다. ,20251203,20251203
KOSPI,효성중공업,298040,전기전자,1895000,640.93,176700.2,,41.5,-7.69,-43855.763,6442.85161,0.55,-3.32,-6.1,3,,"MACD상승, 정배열(단), 장기추세(120↑)",1895000,1762000,2054000,2227000,1.1954887218045114,0.0,73.6,↩️ PULL (눌림),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. 📉 과매도 구간으로 기술적 반등이 기대됩니다.,20251203,20251203
KOSPI,KB금융,105560,금융업,131700,1445.67,502385.6,,57.5,4.33,411.5296,270.99793,0.94,5.61,7.77,5,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑), MACD>Sig",130000,122200,139400,149500,1.205128205128205,1.3076923076923077,73.5,🔼 BRK (돌파),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ,20251203,20251203
KOSPI,삼성생명,032830,금융업,156500,459.44,313000.0,,52.4,1.8,635.0686,239.2323,0.85,3.23,5.6,4,★,"MACD상승, 20선근접, 장기추세(120↑), MACD>Sig",156500,145500,169600,183900,1.190909090909091,0.0,73.1,🔺 Watch (관찰·돌파예상),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,20251203,20251203
KOSPI,키움증권,039490,기타,286500,311.54,76158.0,,43.6,1.72,-749.3574,1165.0723,0.98,4.95,5.91,4,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑)",286500,266500,310500,336500,1.2,0.0,72.9,🔺 Watch (관찰·돌파예상),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,20251203,20251203
KOSPI,대한전선,001440,기타,22950,638.0,42789.7,,34.0,-2.84,-371.6355,92.19887,0.52,3.38,-0.22,3,,"MACD상승, 정배열(단), 장기추세(120↑)",22950,21350,24900,26950,1.21875,0.0,72.7,🔺 Watch (관찰·돌파예상),📈 상승 추세가 견고하게 유지되고 있습니다. ,20251203,20251203
KOSPI,KCC,002380,기타,437000,231.12,38833.9,,78.0,5.05,1376.2155,1308.33786,2.01,5.3,7.5,6,★,"MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",428500,398500,473500,518000,1.5,1.9836639439906651,72.0,🔼 BRK (돌파),💰 외국인/기관의 강력한 수급이 집중되고 있습니다. 🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ⚠️ 단기 급등으로 인한 조정 가능성을 염두에 두세요.,20251203,20251203
KOSPI,SK스퀘어,402340,기타,310500,894.46,411539.4,,57.9,5.33,-306.2626,547.53917,0.47,6.7,9.72,3,,"MACD상승, 정배열(단), 장기추세(120↑)",303500,282500,329000,357000,1.2142857142857142,2.3064250411861615,71.6,🔺 Watch (관찰·돌파예상),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ⚠️ 단기 급등으로 인한 조정 가능성을 염두에 두세요.,20251203,20251203
KOSPI,한국금융지주,071050,기타,164500,309.5,91669.3,,43.7,0.56,-221.3741,388.75463,0.65,1.11,4.64,4,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑)",164500,153000,178300,193300,1.2,0.0,71.6,🔺 Watch (상승 준비),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,20251203,20251203
KOSPI,일동제약,249420,기타,28900,422.94,9143.5,,51.1,-0.62,-296.9542,25.4924,0.51,-3.83,1.4,4,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑)",28900,26900,31350,33950,1.225,0.0,71.4,↩️ PULL (눌림),📈 상승 추세가 견고하게 유지되고 있습니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,20251203,20251203
KOSDAQ,심텍,222800,기타,57200,905.65,21115.0,,78.0,5.79,-214.718,370.64376,1.25,6.72,3.25,5,★,"MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI)",55700,51800,60400,65400,1.205128205128205,2.6929982046678633,71.3,🔺 Watch (관찰·돌파예상),💰 외국인/기관의 강력한 수급이 집중되고 있습니다. 🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ⚠️ 단기 급등으로 인한 조정 가능성을 염두에 두세요.,20251203,20251203
KOSDAQ,알테오젠,196170,기타,522000,1172.43,279300.2,,58.2,-2.5,-4611.9993,-224.40591,0.55,0.77,-4.04,2,,"정배열(단), 장기추세(120↑)",522000,485500,566000,613000,1.2054794520547945,0.0,71.1,↩️ PULL (눌림),특이사항 없음. 기술적 지표를 참고하세요.,20251203,20251203
KOSPI,파미셀,005690,기타,17250,513.29,10352.9,,56.1,-1.11,-249.53,74.58362,0.72,5.18,-0.29,3,,"MACD상승, 정배열(단), 장기추세(120↑)",17250,16040,18700,20250,1.1983471074380165,0.0,71.1,🔺 Watch (관찰·돌파예상),📈 상승 추세가 견고하게 유지되고 있습니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,20251203,20251203
KOSPI,산일전기,062040,기타,147800,391.38,44998.0,,63.4,3.55,-147.7394,504.47849,0.57,6.33,5.27,5,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI)",147000,136700,159400,172700,1.203883495145631,0.5442176870748299,71.0,🔼 BRK (돌파),💸 자금 유입이 꾸준히 이어지고 있습니다. 🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ,20251203,20251203
KOSDAQ,올릭스,226950,기타,121400,1217.29,24419.3,,47.2,-7.11,-2348.7813,-574.37394,0.95,-7.33,-9.13,2,,"정배열(단), 장기추세(120↑)",121400,112900,131600,142600,1.2,0.0,70.5,🔁 MR (반전),📉 과매도 구간으로 기술적 반등이 기대됩니다.,20251203,20251203
KOSPI,HD현대마린엔진,071970,기타,82700,253.4,28053.1,,36.9,1.66,187.1469,362.74753,1.15,1.47,4.55,4,★,"MACD상승, 20선근접, 장기추세(120↑), MACD>Sig",82700,76900,89600,97200,1.1896551724137931,0.0,70.4,🔺 Watch (상승 준비),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,20251203,20251203
KOSPI,엔씨소프트,036570,서비스업,216000,277.82,46535.1,,34.1,0.52,-8.7892,725.23661,0.5,1.17,12.68,3,,"MACD상승, 20선근접, 장기추세(120↑)",216000,201000,234000,254000,1.2,0.0,70.3,🔺 Watch (상승 준비),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,20251203,20251203
KOSDAQ,원익홀딩스,030530,기타,23900,595.94,18459.9,,40.8,-9.5,-467.956,50.43498,0.7,-6.46,1.92,3,,"MACD상승, 정배열(단), 장기추세(120↑)",23900,22250,25900,28100,1.2121212121212122,0.0,70.2,↩️ PULL (눌림),📈 상승 추세가 견고하게 유지되고 있습니다. 📉 과매도 구간으로 기술적 반등이 기대됩니다.,20251203,20251203
KOSPI,포스코퓨처엠,003670,기타,206000,289.24,183229.2,,36.5,0.57,-655.4357,173.0949,0.47,0.49,5.16,4,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑)",206000,191600,223500,242000,1.2152777777777777,0.0,70.1,🔺 Watch (상승 준비),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,20251203,20251203
KOSDAQ,이오테크닉스,039030,기타,279500,229.41,34433.1,,51.8,3.19,-197.3196,986.19088,0.72,8.97,1.82,4,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑)",279000,259500,302500,328000,1.205128205128205,0.17921146953405018,70.1,🔺 Watch (관찰·돌파예상),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ,20251203,20251203
KOSPI,LG전자,066570,기타,89500,506.88,145783.3,,39.4,1.45,-227.9352,289.52619,0.8,3.47,2.76,4,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑)",89500,84400,95600,102100,1.196078431372549,0.0,70.0,🔺 Watch (관찰·돌파예상),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,20251203,20251203
KOSDAQ,하나마이크론,067310,기타,25400,353.43,16860.1,,63.8,0.69,-56.1784,38.23595,0.58,5.39,0.2,5,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI)",25400,23600,27550,29850,1.1944444444444444,0.0,70.0,🔺 Watch (관찰·돌파예상),💸 자금 유입이 꾸준히 이어지고 있습니다. 📈 상승 추세가 견고하게 유지되고 있습니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,20251203,20251203
KOSPI,JB금융지주,175330,기타,24900,133.02,47281.3,,67.8,4.03,136.3941,5.11602,0.79,4.62,2.68,6,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",24650,22950,27250,29850,1.5294117647058822,1.0141987829614605,70.0,🔺 Watch (관찰·돌파예상),💸 자금 유입이 꾸준히 이어지고 있습니다. 📈 상승 추세가 견고하게 유지되고 있습니다. ,20251203,20251203
KOSPI,하이브,352820,서비스업,296000,268.46,125977.9,,52.1,0.15,-198.3459,248.8951,0.33,3.86,2.96,4,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑)",296000,275500,321000,348000,1.2195121951219512,0.0,69.9,🔺 Watch (관찰·돌파예상),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,20251203,20251203
KOSDAQ,한국비엔씨,256840,기타,5730,334.01,3919.0,,76.8,5.62,9.3702,10.97699,1.26,4.95,3.62,6,★,"MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",5590,5200,6170,6760,1.4871794871794872,2.5044722719141324,69.8,🔺 Watch (관찰·돌파예상),💰 외국인/기관의 강력한 수급이 집중되고 있습니다. 📈 상승 추세가 견고하게 유지되고 있습니다. ⚠️ 단기 급등으로 인한 조정 가능성을 염두에 두세요.,20251203,20251203
