date,close,ret_1d_%,ret_3d_%,ret_5d_%,ret_10d_%,ret_20d_%,ret_60d_%
20210712,3246.47,0.76729493881047,1.2244068172507339,-0.07485052996022423,-0.6628738291128533,0.4296974868087666,-10.167659026573473
20210713,3271.38,-0.20083267611834543,0.1690418111011116,-1.1823756335247015,-1.1875722172294267,-0.8617158508030243,-9.994864552574146
20210714,3264.81,0.6557808877086124,-0.6361779092810882,-1.4977900704788327,-0.8560988235149947,-1.3535244011136927,-8.458991488019219
20210715,3286.22,-0.2833042218719384,-1.628618899525902,-1.0957878656937092,-1.325839414281449,-2.3686789076811543,-8.251425650139065
20210716,3276.91,-1.0030791202687905,-1.8615097759779764,-0.6863172928154859,-2.2762297408228993,-3.2231584022753057,-8.246488307582444
20210719,3244.04,-0.3495641237469371,0.19019494210923416,-0.5884637674011484,-0.647340969901733,-3.111860519599008,-6.62753850137483
20210720,3232.7,-0.5193800847588692,0.6718841834998601,-0.005258762025539543,0.1373464905497057,-2.2819933801466297,-6.7921551644136375
20210721,3215.91,1.0665721366580616,0.2811023940346491,0.6514485790958258,2.004720281351169,-3.6717445450898833,-6.485878025193492
20210722,3250.21,0.1295300919017528,-0.5439648515018991,-0.23260035505398013,0.7974869316136557,-5.8365459462619285,-7.50874558874658
20210723,3254.42,-0.905537699497927,-0.5395738718419807,-1.600899699485625,0.48979541669482707,-5.045753160317357,-7.186534006059453
20210726,3224.95,0.23504240375820107,0.5488457185382822,-0.059225724429834425,1.099862013364561,-2.686863362222658,-5.453417882447786
20210727,3232.53,0.13395080633435974,-0.9345620922311615,0.14261275224050074,0.3297726548554758,-2.6517928681249803,-6.404890287174458
20210728,3236.86,0.17887705986665559,-0.4269569891808822,1.3445128921238503,-0.501720803494754,-3.346761985380886,-7.022546542019114
20210729,3242.65,-1.2437358333461823,-0.1699227483693999,1.0324888594205328,-1.0568516491141544,-3.3537384546589943,-8.3872758392056
20210730,3202.32,0.6470309025956134,2.437607734392566,2.124709585550466,-0.9689849858852351,-1.8152464463264129,-6.9755677134077825
20210802,3223.04,0.4374751787132647,1.6472026409849239,1.1597746227164363,-2.480577343129464,-0.7375024821286713,-6.5016257942811855
20210803,3237.14,1.3357469865375116,1.0262144979827914,0.18689336883792596,-2.4160215498866267,-0.9304509536195549,-8.075955936413004
20210804,3280.38,-0.1295581609447649,-0.608466092342963,-1.8217401642492748,-5.56490406599236,-3.186521073778048,-9.058706613258227
20210805,3276.13,-0.17612243714382192,-1.0054546065021874,-2.0679887550249854,-6.581545909350361,-2.29142311202547,-9.366539178848221
20210806,3270.36,-0.3039420736555054,-1.5209334752137482,-3.0293301043310294,-5.508567864088365,-2.0496214484032382,-9.483971183600593
20210809,3260.42,-0.5284595236196621,-1.596113384165232,-3.5986161292103414,-3.745529717030316,-2.238975346734473,-9.138699922095928
20210810,3243.19,-0.6959197580160281,-2.2169530616460986,-2.5980593181404776,-2.971765453149522,-2.4728739296803526,-9.65160844723868
20210811,3220.62,-0.380051046071872,-2.4073004576758428,-3.8126199303239794,-2.859387322937812,-3.288807745092559,-9.18146195453049
20210812,3208.38,-1.15603513299547,-1.5412762827345938,-4.608868026854673,-2.3214207793341157,-2.5751313747124693,-7.46731995586557
20210813,3171.29,-0.8892280428469124,-2.3164075187068978,-2.55668828773149,-0.8545418425940254,-1.3694742518028935,-5.416407834035997
20210817,3143.09,0.5039626609482983,-2.6273507917367933,-0.15239779961757627,1.7874130234896146,0.18262283294463444,-4.641292486056714
20210818,3158.93,-1.9341992383496875,-2.175420158091501,-0.38367421880193264,1.5223509226225396,-0.17505927640054653,-6.220777288512247
20210819,3097.83,-1.2047142677293343,1.3063983498126097,0.9910162920496068,2.518537169567092,1.0413741231765528,-4.856625444262585
20210820,3060.51,0.9704264975445298,2.819791472663047,2.3979663520132144,4.592371859592026,2.6139434277293594,-2.9240224668437675
20210823,3090.21,1.5562049181123694,1.2400451749233987,1.7468068513143198,3.660592645807248,1.2093029276327494,-2.490445633144678
20210824,3138.3,0.27116591785361077,-0.1402032947774301,1.9427715642226673,1.5651785998789025,-0.4161488704075622,-4.491922378357716
20210825,3146.81,-0.580905742640947,-0.08325891935007101,1.9133662343770341,0.5141714943069253,-0.41851907169483393,-4.846813121859917
20210826,3128.53,0.17164610855577855,2.2611258322598804,1.512531444480314,-0.4420606482916978,-0.9784147826615075,-4.738966863031524
20210827,3133.9,0.32834487379942434,2.3331950604677854,2.143016688471233,-0.2597402597402598,-2.349468713105085,-6.300775391684487
20210830,3144.19,1.7518025310175211,1.0069366037039673,1.8809295875885423,-0.5193706487203409,-2.3971197669351962,-7.469968417939121
20210831,3199.27,0.24224276163000713,0.05595026365390332,-0.37039699681489235,-1.57660966407962,-5.629096637670472,-11.260693845783564
20210901,3207.02,-0.9719303278432956,-0.11506008693429326,-1.372925644367673,-1.6719571440153125,-7.6348136276044425,-9.582104258782298
20210902,3175.85,0.7938032337799328,0.3643119164947972,-1.925468772139749,-1.440874096698519,-8.424201394902154,-7.2604184706456465
20210903,3201.06,0.07091400973426865,-1.1892935465127263,-2.352345785458554,-1.89156092044509,-7.547499890661213,-7.270404178615831
20210906,3203.33,-0.4966706521026487,-2.7668082901230906,-2.3559858022745073,-2.364726706271292,-7.711662551157694,-7.182525684209862
20210907,3187.42,-0.7664506089564704,-1.934479924202015,-1.2106970527887784,-1.9507940591450224,-8.503429105671668,-6.13976193912319
20210908,3162.99,-1.5267199706606727,-1.1106579533921912,-0.30319412960521097,-0.9279194686040659,-6.910549827852764,-5.096127398442595
20210909,3114.7,0.3550903778855252,1.0957716634025783,0.49410858188589923,-0.5387356727774684,-4.0472597681959765,-2.7331685234532888
