종목코드,종목명,시장,업종,업종_상세,업종_대분류,종가,거래대금(억원),시가총액(억원),상태,IS_ACTIVE,IS_NOW_ENTRY,IS_WATCH,추천매수가,손절가,추천매도가1,추천매도가2,FINAL_SCORE,TRIGGER_SCORE,TOTAL_SCORE,RANK_SCORE,LDY_SCORE,ENTRY_SCORE,ML_SCORE,NEWS_SCORE,NEWS_REASON,TRIGGER,ROUTE,REGIME,ret_20d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,TTM_SQUEEZE_CNT,NORM_RR,NORM_T1,NORM_SL,NORM_NEAR,NORM_MOM,NORM_LIQ,NORM_TEC,RSI14,MFI14,이격도,BB_BW,TTM_SQUEEZE,BB_SQUEEZE_BW,ret_1d_%,ret_5d_%,ret_10d_%,ret_60d_%,RES_RATIO,RES_RATIO_NEAR,IS_ABOVE_POC,POC_GAP,NEAR_THRES,Low_Trend_PCT,RSI_Rising,BB_Expanding,Vol_Quality,Range_Pos,Above_MA20,SUPERTREND_DIR,SUPERTREND_VAL,VWAP,VWAP_GAP,MACD_Slope_PCT,거래강도,V_POWER,IS_SWING_SUPPORT,주봉20선_상회,주봉추세,HMA20,HMA_Trend,HMA_On,OBV_Div,외인순매수,기관순매수,개인순매수,메이저순매수,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,RAW_TRIGGER_SCORE,EBS,STRUCT_SCORE,TIMING_SCORE,AI_SCORE,LDY_RANK,기준일,시총기준일,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,60일_종목수익률_%,60일_초과수익(α)_%
180400,DXVX,KOSDAQ,기타 과학기술 서비스업,기타 과학기술 서비스업,서비스 기타,4665,52.92,0.0,OVERHEAT,False,False,False,3885,3225,5200,5720.000000000001,86.2,81.41027894276081,86.2,74.8,74.8,,94.0,0.0,특이사항 없음,,OVERHEAT,,29.58,101.51,12.06,88.71,64.52,0,,,,,,,,73.8,79.8,26.11,42.0,0,0,15.19,25.74,43.1,110.14,0.0,0.0,1,81.7,12.0,7.51,1,0,1.27,0.93,1,1,3216.0,4176,11.69,0.2898,2.17,1.93,False,O,▲,4159,▲,O,X,0.0,0.0,0.0,0.0,7.208611111111111,13.488333333333333,4.0,81.41027894276081,6,74.8,100.0,94.0,1,20260210,20260210,27.12,21.43,110.14,88.71
242040,나무기술,KOSDAQ,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업,IT/전기전자,3300,466.79,0.0,ATTACK,True,True,False,2375,1806,3525,3877.5000000000005,90.3,79.34132257109442,90.3,84.2,84.2,,90.80000305175781,0.0,특이사항 없음,,ATTACK,,117.68,126.18,100.16,115.64,89.19,0,,,,,,,,73.4,80.3,45.74,77.48,0,0,18.49,24.53,36.65,137.07,0.0,0.0,1,135.65,12.0,61.97,0,0,3.78,0.95,1,1,2355.5,2933,12.48,0.0631,2.63,2.46,False,O,▲,2749,▲,O,X,0.0,0.0,0.0,0.0,0.9447826086956522,8.734021739130435,10.0,79.34132257109442,6,84.2,100.0,90.8,2,20260210,20260210,27.12,21.43,137.07,115.64
394280,오픈엣지테크놀로지,KOSDAQ,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업,IT/전기전자,16740,143.6,0.0,WAIT,False,False,True,15150,13260,18920,20812.0,86.6,78.74678508480294,86.6,78.0,78.0,,87.80000305175781,0.0,특이사항 없음,🚀급등시동,WAIT,,22.64,30.58,5.12,16.12,-6.41,0,,,,,,,,69.8,85.6,16.04,28.09,0,0,3.65,11.6,17.89,37.55,0.032,0.032,1,20.63,12.0,4.97,1,0,1.28,0.87,1,1,13241.0,15903,5.26,0.0762,2.27,0.65,False,O,▲,15592,▲,O,X,0.0,0.0,0.0,0.0,0.9447826086956522,8.734021739130435,10.0,78.74678508480294,8,78.0,100.0,87.8,3,20260210,20260210,27.12,21.43,37.55,16.12
105560,KB금융,KOSPI,기타 금융업,기타 금융업,금융,155500,2938.6,0.0,WAIT,False,False,True,155500,144000,178500,196350.00000000003,84.6,90.0,84.6,75.3,75.3,,85.0,0.0,특이사항 없음,,WAIT,,21.01,35.69,8.03,-10.64,-28.74,0,,,,,,,,69.9,64.6,12.71,21.04,0,0,2.71,12.03,8.74,16.48,0.016,0.016,1,24.36,8.1,4.59,1,0,0.97,0.86,1,1,136460.0,148398,4.79,0.2204,1.47,0.13,False,O,▲,146004,▲,O,X,0.0,0.0,0.0,0.0,9.080444444444444,11.497777777777777,6.0,90.0,6,75.3,100.0,85.0,4,20260210,20260210,27.12,21.43,16.48,-10.64
056080,유진로봇,KOSDAQ,특수 목적용 기계 제조업,특수 목적용 기계 제조업,조선·기계·설비,45700,3735.05,0.0,OVERHEAT,False,False,False,33450,22550,55300,60830.00000000001,87.9,78.69423069284939,87.9,84.4,84.4,,78.5999984741211,0.0,특이사항 없음,,OVERHEAT,,187.06,339.42,169.54,253.16,302.43,0,,,,,,,,65.4,72.9,43.45,68.78,0,0,21.7,39.54,44.39,274.59,0.0,0.0,1,213.61,12.0,72.01,0,0,2.46,0.96,1,1,32235.0,39365,16.09,0.3102,1.59,0.84,False,O,▲,34671,▲,O,X,0.0,0.0,0.0,0.0,3.3410256410256407,13.36397435897436,8.0,78.69423069284939,8,84.4,100.0,78.6,5,20260210,20260210,27.12,21.43,274.59,253.16
251270,넷마블,KOSPI,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업,인터넷/플랫폼·게임,56500,183.93,0.0,WAIT,False,False,True,56500,52300,64900,71390.0,89.0,89.44958329381087,89.0,87.3,87.3,,76.5,0.0,특이사항 없음,,WAIT,,11.88,-0.88,-1.1,-26.94,-65.31,0,,,,,,,,74.0,84.1,8.71,15.18,0,0,1.8,9.28,6.6,0.18,0.291,0.132,1,2.43,7.6,4.58,0,1,1.45,0.86,1,1,49070.0,54724,3.24,0.1903,1.27,0.08,False,O,▼,53612,▲,O,X,0.0,0.0,0.0,0.0,5.904999999999999,-6.2875000000000005,15.0,89.44958329381087,8,87.3,100.0,76.5,6,20260210,20260210,27.12,21.43,0.18,-26.94
126700,하이비젼시스템,KOSDAQ,사진장비 및 광학기기 제조업,사진장비 및 광학기기 제조업,기타,21100,205.78,0.0,WAIT,False,False,True,17980,16000,21950,24145.000000000004,85.3,75.63805915690413,85.3,83.2,83.2,,68.30000305175781,0.0,특이사항 없음,,WAIT,,37.01,33.63,19.49,14.79,-3.36,0,,,,,,,,71.7,86.6,23.21,30.7,0,0,9.9,17.22,23.9,36.22,0.0,0.0,1,32.95,11.0,7.33,1,0,1.93,0.94,1,1,16125.5,19201,9.89,0.1548,3.76,2.45,False,O,▲,18488,▲,O,X,0.0,0.0,0.0,0.0,4.008455882352941,7.230294117647059,9.0,75.63805915690413,6,83.2,100.0,68.3,7,20260210,20260210,27.12,21.43,36.22,14.79
071055,한국금융지주우,KOSPI,기타,기타,기타,159000,70.81,0.0,WAIT,False,False,True,159000,145500,185900,204490.00000000003,84.7,84.0,84.7,83.9,83.9,,63.900001525878906,0.0,특이사항 없음,,WAIT,,22.5,66.32,9.52,-5.37,1.89,0,,,,,,,,69.3,74.2,10.7,18.73,0,0,6.0,7.29,8.02,21.75,0.0,0.0,1,30.07,9.3,5.91,0,0,1.19,0.98,1,1,132480.0,149441,6.4,0.0156,1.48,1.75,False,O,▲,149728,▲,O,X,0.0,0.0,0.0,0.0,4.008455882352941,7.230294117647059,9.0,84.0,8,83.9,100.0,63.9,8,20260210,20260210,27.12,21.43,21.75,-5.37
000240,한국앤컴퍼니,KOSPI,기타 금융업,기타 금융업,금융,31200,81.17,0.0,WAIT,False,False,True,28300,25350,34150,37565.0,77.6,79.34260106156,77.6,73.5,73.5,,54.20000076293945,0.0,특이사항 없음,📦박스돌파,WAIT,,26.57,31.09,13.59,-13.67,-33.34,3,,,,,,,,69.9,71.3,15.75,17.37,0,0,11.63,17.29,19.08,13.45,0.0,0.0,1,29.82,9.4,2.87,1,1,0.95,0.94,1,1,24935.0,28316,10.18,0.168,2.21,2.3,False,O,▲,27685,▲,O,X,0.0,0.0,0.0,0.0,9.080444444444444,11.497777777777777,6.0,79.34260106156,8,73.5,100.0,54.2,9,20260210,20260210,27.12,21.43,13.45,-13.67
000815,삼성화재우,KOSPI,기타,기타,기타,401000,65.4,0.0,WAIT,False,False,True,401000,382000,439000,482900.00000000006,74.6,82.12372527522041,74.6,68.3,68.3,,52.5,0.0,특이사항 없음,,WAIT,,12.17,18.81,-0.81,-20.33,-45.62,0,,,,,,,,70.4,65.7,6.76,12.04,0,0,0.5,7.08,7.51,6.79,0.012,0.012,1,7.28,6.0,1.82,1,1,1.09,0.92,1,1,367550.0,390347,2.73,0.1162,0.96,1.06,False,O,▲,389483,▲,O,X,0.0,0.0,0.0,0.0,4.008455882352941,7.230294117647059,9.0,82.12372527522041,6,68.3,100.0,52.5,10,20260210,20260210,27.12,21.43,6.79,-20.33
375500,DL이앤씨,KOSPI,토목 건설업,토목 건설업,건설·부동산,49400,256.25,0.0,WAIT,False,False,True,49400,44900,58400,64240.00000000001,81.5,78.0,81.5,82.8,82.8,,50.29999923706055,0.0,,,WAIT,,18.18,19.32,5.2,-9.92,-45.11,0,,,,,,,,70.3,72.7,10.79,17.59,0,0,2.28,7.86,11.89,17.2,0.017,0.017,1,17.52,9.8,4.28,1,1,1.27,0.85,1,1,42225.0,47636,3.7,0.0864,1.17,1.0,False,O,▲,46763,▲,O,X,0.0,0.0,0.0,0.0,11.46625,9.248750000000001,7.0,78.0,8,82.8,100.0,50.3,11,20260210,20260210,27.12,21.43,17.2,-9.92
214320,이노션,KOSPI,광고업,광고업,미디어·콘텐츠,19950,295.71,0.0,WAIT,False,False,True,19950,19170,21550,23705.000000000004,71.0,89.82432090069572,71.0,63.9,63.9,,45.400001525878906,0.0,,,WAIT,,8.25,4.83,-4.73,-17.44,-59.6,0,,,,,,,,74.4,82.1,5.69,10.26,0,0,1.17,6.06,5.72,9.68,0.0,0.0,1,8.69,6.0,1.43,1,1,0.85,0.99,1,1,18311.0,19477,2.43,0.0706,1.35,2.25,False,O,▲,19519,▲,O,X,0.0,0.0,0.0,0.0,6.83,-5.5962499999999995,14.0,89.82432090069572,6,63.9,100.0,45.4,12,20260210,20260210,27.12,21.43,9.68,-17.44
030200,KT,KOSPI,전기 통신업,전기 통신업,IT/전기전자,60700,329.04,0.0,WAIT,False,False,True,60700,57300,67400,74140.0,71.2,81.69485263023418,71.2,72.7,72.7,,24.200000762939453,0.0,,,WAIT,,14.74,12.2,1.76,-7.4,-52.23,0,,,,,,,,70.1,50.2,8.98,13.69,0,0,2.36,7.43,8.39,19.72,0.011,0.011,1,17.22,6.0,2.84,1,1,1.07,0.86,1,1,54680.0,57624,5.34,0.0824,0.97,2.01,False,O,▲,57831,▲,O,X,0.0,0.0,0.0,0.0,0.9447826086956522,8.734021739130435,10.0,81.69485263023418,6,72.7,100.0,24.2,13,20260210,20260210,27.12,21.43,19.72,-7.4
189300,인텔리안테크,KOSDAQ,통신 및 방송 장비 제조업,통신 및 방송 장비 제조업,IT/전기전자,119900,605.65,0.0,WAIT,False,False,True,93300,74700,130400,143440.0,86.8,76.0,86.8,79.3,79.3,,86.5999984741211,0.0,,,WAIT,,66.07,143.2,48.55,166.79,106.21,0,,,,,,,,72.9,77.0,34.94,83.99,0,0,-6.62,11.95,51.2,188.22,0.028,0.028,1,157.78,12.0,21.38,1,0,1.71,0.86,1,1,81740.0,111352,7.68,0.0796,1.48,0.92,False,O,▲,114922,▲,O,X,0.0,0.0,0.0,0.0,0.9447826086956522,8.734021739130435,10.0,76.0,6,79.3,99.3,86.6,14,20260210,20260210,27.12,21.43,188.22,166.79
