시장,종목명,종목코드,업종,종가,거래대금(억원),시가총액(억원),거래대금(원),RSI14,MFI14,이격도,BB_BW,TTM_SQUEEZE,TTM_SQUEEZE_CNT,BB_SQUEEZE_BW,ret_1d_%,ret_5d_%,ret_10d_%,ret_20d_%,ret_60d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,RES_RATIO,RES_RATIO_NEAR,IS_ABOVE_POC,POC_GAP,NEAR_THRES,Low_Trend_PCT,RSI_Rising,BB_Expanding,Vol_Quality,Range_Pos,추천매수가,손절가,추천매도가1,추천매도가2,추천매도가3,TP1_METHOD,TP1_PROB,TP2_METHOD,TP2_PROB,TP3_METHOD,TP3_PROB,EXEC_RULE_ID,STOP_PCT,MAX_LOSS_PCT,RR_MULT,STOP_REASON,ENTRY_ACTION,POSITION_PCT,TRIGGER,Above_MA20,SUPERTREND_DIR,SUPERTREND_VAL,VWAP,VWAP_GAP,MACD_Slope_PCT,거래강도,V_POWER,IS_SWING_SUPPORT,주봉20선_상회,주봉추세,HMA20,HMA_Trend,HMA_On,OBV_Div,외인순매수,기관순매수,메이저순매수,gap_pct,_data_length,consecutive_limit_up,MTF_WEEKLY_TREND,MTF_MONTHLY_TREND,MTF_DATA_SUFFICIENT,개인순매수,업종_상세,업종_대분류,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,ML_SCORE,ML_STATUS,TRIGGER_SCORE,RAW_TRIGGER_SCORE,EBS,PASS_EBS,STRUCT_SCORE,TIMING_SCORE,AI_SCORE,FINAL_SCORE,DISPLAY_SCORE,W_STRUCT,W_TIMING,W_AI,SCORING_AXES,BLOCK_REASON
KOSPI,흥아해운,003280,해상 운송업,3385,11477.59,8138.4,1147759113463.0,71.9,70.1,50.3,84.7,0,0,0,11.53,47.82,45.28,95.1,107.54,99.71,86.26,80.77,51.52,0.0,0.0,1,22.2,12.0,24.85,0,0,4.01,0.81,2365.0,2010.0,3790.0,3945.0,4400.0,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,v1_sl_first_gap_at_open,15.01,5.0,4.0,NORMAL+PM_BLOCK_INTRADAY+EF:당일 10%+ 급등 분할 진입+ENTRY:split,split,50.0,,1,1,1992.4,2673,26.63,0.4627,4.42,2.63,False,O,▲,2669,▲,O,X,0,0,0,-0.49,250,0,1,1,1,0.0,해상 운송업,기타,5.382338709677419,8.76266129032258,5.0,79.3,OK,28.0,28.0,6,1,92.2,51.1,79.3,79.3,79.3,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSDAQ,아주IB투자,027360,기타 금융업,7480,3441.06,9061.7,344105563230.0,68.2,91.1,40.17,57.33,0,1,0,18.17,45.53,44.12,50.81,208.45,226.64,41.97,181.68,178.45,0.0,0.0,1,111.07,12.0,-4.92,1,0,2.67,0.9,5600.0,4760.0,7850.0,8610.0,9320.0,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,v1_sl_first_gap_at_open,15.0,5.0,2.7,NORMAL+PM_BLOCK_INTRADAY+EF:당일 15%+ 급등 진입 보류+ENTRY:hold,hold,0.0,,1,1,4431.5,4617,61.99,0.381,3.78,2.66,False,O,▲,6200,▲,O,X,0,0,0,1.74,250,0,1,1,1,0.0,기타 금융업,금융,5.7718421052631586,-2.1821052631578945,8.0,75.5,OK,47.5,47.5,4,1,53.5,68.8,75.5,61.7,61.7,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSDAQ,폴라리스AI,039980,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2215,2390.01,1612.0,239001313262.0,67.8,98.6,39.68,65.6,0,0,0,14.41,67.55,60.97,27.96,10.2,-10.69,19.12,-16.57,-58.88,0.081,0.052,1,0.9,12.0,-13.74,0,0,4.26,0.79,1665.0,1415.0,2490.0,2970.0,3300.0,SWING_20D,80,SWING_120D,45,FIBO_1.618,25,v1_sl_first_gap_at_open,15.02,6.0,3.3,NORMAL+PM_BLOCK_INTRADAY+EF:당일 10%+ 급등 분할 진입+ENTRY:split,split,50.0,,1,1,1473.6,1980,11.83,1.2518,7.07,1.41,False,O,▼,1699,▲,O,X,0,0,0,0.0,250,0,-1,-1,1,0.0,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",IT/전기전자,11.809733333333334,9.953866666666668,3.0,85.5,OK,14.5,14.5,4,1,26.8,37.9,85.5,41.3,41.3,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSPI,SK이터닉스,475150,건물 건설업,40650,2088.64,13721.0,208864201500.0,66.9,84.2,35.69,69.68,0,0,0,5.72,42.13,57.25,70.08,84.35,65.24,61.24,57.58,17.05,0.0,0.0,1,44.26,12.0,-9.31,0,0,2.09,0.87,31450.0,26700.0,43700.0,50500.0,59100.0,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,15.1,5.0,2.6,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,,1,1,29490.0,30301,34.15,0.8027,1.43,1.92,False,O,▲,35186,▲,O,X,0,0,0,0.52,250,0,1,1,1,0.0,건물 건설업,건설·부동산,16.144285714285715,16.54285714285714,1.0,62.6,OK,67.60706207223551,67.60706207223551,4,1,53.0,99.1,62.6,66.4,66.4,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSDAQ,메지온,140410,자연과학 및 공학 연구개발업,89200,1871.51,27100.0,187151225250.0,30.0,24.2,-30.95,42.71,0,0,0,-21.41,-30.8,-32.73,-38.4,24.93,64.27,-47.24,-1.84,16.08,0.513,0.239,0,-3.13,12.0,-29.6,1,0,1.11,0.01,89200.0,86000.0,152400.0,156800.0,179900.0,SWING_20D,80,BB_UPPER,75,SWING_60D,60,v1_sl_first_gap_at_open,3.59,5.0,19.8,SWING+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,,0,-1,141720.0,113740,-21.58,-0.2641,7.08,-1.46,True,X,▲,115115,▼,X,X,0,0,0,-17.18,250,0,1,1,1,0.0,자연과학 및 공학 연구개발업,기타,5.382338709677419,8.76266129032258,5.0,88.8,OK,12.0,12.0,2,0,0.0,0.0,88.8,17.8,17.8,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,[급락종목: 5일 -25% 이하 급락]
KOSDAQ,나무기술,242040,소프트웨어 개발 및 공급업,6900,1807.94,2387.8,180793501480.0,67.3,86.4,48.01,83.83,0,0,0,7.98,43.6,59.17,98.85,387.98,360.61,90.01,361.21,312.42,0.0,0.0,1,362.13,12.0,-13.16,0,0,2.59,0.78,4895.0,4160.0,7970.0,8720.0,9790.0,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,v1_sl_first_gap_at_open,15.02,6.0,4.2,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,,1,1,4533.5,3794,81.82,0.5819,2.84,1.98,False,O,▲,5363,▲,O,X,0,0,0,4.69,250,0,1,1,1,0.0,소프트웨어 개발 및 공급업,IT/전기전자,11.809733333333334,9.953866666666668,3.0,44.3,OK,46.98055541169742,46.98055541169742,4,1,51.7,76.2,44.3,56.3,56.3,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSPI,신세계 I&C,035510,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",22600,809.65,3159.7,80964926890.0,66.4,85.8,30.34,39.92,0,0,0,29.81,45.24,36.64,25.7,42.14,45.06,16.86,15.37,-3.13,0.0,0.0,1,39.85,10.9,-11.68,0,0,2.16,1.0,18210.0,16120.0,22600.0,24800.0,27550.0,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,11.48,6.0,2.1,NORMAL+PM_BLOCK_INTRADAY+EF:갭 12%+ 진입 보류 + 당일 15%+ 급등 진입 보류+ENTRY:hold,hold,0.0,,1,1,16070.0,18232,23.96,0.6714,11.46,1.99,False,O,▲,16383,▲,O,X,0,0,0,20.62,250,1,1,1,1,0.0,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",IT/전기전자,11.809733333333334,9.953866666666668,3.0,60.9,OK,70.0,70.0,4,1,55.0,91.8,60.9,65.4,65.4,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열][갭과대: 갭 15%+ 비정상]
KOSDAQ,센서뷰,321370,전자부품 제조업,4400,692.69,2272.6,69268857534.0,74.3,91.8,55.92,107.24,0,0,0,-3.61,56.31,118.91,42.39,336.94,248.38,33.55,310.17,200.19,0.028,0.028,1,31.08,12.0,-19.96,0,0,2.51,0.89,2965.0,2515.0,4755.0,5140.0,6270.0,SWING_20D,80,SWING_60D,60,FIBO_1.272,40,v1_sl_first_gap_at_open,15.18,6.0,4.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,,1,1,2632.6000000000004,2970,48.14,0.9585,1.19,2.21,False,O,▲,3755,▲,O,X,0,0,0,1.64,249,0,1,1,1,0.0,전자부품 제조업,IT/전기전자,11.809733333333334,9.953866666666668,3.0,49.5,OK,84.0,84.0,4,1,53.4,100.0,49.5,64.3,64.3,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSDAQ,SKAI,357880,소프트웨어 개발 및 공급업,5040,644.98,2517.8,64497994518.0,75.9,94.6,74.46,141.29,0,0,0,-5.26,80.0,132.79,233.77,168.66,108.7,224.93,141.89,60.51,0.0,0.0,1,135.6,12.0,34.52,1,0,1.65,0.76,3035.0,2575.0,6160.0,7450.0,9090.0,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,15.16,6.0,6.8,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,,1,1,3224.0,3153,59.84,1.2599,1.02,2.12,False,O,▲,4167,▲,O,X,0,0,0,6.02,250,0,1,1,1,0.0,소프트웨어 개발 및 공급업,IT/전기전자,11.809733333333334,9.953866666666668,3.0,67.3,OK,63.33896534652543,63.33896534652543,6,1,87.0,64.4,67.3,77.4,77.4,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSDAQ,케이엠더블유,032500,통신 및 방송 장비 제조업,28750,658.31,11871.3,65831075500.0,73.4,81.7,40.19,73.39,0,0,0,10.58,51.08,60.26,54.65,81.39,108.33,45.81,54.62,60.14,0.052,0.052,1,55.74,12.0,-14.99,0,0,1.54,0.81,21550.0,18300.0,31950.0,36850.0,43000.0,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,15.08,5.0,3.2,NORMAL+PM_BLOCK_INTRADAY+EF:갭 7%+ 분할 진입 + 당일 10%+ 급등 분할 진입+ENTRY:split,split,50.0,,1,1,20262.0,20775,38.38,0.6443,2.8,1.78,False,O,▲,24750,▲,O,X,0,0,0,11.73,250,0,1,1,1,0.0,통신 및 방송 장비 제조업,IT/전기전자,11.809733333333334,9.953866666666668,3.0,80.4,OK,38.96377377281475,38.96377377281475,4,1,46.4,52.2,80.4,54.6,54.6,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
