종목코드,업종
107640,"해외생산 거점을 마련해 생산 준비 중이며, 연구개발과 원가경쟁력 확보로  선두주자로 독보적 위치를 유지하고 있음."
095910,동사는 2001년 설립되어 태양전지 모듈 및 태양광 시스템 설치·발전사업을 주으로 영위하고 있음.
