시장,종목명,종목코드,종가,거래대금(억원),시가총액(억원),RSI14,乖離%,MACD_hist,MACD_slope,Vol_Z,ret_5d_%,ret_10d_%,EBS,통과,근거,추천매수가,추천매도가1,추천매도가2,손절가
KOSPI,TYM,002900,6310,152.48,2842.7,57.0,3.87,6.5673,21.08337,4.04,6.05,1.94,7,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, MACD>sig, 과열아님",6140,6380,6620,5890
KOSDAQ,HB테크놀러지,078150,2110,125.74,1956.3,54.4,2.47,3.2169,0.72314,1.6,-1.17,3.69,7,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, MACD>sig, 과열아님",2080,2160,2240,2000
KOSPI,코오롱,002020,46750,125.32,5902.9,45.1,1.96,15.0562,13.20236,1.25,0.54,1.63,7,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, MACD>sig, 과열아님",46310,48150,49980,44480
KOSPI,LX홀딩스,383800,8530,60.74,6506.7,57.3,3.7,28.7978,10.60597,2.82,5.31,3.27,7,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, MACD>sig, 과열아님",8310,8640,8970,7980
KOSPI,카카오,035720,64100,8021.85,283525.9,56.3,3.54,86.8699,68.46207,2.63,-0.16,0.63,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, MACD>sig, 과열아님",62530,65010,67480,60050
KOSPI,한국전력,015760,49550,7234.28,318093.2,62.4,13.22,310.1,220.85524,2.99,9.99,12.61,6,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",44200,45950,47700,42450
KOSPI,한올바이오파마,009420,39200,769.2,20478.3,57.4,3.97,503.4289,-494.64618,1.79,-5.2,10.58,6,초입,"RSI 45~65, MA20 근처, 거래량증가, 상승구조, MACD>sig, 과열아님",38080,39590,41100,36570
KOSDAQ,미래나노텍,095500,12510,417.18,3879.4,63.8,12.57,10.5051,92.07848,3.83,8.59,-1.26,6,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",11220,11670,12110,10780
KOSDAQ,덕산하이메탈,077360,6910,327.67,3139.7,51.8,2.35,-44.5221,16.58468,3.2,6.8,5.02,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, 과열아님",6820,7090,7360,6550
KOSPI,기업은행,024110,20100,248.84,160282.6,58.2,3.25,93.8236,10.22017,1.12,3.98,3.18,6,초입,"RSI 45~65, MACD상승, MA20 근처, 상승구조, MACD>sig, 과열아님",19660,20280,20910,19040
KOSPI,LG생활건강,051900,291000,242.47,44530.2,54.3,1.74,693.8587,134.42811,1.45,0.0,0.17,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, MACD>sig, 과열아님",288890,299870,310850,277900
KOSDAQ,루닛,328130,45100,226.09,13171.3,64.2,8.17,460.9994,23.92422,1.43,7.89,10.54,6,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",42110,43780,45440,40440
