시장,종목명,종목코드,종가,거래대금(억원),시가총액(억원),RSI14,乖離%,MACD_hist,MACD_slope,Vol_Z,ret_5d_%,ret_10d_%,EBS,통과,근거,추천매수가,추천매도가1,추천매도가2,손절가
KOSPI,NH투자증권,005940,20600,287.41,73406.9,56.5,1.76,2.6538,10.08959,1.44,2.49,1.23,7,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, MACD>sig, 과열아님",20450,21260,22070,19640
KOSPI,NAVER,035420,264000,6162.12,414091.0,54.1,1.62,795.9361,-640.9007,1.21,3.33,8.87,6,초입,"RSI 45~65, MA20 근처, 거래량증가, 상승구조, MACD>sig, 과열아님",262400,272790,283180,252010
KOSPI,한국전력,015760,46100,5016.2,295945.4,59.7,9.17,169.9439,60.6542,2.64,7.33,9.37,6,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",42650,44340,46030,40960
KOSDAQ,켐트로닉스,089010,35500,1137.58,5800.5,61.1,3.56,348.1067,-335.54314,1.41,1.72,7.74,6,초입,"RSI 45~65, MA20 근처, 거래량증가, 상승구조, MACD>sig, 과열아님",34620,35990,37370,33250
KOSPI,우리금융지주,316140,26600,1045.19,195264.3,65.1,3.53,66.034,47.60077,1.88,4.31,3.91,6,초입,"MACD상승, MA20 근처, 거래량증가, 상승구조, MACD>sig, 과열아님",25950,26980,28000,24920
KOSPI,메리츠금융지주,138040,117100,473.36,205184.7,61.2,3.4,510.2526,328.12405,1.56,5.88,2.45,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, MACD>sig, 과열아님",114380,118910,123440,109850
KOSPI,삼성증권,016360,75800,390.46,67689.4,53.5,-0.22,-401.5967,16.6864,1.21,-2.32,0.13,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, 과열아님",75800,77910,80030,73690
KOSDAQ,ISC,095340,80000,380.79,16957.6,52.1,0.43,-648.8647,153.12238,2.16,0.13,2.3,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, 과열아님",80000,82730,85460,77270
KOSPI,롯데관광개발,032350,18100,259.05,14396.6,49.6,-0.79,-147.3081,22.54595,1.3,0.0,-5.88,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, 과열아님",18100,18500,18910,17700
KOSPI,LG유플러스,032640,15390,227.11,66150.6,57.5,2.31,-11.6366,38.69622,1.43,3.78,2.06,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, 과열아님",15190,15790,16400,14590
KOSDAQ,네오셈,253590,11890,195.46,5216.0,53.1,-0.29,-122.3147,2.54474,2.08,-3.88,2.85,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, 과열아님",11890,12210,12540,11570
KOSDAQ,코오롱티슈진,950160,46100,158.85,38365.0,56.7,2.76,82.5329,23.08012,1.13,5.13,5.98,6,초입,"RSI 45~65, MACD상승, MA20 근처, 상승구조, MACD>sig, 과열아님",45310,47100,48900,43510
KOSPI,오리온,271560,101700,158.45,40208.2,56.4,0.36,299.7699,47.80837,1.21,1.19,0.2,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, MACD>sig, 과열아님",101700,104360,107010,99040
KOSPI,한국가스공사,036460,42200,156.4,38956.1,63.4,2.17,-24.5479,0.87092,1.23,0.12,-0.47,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, 과열아님",41720,43370,45020,40070
KOSPI,제일기획,030000,21200,155.43,24388.7,69.6,3.81,47.8334,44.72663,1.7,4.69,4.43,6,초입,"MACD상승, MA20 근처, 거래량증가, 상승구조, MACD>sig, 과열아님",20630,21280,21930,19970
KOSPI,이마트,139480,73700,151.06,20338.1,54.0,0.47,19.1828,147.50507,1.43,0.41,-0.14,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, MACD>sig, 과열아님",73700,76200,78690,71200
KOSPI,금호석유화학,011780,115700,137.45,30118.7,57.6,1.74,-191.3398,10.89062,1.28,0.26,0.43,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, 과열아님",114860,119410,123950,110310
KOSDAQ,GST,083450,27950,127.94,5151.2,64.1,8.45,130.7104,38.2419,1.3,9.18,16.7,6,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",26030,27060,28090,25000
KOSDAQ,유니셈,036200,10470,121.99,3210.5,55.6,2.87,-49.4122,31.37995,1.6,4.6,5.33,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, 과열아님",10280,10690,11090,9870
KOSDAQ,SFA반도체,036540,4510,105.18,7417.2,57.4,2.55,-18.7235,8.56881,1.85,5.01,6.12,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, 과열아님",4440,4620,4790,4270
KOSDAQ,넥스트바이오메디컬,389650,64700,93.65,5258.1,52.1,2.68,150.4722,317.53215,1.76,8.19,3.85,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, MACD>sig, 과열아님",63640,66160,68680,61120
KOSDAQ,코스메카코리아,241710,67800,85.1,7241.0,59.5,1.41,-20.4621,24.70028,1.46,1.5,-3.0,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, 과열아님",67520,70200,72870,64850
KOSDAQ,이브이첨단소재,131400,1819,81.94,1084.0,46.9,-0.08,0.2148,3.68212,1.37,-1.41,-0.66,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, MACD>sig, 과열아님",1820,1870,1930,1770
KOSPI,롯데정밀화학,004000,46950,70.34,12113.1,49.7,0.4,-248.9349,97.99491,2.06,0.86,-2.29,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, 과열아님",46950,48540,50130,45360
KOSDAQ,감성코퍼레이션,036620,5510,63.58,4986.8,60.6,3.37,28.423,25.04773,1.4,4.75,3.77,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, MACD>sig, 과열아님",5380,5600,5810,5170
KOSPI,케이씨텍,281820,39350,62.44,8141.6,55.8,1.42,-162.326,86.52322,1.39,3.01,4.79,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, 과열아님",39190,40740,42290,37640
KOSDAQ,미래컴퍼니,049950,16980,60.88,1497.3,56.7,5.84,28.2542,70.93795,4.55,9.9,10.4,6,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",16200,16850,17490,15560
KOSPI,신영증권,001720,147000,60.48,24166.8,61.4,5.34,784.2008,63.3143,1.44,4.93,8.41,6,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",140940,146520,152100,135360
KOSPI,코리안리,003690,11130,55.66,21683.6,63.8,2.96,6.4179,38.14642,1.56,4.31,0.45,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, MACD>sig, 과열아님",10920,11350,11780,10490
KOSDAQ,토비스,051360,15120,53.53,2393.1,49.4,-0.52,45.4721,13.55755,2.56,-0.4,-0.13,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, MACD>sig, 과열아님",15120,15500,15870,14740
KOSPI,에이피알,278470,234000,5452.33,87587.7,47.7,-5.59,20.6195,-2244.16145,4.07,-7.69,-3.51,5,초입,"RSI 45~65, 거래량증가, 상승구조, MACD>sig, 과열아님",234000,227590,221170,240410
KOSPI,산일전기,062040,150600,3285.61,45850.5,61.9,6.91,1310.3237,-1432.68795,1.77,-5.22,10.25,5,초입,"RSI 45~65, 거래량증가, 상승구조, MACD>sig, 과열아님",142270,147910,153540,136640
KOSPI,KB금융,105560,125300,2171.86,477972.0,72.5,7.67,875.6161,282.31146,1.64,8.2,9.15,5,초입,"MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",117530,122190,126840,112880
KOSDAQ,피아이이,452450,9210,1765.63,3304.4,61.5,8.19,40.7047,51.59794,8.52,13.56,12.73,5,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, MACD>sig",8600,8940,9280,8260
KOSPI,하나금융지주,086790,93000,1765.28,258843.0,71.2,6.73,305.7833,417.41084,1.99,8.27,6.04,5,초입,"MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",88010,91490,94980,84520
KOSPI,신한지주,055550,79200,1416.5,384512.0,71.6,7.66,296.153,232.99074,1.38,8.05,8.05,5,초입,"MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",74300,77240,80190,71360
KOSPI,현대건설,000720,65000,1159.13,72381.2,62.9,2.92,162.7426,-281.95102,0.92,-5.66,13.84,5,초입,"RSI 45~65, MA20 근처, 상승구조, MACD>sig, 과열아님",63790,66310,68840,61260
KOSPI,SK,034730,254000,1119.7,184156.9,68.9,7.59,684.8505,173.14309,1.55,2.63,10.43,5,초입,"MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",238440,247880,257320,228990
KOSPI,LG,003550,86500,937.2,133401.7,74.9,9.96,429.8175,238.99709,2.82,4.59,7.05,5,초입,"MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",79450,82600,85740,76310
KOSPI,SKC,011790,117300,789.71,44419.5,55.4,2.58,853.5436,-1024.46896,1.15,1.03,11.5,5,초입,"RSI 45~65, MA20 근처, 상승구조, MACD>sig, 과열아님",115500,120070,124650,110920
KOSPI,포스코DX,022100,26400,445.61,40137.2,55.6,2.48,66.744,-201.10872,1.15,-1.68,0.57,5,초입,"RSI 45~65, MA20 근처, 상승구조, MACD>sig, 과열아님",26020,27050,28080,24990
KOSPI,삼성에스디에스,018260,173000,417.12,133863.6,54.3,0.9,479.2913,-711.86494,0.78,2.73,5.68,5,초입,"RSI 45~65, MA20 근처, 상승구조, MACD>sig, 과열아님",173000,179690,186390,166310
KOSPI,두산우,000155,572000,403.92,22859.8,67.6,21.19,7438.2317,22.83055,1.37,9.58,29.71,5,초입,"MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",476690,495570,514450,457820
KOSDAQ,쏠리드,050890,7830,399.82,4757.2,62.1,4.15,77.3353,-62.09611,1.68,-9.69,11.22,5,초입,"RSI 45~65, 거래량증가, 상승구조, MACD>sig, 과열아님",7590,7890,8190,7290
KOSPI,DB손해보험,005830,139000,392.92,98412.0,65.0,5.82,392.1921,837.09101,1.53,8.42,4.83,5,초입,"RSI 45~65, MACD상승, 거래량증가, MACD>sig, 과열아님",132670,137920,143180,127410
KOSDAQ,엘앤씨바이오,290650,52400,375.37,12900.3,57.5,1.25,188.7642,-292.177,1.12,-2.06,2.54,5,초입,"RSI 45~65, MA20 근처, 상승구조, MACD>sig, 과열아님",52270,54340,56410,50200
KOSDAQ,덕산하이메탈,077360,7180,361.94,3262.4,59.2,6.01,-64.1163,50.45534,3.48,5.12,7.65,5,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, 과열아님",6840,7110,7380,6570
KOSDAQ,HK이노엔,195940,52000,341.15,14731.5,65.8,7.17,229.8745,105.23717,2.61,6.56,7.55,5,초입,"MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",49010,50950,52890,47070
KOSDAQ,리노공업,058470,57600,322.83,43898.0,52.0,0.51,-367.6909,9.9996,0.87,-1.03,0.17,5,초입,"RSI 45~65, MACD상승, MA20 근처, 상승구조, 과열아님",57600,59610,61620,55590
KOSDAQ,HB테크놀러지,078150,2185,303.99,2025.8,61.1,5.73,7.1153,7.55732,4.32,12.69,6.59,5,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, MACD>sig",2090,2170,2250,2000
KOSPI,신세계,004170,188700,250.66,18200.5,68.6,6.54,688.039,900.56296,3.0,6.97,5.54,5,초입,"MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",178880,185970,193050,171800
KOSPI,BNK금융지주,138930,14950,238.49,47006.6,61.2,4.86,80.9463,46.12579,1.44,8.18,4.91,5,초입,"RSI 45~65, MACD상승, 거래량증가, MACD>sig, 과열아님",14400,14970,15540,13830
KOSDAQ,한중엔시에스,107640,51400,236.68,4659.4,52.3,10.99,-70.6918,107.19387,1.29,7.98,12.6,5,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, 과열아님",46770,48630,50480,44920
KOSPI,GS,078930,50600,236.26,47015.2,70.9,6.53,144.9352,111.63033,1.9,3.9,4.76,5,초입,"MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",47970,49870,51770,46070
KOSPI,롯데지주,004990,30700,210.18,32207.1,62.6,5.14,38.5707,106.99901,2.91,3.02,4.96,5,초입,"RSI 45~65, MACD상승, 거래량증가, MACD>sig, 과열아님",29490,30660,31830,28320
KOSPI,HD현대에너지솔루션,322000,60200,208.64,6742.4,63.0,9.79,1136.1939,-671.8285,1.38,3.79,12.52,5,초입,"RSI 45~65, 거래량증가, 상승구조, MACD>sig, 과열아님",55380,57570,59760,53190
KOSDAQ,엑시콘,092870,15110,208.62,1972.0,56.3,-0.86,-162.0569,-4.69448,2.11,-5.62,-0.79,5,초입,"RSI 45~65, MA20 근처, 거래량증가, 상승구조, 과열아님",15110,15440,15760,14780
KOSPI,더존비즈온,012510,93400,196.86,28377.5,56.8,2.56,-152.1762,122.26337,0.85,4.83,6.5,5,초입,"RSI 45~65, MACD상승, MA20 근처, 상승구조, 과열아님",91980,95620,99260,88330
KOSPI,한온시스템,018880,4185,191.58,28406.2,63.9,8.27,43.0216,-28.00962,1.42,1.45,8.42,5,초입,"RSI 45~65, 거래량증가, 상승구조, MACD>sig, 과열아님",3900,4060,4210,3750
KOSDAQ,파인엠텍,441270,9730,184.64,3662.4,52.2,3.74,103.5945,61.16869,1.78,13.54,7.99,5,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, MACD>sig",9470,9850,10220,9100
KOSDAQ,한국비엔씨,256840,5390,184.55,3686.5,61.2,6.04,63.1978,-17.53977,1.35,6.31,10.11,5,초입,"RSI 45~65, 거래량증가, 상승구조, MACD>sig, 과열아님",5130,5340,5540,4930
KOSPI,한농화성,011500,16460,173.58,2573.9,54.5,4.86,-19.1208,11.4591,2.22,2.68,7.79,5,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, 과열아님",15850,16480,17110,15230
KOSPI,코오롱,002020,48500,161.7,6123.8,60.2,7.5,100.7951,187.41775,2.01,11.49,4.3,5,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, MACD>sig",45570,47370,49180,43760
KOSDAQ,에스앤에스텍,101490,59000,161.52,12656.4,50.2,1.45,-192.4248,105.71476,0.79,7.47,-2.48,5,초입,"RSI 45~65, MACD상승, MA20 근처, 상승구조, 과열아님",58740,61060,63390,56410
KOSDAQ,아이티센글로벌,124500,19990,155.53,4638.6,55.9,0.49,-113.2843,73.50208,0.67,6.9,2.09,5,초입,"RSI 45~65, MACD상승, MA20 근처, 상승구조, 과열아님",19990,20680,21380,19300
KOSPI,한솔케미칼,014680,222500,149.2,25220.8,63.4,2.57,58.5191,-453.1432,0.82,-3.68,9.61,5,초입,"RSI 45~65, MA20 근처, 상승구조, MACD>sig, 과열아님",219090,227770,236450,210420
KOSDAQ,범한퓨얼셀,382900,32450,147.18,2842.9,62.0,2.2,58.3601,-315.26221,0.32,-11.7,5.53,5,초입,"RSI 45~65, MA20 근처, 상승구조, MACD>sig, 과열아님",32070,33340,34610,30800
