시장,종목명,종목코드,업종,종가,거래대금(억원),시가총액(억원),RSI14,MFI14,이격도,MACD_Hist,MACD_Slope,거래강도,ret_5d_%,ret_10d_%,ret_60d_%,idx_60d_%,rel_60d_%,EBS,통과,근거,추천매수가,손절가,추천매도가1,추천매도가2,업종_상세,업종_대분류,RR1,Now%,LDY_SCORE,ENTRY_SCORE,ROUTE,REGIME,AI_COMMENT,기준일,시총기준일,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,60일_종목수익률_%,60일_지수수익률_%,60일_초과수익(α)_%
KOSPI,LG에너지솔루션,373220,일차전지 및 이차전지 제조업,443500,1028.49,1037790.0,51.9,54.2,1.76,686.4424,1327.59447,0.68,6.87,7.26,27.81,27.1,0.71,6,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), MACD>Sig",443500,412500,490000,537000,일차전지 및 이차전지 제조업,2차전지,1.5,0.0,92.5,86.9,🔺 Watch (관찰·돌파예상),③ 박스 / 중립,🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다. (강력 매수 추천),20251209,20251209,27.1,12.92,27.81,27.1,0.71
KOSPI,HD현대중공업,329180,선박 및 보트 건조업,577000,2022.61,512220.9,50.9,63.9,3.95,78.6912,3300.49292,1.09,10.96,5.29,14.48,27.1,-12.62,7,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",572000,532000,632000,692000,선박 및 보트 건조업,조선·기계·설비,1.5,0.8741258741258742,90.4,83.8,🔼 BRK (돌파),④ 바닥 반등 시도,💸 자금 유입이 꾸준히 이어지고 있습니다. 🚀 상승 에너지가 폭발적으로 증가하는 중입니다.  (강력 매수 추천),20251209,20251209,27.1,12.92,14.48,27.1,-12.62
KOSPI,일동제약,249420,의약품 제조업,29700,1323.68,9396.6,54.1,58.3,1.77,-228.3304,119.33937,2.04,5.32,3.3,37.18,27.1,10.08,6,★,"RSI적정, MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑)",29700,27600,32800,35950,의약품 제조업,바이오·의약품,1.4761904761904763,0.0,89.1,84.1,🔺 Watch (관찰·돌파예상),① 강한 상승 추세,🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다. (매수 유효),20251209,20251209,27.1,12.92,37.18,27.1,10.08
KOSPI,SK하이닉스,000660,반도체 제조업,566000,13558.61,4120493.4,51.1,55.6,1.68,-2254.4674,1117.61558,0.6,1.43,9.06,96.53,27.1,69.43,5,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑)",566000,526000,614000,665000,반도체 제조업,반도체,1.2,0.0,88.4,86.9,🔺 Watch (상승 준비),① 강한 상승 추세,🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다. (매수 유효),20251209,20251209,27.1,12.92,96.53,27.1,69.43
KOSDAQ,삼천당제약,000250,의약품 제조업,227500,751.49,53365.7,55.7,58.5,3.57,194.5722,781.53624,2.63,0.44,11.52,12.62,12.92,-0.3,7,★,"RSI적정, MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), MACD>Sig",226000,210500,250000,273500,의약품 제조업,바이오·의약품,1.5483870967741935,0.6637168141592921,85.4,84.9,🔺 Watch (상승 준비),③ 박스 / 중립,🚀 상승 에너지가 폭발적으로 증가하는 중입니다.  (매수 유효),20251209,20251209,27.1,12.92,12.62,12.92,-0.3
KOSPI,삼성SDI,006400,일차전지 및 이차전지 제조업,310000,862.46,249815.1,58.5,54.0,1.77,-794.9285,253.23607,0.71,1.64,8.96,53.85,27.1,26.75,5,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑)",310000,290000,334000,360500,일차전지 및 이차전지 제조업,2차전지,1.2,0.0,84.7,83.1,🔺 Watch (관찰·돌파예상),① 강한 상승 추세,🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다. (매수 유효),20251209,20251209,27.1,12.92,53.85,27.1,26.75
KOSPI,SK,034730,기타 금융업,272000,542.93,197207.4,58.2,71.3,4.04,323.7906,385.4074,0.75,5.22,9.24,22.52,27.1,-4.58,7,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",269500,250500,297500,326000,기타 금융업,금융,1.4736842105263157,0.927643784786642,84.6,83.6,🔼 BRK (돌파),③ 박스 / 중립,💰 외국인/기관의 강력한 수급이 집중되고 있습니다. 🚀 상승 에너지가 폭발적으로 증가하는 중입니다.  (매수 유효),20251209,20251209,27.1,12.92,22.52,27.1,-4.58
KOSPI,NAVER,035420,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",248000,1230.83,388994.5,49.6,48.7,-1.85,-689.1551,200.80456,0.56,2.06,-1.98,7.36,27.1,-19.74,3,,"RSI적정, MACD상승, 장기추세(120↑)",248000,231500,268000,290000,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",인터넷/플랫폼·게임,1.2121212121212122,0.0,83.8,77.9,🔺 Watch (관찰·돌파예상),④ 바닥 반등 시도,🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다. (매수 유효),20251209,20251209,27.1,12.92,7.36,27.1,-19.74
KOSPI,한미반도체,042700,특수 목적용 기계 제조업,121300,735.45,115613.7,50.8,65.1,-1.63,-407.1835,222.67293,0.59,0.66,1.0,44.4,27.1,17.3,5,★,"RSI적정, MACD상승, 정배열(단), 장기추세(120↑), 자금유입(MFI)",121300,112800,131500,142500,특수 목적용 기계 제조업,반도체,1.2,0.0,82.8,82.5,🔺 Watch (상승 준비),① 강한 상승 추세,💸 자금 유입이 꾸준히 이어지고 있습니다. 🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다. (매수 유효),20251209,20251209,27.1,12.92,44.4,27.1,17.3
KOSPI,두산,000150,기타 금융업,886000,663.65,143477.4,47.2,41.7,-1.44,-5649.9187,393.36455,0.59,3.99,6.75,45.72,27.1,18.62,4,★,"RSI적정, MACD상승, 정배열(단), 장기추세(120↑)",886000,824000,960000,1041000,기타 금융업,금융,1.1935483870967742,0.0,82.8,83.7,🔺 Watch (관찰·돌파예상),⑤ 하락 / 약세,🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다. (매수 유효),20251209,20251209,27.1,12.92,45.72,27.1,18.62
KOSPI,효성중공업,298040,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",1948000,648.66,181642.2,45.5,56.5,-2.23,-14332.6051,3690.158,0.55,4.67,0.41,55.59,27.1,28.49,4,★,"RSI적정, MACD상승, 정배열(단), 장기추세(120↑)",1948000,1812000,2112000,2289000,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",인프라·에너지,1.2058823529411764,0.0,82.6,83.9,🔺 Watch (관찰·돌파예상),⑤ 하락 / 약세,🚀 상승 에너지가 폭발적으로 증가하는 중입니다.  (매수 유효),20251209,20251209,27.1,12.92,55.59,27.1,28.49
