종목코드,종목명,시장,업종,업종_상세,업종_대분류,종가,거래대금(억원),시가총액(억원),추천매수가,손절가,추천매도가1,추천매도가2,LDY_SCORE,ENTRY_SCORE,ROUTE,REGIME,RSI14,MFI14,이격도,MACD_Hist,MACD_Slope,거래강도,BB_BW,BB_SQUEEZE,Above_MA20,ret_5d_%,ret_10d_%,ret_60d_%,idx_60d_%,rel_60d_%,EBS,통과,근거,SECTOR_RET_5D,SECTOR_RANK,RR1,Now%,AI_COMMENT,MKT_BREADTH_ALL_%,MKT_BREADTH_KOSPI_%,MKT_BREADTH_KOSDAQ_%,MKT_TEMP,TOP_SECTORS_5D,REGIME_RANK,기준일,시총기준일,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,60일_종목수익률_%,60일_지수수익률_%,60일_초과수익(α)_%
240810,원익IPS,KOSDAQ,특수 목적용 기계 제조업,특수 목적용 기계 제조업,조선·기계·설비,62400,240.83,30628.4,62400,58000,67600,73300,76.7,84.6,🔺 Watch (상승 준비),① 강한 상승 추세,65.7,57.0,1.65,-102.7494,53.38361,0.84,11.43,0,1,0.97,1.79,40.7,10.66,30.04,4,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑)",6.1534375,6.0,1.1818181818181819,0.0,📈 상승 추세가 견고하게 유지되고 있습니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,78.5,75.7,81.5,🔥 과열,1.철강·금속(+14.7%) / 2.유통·소비재(+10.0%) / 3.IT/전기전자(+8.0%) / 4.바이오·의약품(+7.0%) / 5.2차전지(+6.9%),1,20251212,20251212,22.72,10.66,40.7,10.66,30.04
039200,오스코텍,KOSDAQ,의약품 제조업,의약품 제조업,바이오·의약품,60100,256.14,22993.2,58800,54700,63800,69100,74.4,77.2,🔺 Watch (관찰·돌파예상),① 강한 상승 추세,59.3,57.1,5.19,-378.7281,69.93815,0.71,25.81,0,1,5.62,-3.06,38.16,10.66,27.5,4,★,"RSI적정, MACD상승, 정배열(단), 장기추세(120↑)",6.968260869565218,4.0,1.2195121951219512,2.2108843537414966,📈 상승 추세가 견고하게 유지되고 있습니다. ⚠️ 단기 급등으로 인한 조정 가능성을 염두에 두세요.,78.5,75.7,81.5,🔥 과열,1.철강·금속(+14.7%) / 2.유통·소비재(+10.0%) / 3.IT/전기전자(+8.0%) / 4.바이오·의약품(+7.0%) / 5.2차전지(+6.9%),1,20251212,20251212,22.72,10.66,38.16,10.66,27.5
397030,에이프릴바이오,KOSDAQ,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,기타,43400,960.52,10072.4,41100,38200,45400,49750,74.0,66.9,🔺 Watch (상승 준비),① 강한 상승 추세,67.8,79.6,8.76,30.5295,90.97618,1.8,18.97,0,1,0.12,8.5,55.56,10.66,44.9,6,★,"MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",5.643875968992248,7.0,1.4827586206896552,5.59610705596107,💰 외국인/기관의 강력한 수급이 집중되고 있습니다. 📈 상승 추세가 견고하게 유지되고 있습니다. ⚠️ 단기 급등으로 인한 조정 가능성을 염두에 두세요.,78.5,75.7,81.5,🔥 과열,1.철강·금속(+14.7%) / 2.유통·소비재(+10.0%) / 3.IT/전기전자(+8.0%) / 4.바이오·의약품(+7.0%) / 5.2차전지(+6.9%),1,20251212,20251212,22.72,10.66,55.56,10.66,44.9
003160,디아이,KOSPI,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",기타,21250,88.85,6013.8,21250,19760,23050,24950,73.9,76.1,🔁 MR (반전),① 강한 상승 추세,50.4,44.3,-5.4,-186.5271,10.39503,0.48,32.44,0,0,-4.92,-0.7,45.55,22.72,22.83,4,★,"RSI적정, MACD상승, 정배열(단), 장기추세(120↑)",5.643875968992248,7.0,1.2080536912751678,0.0,📈 상승 추세가 견고하게 유지되고 있습니다. 📉 과매도 구간으로 기술적 반등이 기대됩니다.,78.5,75.7,81.5,🔥 과열,1.철강·금속(+14.7%) / 2.유통·소비재(+10.0%) / 3.IT/전기전자(+8.0%) / 4.바이오·의약품(+7.0%) / 5.2차전지(+6.9%),1,20251212,20251212,22.72,10.66,45.55,22.72,22.83
093370,후성,KOSPI,기초 화학물질 제조업,기초 화학물질 제조업,화학·소재,8050,86.79,8634.1,8050,7490,8730,9460,73.5,75.9,↩️ PULL (눌림),① 강한 상승 추세,54.8,45.7,-1.4,-53.8967,6.18786,0.63,15.27,0,0,-0.86,-3.94,43.75,22.72,21.03,4,★,"RSI적정, MACD상승, 정배열(단), 장기추세(120↑)",2.95962962962963,9.0,1.2142857142857142,0.0,📈 상승 추세가 견고하게 유지되고 있습니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,78.5,75.7,81.5,🔥 과열,1.철강·금속(+14.7%) / 2.유통·소비재(+10.0%) / 3.IT/전기전자(+8.0%) / 4.바이오·의약품(+7.0%) / 5.2차전지(+6.9%),1,20251212,20251212,22.72,10.66,43.75,22.72,21.03
090710,휴림로봇,KOSDAQ,특수 목적용 기계 제조업,특수 목적용 기계 제조업,조선·기계·설비,5850,921.46,6988.2,5520,5130,6100,6680,72.6,64.8,🔼 BRK (돌파),① 강한 상승 추세,69.6,78.1,9.17,36.9213,10.82342,1.68,24.08,0,1,7.14,9.76,93.71,10.66,83.05,6,★,"MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",6.1534375,6.0,1.4871794871794872,5.978260869565218,💰 외국인/기관의 강력한 수급이 집중되고 있습니다. 📈 상승 추세가 견고하게 유지되고 있습니다. ⚠️ 단기 급등으로 인한 조정 가능성을 염두에 두세요.,78.5,75.7,81.5,🔥 과열,1.철강·금속(+14.7%) / 2.유통·소비재(+10.0%) / 3.IT/전기전자(+8.0%) / 4.바이오·의약품(+7.0%) / 5.2차전지(+6.9%),1,20251212,20251212,22.72,10.66,93.71,10.66,83.05
103590,일진전기,KOSPI,절연선 및 케이블 제조업,절연선 및 케이블 제조업,기타,60400,908.27,28802.0,56600,52700,62600,68500,70.3,64.5,🔼 BRK (돌파),① 강한 상승 추세,69.5,78.8,9.86,154.3624,376.14893,2.08,14.46,0,1,9.82,10.02,58.12,22.72,35.4,6,★,"MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",5.643875968992248,7.0,1.5384615384615385,6.713780918727916,💰 외국인/기관의 강력한 수급이 집중되고 있습니다. 🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ⚠️ 단기 급등으로 인한 조정 가능성을 염두에 두세요.,78.5,75.7,81.5,🔥 과열,1.철강·금속(+14.7%) / 2.유통·소비재(+10.0%) / 3.IT/전기전자(+8.0%) / 4.바이오·의약품(+7.0%) / 5.2차전지(+6.9%),1,20251212,20251212,22.72,10.66,58.12,22.72,35.4
413630,씨피시스템,KOSDAQ,플라스틱제품 제조업,플라스틱제품 제조업,기타,4670,109.5,1701.6,4535,4215,4915,5330,67.8,73.7,🔼 BRK (돌파),① 강한 상승 추세,63.8,81.8,6.08,-17.3154,2.35156,0.47,31.94,0,1,4.01,10.93,52.86,10.66,42.2,5,★,"RSI적정, MACD상승, 정배열(단), 장기추세(120↑), 자금유입(MFI)",5.643875968992248,7.0,1.1875,2.9768467475192946,💰 외국인/기관의 강력한 수급이 집중되고 있습니다. 📈 상승 추세가 견고하게 유지되고 있습니다. ⚠️ 단기 급등으로 인한 조정 가능성을 염두에 두세요.,78.5,75.7,81.5,🔥 과열,1.철강·금속(+14.7%) / 2.유통·소비재(+10.0%) / 3.IT/전기전자(+8.0%) / 4.바이오·의약품(+7.0%) / 5.2차전지(+6.9%),1,20251212,20251212,22.72,10.66,52.86,10.66,42.2
010120,LS ELECTRIC,KOSPI,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",인프라·에너지,506000,582.16,151800.0,490000,455500,531000,576000,65.8,69.8,🔺 Watch (상승 준비),① 강한 상승 추세,69.7,69.0,6.39,-287.629,25.78426,0.58,22.14,0,1,-1.75,10.0,60.13,22.72,37.41,4,★,"MACD상승, 정배열(단), 장기추세(120↑), 자금유입(MFI)",1.8118181818181818,12.0,1.1884057971014492,3.2653061224489797,💸 자금 유입이 꾸준히 이어지고 있습니다. 📈 상승 추세가 견고하게 유지되고 있습니다. ⚠️ 단기 급등으로 인한 조정 가능성을 염두에 두세요.,78.5,75.7,81.5,🔥 과열,1.철강·금속(+14.7%) / 2.유통·소비재(+10.0%) / 3.IT/전기전자(+8.0%) / 4.바이오·의약품(+7.0%) / 5.2차전지(+6.9%),1,20251212,20251212,22.72,10.66,60.13,22.72,37.41
476060,온코닉테라퓨틱스,KOSDAQ,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,기타,19280,951.83,8577.6,17920,16670,19430,21050,64.2,54.9,🔺 Watch (관찰·돌파예상),① 강한 상승 추세,60.0,59.5,10.81,-35.0799,111.05734,0.97,42.88,0,1,11.57,-7.08,112.76,10.66,102.1,4,★,"RSI적정, MACD상승, 정배열(단), 장기추세(120↑)",5.643875968992248,7.0,1.208,7.5892857142857135,🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ⚠️ 단기 급등으로 인한 조정 가능성을 염두에 두세요.,78.5,75.7,81.5,🔥 과열,1.철강·금속(+14.7%) / 2.유통·소비재(+10.0%) / 3.IT/전기전자(+8.0%) / 4.바이오·의약품(+7.0%) / 5.2차전지(+6.9%),1,20251212,20251212,22.72,10.66,112.76,10.66,102.1
