시장,종목명,종목코드,업종,종가,거래대금(억원),시가총액(억원),거래대금(원),RSI14,MFI14,이격도,BB_BW,TTM_SQUEEZE,TTM_SQUEEZE_CNT,BB_SQUEEZE_BW,ret_1d_%,ret_5d_%,ret_10d_%,ret_20d_%,ret_60d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,RES_RATIO,RES_RATIO_NEAR,IS_ABOVE_POC,POC_GAP,NEAR_THRES,Low_Trend_PCT,RSI_Rising,BB_Expanding,Vol_Quality,Range_Pos,외인순매수,기관순매수,메이저순매수,TRIGGER,Above_MA20,SUPERTREND_DIR,SUPERTREND_VAL,VWAP,VWAP_GAP,MACD_Slope_PCT,거래강도,V_POWER,IS_SWING_SUPPORT,주봉20선_상회,주봉추세,HMA20,HMA_Trend,HMA_On,OBV_Div,gap_pct,_data_length,consecutive_limit_up,MTF_WEEKLY_TREND,MTF_MONTHLY_TREND,MTF_DATA_SUFFICIENT,추천매수가,손절가,추천매도가1,추천매도가2,추천매도가3,ENTRY_ACTION,POSITION_PCT,PLAN_REASON,STOP_PCT,MAX_LOSS_PCT,RR_MULT,REGIME,TIME_STOP_DAYS,EXEC_RULE_ID,STOP_REASON,TP1_METHOD,TP1_PROB,TP2_METHOD,TP2_PROB,TP3_METHOD,TP3_PROB,개인순매수,업종_상세,업종_대분류,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,ML_RAW_SCORE,ML_TRUSTED,V23_ATR_Pct,V23_OBV_Slope,V23_Upper_Shadow_Ratio,V23_SIGNAL_STATUS,ML_SCORE,ML_STATUS,TRIGGER_SCORE,RAW_TRIGGER_SCORE,ML_EFFECTIVE_SCORE,EBS,PASS_EBS,STRUCT_SCORE,TIMING_SCORE,AI_SCORE,FINAL_SCORE,DISPLAY_SCORE,W_STRUCT,W_TIMING,W_AI,SCORING_AXES,BLOCK_REASON
KOSDAQ,기가레인,049080,전자부품 제조업,12990,772.59,1102.6,77258857215.0,69.5,95.4,64.1,135.39,0,0,0,15.06,117.59,137.04,30.82,-50.8,134.9,53.26,-14.61,158.12,0.708,0.175,0,-45.86,12.0,-12.71,1,0,6.29,0.81,0,0,0,,1,1,8483.5,15491,-16.15,1.6579,4.39,1.59,False,X,▲,8991,▲,O,X,-0.35,250,0,1,1,1,8310.0,7640.0,14950.0,24000.0,28500.0,hold,0.0,NORMAL+PM_BLOCK_INTRADAY+EF:당일 15%+ 급등 진입 보류+ENTRY:hold,8.06,6.0,9.9,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:당일 15%+ 급등 진입 보류+ENTRY:hold,SWING_20D,80,VP_RESISTANCE,65,SWING_60D,60,0.0,전자부품 제조업,IT/전기전자,-6.25027027027027,0.9548648648648647,13.0,44.4,0,0.11814032772462334,0.08845206320741665,0.4462025316455696,OK,0.0,UNVALIDATED_MODEL,7.5,7.5,0.0,4,1,52.2,0.0,0.0,26.1,26.1,0.5,0.5,0.0,STRUCT+TIMING+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSPI,금호건설,002990,건물 건설업,10860,663.4,4046.4,66340481545.0,57.8,76.1,4.79,167.56,0,0,0,-0.37,-35.43,-7.42,146.26,101.86,159.81,174.28,97.08,126.44,0.643,0.218,0,-19.97,12.0,133.47,1,0,1.31,0.46,0,0,0,,1,1,8375.5,12360,-12.14,-2.361,0.47,-1.32,False,O,▲,15068,▼,X,X,-4.95,249,0,1,1,1,10860.0,9990.0,19380.0,23750.0,29200.0,enter,100.0,NORMAL+WARN:ATR%=26.4% > 20% — 이상치 의심+PM_BLOCK_INTRADAY+EF:정상,8.01,6.0,9.8,normal,7,v1_sl_first_gap_at_open,NORMAL+WARN:ATR%=26.4% > 20% — 이상치 의심+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_3.5x,45,FIBO_1.618,25,0.0,건물 건설업,건설·부동산,-7.138888888888889,39.91777777777778,1.0,42.2,0,0.41752170481452255,0.0447566650411634,0.41304347826086957,OK,0.0,UNVALIDATED_MODEL,25.533316178824784,25.533316178824784,0.0,6,1,93.3,21.4,0.0,57.4,57.4,0.5,0.5,0.0,STRUCT+TIMING+SECTOR,[급락종목: 5일 -25% 이하 급락]
KOSDAQ,로킷헬스케어,376900,의료용품 및 기타 의약 관련제품 제조업,61400,540.17,9746.5,54016913025.0,62.1,71.3,43.72,62.84,0,0,0,26.99,67.53,53.31,47.24,-38.35,-11.14,69.68,-2.16,12.08,0.692,0.126,0,-4.21,12.0,-9.62,1,0,1.25,0.98,0,0,0,,1,1,35760.0,58626,4.73,1.0436,3.11,2.08,False,X,▼,44733,▲,O,X,-4.65,250,0,-1,1,1,44850.0,41250.0,62000.0,64200.0,96900.0,hold,0.0,NORMAL+PM_BLOCK_INTRADAY+EF:당일 15%+ 급등 진입 보류+ENTRY:hold,8.03,5.0,4.8,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:당일 15%+ 급등 진입 보류+ENTRY:hold,SWING_20D,80,VP_RESISTANCE,65,SWING_60D,60,0.0,의료용품 및 기타 의약 관련제품 제조업,기타,-3.4541176470588235,16.385882352941177,6.0,50.0,0,0.0945207073057236,0.006248114414233335,0.032520325203252036,OK,0.0,UNVALIDATED_MODEL,70.69936325172864,70.69936325172864,0.0,6,1,40.3,72.6,0.0,56.4,56.4,0.5,0.5,0.0,STRUCT+TIMING+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSDAQ,코오롱티슈진,950160,기초 의약물질 제조업,61200,375.83,52001.7,37583308600.0,24.4,16.6,-30.16,53.98,0,0,0,-1.45,-32.0,-32.23,-40.06,-43.28,-17.52,-17.62,-7.09,5.7,0.99,0.026,0,-40.35,12.0,-32.44,0,0,1.28,0.11,0,0,0,,0,-1,98900.0,102248,-40.15,-0.6402,1.31,-1.59,False,X,▼,72025,▼,X,X,-2.74,250,0,-1,-1,1,61200.0,56300.0,106200.0,111300.0,149000.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,8.01,4.0,9.2,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,BB_UPPER,75,SWING_60D,60,0.0,기초 의약물질 제조업,기타,-3.4541176470588235,16.385882352941177,6.0,80.5,0,0.17740429505135388,-0.046822270693723474,0.6290322580645161,OK,0.0,UNVALIDATED_MODEL,28.0,28.0,0.0,2,0,0.0,20.1,0.0,10.0,10.0,0.5,0.5,0.0,STRUCT+TIMING+SECTOR,[급락종목: 5일 -25% 이하 급락]
KOSDAQ,씨피시스템,413630,플라스틱제품 제조업,3345,341.27,1218.8,34127388181.0,57.1,91.6,25.41,69.44,0,0,0,-0.45,54.15,35.98,4.69,-17.81,-40.59,27.13,18.38,-17.37,0.603,0.228,0,-1.75,12.0,-15.92,0,0,3.11,0.71,0,0,0,,1,1,2253.6,3121,7.16,1.3028,2.03,0.96,False,X,▼,2523,▲,O,X,-1.79,250,0,-1,-1,1,2800.0,2575.0,3915.0,4500.0,6190.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,8.04,6.0,5.0,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,SWING_60D,60,SWING_120D,45,0.0,플라스틱제품 제조업,기타,-3.4541176470588235,16.385882352941177,6.0,72.2,0,0.12434336963484946,0.023149820695254238,0.6745562130177515,OK,0.0,UNVALIDATED_MODEL,49.0,49.0,0.0,6,1,25.6,43.4,0.0,34.5,34.5,0.5,0.5,0.0,STRUCT+TIMING+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSPI,후성,093370,기초 화학물질 제조업,10280,290.02,11025.8,29001784490.0,27.7,33.7,-30.32,84.87,0,0,0,-12.06,-25.18,-29.05,-39.32,-21.17,35.26,-11.3,-25.95,1.89,0.86,0.189,0,-43.86,12.0,-22.43,0,0,1.41,0.0,0,0,0,,0,-1,15575.0,15754,-34.75,0.5233,0.54,-2.15,True,X,▲,10617,▼,X,X,-5.65,250,0,1,1,1,10280.0,9960.0,20950.0,23550.0,,enter,100.0,SWING+WARN:ATR%=20.1% > 20% — 이상치 의심+PM_BLOCK_INTRADAY+EF:정상,3.11,5.0,33.3,normal,7,v1_sl_first_gap_at_open,SWING+WARN:ATR%=20.1% > 20% — 이상치 의심+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,SWING_60D,60,,0,0.0,기초 화학물질 제조업,화학·소재,-6.53,17.285185185185185,8.0,83.2,0,0.190869927737632,-0.05105311138268543,0.2897196261682243,OK,0.0,UNVALIDATED_MODEL,8.934827176379164,8.934827176379164,0.0,4,1,4.0,0.0,0.0,2.0,2.0,0.5,0.5,0.0,STRUCT+TIMING+SECTOR,[급락종목: 5일 -25% 이하 급락]
KOSPI,삼화콘덴서,001820,전자부품 제조업,80000,253.5,8316.0,25349970050.0,29.8,47.8,-32.39,83.21,0,0,0,-8.05,-27.4,-32.94,-53.35,26.78,171.19,-25.33,22.0,137.82,0.63,0.032,0,-48.21,12.0,-28.61,0,0,2.1,0.0,0,0,0,,0,-1,119640.0,124643,-35.82,0.3871,0.42,-1.06,True,X,▲,83151,▼,X,X,-7.01,250,0,1,1,1,80000.0,77200.0,181900.0,196800.0,235500.0,enter,100.0,SWING+WARN:ATR%=20.8% > 20% — 이상치 의심+PM_BLOCK_INTRADAY+EF:정상,3.5,5.0,36.4,normal,7,v1_sl_first_gap_at_open,SWING+WARN:ATR%=20.8% > 20% — 이상치 의심+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,SWING_60D,60,FIBO_1.272,40,0.0,전자부품 제조업,IT/전기전자,-6.25027027027027,0.9548648648648647,13.0,53.2,0,0.18875,-0.10358529278934805,0.8414634146341463,OK,0.0,UNVALIDATED_MODEL,15.0,15.0,0.0,4,1,16.7,1.7,0.0,9.2,9.2,0.5,0.5,0.0,STRUCT+TIMING+SECTOR,[급락종목: 5일 -25% 이하 급락]
KOSPI,가온전선,000500,절연선 및 케이블 제조업,174100,220.87,28801.6,22087256800.0,47.3,50.5,-22.46,74.45,0,0,0,-11.49,-31.59,-37.26,-7.17,107.76,238.72,20.85,102.98,205.35,0.515,0.134,1,224.88,12.0,8.48,1,0,1.24,0.1,0,0,0,,0,-1,280230.0,202369,-13.97,-1.3758,0.5,-2.46,True,O,▲,223521,▼,X,X,-8.49,250,0,1,1,1,174100.0,165400.0,326000.0,353000.0,426000.0,enter,100.0,SWING+WARN:ATR%=20.1% > 20% — 이상치 의심+PM_BLOCK_INTRADAY+EF:정상,5.0,5.0,17.5,normal,7,v1_sl_first_gap_at_open,SWING+WARN:ATR%=20.1% > 20% — 이상치 의심+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,SWING_60D,60,FIBO_1.272,40,0.0,절연선 및 케이블 제조업,기타,-3.4541176470588235,16.385882352941177,6.0,32.3,0,0.23057356199228687,-0.00861055195336887,0.5502392344497608,OK,0.0,UNVALIDATED_MODEL,5.0,5.0,0.0,6,1,49.7,9.6,0.0,29.6,29.6,0.5,0.5,0.0,STRUCT+TIMING+SECTOR,[급락종목: 5일 -25% 이하 급락]
KOSDAQ,성호전자,043260,전자부품 제조업,16590,188.13,11871.2,18813435825.0,27.9,35.2,-31.17,96.99,0,0,0,-6.95,-25.1,-24.93,-56.51,-68.28,23.81,-34.07,-32.09,47.03,0.978,0.026,0,-61.65,12.0,-17.54,0,0,1.49,0.02,4678,-66,4612,,0,-1,24386.0,38831,-57.28,0.7793,0.42,-1.72,True,X,▼,16681,▼,X,X,-4.21,250,0,-1,-1,1,16590.0,15590.0,39500.0,57700.0,59600.0,enter,100.0,SWING+WARN:ATR%=21.4% > 20% — 이상치 의심+PM_BLOCK_INTRADAY+EF:정상,6.03,5.0,22.9,normal,7,v1_sl_first_gap_at_open,SWING+WARN:ATR%=21.4% > 20% — 이상치 의심+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,SWING_60D,60,SWING_120D,45,0.0,전자부품 제조업,IT/전기전자,-6.25027027027027,0.9548648648648647,13.0,59.1,0,0.203521915095152,-0.015662587607234543,0.3103448275862069,OK,0.0,UNVALIDATED_MODEL,15.702527304818073,15.702527304818073,0.0,4,1,0.0,2.4,0.0,1.2,1.2,0.5,0.5,0.0,STRUCT+TIMING+SECTOR,[급락종목: 5일 -25% 이하 급락]
KOSDAQ,삼천당제약,000250,의약품 제조업,239000,159.57,56063.4,15957355100.0,50.1,35.4,13.42,38.79,0,0,0,29.82,19.74,11.68,-5.72,-49.95,-13.09,16.72,-13.76,10.13,0.947,0.077,0,-39.77,12.0,-13.67,1,0,1.37,0.84,0,0,0,,1,1,179570.0,327721,-27.07,0.391,0.52,-0.75,False,X,▼,184954,▲,O,X,29.82,250,1,-1,-1,1,239000.0,219500.0,252000.0,278500.0,502000.0,hold,0.0,NORMAL+PM_BLOCK_INTRADAY+EF:갭 12%+ 진입 보류 + 당일 15%+ 급등 진입 보류+ENTRY:hold,8.16,4.0,0.7,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:갭 12%+ 진입 보류 + 당일 15%+ 급등 진입 보류+ENTRY:hold,SWING_20D,80,ATR_2x,70,SWING_60D,60,0.0,의약품 제조업,바이오·의약품,2.1284615384615386,14.333846153846155,4.0,25.9,0,0.09591060758904323,-0.027831091281442618,0.0,OK,0.0,UNVALIDATED_MODEL,22.062311252358285,22.062311252358285,0.0,6,1,13.3,8.5,0.0,10.9,10.9,0.5,0.5,0.0,STRUCT+TIMING+SECTOR,[갭과대: 갭 15%+ 비정상]
