시장,종목명,종목코드,종가,거래대금(억원),시가총액(억원),RSI14,乖離%,MACD_hist,MACD_slope,Vol_Z,ret_5d_%,ret_10d_%,EBS,통과,근거,추천매수가,추천매도가1,추천매도가2,손절가
KOSPI,유한양행,000100,120400,1031.59,96282.0,58.1,1.93,153.787,188.74689,2.23,0.75,1.86,7,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, MACD>sig, 과열아님",119300,124020,128750,114570
KOSPI,농심,004370,443000,248.33,26946.1,58.4,1.79,205.6164,790.24431,1.5,0.91,2.9,7,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, MACD>sig, 과열아님",439580,453930,468290,425220
KOSDAQ,피아이이,452450,8750,163.96,3139.4,48.0,2.78,21.9044,17.92922,1.4,3.06,2.58,7,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, MACD>sig, 과열아님",8600,8940,9280,8260
KOSPI,제일기획,030000,20800,102.19,23928.6,65.0,2.12,21.1937,23.52935,1.26,1.96,3.23,7,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, MACD>sig, 과열아님",20570,21110,21640,20040
KOSPI,삼성공조,006660,14400,81.23,1170.2,51.9,3.43,0.9934,50.26189,6.57,5.19,2.71,7,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, MACD>sig, 과열아님",14060,14620,15170,13500
KOSDAQ,HB테크놀러지,078150,2135,66.13,1979.5,52.0,3.21,3.0669,5.43478,1.23,4.91,6.48,7,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, MACD>sig, 과열아님",2090,2170,2250,2010
KOSPI,빙그레,005180,75800,51.36,7243.2,45.5,2.67,166.0281,254.88524,1.29,5.28,6.31,7,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, MACD>sig, 과열아님",74570,77470,80380,71660
KOSDAQ,셀바스AI,108860,14270,50.86,3840.7,55.0,3.46,57.1556,14.40603,1.54,4.93,2.59,7,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, MACD>sig, 과열아님",13930,14480,15030,13380
KOSPI,NAVER,035420,267000,3565.8,418796.5,55.0,3.47,766.2313,6.4179,0.7,5.53,4.91,6,초입,"RSI 45~65, MACD상승, MA20 근처, 상승구조, MACD>sig, 과열아님",260630,270950,281270,250310
KOSPI,현대로템,064350,230000,2439.33,251027.3,58.1,2.8,654.9093,-710.28258,1.33,-3.36,8.75,6,초입,"RSI 45~65, MA20 근처, 거래량증가, 상승구조, MACD>sig, 과열아님",225960,234910,243860,217010
KOSPI,HD현대중공업,329180,567000,1951.91,503343.6,64.3,2.02,1534.1781,-3469.4603,1.49,-4.55,0.71,6,초입,"RSI 45~65, MA20 근처, 거래량증가, 상승구조, MACD>sig, 과열아님",561360,583590,605820,539130
KOSPI,한화에어로스페이스,012450,1010000,1840.55,520790.4,57.0,0.92,589.3674,8.37895,0.84,1.41,3.7,6,초입,"RSI 45~65, MACD상승, MA20 근처, 상승구조, MACD>sig, 과열아님",1010000,1049270,1088540,970730
KOSPI,HD현대미포,010620,223500,1811.07,89270.7,62.6,1.49,649.1141,-1588.30388,2.09,-5.3,-0.22,6,초입,"RSI 45~65, MA20 근처, 거래량증가, 상승구조, MACD>sig, 과열아님",222430,231240,240050,213620
KOSPI,HD한국조선해양,009540,457500,1654.01,323787.0,60.2,3.68,1764.6217,-1606.98335,1.32,-0.54,4.33,6,초입,"RSI 45~65, MA20 근처, 거래량증가, 상승구조, MACD>sig, 과열아님",445660,463310,480960,428010
KOSPI,KB금융,105560,121900,1650.35,465002.3,63.2,5.38,445.8534,294.7093,1.37,4.73,4.64,6,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",116840,121460,126090,112210
