LDY_RANK,종목코드,종목명,시장,업종_대분류,종가,거래대금(억원),시가총액(억원),켈리_수량,추천금액(만원),상태,ROUTE,ACTION_PRIORITY,IS_ACTIVE,IS_NOW_ENTRY,IS_WATCH,DISPLAY_SCORE,FINAL_SCORE,STRUCT_SCORE,TIMING_SCORE,AI_SCORE,NEWS_SCORE,ELITE_SCORE,AXIS_MEAN,AXIS_GAP,BALANCE_SCORE,RR_NOW_TP1,ENTRY_GAP_PCT,ELITE_REASON,TOP_PICK,추천매수가,손절가,추천매도가1,추천매도가2,TRIGGER,V_POWER,거래강도,VWAP,POC_GAP,NEWS_REASON,TTM_SQUEEZE_CNT,Low_Trend_PCT,RSI14,이격도,SCORE_REASON_TOP1,SCORE_REASON_TOP2,SCORE_RISK,ROUTE_REASON,MACRO_RISK,MARKET_BREADTH,업종,거래대금(원),MFI14,BB_BW,TTM_SQUEEZE,BB_SQUEEZE_BW,ret_1d_%,ret_5d_%,ret_10d_%,ret_20d_%,ret_60d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,RES_RATIO,RES_RATIO_NEAR,IS_ABOVE_POC,NEAR_THRES,RSI_Rising,BB_Expanding,Vol_Quality,Range_Pos,외인순매수,기관순매수,메이저순매수,Above_MA20,SUPERTREND_DIR,SUPERTREND_VAL,VWAP_GAP,MACD_Slope_PCT,IS_SWING_SUPPORT,주봉20선_상회,주봉추세,HMA20,HMA_Trend,HMA_On,OBV_Div,gap_pct,_data_length,consecutive_limit_up,MTF_WEEKLY_TREND,MTF_MONTHLY_TREND,MTF_DATA_SUFFICIENT,추천매도가3,ENTRY_ACTION,POSITION_PCT,PLAN_REASON,STOP_PCT,MAX_LOSS_PCT,RR_MULT,REGIME,TIME_STOP_DAYS,EXEC_RULE_ID,STOP_REASON,TP1_METHOD,TP1_PROB,TP2_METHOD,TP2_PROB,TP3_METHOD,TP3_PROB,개인순매수,업종_상세,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,ML_SCORE,ML_STATUS,TRIGGER_SCORE,RAW_TRIGGER_SCORE,EBS,PASS_EBS,W_STRUCT,W_TIMING,W_AI,SCORING_AXES,STRATEGY,STRATEGY_SCORE,STRATEGY_HORIZON,REASON_THRESHOLD,기준일,시총기준일,AI_COMMENT,LDY_SCORE,TOTAL_SCORE,RANK_SCORE,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,ROW_BUILD_MODE,EST_WIN_RATE,CAL_HOLD_REASON,LOW_WR_FLAG,LEGACY_EST_WIN_RATE,LEGACY_LOW_WR_FLAG,CALIBRATION_MODE,CAL_N_TRADES,KELLY_PLANNED_B,KELLY_EMPIRICAL_B,KELLY_FINAL_B,KELLY_FRACTION,켈리_금액(원),추천수량,KELLY_ENGINE,KELLY_ERROR,CARRY_FROM_DATE,CARRY_AGE_DAYS,IS_STALE_CARRY,STALE_PENALTY,DATA_FRESHNESS_OK,TP1_PCT,TOP_PICK_TYPE,EST_WIN_RATE_METHOD,EST_WIN_RATE_MODE,EST_WIN_RATE_N,CONFIG_VERSION,RUN_STATUS,DEGRADED_REASONS,CONFIDENCE_SCORE,MAX_ALLOWED_ROUTE,AXIS_MCAP,AXIS_BENCH,AXIS_FLOW,AXIS_NEWS,AXIS_SECTOR,AXIS_ML,AXIS_TRIGGER,FALLBACK_COUNT,AXIS_QUALITY,HAS_NEWS,HAS_FLOW,HAS_SECTOR,CARRY_FAIL_REASON
1,0008Z0,에스엔시스,KOSDAQ,인프라·에너지,40150,91.53,3788.8,14.0,57.0,ARMED,ARMED,2,True,1,False,79.3,79.3,89.2,64.3,89.7,0.0,73.2,81.1,25.4,68.2,1.73,0.0,RR1.7 + 진입적정 + 3축고점 + 대기,0,40150.0,34500.0,49900.0,52200.0,,-0.99,0.97,38915,20.52,특이사항 없음,0,12.52,64.7,8.32,AI 강점,STRUCT 보조,,스퀴즈/품질 대기,CAUTION,64.5,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",9152823350.0,72.2,59.64,0,0,-5.08,-9.88,18.44,25.47,25.86,11.22,15.26,-5.09,-44.5,0.2,0.2,1,12.0,1,0,2.14,0.5,0,0,0,1,1,37380.0,3.17,-0.5154,False,O,▲,45630,▲,X,X,1.18,172,0,1,0,0,56400.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,14.07,6.0,1.7,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,0.0,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",19.8875,43.82125,2.0,89.7,OK,46.13029517619074,46.13029517619074,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260505,20260505,,79.3,79.3,79.3,30.95,30.95,FRESH,0.682,,False,0.554,False,MATURE,4882.0,1.726,1.012,1.012,0.057,569861.0,14.0,v22_calibrated,,,,,,True,24.3,,ELITE_SCORE,MATURE,4882,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
2,023160,태광,KOSDAQ,철강·금속,46000,102.43,11898.9,0.0,,ARMED,ARMED,2,True,1,False,75.6,75.6,90.3,56.0,85.3,0.0,67.3,77.2,34.3,57.1,1.2,0.0,RR1.2 + 진입적정 + 대기,0,46000.0,41600.0,51300.0,55600.0,,-0.66,0.46,36253,84.56,특이사항 없음,2,11.57,39.8,2.26,STRUCT 강점,AI 보조,,스퀴즈/품질 대기,CAUTION,64.5,1차 철강 제조업,10243441700.0,48.5,17.71,1,0,-0.11,-2.13,3.49,11.25,75.57,78.64,1.04,44.62,22.92,0.07,0.07,1,11.9,0,0,1.56,0.59,0,0,0,1,1,39115.0,26.88,-0.0713,False,O,▲,46685,▲,X,X,1.19,250,0,1,1,1,59000.0,enter,100.0,SWING+PM_BLOCK_INTRADAY+EF:정상,9.57,5.0,1.2,normal,7.0,v1_sl_first_gap_at_open,SWING+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,0.0,1차 철강 제조업,16.42653846153846,25.71153846153846,3.0,85.3,OK,25.0,25.0,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260505,20260505,,75.6,75.6,75.6,30.95,30.95,FRESH,0.629,,False,0.525,False,MATURE,4882.0,1.205,0.889,0.889,0.0,0.0,,v22_calibrated,,,,,,True,11.5,,ELITE_SCORE,MATURE,4882,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
3,241520,DSC인베스트먼트,KOSDAQ,기타,17260,371.97,4591.2,0.0,,ARMED,ARMED,2,True,1,False,74.8,74.8,96.3,60.7,59.8,0.0,64.7,72.3,36.5,54.4,0.91,0.0,진입적정 + 대기,0,17260.0,14670.0,19620.0,22550.0,,1.48,1.08,14232,-2.12,특이사항 없음,0,14.37,71.3,13.63,STRUCT 강점,TIMING 보조,RSI 과열,스퀴즈/품질 대기,CAUTION,64.5,신탁업 및 집합투자업,37197249960.0,72.1,40.61,0,0,1.17,7.61,12.81,30.07,116.56,137.74,19.86,85.61,82.02,0.166,0.166,0,12.0,1,0,3.33,0.66,0,0,0,1,1,13717.0,21.27,0.0913,False,O,▲,17389,▲,X,X,2.46,250,0,1,1,1,26900.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,15.01,6.0,0.9,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_3.5x,45,FIBO_1.618,25,0.0,신탁업 및 집합투자업,7.67359649122807,15.616140350877194,9.0,59.8,OK,55.15412800756626,55.15412800756626,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260505,20260505,,74.8,74.8,74.8,30.95,30.95,FRESH,0.609,,False,0.518,False,MATURE,4882.0,0.911,0.87,0.87,0.0,0.0,,v22_calibrated,,,,,,True,13.7,,ELITE_SCORE,MATURE,4882,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
4,092790,넥스틸,KOSPI,철강·금속,18800,202.66,4888.4,0.0,,ARMED,ARMED,2,True,1,False,74.6,74.6,95.5,51.3,79.4,0.0,63.7,75.4,44.2,44.8,1.29,0.0,RR1.3 + 진입적정 + 대기,0,18800.0,15980.0,22450.0,23450.0,,1.7,0.4,15923,15.35,특이사항 없음,0,14.95,54.6,10.3,STRUCT 강점,AI 보조,5일 급등,스퀴즈/품질 대기,CAUTION,64.5,1차 철강 제조업,20265747310.0,61.5,49.46,0,0,-7.39,18.54,17.13,26.01,77.69,67.86,15.8,46.74,12.14,0.013,0.013,1,12.0,0,0,2.01,0.6,0,0,0,1,1,17367.0,18.07,0.4985,False,O,▲,19391,▲,X,X,-0.49,250,0,1,1,1,25900.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,15.0,6.0,1.3,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,0.0,1차 철강 제조업,16.42653846153846,25.71153846153846,3.0,79.4,OK,25.0,25.0,8,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260505,20260505,,74.6,74.6,74.6,30.95,30.95,FRESH,0.609,,False,0.517,False,MATURE,4882.0,1.294,0.87,0.87,0.0,0.0,,v22_calibrated,,,,,,True,19.4,,ELITE_SCORE,MATURE,4882,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
5,402490,그린리소스,KOSDAQ,반도체,20700,110.71,3451.1,0.0,,ARMED,ARMED,2,True,1,False,75.8,75.8,100.0,45.7,87.5,0.0,62.6,77.7,54.3,32.1,3.19,0.0,RR3.2 + 진입적정 + 대기,0,20700.0,19400.0,24850.0,26500.0,,-0.51,0.24,14704,106.85,특이사항 없음,0,40.94,65.1,4.97,STRUCT 강점,AI 보조,,스퀴즈/품질 대기,CAUTION,64.5,반도체 제조업,11071365550.0,74.6,68.54,0,0,-0.48,-8.61,0.98,57.29,150.3,162.69,47.08,119.35,106.97,0.077,0.077,1,12.0,1,0,2.38,0.61,0,0,0,1,1,17000.0,40.77,-0.816,True,O,▲,23660,▼,X,X,0.72,250,0,1,1,1,28250.0,enter,100.0,SWING+PM_BLOCK_INTRADAY+EF:정상,6.28,6.0,3.2,normal,7.0,v1_sl_first_gap_at_open,SWING+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,BB_UPPER,75,ATR_3.5x,45,0.0,반도체 제조업,14.755625,56.405,1.0,87.5,OK,25.0,25.0,4,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260505,20260505,,75.8,75.8,75.8,30.95,30.95,FRESH,0.609,,False,0.526,False,MATURE,4882.0,3.192,0.896,0.896,0.0,0.0,,v22_calibrated,,,,,,True,20.0,,ELITE_SCORE,MATURE,4882,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
6,078600,대주전자재료,KOSDAQ,IT/전기전자,157500,395.52,24456.8,0.0,,ARMED,ARMED,2,True,1,False,71.8,71.8,96.8,52.1,61.4,0.0,60.3,70.1,44.7,44.1,1.11,0.0,RR1.1 + 진입적정 + 대기,0,157500.0,134300.0,183300.0,204500.0,,-3.1,0.59,117068,34.96,특이사항 없음,0,14.35,65.2,12.77,STRUCT 강점,AI 보조,,스퀴즈/품질 대기,CAUTION,64.5,전자부품 제조업,39551527900.0,77.2,60.97,0,0,-0.63,-13.84,18.6,30.06,108.06,110.56,19.85,77.11,54.84,0.023,0.023,1,12.0,1,0,2.37,0.64,0,0,0,1,1,126860.0,34.54,-0.4501,False,O,▲,172362,▲,X,X,2.4,250,0,1,1,1,214500.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,14.73,5.0,1.1,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,0.0,전자부품 제조업,5.491382978723405,24.48351063829787,6.0,61.4,OK,29.69711388991963,29.69711388991963,4,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260505,20260505,,71.8,71.8,71.8,30.95,30.95,FRESH,0.609,,False,0.494,False,MATURE,4882.0,1.112,0.87,0.87,0.0,0.0,,v22_calibrated,,,,,,True,16.4,,ELITE_SCORE,MATURE,4882,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
7,282720,금양그린파워,KOSDAQ,기타,16100,105.71,1990.0,0.0,,ARMED,ARMED,2,True,1,False,62.9,62.9,61.1,75.2,41.8,0.0,57.4,59.4,33.4,58.2,1.14,0.0,RR1.1 + 진입적정 + 대기,0,16100.0,14120.0,18350.0,20200.0,,0.93,1.39,15433,11.15,특이사항 없음,0,-1.89,57.4,6.1,TIMING 강점,STRUCT 보조,,스퀴즈/품질 대기,CAUTION,64.5,전기 및 통신 공사업,10571203875.0,69.6,19.72,0,0,0.94,8.78,8.86,-2.25,48.94,11.81,-12.46,17.99,-43.91,0.199,0.199,1,9.9,0,0,3.33,0.49,0,0,0,1,1,13821.0,4.32,0.3008,False,O,▲,15180,▲,O,X,1.5,249,0,1,1,1,22950.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,12.3,6.0,1.1,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,SWING_60D,60,FIBO_1.272,40,0.0,전기 및 통신 공사업,7.67359649122807,15.616140350877194,9.0,41.8,OK,59.5,59.5,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260505,20260505,,62.9,62.9,62.9,30.95,30.95,FRESH,0.609,,False,0.423,True,MATURE,4882.0,1.136,0.87,0.87,0.0,0.0,,v22_calibrated,,,,,,True,14.0,,ELITE_SCORE,MATURE,4882,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
8,033160,엠케이전자,KOSDAQ,IT/전기전자,27500,140.5,6614.9,0.0,,ARMED,ARMED,2,True,1,False,70.1,70.1,98.6,46.5,60.2,0.0,57.0,68.4,52.1,34.9,0.92,0.0,진입적정 + 대기,0,27500.0,23350.0,31300.0,33050.0,,-0.74,0.35,18210,184.65,특이사항 없음,0,46.65,72.3,12.62,STRUCT 강점,AI 보조,RSI 과열,스퀴즈/품질 대기,CAUTION,64.5,전자부품 제조업,14049628050.0,74.6,70.4,0,0,-1.43,-4.01,17.27,51.93,176.38,207.61,41.72,145.43,151.89,0.031,0.031,1,12.0,1,0,2.97,0.75,0,0,0,1,1,20555.0,51.01,-0.5557,False,O,▲,30451,▼,X,X,2.51,250,0,1,1,1,38200.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,15.09,5.0,0.9,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,BB_UPPER,75,ATR_3.5x,45,0.0,전자부품 제조업,5.491382978723405,24.48351063829787,6.0,60.2,OK,25.0,25.0,4,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260505,20260505,,70.1,70.1,70.1,30.95,30.95,FRESH,0.609,,False,0.481,False,MATURE,4882.0,0.916,0.87,0.87,0.0,0.0,,v22_calibrated,,,,,,True,13.8,,ELITE_SCORE,MATURE,4882,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
9,001290,상상인증권,KOSPI,서비스 기타,1336,80.03,1447.4,0.0,,ARMED,ARMED,2,True,1,False,68.3,68.3,94.3,45.0,62.7,0.0,56.3,67.3,49.3,38.4,1.68,0.0,RR1.7 + 진입적정 + 대기,0,1336.0,1135.0,1673.0,1782.0,,-0.22,1.54,1286,-0.8,특이사항 없음,0,7.49,66.5,12.0,STRUCT 강점,AI 보조,,스퀴즈/품질 대기,CAUTION,64.5,금융 지원 서비스업,8003350882.0,67.1,44.4,0,0,2.38,0.07,20.9,23.36,90.04,99.11,13.15,59.09,43.39,0.299,0.299,0,12.0,1,0,4.22,0.49,0,0,0,1,1,1080.3,3.86,-0.3309,False,O,▲,1393,▲,X,X,2.84,250,0,1,1,1,2080.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,15.04,6.0,1.7,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,SWING_60D,60,FIBO_1.272,40,0.0,금융 지원 서비스업,4.448108108108108,9.986486486486486,12.0,62.7,OK,49.5,49.5,4,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260505,20260505,,68.3,68.3,68.3,30.95,30.95,FRESH,0.609,,False,0.466,False,MATURE,4882.0,1.677,0.87,0.87,0.0,0.0,,v22_calibrated,,,,,,True,25.2,,ELITE_SCORE,MATURE,4882,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
10,368770,파이버프로,KOSDAQ,기타,23550,191.3,7835.7,0.0,,ARMED,ARMED,2,True,1,False,69.8,69.8,97.9,37.2,79.0,0.0,55.9,71.4,60.7,24.1,3.2,0.0,RR3.2 + 진입적정 + 대기,0,23550.0,21550.0,29950.0,32000.0,,-0.66,0.37,20513,55.78,특이사항 없음,2,13.75,54.4,0.39,STRUCT 강점,AI 보조,,스퀴즈/품질 대기,CAUTION,64.5,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",19130043475.0,62.6,29.55,0,0,0.0,-2.08,-1.46,0.0,40.1,310.28,-10.21,9.15,254.56,0.09,0.09,1,12.0,1,0,2.78,0.38,0,0,0,1,1,17739.0,14.8,-0.3071,False,O,▲,24686,▼,X,X,0.64,249,0,1,1,1,34900.0,enter,100.0,SWING+PM_BLOCK_INTRADAY+EF:정상,8.49,5.0,3.2,normal,7.0,v1_sl_first_gap_at_open,SWING+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,0.0,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",7.67359649122807,15.616140350877194,9.0,79.0,OK,25.0,25.0,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260505,20260505,,69.8,69.8,69.8,30.95,30.95,FRESH,0.609,,False,0.478,False,MATURE,4882.0,3.2,0.87,0.87,0.0,0.0,,v22_calibrated,,,,,,True,27.2,,ELITE_SCORE,MATURE,4882,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
