종목코드,종목명,시장,업종,업종_상세,업종_대분류,종가,거래대금(억원),시가총액(억원),추천매수가,손절가,추천매도가1,추천매도가2,RANK_SCORE,LDY_SCORE,ENTRY_SCORE,ROUTE,REGIME,ret_20d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,TTM_SQUEEZE_CNT,NORM_RR,NORM_T1,NORM_SL,NORM_NEAR,NORM_MOM,NORM_LIQ,NORM_TEC,RSI14,MFI14,이격도,VWAP,VWAP_GAP,캔들패턴,MACD_Hist,MACD_Slope_PCT,거래강도,V_POWER,SUPERTREND_VAL,SUPERTREND_DIR,BB_BW,BB_SQUEEZE_BW,TTM_SQUEEZE,BB_SQUEEZE,Above_MA20,IS_SWING_SUPPORT,ret_5d_%,ret_10d_%,ret_60d_%,EBS,통과,근거,ATR_MULT,추천수량,추천금액(만원),HMA20,HMA_Trend,HMA_On,OBV_Div,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,RR1,Now%,ST_DIR,AI_COMMENT,MKT_BREADTH_ALL_%,MKT_BREADTH_KOSPI_%,MKT_BREADTH_KOSDAQ_%,MKT_TEMP,TOP_SECTORS_5D,REGIME_RANK,LDY_RANK,기준일,시총기준일,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,60일_종목수익률_%,60일_초과수익(α)_%,오늘종가,전일추천매수가,전일→오늘_수익률%,검증기준일,비교대상추천일
003520,영진약품,KOSPI,의약품 제조업,의약품 제조업,바이오·의약품,2010,67.77,3676.1,2010,1888,2285,2560,76.4,65.7,75.7,🔺 Watch (관찰·돌파예상),④ 바닥 반등 시도,4.69,-9.26,-2.04,-18.1,-43.3,8,0.93,0.81,0.91,1.0,0.31,0.0,0.34,52.0,76.0,1.28,2042,-1.61,장악형,1.458,0.0202,8.29,0.66,2070,-1,3.83,1,1,1,1,True,2.39,-0.25,0.0,7,★,"HMA돌파, RSI적정, MACD상승, 20선근접, 거래량↑, 자금유입, MACD>Sig, 패턴(장악형)",2.5,1243,249.8,1976,▼,O,X,-3.693,5.708999999999999,14.0,2.2540983606557377,0.0,-1,🌪️ 8일 연속 응축 중! 폭발 임박. 🧱 구조적 지지선(Swing Low) 근접. 💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간.,60.2,57.7,62.7,🌤 중립,1.자동차·모빌리티(+16.5%) / 2.유통·소비재(+13.3%) / 3.기타(+12.2%) / 4.철강·금속(+11.5%) / 5.IT/전기전자(+10.9%),4,21,20251223,20251223,18.1,5.43,0.0,-18.1,2115,2010,5.223880597014929,20251224,20251223
006910,보성파워텍,KOSDAQ,"구조용 금속제품, 탱크 및 증기발생기 제조업","구조용 금속제품, 탱크 및 증기발생기 제조업",기타,5270,65.56,2589.1,5270,4900,5840,6400,76.1,71.3,72.3,🔺 Watch (관찰·돌파예상),⑤ 하락 / 약세,4.56,52.98,-2.86,8.52,35.31,20,0.63,0.64,1.0,1.0,0.46,0.0,0.84,47.5,58.0,0.44,5269,0.01,,-3.2827,0.1347,0.62,0.99,4875,1,13.29,0,1,1,1,False,5.4,1.93,13.95,7,★,"HMA추세↑, RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), VWAP상회",1.8,474,249.8,5144,▲,O,X,1.7845454545454549,19.21090909090909,3.0,1.5405405405405406,0.0,1,🌪️ 20일 연속 응축 중! 폭발 임박. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간.,60.2,57.7,62.7,🌤 중립,1.자동차·모빌리티(+16.5%) / 2.유통·소비재(+13.3%) / 3.기타(+12.2%) / 4.철강·금속(+11.5%) / 5.IT/전기전자(+10.9%),5,22,20251223,20251223,18.1,5.43,13.95,8.52,5200,5270,-1.3282732447817858,20251224,20251223
099440,스맥,KOSDAQ,특수 목적용 기계 제조업,특수 목적용 기계 제조업,조선·기계·설비,6840,117.84,4667.8,6810,6330,8000,9200,75.9,78.2,86.3,🔺 Watch (상승 준비),② 상승 후 조정,40.45,114.08,33.03,46.4,96.41,0,0.94,1.0,1.0,0.91,0.51,0.02,0.59,49.7,77.5,3.5,6641,2.99,,-119.6701,-0.3511,0.19,0.13,5666,1,58.14,0,0,0,1,False,-3.25,-12.98,51.83,7,★,"HMA돌파, RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입, VWAP상회",2.0,367,249.9,6778,▼,O,X,4.456666666666667,14.36877192982456,6.0,2.2745098039215685,0.4405286343612335,1,📉 매도세 우위. 💰 외국인/기관 수급 집중. ,60.2,57.7,62.7,🌤 중립,1.자동차·모빌리티(+16.5%) / 2.유통·소비재(+13.3%) / 3.기타(+12.2%) / 4.철강·금속(+11.5%) / 5.IT/전기전자(+10.9%),2,23,20251223,20251223,18.1,5.43,51.83,46.4,6300,6810,-7.488986784140971,20251224,20251223
204320,HL만도,KOSPI,자동차 신품 부품 제조업,자동차 신품 부품 제조업,자동차·모빌리티,53400,668.98,25075.1,53400,49650,61400,69400,75.8,85.5,82.1,↩️ PULL (눌림),② 상승 후 조정,28.99,62.56,22.26,33.39,28.52,0,0.88,0.88,1.0,1.0,0.28,0.74,0.72,52.3,59.9,2.07,54020,-1.15,,-469.9526,-0.0345,0.78,0.07,47000,1,32.81,0,0,0,1,False,2.3,-2.38,51.49,4,,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑)",2.0,46,245.6,53438,▼,X,X,4.303076923076923,24.58230769230769,1.0,2.1333333333333333,0.0,1,📉 매도세 우위.  (매수 유효),60.2,57.7,62.7,🌤 중립,1.자동차·모빌리티(+16.5%) / 2.유통·소비재(+13.3%) / 3.기타(+12.2%) / 4.철강·금속(+11.5%) / 5.IT/전기전자(+10.9%),2,24,20251223,20251223,18.1,5.43,51.49,33.39,54300,53400,1.6853932584269593,20251224,20251223
014940,오리엔탈정공,KOSDAQ,일반 목적용 기계 제조업,일반 목적용 기계 제조업,조선·기계·설비,8290,81.78,3778.1,8290,7710,9670,11050,75.6,73.7,79.1,🔺 Watch (관찰·돌파예상),④ 바닥 반등 시도,0.61,45.95,-6.81,-23.02,28.28,12,0.98,0.98,1.0,1.0,0.29,0.0,0.59,42.1,51.3,-0.48,8179,1.35,,35.832,0.0899,2.17,-0.14,8808,-1,10.55,0,1,1,0,False,2.6,-3.49,-17.59,9,★,"HMA추세↑, OBV매집, MACD상승, 20선근접, 거래량↑, 장기추세(120↑), MACD>Sig, VWAP상회",1.8,301,249.5,8015,▲,O,O,4.456666666666667,14.36877192982456,6.0,2.3793103448275863,0.0,-1,🌪️ 12일 연속 응축 중! 폭발 임박. 📉 매도세 우위. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간.,60.2,57.7,62.7,🌤 중립,1.자동차·모빌리티(+16.5%) / 2.유통·소비재(+13.3%) / 3.기타(+12.2%) / 4.철강·금속(+11.5%) / 5.IT/전기전자(+10.9%),4,25,20251223,20251223,18.1,5.43,-17.59,-23.02,7980,8290,-3.7394451145958962,20251224,20251223
215100,로보로보,KOSDAQ,기타 전기장비 제조업,기타 전기장비 제조업,IT/전기전자,7940,61.33,1615.7,7940,7380,8880,9820,75.2,68.3,72.2,🔺 Watch (관찰·돌파예상),⑤ 하락 / 약세,9.22,47.58,1.8,8.81,29.91,1,0.69,0.7,1.0,1.0,0.37,0.0,0.82,45.5,68.7,0.17,7739,2.59,,-15.4097,0.0144,0.92,0.37,8518,-1,16.61,0,1,1,1,False,2.06,-1.37,14.24,6,★,"RSI적정, MACD상승, 20선근접, 장기추세(120↑), 자금유입, VWAP상회",1.8,314,249.3,7685,▼,O,X,7.070196078431373,13.504313725490196,5.0,1.6785714285714286,0.0,-1,🌪️ 에너지 응축 시작 (1일차). 📉 매도세 우위. 💸 자금 유입 지속. 📈 상승 모멘텀 개선. ✅ 20일선 눌림목 구간.,60.2,57.7,62.7,🌤 중립,1.자동차·모빌리티(+16.5%) / 2.유통·소비재(+13.3%) / 3.기타(+12.2%) / 4.철강·금속(+11.5%) / 5.IT/전기전자(+10.9%),5,26,20251223,20251223,18.1,5.43,14.24,8.81,7810,7940,-1.6372795969773257,20251224,20251223
105840,우진,KOSPI,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",기타,18290,107.84,3694.2,18290,17000,21250,24200,74.9,78.0,84.5,↩️ PULL (눌림),③ 박스 / 중립,25.27,66.42,18.54,3.03,32.38,0,0.94,0.95,1.0,1.0,0.31,0.0,0.61,55.2,73.7,2.73,18590,-1.61,,-81.4228,-0.3632,0.28,-0.91,15877,1,38.43,0,0,0,1,False,-2.04,5.54,21.13,5,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입",2.0,136,248.7,19451,▼,X,X,1.7845454545454549,19.21090909090909,3.0,2.294573643410853,0.0,1,📉 매도세 우위. 💰 외국인/기관 수급 집중. ,60.2,57.7,62.7,🌤 중립,1.자동차·모빌리티(+16.5%) / 2.유통·소비재(+13.3%) / 3.기타(+12.2%) / 4.철강·금속(+11.5%) / 5.IT/전기전자(+10.9%),3,27,20251223,20251223,18.1,5.43,21.13,3.03,17830,18290,-2.5150355385456513,20251224,20251223
009520,포스코엠텍,KOSDAQ,1차 철강 제조업,1차 철강 제조업,철강·금속,16310,117.35,6791.9,16310,15160,18600,20900,74.2,78.4,83.0,🔺 Watch (관찰·돌파예상),① 강한 상승 추세,10.8,42.07,3.38,23.3,24.4,0,0.82,0.83,1.0,1.0,0.42,0.02,0.75,51.6,67.7,2.12,15882,2.69,,-36.9628,0.0189,1.46,0.71,15001,1,10.84,0,0,0,1,False,3.29,-0.79,28.73,8,★,"RSI적정, MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입, VWAP상회",1.8,153,249.5,15748,▼,O,X,4.770999999999999,15.933000000000002,4.0,1.991304347826087,0.0,1,💸 자금 유입 지속. 📈 상승 모멘텀 개선. ,60.2,57.7,62.7,🌤 중립,1.자동차·모빌리티(+16.5%) / 2.유통·소비재(+13.3%) / 3.기타(+12.2%) / 4.철강·금속(+11.5%) / 5.IT/전기전자(+10.9%),1,28,20251223,20251223,18.1,5.43,28.73,23.3,16250,16310,-0.3678724708767622,20251224,20251223
103590,일진전기,KOSPI,절연선 및 케이블 제조업,절연선 및 케이블 제조업,기타,54800,180.69,26131.6,54800,50900,60600,66400,74.1,69.0,78.8,↩️ PULL (눌림),② 상승 후 조정,2.81,33.01,-3.92,34.97,-1.03,2,0.61,0.62,1.0,1.0,0.32,0.1,0.7,51.5,65.6,-0.27,54922,-0.22,,-221.9208,-0.084,0.47,-0.95,50960,1,12.7,0,1,1,0,True,-2.66,1.67,53.07,7,★,"OBV매집, RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입",1.8,45,246.6,55937,▼,X,O,1.7845454545454549,19.21090909090909,3.0,1.4871794871794872,0.0,1,🌪️ 에너지 응축 시작 (2일차). 🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. 💸 자금 유입 지속. ✅ 20일선 눌림목 구간.,60.2,57.7,62.7,🌤 중립,1.자동차·모빌리티(+16.5%) / 2.유통·소비재(+13.3%) / 3.기타(+12.2%) / 4.철강·금속(+11.5%) / 5.IT/전기전자(+10.9%),2,29,20251223,20251223,18.1,5.43,53.07,34.97,54000,54800,-1.4598540145985384,20251224,20251223
389470,인벤티지랩,KOSDAQ,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,기타,73500,470.69,9119.9,73500,68300,90700,107900,73.6,85.8,87.0,↩️ PULL (눌림),② 상승 후 조정,24.79,129.69,17.37,35.64,112.02,0,1.0,1.0,1.0,1.0,0.35,0.48,0.51,46.0,56.9,-9.06,81797,-10.14,,-2246.5888,-0.7092,0.64,-2.13,66160,1,60.14,0,0,0,0,True,-16.0,-20.97,41.07,3,,"RSI적정, 정배열(단), 장기추세(120↑)",2.0,34,249.9,85989,▼,X,X,1.7845454545454549,19.21090909090909,3.0,3.3076923076923075,0.0,1,🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. 📉 과매도 기술적 반등 기대. (매수 유효),60.2,57.7,62.7,🌤 중립,1.자동차·모빌리티(+16.5%) / 2.유통·소비재(+13.3%) / 3.기타(+12.2%) / 4.철강·금속(+11.5%) / 5.IT/전기전자(+10.9%),2,30,20251223,20251223,18.1,5.43,41.07,35.64,71500,73500,-2.7210884353741527,20251224,20251223
