종목코드,종목명,시장,업종,업종_상세,업종_대분류,종가,거래대금(억원),시가총액(억원),추천매수가,손절가,추천매도가1,추천매도가2,RANK_SCORE,LDY_SCORE,ENTRY_SCORE,ROUTE,REGIME,ret_20d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,TTM_SQUEEZE_CNT,NORM_RR,NORM_T1,NORM_SL,NORM_NEAR,NORM_MOM,NORM_LIQ,NORM_TEC,RSI14,MFI14,이격도,VWAP,VWAP_GAP,캔들패턴,MACD_Hist,MACD_Slope_PCT,거래강도,V_POWER,SUPERTREND_VAL,SUPERTREND_DIR,BB_BW,BB_SQUEEZE_BW,TTM_SQUEEZE,BB_SQUEEZE,Above_MA20,IS_SWING_SUPPORT,ret_5d_%,ret_10d_%,ret_60d_%,EBS,통과,근거,ATR_MULT,추천수량,추천금액(만원),HMA20,HMA_Trend,HMA_On,OBV_Div,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,RR1,Now%,ST_DIR,AI_COMMENT,MKT_BREADTH_ALL_%,MKT_BREADTH_KOSPI_%,MKT_BREADTH_KOSDAQ_%,MKT_TEMP,TOP_SECTORS_5D,REGIME_RANK,LDY_RANK,기준일,시총기준일,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,60일_종목수익률_%,60일_초과수익(α)_%,오늘종가,전일추천매수가,전일→오늘_수익률%,검증기준일,비교대상추천일
108490,로보티즈,KOSDAQ,특수 목적용 기계 제조업,특수 목적용 기계 제조업,조선·기계·설비,279000,1890.2,40650.5,278000,258500,326000,374000,81.4,92.6,88.4,🔺 Watch (상승 준비),② 상승 후 조정,43.08,292.47,35.66,71.86,274.8,0,0.94,0.99,1.0,0.93,0.59,1.0,0.65,58.6,74.1,3.29,278713,0.1,,-2930.5639,-0.3731,0.6,-0.51,226350,1,44.66,0,0,0,1,False,-4.29,-1.59,77.29,6,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입, VWAP상회",2.0,8,222.4,290227,▼,X,X,4.456666666666667,14.36877192982456,6.0,2.292682926829268,0.3597122302158274,1,📉 매도세 우위. 💰 외국인/기관 수급 집중.  (강력 매수),60.2,57.7,62.7,🌤 중립,1.자동차·모빌리티(+16.5%) / 2.유통·소비재(+13.3%) / 3.기타(+12.2%) / 4.철강·금속(+11.5%) / 5.IT/전기전자(+10.9%),2,11,20251223,20251223,18.1,5.43,77.29,71.86,268000,278000,-3.597122302158273,20251224,20251223
353200,대덕전자,KOSPI,전자부품 제조업,전자부품 제조업,IT/전기전자,47150,376.59,23300.1,47150,43800,52800,58400,81.3,77.8,87.2,🔺 Watch (관찰·돌파예상),⑤ 하락 / 약세,-10.87,172.23,-17.6,53.35,138.19,1,0.69,0.71,1.0,1.0,0.61,0.36,0.75,42.1,48.3,-1.78,47126,0.05,,-469.5773,0.2025,0.61,0.54,41395,1,12.17,0,1,1,0,False,4.78,-3.78,71.45,5,★,"HMA추세↑, MACD상승, 정배열(단), 장기추세(120↑), VWAP상회",1.8,53,249.9,46538,▲,O,X,7.070196078431373,13.504313725490196,5.0,1.6865671641791045,0.0,1,🌪️ 에너지 응축 시작 (1일차). 📉 매도세 우위. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간.,60.2,57.7,62.7,🌤 중립,1.자동차·모빌리티(+16.5%) / 2.유통·소비재(+13.3%) / 3.기타(+12.2%) / 4.철강·금속(+11.5%) / 5.IT/전기전자(+10.9%),5,12,20251223,20251223,18.1,5.43,71.45,53.35,46650,47150,-1.0604453870625696,20251224,20251223
220100,퓨쳐켐,KOSDAQ,의약품 제조업,의약품 제조업,바이오·의약품,29500,131.9,6608.2,29500,27400,34600,39700,81.2,74.8,88.7,↩️ PULL (눌림),② 상승 후 조정,1.55,94.08,-5.87,54.12,76.41,9,1.0,1.0,1.0,1.0,0.24,0.04,0.55,41.9,44.7,-5.95,30630,-3.69,,-611.8275,-0.0949,0.41,-0.96,25280,1,16.06,0,1,1,0,True,-5.14,-1.83,59.55,2,,"정배열(단), 장기추세(120↑)",1.8,84,247.8,30659,▼,X,X,-3.693,5.708999999999999,14.0,2.4285714285714284,0.0,1,🌪️ 9일 연속 응축 중! 폭발 임박. 🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. 📉 과매도 기술적 반등 기대.,60.2,57.7,62.7,🌤 중립,1.자동차·모빌리티(+16.5%) / 2.유통·소비재(+13.3%) / 3.기타(+12.2%) / 4.철강·금속(+11.5%) / 5.IT/전기전자(+10.9%),2,13,20251223,20251223,18.1,5.43,59.55,54.12,29100,29500,-1.3559322033898313,20251224,20251223
128940,한미약품,KOSPI,의약품 제조업,의약품 제조업,바이오·의약품,440000,260.86,56368.4,440000,409000,486500,533000,80.5,71.8,79.9,🔺 Watch (상승 준비),③ 박스 / 중립,-1.01,53.85,-7.74,-3.67,19.81,7,0.62,0.62,1.0,1.0,0.37,0.2,0.73,54.1,56.8,0.19,439117,0.2,,-1321.4719,0.0544,0.63,-1.25,404850,1,9.22,1,1,1,1,True,0.8,2.8,14.43,6,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), VWAP상회",1.8,5,220.0,440185,▲,X,X,-3.693,5.708999999999999,14.0,1.5,0.0,1,🌪️ 7일 연속 응축 중! 폭발 임박. 🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간.,60.2,57.7,62.7,🌤 중립,1.자동차·모빌리티(+16.5%) / 2.유통·소비재(+13.3%) / 3.기타(+12.2%) / 4.철강·금속(+11.5%) / 5.IT/전기전자(+10.9%),3,14,20251223,20251223,18.1,5.43,14.43,-3.67,440500,440000,0.11363636363637131,20251224,20251223
140410,메지온,KOSDAQ,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,기타,81200,401.32,24655.5,81200,75500,97900,114500,79.9,87.6,88.4,↩️ PULL (눌림),② 상승 후 조정,25.12,113.4,17.7,21.05,95.73,0,1.0,1.0,1.0,1.0,0.42,0.39,0.74,51.0,67.5,1.62,91516,-11.27,,188.5196,-0.2243,1.14,-2.37,69740,1,38.55,0,0,0,1,False,-16.29,7.12,26.48,6,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입, MACD>Sig",2.0,30,243.6,87706,▲,X,X,1.7845454545454549,19.21090909090909,3.0,2.929824561403509,0.0,1,📉 매도세 우위. 💸 자금 유입 지속. ✅ 20일선 눌림목 구간. (매수 유효),60.2,57.7,62.7,🌤 중립,1.자동차·모빌리티(+16.5%) / 2.유통·소비재(+13.3%) / 3.기타(+12.2%) / 4.철강·금속(+11.5%) / 5.IT/전기전자(+10.9%),2,15,20251223,20251223,18.1,5.43,26.48,21.05,78700,81200,-3.078817733990147,20251224,20251223
107640,한중엔시에스,KOSDAQ,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",인프라·에너지,49700,66.89,4505.3,49700,46200,55900,62100,79.0,72.4,76.9,🔺 Watch (관찰·돌파예상),① 강한 상승 추세,20.34,93.76,12.92,23.66,76.09,1,0.73,0.74,1.0,1.0,0.55,0.0,0.76,50.9,63.3,1.48,49563,0.28,,-18.2612,0.109,0.86,0.16,43360,1,17.65,0,1,1,1,False,4.41,-0.1,29.09,7,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입, VWAP상회",1.8,50,248.5,49556,▼,O,X,-0.943,7.24,10.0,1.7714285714285714,0.0,1,🌪️ 에너지 응축 시작 (1일차). 📉 매도세 우위. 💸 자금 유입 지속. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간.,60.2,57.7,62.7,🌤 중립,1.자동차·모빌리티(+16.5%) / 2.유통·소비재(+13.3%) / 3.기타(+12.2%) / 4.철강·금속(+11.5%) / 5.IT/전기전자(+10.9%),1,16,20251223,20251223,18.1,5.43,29.09,23.66,49700,49700,0.0,20251224,20251223
089970,브이엠,KOSDAQ,특수 목적용 기계 제조업,특수 목적용 기계 제조업,조선·기계·설비,27750,182.44,6774.2,27750,25800,31850,35950,78.3,83.1,87.9,🔺 Watch (관찰·돌파예상),① 강한 상승 추세,14.2,119.54,6.78,57.14,101.87,0,0.87,0.87,1.0,1.0,0.59,0.1,0.78,52.2,70.4,2.16,28594,-2.95,,-31.4198,0.0121,1.28,0.7,23895,1,30.77,0,0,0,1,False,6.12,-5.61,62.57,7,★,"RSI적정, MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입",2.0,90,249.8,29030,▼,X,X,4.456666666666667,14.36877192982456,6.0,2.102564102564102,0.0,1,💰 외국인/기관 수급 집중. 📈 상승 모멘텀 개선.  (매수 유효),60.2,57.7,62.7,🌤 중립,1.자동차·모빌리티(+16.5%) / 2.유통·소비재(+13.3%) / 3.기타(+12.2%) / 4.철강·금속(+11.5%) / 5.IT/전기전자(+10.9%),1,17,20251223,20251223,18.1,5.43,62.57,57.14,27800,27750,0.18018018018017834,20251224,20251223
067310,하나마이크론,KOSDAQ,반도체 제조업,반도체 제조업,반도체,24500,312.12,16262.6,24500,22750,27200,29900,77.8,72.3,83.7,🔺 Watch (관찰·돌파예상),⑤ 하락 / 약세,-1.61,105.02,-9.03,14.67,87.35,16,0.63,0.65,1.0,1.0,0.53,0.27,0.85,45.9,49.0,-0.88,24522,-0.09,,2.127,0.1505,0.91,0.73,27055,-1,12.02,0,1,1,0,False,6.99,-1.61,20.1,6,★,"HMA추세↑, RSI적정, MACD상승, 20선근접, 장기추세(120↑), MACD>Sig",1.8,102,249.9,23973,▲,O,X,6.499166666666667,2.079166666666667,12.0,1.542857142857143,0.0,-1,🌪️ 16일 연속 응축 중! 폭발 임박. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간.,60.2,57.7,62.7,🌤 중립,1.자동차·모빌리티(+16.5%) / 2.유통·소비재(+13.3%) / 3.기타(+12.2%) / 4.철강·금속(+11.5%) / 5.IT/전기전자(+10.9%),5,18,20251223,20251223,18.1,5.43,20.1,14.67,24050,24500,-1.8367346938775508,20251224,20251223
475400,씨메스,KOSDAQ,특수 목적용 기계 제조업,특수 목적용 기계 제조업,조선·기계·설비,35150,207.47,4107.2,35150,32650,41300,47450,77.5,81.9,87.1,↩️ PULL (눌림),② 상승 후 조정,28.05,44.65,20.63,23.32,26.98,0,1.0,1.0,1.0,1.0,0.36,0.13,0.69,52.0,75.2,2.43,35925,-2.16,,-67.7971,-0.1656,0.71,-0.02,30910,1,32.79,0,0,0,1,False,-2.9,2.18,28.75,5,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입",2.0,71,249.6,36310,▼,X,X,4.456666666666667,14.36877192982456,6.0,2.46,0.0,1,📉 매도세 우위. 💰 외국인/기관 수급 집중.  (매수 유효),60.2,57.7,62.7,🌤 중립,1.자동차·모빌리티(+16.5%) / 2.유통·소비재(+13.3%) / 3.기타(+12.2%) / 4.철강·금속(+11.5%) / 5.IT/전기전자(+10.9%),2,19,20251223,20251223,18.1,5.43,28.75,23.32,36600,35150,4.125177809388325,20251224,20251223
476060,온코닉테라퓨틱스,KOSDAQ,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,기타,18610,343.99,8279.6,18610,17300,22400,26150,77.1,81.3,86.8,↩️ PULL (눌림),② 상승 후 조정,20.69,254.48,13.27,48.69,236.81,0,1.0,1.0,1.0,1.0,0.34,0.31,0.68,44.1,43.2,0.74,18760,-0.8,,-47.849,-0.0357,0.41,-0.23,14599,1,30.94,0,0,0,1,False,-0.69,12.72,54.12,3,,"20선근접, 정배열(단), 장기추세(120↑)",2.0,134,249.4,18795,▲,X,X,1.7845454545454549,19.21090909090909,3.0,2.8931297709923665,0.0,1,📉 매도세 우위. ✅ 20일선 눌림목 구간. (매수 유효),60.2,57.7,62.7,🌤 중립,1.자동차·모빌리티(+16.5%) / 2.유통·소비재(+13.3%) / 3.기타(+12.2%) / 4.철강·금속(+11.5%) / 5.IT/전기전자(+10.9%),2,20,20251223,20251223,18.1,5.43,54.12,48.69,18940,18610,1.7732401934443809,20251224,20251223
