시장,종목명,종목코드,업종,종가,거래대금(억원),시가총액(억원),거래대금(원),RSI14,MFI14,이격도,BB_BW,TTM_SQUEEZE,TTM_SQUEEZE_CNT,BB_SQUEEZE_BW,ret_1d_%,ret_5d_%,ret_10d_%,ret_20d_%,ret_60d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,RES_RATIO,RES_RATIO_NEAR,IS_ABOVE_POC,POC_GAP,NEAR_THRES,Low_Trend_PCT,RSI_Rising,BB_Expanding,Vol_Quality,Range_Pos,추천매수가,손절가,추천매도가1,추천매도가2,추천매도가3,TP1_METHOD,TP1_PROB,TP2_METHOD,TP2_PROB,TP3_METHOD,TP3_PROB,EXEC_RULE_ID,STOP_PCT,MAX_LOSS_PCT,RR_MULT,STOP_REASON,ENTRY_ACTION,POSITION_PCT,TRIGGER,Above_MA20,SUPERTREND_DIR,SUPERTREND_VAL,VWAP,VWAP_GAP,MACD_Slope_PCT,거래강도,V_POWER,IS_SWING_SUPPORT,주봉20선_상회,주봉추세,HMA20,HMA_Trend,HMA_On,OBV_Div,외인순매수,기관순매수,메이저순매수,gap_pct,_data_length,consecutive_limit_up,MTF_WEEKLY_TREND,MTF_MONTHLY_TREND,MTF_DATA_SUFFICIENT,개인순매수,업종_상세,업종_대분류,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,ML_SCORE,TRIGGER_SCORE,RAW_TRIGGER_SCORE,EBS,PASS_EBS,STRUCT_SCORE,TIMING_SCORE,AI_SCORE,FINAL_SCORE,DISPLAY_SCORE,W_STRUCT,W_TIMING,W_AI,SCORING_AXES,BLOCK_REASON
KOSDAQ,엠케이전자,033160,전자부품 제조업,16010,446.38,3658.4,44638090840.0,74.1,94.9,49.62,72.31,0,0,0,11.96,81.93,59.94,55.29,89.24,86.81,46.3,62.01,37.79,0.0,0.0,1,74.86,12.0,-17.01,0,0,3.27,0.95,11240.0,9550.0,16430.0,18710.0,21650.0,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,15.04,6.0,3.1,NORMAL+PM_BLOCK_INTRADAY+EF:갭(1.2%)/급등(12.0%)/VI → 50% 분할+ENTRY:split,split,50.0,,1,1,10959.0,10986,45.72,1.0893,2.82,3.54,False,O,▲,12337,▲,O,X,0,0,0,1.19,250,0,1,1,1,0.0,전자부품 제조업,IT/전기전자,20.905211267605633,13.804225352112676,2.0,89.7,85.19827033465393,85.19827033465393,4,1,54.2,100.0,89.7,79.6,79.6,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSDAQ,와이바이오로직스,338840,자연과학 및 공학 연구개발업,33900,440.38,5145.4,44038093750.0,64.6,76.6,32.73,43.45,0,0,0,18.32,47.71,32.42,49.01,30.64,163.2,40.02,3.41,114.18,0.0,0.0,1,36.64,12.0,-13.2,0,0,0.91,0.87,26800.0,22750.0,36000.0,37050.0,40350.0,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,v1_sl_first_gap_at_open,15.11,5.0,2.3,NORMAL+PM_BLOCK_INTRADAY+EF:극단갭(4.7%)/급등(18.3%) → 진입 보류+ENTRY:hold,hold,0.0,,1,1,22935.0,25411,33.4,0.7074,5.27,2.96,False,O,▲,25685,▲,O,X,0,0,0,4.71,250,0,1,1,1,0.0,자연과학 및 공학 연구개발업,기타,9.503363636363636,12.604545454545455,5.0,37.8,45.5,45.5,4,1,39.4,70.6,37.8,51.6,51.6,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSDAQ,아모센스,357580,전자부품 제조업,25100,423.34,2925.3,42334383600.0,79.9,97.3,55.25,102.18,0,1,0,0.4,77.39,51.39,96.09,250.56,167.02,87.1,223.33,118.0,0.058,0.058,1,176.26,12.0,21.18,1,0,3.15,0.74,16980.0,14420.0,29900.0,36250.0,44350.0,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,15.08,6.0,5.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,,1,1,15939.0,15319,63.84,1.1607,2.77,2.72,False,O,▲,21178,▲,O,X,0,0,0,-0.8,250,0,1,1,1,0.0,전자부품 제조업,IT/전기전자,20.905211267605633,13.804225352112676,2.0,62.0,72.42130978099708,72.42130978099708,6,1,91.1,79.1,62.0,80.5,80.5,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSDAQ,오이솔루션,138080,통신 및 방송 장비 제조업,34150,405.47,4114.9,40547152125.0,72.7,94.2,53.66,108.59,0,0,0,-4.74,71.95,73.79,108.74,142.37,215.04,99.75,115.14,166.02,0.098,0.098,1,134.65,12.0,6.57,1,0,3.54,0.81,23350.0,19830.0,38400.0,45350.0,54200.0,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,15.07,6.0,4.3,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,,1,1,21275.5,23712,44.02,0.9056,1.08,2.11,False,O,▲,30385,▲,O,X,0,0,0,3.21,250,0,1,1,1,0.0,통신 및 방송 장비 제조업,IT/전기전자,20.905211267605633,13.804225352112676,2.0,78.2,66.87444325586195,66.87444325586195,6,1,92.2,91.4,78.2,89.1,89.1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSDAQ,옵티코어,380540,마그네틱 및 광학 매체 제조업,4890,379.78,2386.0,37978246680.0,61.3,89.4,27.17,61.08,0,0,0,3.6,49.54,7.24,44.67,132.86,165.76,35.68,105.63,116.74,0.041,0.041,1,2.56,12.0,1.93,1,0,2.33,0.83,4040.0,3430.0,5250.0,5550.0,6320.0,SWING_20D,80,SWING_60D,60,ATR_3.5x,45,v1_sl_first_gap_at_open,15.1,6.0,2.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,🚀급등시동,1,-1,5099.5,3820,27.99,0.7738,1.46,1.76,False,O,▲,4330,▲,O,X,0,0,0,0.85,250,0,1,1,1,0.0,마그네틱 및 광학 매체 제조업,기타,9.503363636363636,12.604545454545455,5.0,69.8,59.5,59.5,8,1,78.2,83.5,69.8,78.6,78.6,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSDAQ,로킷헬스케어,376900,의료용품 및 기타 의약 관련제품 제조업,103600,337.66,16305.3,33765635300.0,73.3,82.1,41.56,82.32,0,0,0,4.65,51.46,52.13,81.44,40.76,521.85,72.45,13.53,472.83,0.002,0.002,1,178.88,12.0,16.03,1,0,1.77,0.94,76800.0,65300.0,106500.0,110600.0,121700.0,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,v1_sl_first_gap_at_open,14.97,5.0,2.6,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,,1,1,68710.0,69788,48.45,0.6158,0.55,2.48,False,O,▲,94809,▲,O,X,0,0,0,5.05,206,0,1,0,0,0.0,의료용품 및 기타 의약 관련제품 제조업,기타,9.503363636363636,12.604545454545455,5.0,73.0,49.10454424168229,49.10454424168229,6,1,81.2,64.5,73.0,72.9,72.9,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSDAQ,쏠리드,050890,통신 및 방송 장비 제조업,12340,337.27,7497.4,33726616660.0,69.7,88.6,32.62,71.52,0,0,0,-3.22,56.01,46.73,36.35,55.03,83.9,27.36,27.8,34.88,0.213,0.213,0,-1.69,12.0,-15.09,0,0,3.56,0.83,9770.0,8300.0,13410.0,15160.0,17390.0,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,15.05,5.0,2.5,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,,1,1,9388.0,10223,20.7,1.1188,0.42,2.47,False,O,▲,10891,▲,O,X,0,0,0,1.33,250,0,1,1,1,0.0,통신 및 방송 장비 제조업,IT/전기전자,20.905211267605633,13.804225352112676,2.0,70.4,51.5,51.5,4,1,52.4,58.1,70.4,58.3,58.3,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSDAQ,그래디언트,035080,무점포 소매업,14090,290.11,1927.0,29011282125.0,64.8,91.6,25.53,37.42,0,0,0,19.71,46.77,28.79,20.12,18.6,-2.83,11.13,-8.63,-51.85,0.096,0.096,1,2.79,11.8,-15.7,0,0,4.29,0.8,11790.0,10380.0,15300.0,16970.0,19090.0,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,11.96,6.0,2.5,NORMAL+PM_BLOCK_INTRADAY+EF:극단갭(0.5%)/급등(19.7%) → 진입 보류+ENTRY:hold,hold,0.0,,1,1,10414.0,12558,12.19,0.7498,14.56,3.18,False,O,▲,10905,▲,O,X,0,0,0,0.51,250,0,1,-1,1,0.0,무점포 소매업,유통·소비재,7.875555555555555,-10.912777777777778,13.0,67.2,45.5,45.5,6,1,47.0,63.7,67.2,57.7,57.7,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSDAQ,케이엠더블유,032500,통신 및 방송 장비 제조업,26000,266.29,10735.8,26629408075.0,66.7,75.7,30.0,64.83,0,0,0,-1.52,54.95,39.04,40.16,66.35,95.2,31.17,39.12,46.18,0.025,0.025,1,49.45,12.0,-15.7,0,0,2.0,0.81,21000.0,17840.0,28550.0,32500.0,37500.0,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,15.05,5.0,2.4,NORMAL+PM_BLOCK_INTRADAY+EF:갭(8.0%)/급등(-1.5%)/VI → 50% 분할+ENTRY:split,split,50.0,,1,1,18441.0,19954,30.3,1.0671,1.46,2.34,False,O,▲,22862,▲,O,X,0,0,0,7.95,250,0,1,1,1,0.0,통신 및 방송 장비 제조업,IT/전기전자,20.905211267605633,13.804225352112676,2.0,85.1,76.0,76.0,4,1,52.2,97.4,85.1,76.9,76.9,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSDAQ,와이지-원,019210,기타 금속 가공제품 제조업,12860,237.25,4783.1,23724948680.0,66.6,79.7,28.24,59.09,0,0,0,-6.74,41.16,36.08,25.95,125.61,134.24,16.96,98.38,85.22,0.097,0.097,1,44.18,12.0,-6.98,0,0,2.05,0.78,10530.0,8940.0,14200.0,15110.0,16710.0,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,v1_sl_first_gap_at_open,15.1,6.0,2.3,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,,1,1,8483.0,9605,33.88,0.6746,1.18,1.01,False,O,▲,11640,▲,O,X,0,0,0,-1.52,250,0,1,1,1,0.0,기타 금속 가공제품 제조업,기타,9.503363636363636,12.604545454545455,5.0,79.6,74.22574085111816,74.22574085111816,4,1,51.7,95.6,79.6,74.8,74.8,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
