종목코드,종목명,시장,업종,업종_상세,업종_대분류,종가,거래대금(억원),시가총액(억원),추천매수가,손절가,추천매도가1,추천매도가2,RANK_SCORE,LDY_SCORE,ENTRY_SCORE,NEWS_SCORE,NEWS_REASON,ROUTE,REGIME,ret_20d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,TTM_SQUEEZE_CNT,NORM_RR,NORM_T1,NORM_SL,NORM_NEAR,NORM_MOM,NORM_LIQ,NORM_TEC,RSI14,MFI14,이격도,VWAP,VWAP_GAP,캔들패턴,MACD_Hist,MACD_Slope_PCT,거래강도,V_POWER,SUPERTREND_VAL,SUPERTREND_DIR,BB_BW,BB_SQUEEZE_BW,TTM_SQUEEZE,BB_SQUEEZE,Above_MA20,IS_SWING_SUPPORT,ret_5d_%,ret_10d_%,ret_60d_%,주봉20선_상회,주봉추세,EBS,통과,근거,ATR_MULT,추천수량,추천금액(만원),HMA20,HMA_Trend,HMA_On,OBV_Div,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,RR1,Now%,ST_DIR,AI_COMMENT,ML_SCORE,TOTAL_SCORE,켈리_수량,켈리_금액(원),MKT_BREADTH_ALL_%,MKT_BREADTH_KOSPI_%,MKT_BREADTH_KOSDAQ_%,MKT_TEMP,TOP_SECTORS_5D,REGIME_RANK,LDY_RANK,기준일,시총기준일,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,60일_종목수익률_%,60일_초과수익(α)_%
417970,모델솔루션,KOSDAQ,특수 목적용 기계 제조업,특수 목적용 기계 제조업,조선·기계·설비,24950,56.22,,24950,23200,30550,36100,80.6,81.8,83.7,0.0,,↩️ PULL (눌림),② 상승 후 조정,2.25,122.57,0.5,87.84,104.63,7,1.0,1.0,1.0,1.0,0.49,0.0,0.7,52.5,72.4,-2.09,25502,-2.17,,-391.0792,-0.3298,0.54,0.11,20285,1,23.63,0,1,1,0,False,-4.77,-2.73,97.55,O,▲,8,★,"주봉20선↑, 주봉추세우상향, OBV매집, RSI적정, 정배열(단), 장기추세(120↑), 자금유입",1.8,96,240.1,26249,▼,X,O,6.351186440677966,18.93271186440678,3.0,3.2,0.0,1,🌪️ 7일 연속 응축 중! 폭발 임박. 📉 매도세 우위. 💰 외국인/기관 수급 집중.  (매수 유효),80.0999984741211,80.4,96,2401250,56.4,43.0,69.3,🌤 중립,1.철강·금속(+16.1%) / 2.기타(+14.7%) / 3.조선·기계·설비(+13.9%) / 4.IT/전기전자(+12.6%) / 5.반도체(+12.5%),2,11,20260108,20260108,27.0,9.71,97.55,87.84
128940,한미약품,KOSPI,의약품 제조업,의약품 제조업,바이오·의약품,463000,406.2,,459000,426500,524000,588000,79.9,71.9,78.8,0.0,,🔥 SQZ (폭발대기),⑤ 하락 / 약세,9.85,62.17,0.28,5.66,18.82,1,0.69,0.78,1.0,0.9,0.3,0.29,0.79,69.6,79.0,3.88,458152,1.06,,1975.7813,0.1086,0.95,0.65,419450,1,9.85,1,1,1,1,False,2.43,5.71,32.66,O,▲,10,★,"주봉20선↑, 주봉추세우상향, HMA추세↑, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입, MACD>Sig, VWAP상회",1.8,2,122.0,459761,▲,O,X,5.833684210526316,4.6078947368421055,7.0,1.6712328767123288,0.8714596949891068,1,🌪️ 에너지 응축 시작 (1일차). 💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속. ,45.599998474121094,69.6,2,1220000,56.4,43.0,69.3,🌤 중립,1.철강·금속(+16.1%) / 2.기타(+14.7%) / 3.조선·기계·설비(+13.9%) / 4.IT/전기전자(+12.6%) / 5.반도체(+12.5%),5,12,20260108,20260108,27.0,9.71,32.66,5.66
287840,인투셀,KOSDAQ,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,기타,62000,198.88,,62000,57600,70700,79400,78.6,83.4,88.4,0.0,,🔺 Watch (관찰·돌파예상),⑤ 하락 / 약세,-0.16,115.65,-1.91,44.14,97.71,0,0.81,0.83,1.0,1.0,0.69,0.1,0.8,45.5,50.9,2.65,57531,7.77,,-229.2539,0.347,0.73,0.93,52940,1,21.95,0,0,0,1,False,8.01,5.8,53.85,O,▲,9,★,"주봉20선↑, 주봉추세우상향, HMA추세↑, RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), VWAP상회",2.0,25,160.5,57357,▲,O,X,8.62061403508772,18.731754385964912,2.0,1.9772727272727273,0.0,1,🚀 단기 모멘텀 가속.  (매수 유효),66.30000305175781,74.9,25,1604540,56.4,43.0,69.3,🌤 중립,1.철강·금속(+16.1%) / 2.기타(+14.7%) / 3.조선·기계·설비(+13.9%) / 4.IT/전기전자(+12.6%) / 5.반도체(+12.5%),5,13,20260108,20260108,27.0,9.71,53.85,44.14
000520,삼일제약,KOSPI,의약품 제조업,의약품 제조업,바이오·의약품,10000,89.86,,10000,9490,11180,12360,78.4,73.6,84.2,0.0,,🔺 Watch (관찰·돌파예상),④ 바닥 반등 시도,-1.67,-3.47,-11.24,-25.58,-46.82,1,0.95,0.7,0.67,1.0,0.4,0.0,0.61,48.3,54.1,-1.19,10229,-2.24,,-12.7307,0.1964,2.04,-0.67,9495,1,16.25,0,1,1,0,True,3.2,-3.47,1.42,X,▲,5,★,"주봉추세우상향, 주봉역배열주의, HMA추세↑, OBV매집, RSI적정, MACD상승, 거래량↑, 정배열(단)",1.8,188,188.5,9758,▲,O,O,5.833684210526316,4.6078947368421055,7.0,2.3137254901960786,0.0,1,🌪️ 에너지 응축 시작 (1일차). 🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간.,72.0999984741211,76.5,188,1884957,56.4,43.0,69.3,🌤 중립,1.철강·금속(+16.1%) / 2.기타(+14.7%) / 3.조선·기계·설비(+13.9%) / 4.IT/전기전자(+12.6%) / 5.반도체(+12.5%),4,14,20260108,20260108,27.0,9.71,1.42,-25.58
389650,넥스트바이오메디컬,KOSDAQ,의료용 기기 제조업,의료용 기기 제조업,기타,89800,78.56,,89200,82900,101700,114200,78.4,74.2,74.9,0.0,,🔥 SQZ (폭발대기),① 강한 상승 추세,-0.88,99.56,-2.63,31.71,81.62,3,0.71,0.78,1.0,0.92,0.55,0.0,0.69,51.6,58.1,3.72,87957,2.09,,-220.4531,0.1542,0.73,-0.07,76730,1,15.14,0,1,1,1,False,0.45,6.78,41.42,O,▲,10,★,"주봉20선↑, 주봉추세우상향, HMA추세↑, HMA돌파, RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), VWAP상회",1.8,19,172.9,89101,▲,O,X,8.62061403508772,18.731754385964912,2.0,1.7246376811594204,0.672645739910314,1,🌪️ 에너지 응축 시작 (3일차). 📉 매도세 우위. 🚀 단기 모멘텀 가속. ,72.0,76.5,19,1728800,56.4,43.0,69.3,🌤 중립,1.철강·금속(+16.1%) / 2.기타(+14.7%) / 3.조선·기계·설비(+13.9%) / 4.IT/전기전자(+12.6%) / 5.반도체(+12.5%),1,15,20260108,20260108,27.0,9.71,41.42,31.71
142210,유니트론텍,KOSDAQ,자동차 부품 및 내장품 판매업,자동차 부품 및 내장품 판매업,자동차·모빌리티,6140,65.03,,6140,5710,7180,8210,78.2,80.2,80.3,0.0,,🔺 Watch (상승 준비),④ 바닥 반등 시도,-7.67,-1.44,-9.42,-9.71,-19.38,4,0.99,1.0,1.0,1.0,0.32,0.0,0.57,48.7,63.7,-1.67,6383,-3.81,,-10.7353,0.0401,2.18,-0.18,5645,1,9.56,1,1,1,0,True,0.49,-1.92,0.0,O,▲,10,★,"주봉20선↑, 주봉추세우상향, OBV매집, RSI적정, MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입",1.8,284,174.9,6306,▲,X,O,10.924545454545454,9.236818181818181,6.0,2.4186046511627906,0.0,1,🌪️ 에너지 응축 시작 (4일차). 🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. 💸 자금 유입 지속. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간. (매수 유효),64.30000305175781,74.0,284,1749038,56.4,43.0,69.3,🌤 중립,1.철강·금속(+16.1%) / 2.기타(+14.7%) / 3.조선·기계·설비(+13.9%) / 4.IT/전기전자(+12.6%) / 5.반도체(+12.5%),4,16,20260108,20260108,27.0,9.71,0.0,-9.71
015760,한국전력,KOSPI,전기업,전기업,기타,49150,971.25,,49150,45950,55600,62000,77.6,89.5,83.2,0.0,,🔺 Watch (관찰·돌파예상),⑤ 하락 / 약세,-4.93,32.84,-14.5,10.68,-10.51,0,0.83,0.77,0.97,1.0,0.46,0.8,0.81,45.8,38.5,0.08,48929,0.45,,-36.5408,0.2651,0.62,0.72,45960,1,10.2,0,0,0,1,False,4.13,0.2,37.68,O,▲,9,★,"주봉20선↑, 주봉추세우상향, HMA추세↑, RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), VWAP상회",1.8,13,68.4,48436,▲,O,X,8.62061403508772,18.731754385964912,2.0,2.015625,0.0,1,🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간. (매수 유효),26.700000762939453,62.3,13,683682,56.4,43.0,69.3,🌤 중립,1.철강·금속(+16.1%) / 2.기타(+14.7%) / 3.조선·기계·설비(+13.9%) / 4.IT/전기전자(+12.6%) / 5.반도체(+12.5%),5,17,20260108,20260108,27.0,9.71,37.68,10.68
317830,에스피시스템스,KOSDAQ,특수 목적용 기계 제조업,특수 목적용 기계 제조업,조선·기계·설비,11990,63.53,,11990,11150,14490,16990,77.5,78.6,79.9,0.0,,↩️ PULL (눌림),② 상승 후 조정,-11.84,71.53,-13.59,19.35,53.59,2,1.0,1.0,1.0,1.0,0.3,0.0,0.56,49.9,71.7,-6.16,12791,-6.27,,-210.2814,-0.5397,0.24,-1.82,10572,1,23.96,0,1,1,0,True,-12.35,-4.08,29.06,O,▲,8,★,"주봉20선↑, 주봉추세우상향, OBV매집, RSI적정, 정배열(단), 장기추세(120↑), 자금유입",1.8,170,204.7,13180,▼,X,O,6.351186440677966,18.93271186440678,3.0,2.9761904761904763,0.0,1,🌪️ 에너지 응축 시작 (2일차). 🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. 💰 외국인/기관 수급 집중. 📉 과매도 기술적 반등 기대.,71.80000305175781,75.8,170,2047440,56.4,43.0,69.3,🌤 중립,1.철강·금속(+16.1%) / 2.기타(+14.7%) / 3.조선·기계·설비(+13.9%) / 4.IT/전기전자(+12.6%) / 5.반도체(+12.5%),2,18,20260108,20260108,27.0,9.71,29.06,19.35
023790,동일스틸럭스,KOSDAQ,1차 철강 제조업,1차 철강 제조업,철강·금속,1590,149.39,,1580,1422,1936,2295,77.4,64.6,78.3,0.0,,🔺 Watch (상승 준비),⑤ 하락 / 약세,-1.61,89.06,-3.36,-40.88,71.12,9,0.85,1.0,0.37,0.93,0.27,0.06,0.44,55.3,91.8,3.64,1549,2.6,,11.1731,-0.0316,3.56,1.31,1728,-1,22.7,0,1,1,1,False,4.4,5.23,-31.17,X,▲,6,★,"주봉추세우상향, 주봉역배열주의, HMA돌파, OBV매집, RSI적정, 20선근접, 거래량↑, 자금유입, MACD>Sig, VWAP상회",2.5,1327,209.8,1468,▼,O,O,7.494,21.919999999999998,1.0,2.0595238095238093,0.6329113924050633,-1,🌪️ 9일 연속 응축 중! 폭발 임박. 💰 외국인/기관 수급 집중. ,85.4000015258789,79.8,1327,2097921,56.4,43.0,69.3,🌤 중립,1.철강·금속(+16.1%) / 2.기타(+14.7%) / 3.조선·기계·설비(+13.9%) / 4.IT/전기전자(+12.6%) / 5.반도체(+12.5%),5,19,20260108,20260108,27.0,9.71,-31.17,-40.88
022100,포스코DX,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업","건축기술, 엔지니어링 및 관련 기술 서비스업",서비스 기타,27150,263.98,,27150,25200,31000,34800,77.1,72.1,82.7,0.0,,↩️ PULL (눌림),③ 박스 / 중립,-4.57,12.42,-14.14,-0.13,-30.93,6,0.81,0.84,1.0,1.0,0.21,0.16,0.67,52.0,71.0,-3.0,28521,-4.81,,-108.2718,-0.2269,0.53,-2.08,25020,1,17.6,0,1,1,0,True,-5.57,1.69,26.87,O,▲,8,★,"주봉20선↑, 주봉추세우상향, OBV매집, RSI적정, 정배열(단), 장기추세(120↑), 자금유입",1.8,47,127.9,29185,▼,X,O,-0.6599999999999999,-8.1155,15.0,1.9743589743589745,0.0,1,🌪️ 6일 연속 응축 중! 폭발 임박. 🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. 💰 외국인/기관 수급 집중. ,55.599998474121094,70.6,47,1278961,56.4,43.0,69.3,🌤 중립,1.철강·금속(+16.1%) / 2.기타(+14.7%) / 3.조선·기계·설비(+13.9%) / 4.IT/전기전자(+12.6%) / 5.반도체(+12.5%),3,20,20260108,20260108,27.0,9.71,26.87,-0.13
