종목코드,업종
494120,기술성장기업부
060280,기타
005810,기타
093320,기타
171090,기타
145990,기타
099440,기타
093050,기타
016800,기타
099320,기타
215600,기타
105630,기타
161000,기타
450950,벤처기업부
425420,기타
170900,기타
365340,기술성장기업부
004690,기타
047920,기술성장기업부
002240,기타
003300,기타
179900,벤처기업부
272290,기타
100790,기타
001500,기타
453340,기타
064260,기타
034310,기타
089010,기타
214430,기타
069080,기타
017810,기타
192650,기타
199800,기술성장기업부
126340,벤처기업부
052020,투자주의환기종목(소속부없음)
041960,벤처기업부
090435,기타
200670,기타
189300,기타
094800,기타
178920,기타
060980,기타
050890,기타
005389,기타
025900,기타
009900,기타
097520,기타
029530,기타
394800,기술성장기업부
484590,기타
000070,기타
058970,기술성장기업부
053030,기타
067630,투자주의환기종목(소속부없음)
124500,기타
083450,기타
058650,기타
0120G0,기타
455900,기술성장기업부
314930,기술성장기업부
056080,기타
107640,기술성장기업부
403850,기타
059090,기타
006220,기타
005610,기타
004700,기타
099190,기타
016610,기타
079370,기타
138610,기술성장기업부
215200,기타
206650,기술성장기업부
014830,기타
183190,기타
101930,기타
034950,기타
253590,기타
344820,기타
357120,기타
026890,기타
420770,벤처기업부
072710,기타
089590,기타
092200,기타
448730,기타
079940,기타
352480,기타
000157,기타
091810,기타
039440,기타
252990,기술성장기업부
460860,기타
089890,기타
091700,기타
033240,기타
002710,기타
094360,벤처기업부
144510,기타
317330,기타
304360,벤처기업부
122640,벤처기업부
033790,기타
041830,기타
037270,기타
001530,기타
340570,기타
078130,기타
033640,기타
114190,기타
200710,기타
003280,기타
304100,기술성장기업부
200130,기타
098070,기타
104830,기타
031430,기타
338840,기술성장기업부
448900,기술성장기업부
078340,기타
475400,기술성장기업부
215000,기타
003000,기타
403550,기타
168360,기타
101360,벤처기업부
027410,기타
084010,기타
046890,기타
031330,기타
014940,기타
448280,기타
475560,기타
095500,기타
194480,벤처기업부
001390,기타
256840,벤처기업부
045100,기타
042520,벤처기업부
013030,기타
105840,기타
015360,기타
053610,기타
432320,기타
094480,기타
130660,기타
064550,벤처기업부
035890,관리종목(소속부없음)
101160,기타
005945,기타
065660,기술성장기업부
001940,기타
376270,기술성장기업부
008060,기타
419530,기술성장기업부
104700,기타
117730,벤처기업부
338220,기술성장기업부
200880,기타
018250,기타
034120,기타
114810,기타
003520,기타
015860,기타
020000,기타
067080,기타
006110,기타
348340,기술성장기업부
357550,기술성장기업부
024720,기타
005090,기타
126560,기타
084690,기타
272450,기타
009155,기타
380550,기술성장기업부
194370,기타
017860,기타
099430,기타
441270,기타
003960,기타
389260,기타
108860,벤처기업부
003800,기타
416180,벤처기업부
005720,기타
306200,기타
243070,기타
001820,기타
001200,기타
469610,기타
065680,기타
308430,기술성장기업부
034830,기타
011930,기타
038500,기타
204620,기타
230360,기타
017390,기타
377190,기타
029460,기타
025860,기타
009160,기타
092230,기타
417310,기타
064820,기타
900140,기타
010690,기타
033270,기타
009680,기타
051500,기타
054950,기타
136480,기타
051980,기타
488900,기술성장기업부
009290,기타
126720,기타
206640,기타
093520,기타
138490,기타
488280,기술성장기업부
001510,기타
012030,기타
445090,벤처기업부
002310,기타
088260,기타
084990,기술성장기업부
010170,기타
092730,기타
086390,기타
123890,기타
