종목코드,종목명,시장,업종,업종_상세,업종_대분류,종가,거래대금(억원),시가총액(억원),상태,IS_ACTIVE,IS_NOW_ENTRY,IS_WATCH,추천매수가,손절가,추천매도가1,추천매도가2,FINAL_SCORE,TRIGGER_SCORE,TOTAL_SCORE,RANK_SCORE,LDY_SCORE,ENTRY_SCORE,ML_SCORE,NEWS_SCORE,NEWS_REASON,TRIGGER,ROUTE,REGIME,ret_20d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,TTM_SQUEEZE_CNT,NORM_RR,NORM_T1,NORM_SL,NORM_NEAR,NORM_MOM,NORM_LIQ,NORM_TEC,RSI14,MFI14,이격도,BB_BW,TTM_SQUEEZE,BB_SQUEEZE_BW,ret_1d_%,ret_5d_%,ret_10d_%,ret_60d_%,RES_RATIO,RES_RATIO_NEAR,IS_ABOVE_POC,POC_GAP,NEAR_THRES,Low_Trend_PCT,RSI_Rising,BB_Expanding,Vol_Quality,Range_Pos,Above_MA20,SUPERTREND_DIR,SUPERTREND_VAL,VWAP,VWAP_GAP,MACD_Slope_PCT,거래강도,V_POWER,IS_SWING_SUPPORT,주봉20선_상회,주봉추세,HMA20,HMA_Trend,HMA_On,OBV_Div,외인순매수,기관순매수,개인순매수,메이저순매수,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,RAW_TRIGGER_SCORE,EBS,STRUCT_SCORE,TIMING_SCORE,AI_SCORE,LDY_RANK,기준일,시총기준일,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,60일_종목수익률_%,60일_초과수익(α)_%
139130,iM금융지주,KOSPI,기타 금융업,기타 금융업,금융,17500,216.35,0.0,OVERHEAT,False,False,False,15730,14690,17810,19591.0,88.2,90.0,88.2,87.7,87.7,,77.69999694824219,0.0,,,OVERHEAT,,20.77,25.36,9.81,0.71,-33.34,0,,,,,,,,96.2,93.2,16.81,27.52,0,0,4.6,12.9,21.53,24.64,0.0,0.0,1,23.49,6.8,4.28,1,0,2.06,0.97,1,1,14969.0,16369,6.91,0.254,1.69,2.18,False,O,▲,16477,▲,O,X,0.0,0.0,0.0,0.0,5.019736842105263,8.838157894736844,8.0,90.0,6,87.7,96.0,77.7,11,20260206,20260206,23.93,22.22,24.64,0.71
000810,삼성화재,KOSPI,보험업,보험업,금융,519000,559.47,0.0,WAIT,False,False,True,519000,485500,586000,644600.0,76.3,71.89624934650767,76.3,70.9,70.9,,60.599998474121094,0.0,,,WAIT,,10.43,18.36,-0.53,-20.34,-40.34,0,,,,,,,,62.7,59.0,5.37,10.12,0,0,3.18,3.59,5.49,3.59,0.0,0.0,1,15.12,6.8,2.14,1,1,0.95,1.0,1,1,466800.0,500788,3.64,0.1084,1.11,0.51,False,O,▲,503451,▲,O,X,0.0,0.0,0.0,0.0,5.019736842105263,8.838157894736844,8.0,71.89624934650767,8,70.9,95.9,60.6,12,20260206,20260206,23.93,22.22,3.59,-20.34
023530,롯데쇼핑,KOSPI,종합 소매업,종합 소매업,유통·소비재,97000,149.32,0.0,OVERHEAT,False,False,False,84000,76800,98100,107910.00000000001,83.3,90.0,83.3,76.6,76.6,,82.5,0.0,,,OVERHEAT,,41.61,43.07,30.65,16.04,-15.63,0,,,,,,,,86.3,78.4,21.32,42.28,0,0,0.52,15.48,22.94,39.97,0.024,0.024,1,33.49,8.4,10.28,1,0,1.44,0.91,1,1,83770.0,91953,5.49,0.3527,1.17,1.79,False,O,▲,91985,▲,O,X,0.0,0.0,0.0,0.0,10.348095238095238,48.153333333333336,1.0,90.0,6,76.6,95.0,82.5,13,20260206,20260206,23.93,22.22,39.97,16.04
000210,DL,KOSPI,기초 화학물질 제조업,기초 화학물질 제조업,화학·소재,43100,71.33,0.0,WAIT,False,False,True,43100,38850,51600,56760.00000000001,84.4,69.0,84.4,80.5,80.5,,78.0999984741211,0.0,,,WAIT,,23.67,6.95,12.71,-19.32,-51.75,0,,,,,,,,68.6,79.5,9.73,32.7,0,0,-5.59,3.86,11.66,4.61,0.041,0.041,1,10.47,11.7,13.97,1,0,1.29,0.61,1,1,38185.0,43516,-0.96,0.089,1.23,0.36,False,O,▲,44290,▲,X,X,0.0,0.0,0.0,0.0,2.26,16.127333333333333,5.0,69.0,8,80.5,95.0,78.1,14,20260206,20260206,23.93,22.22,4.61,-19.32
066430,아이로보틱스,KOSDAQ,기타 전문 도매업,기타 전문 도매업,기타,3205,201.65,0.0,OVERHEAT,False,False,False,2665,1802,4395,4834.5,87.6,70.0,87.6,80.8,80.8,,95.19999694824219,0.0,,,OVERHEAT,,75.42,96.99,61.41,120.03,63.87,0,,,,,,,,59.0,79.0,26.27,70.25,0,0,-13.14,50.47,16.97,142.25,0.0,0.0,1,118.57,12.0,11.97,0,0,2.41,0.72,1,1,1970.8000000000002,3204,0.01,1.0804,1.63,2.67,False,O,▲,2776,▲,O,X,0.0,0.0,0.0,0.0,3.0907236842105266,7.204473684210526,11.0,70.0,8,80.8,93.8,95.2,15,20260206,20260206,23.93,22.22,142.25,120.03
161390,한국타이어앤테크놀로지,KOSPI,고무제품 제조업,고무제품 제조업,화학·소재,67200,307.72,0.0,WAIT,False,False,True,67200,60900,79800,87780.0,73.4,70.0,73.4,77.6,77.6,,33.900001525878906,0.0,,,WAIT,,15.66,51.01,4.7,-10.61,-7.69,0,,,,,,,,66.5,57.0,5.42,18.05,0,0,0.9,5.83,0.0,13.32,0.024,0.024,1,71.96,10.7,8.54,1,0,1.03,0.67,1,1,60490.0,65473,2.64,0.0894,1.27,0.05,False,O,▲,64964,▲,O,X,0.0,0.0,0.0,0.0,2.26,16.127333333333333,5.0,70.0,6,77.6,92.8,33.9,16,20260206,20260206,23.93,22.22,13.32,-10.61
128940,한미약품,KOSPI,의약품 제조업,의약품 제조업,바이오·의약품,552000,1402.7,0.0,WAIT,False,False,True,497500,429000,634000,697400.0,78.1,68.6685513790673,78.1,77.6,77.6,,58.29999923706055,0.0,,🚀급등시동,WAIT,,15.72,97.85,4.76,-2.34,39.15,0,,,,,,,,69.0,73.4,16.49,35.33,0,0,2.03,14.05,18.58,21.59,0.0,0.0,1,23.6,12.0,12.78,1,0,1.27,0.88,1,1,425450.0,528705,4.41,0.2569,1.22,1.44,False,O,▲,530481,▲,O,X,0.0,0.0,0.0,0.0,-0.31700000000000006,0.1490000000000002,12.0,68.6685513790673,8,77.6,92.3,58.3,17,20260206,20260206,23.93,22.22,21.59,-2.34
005880,대한해운,KOSPI,해상 운송업,해상 운송업,기타,2045,176.38,0.0,WAIT,False,False,True,2045,1861,2415,2656.5,91.1,63.0,91.1,91.9,91.9,,90.69999694824219,0.0,,,WAIT,,16.19,14.69,5.23,-11.13,-44.01,0,,,,,,,,64.5,70.9,6.35,24.45,0,0,-4.66,4.71,9.01,12.8,0.0,0.0,1,8.8,10.7,6.19,1,0,2.31,0.55,1,1,1860.7,2105,-2.85,0.1078,1.66,1.13,False,O,▲,2100,▲,X,X,0.0,0.0,0.0,0.0,3.0907236842105266,7.204473684210526,11.0,63.0,8,91.9,90.0,90.7,18,20260206,20260206,23.93,22.22,12.8,-11.13
475960,토모큐브,KOSDAQ,사진장비 및 광학기기 제조업,사진장비 및 광학기기 제조업,기타,55200,382.29,0.0,ATTACK,True,True,False,49850,43250,63100,69410.0,87.1,63.84693288312927,87.1,87.1,87.1,,83.80000305175781,0.0,,,ATTACK,,13.7,109.89,-0.31,24.39,76.77,1,,,,,,,,72.4,73.6,16.23,23.19,0,0,11.97,20.79,20.52,46.61,0.038,0.038,1,11.75,12.0,5.26,1,0,2.03,0.89,1,1,39880.0,50672,8.93,0.2854,3.27,1.85,False,O,▲,50194,▲,O,X,0.0,0.0,0.0,0.0,3.0907236842105266,7.204473684210526,11.0,63.84693288312927,6,87.1,89.4,83.8,19,20260206,20260206,23.93,22.22,46.61,24.39
499790,GS피앤엘,KOSPI,기타 금융업,기타 금융업,금융,62000,207.48,0.0,OVERHEAT,False,False,False,49400,41750,64700,71170.0,81.9,84.0,81.9,81.9,81.9,,70.9000015258789,0.0,,,OVERHEAT,,42.53,30.66,31.57,37.53,-28.04,0,,,,,,,,83.2,84.5,31.8,55.02,0,0,1.97,21.09,46.05,61.46,0.0,0.0,1,28.89,12.0,7.78,1,0,1.81,0.95,1,1,46115.0,56824,9.11,0.4301,1.33,1.06,False,O,▲,56142,▲,O,X,0.0,0.0,0.0,0.0,5.019736842105263,8.838157894736844,8.0,84.0,6,81.9,89.3,70.9,20,20260206,20260206,23.93,22.22,61.46,37.53
