시장,종목명,종목코드,업종,종가,거래대금(억원),시가총액(억원),거래대금(원),RSI14,MFI14,이격도,BB_BW,TTM_SQUEEZE,TTM_SQUEEZE_CNT,BB_SQUEEZE_BW,ret_1d_%,ret_5d_%,ret_10d_%,ret_20d_%,ret_60d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,RES_RATIO,RES_RATIO_NEAR,IS_ABOVE_POC,POC_GAP,NEAR_THRES,Low_Trend_PCT,RSI_Rising,BB_Expanding,Vol_Quality,Range_Pos,외인순매수,기관순매수,메이저순매수,TRIGGER,Above_MA20,SUPERTREND_DIR,SUPERTREND_VAL,VWAP,VWAP_GAP,MACD_Slope_PCT,거래강도,V_POWER,IS_SWING_SUPPORT,주봉20선_상회,주봉추세,HMA20,HMA_Trend,HMA_On,OBV_Div,gap_pct,_data_length,consecutive_limit_up,MTF_WEEKLY_TREND,MTF_MONTHLY_TREND,MTF_DATA_SUFFICIENT,추천매수가,손절가,추천매도가1,추천매도가2,추천매도가3,ENTRY_ACTION,POSITION_PCT,PLAN_REASON,STOP_PCT,MAX_LOSS_PCT,RR_MULT,REGIME,TIME_STOP_DAYS,EXEC_RULE_ID,STOP_REASON,TP1_METHOD,TP1_PROB,TP2_METHOD,TP2_PROB,TP3_METHOD,TP3_PROB,개인순매수,업종_상세,업종_대분류,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,ML_SCORE,ML_STATUS,TRIGGER_SCORE,RAW_TRIGGER_SCORE,EBS,PASS_EBS,STRUCT_SCORE,TIMING_SCORE,AI_SCORE,FINAL_SCORE,DISPLAY_SCORE,W_STRUCT,W_TIMING,W_AI,SCORING_AXES,BLOCK_REASON
KOSDAQ,제일일렉트릭,199820,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",16640,3598.31,3835.2,359830996565.0,95.3,97.1,48.58,55.05,0,0,0,30.0,46.09,47.52,52.94,61.87,45.2,45.45,39.19,4.37,0.0,0.0,1,69.34,12.0,11.53,1,0,3.64,1.0,6772,0,6772,,1,1,11131.0,11909,39.72,0.4961,6.45,2.18,False,O,▲,12780,▲,O,X,-2.03,250,1,1,1,1,11760.0,9990.0,16640.0,18940.0,21850.0,hold,0.0,NORMAL+PM_BLOCK_INTRADAY+EF:당일 15%+ 급등 진입 보류+ENTRY:hold,15.05,6.0,2.8,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:당일 15%+ 급등 진입 보류+ENTRY:hold,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,0.0,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",인프라·에너지,13.898125,28.106875,3.0,7.0,OK,76.0,76.0,6,1,95.0,88.4,7.0,74.8,74.8,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열][RSI극단: RSI 85+ 극단과열]
KOSPI,LS ELECTRIC,010120,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",273000,3235.68,417000.0,323568422250.0,96.5,86.5,42.97,78.16,0,0,0,4.4,40.58,46.15,71.91,145.06,179.43,64.42,122.38,138.6,0.013,0.013,1,190.66,12.0,23.71,1,0,1.34,0.94,0,0,0,,1,1,220480.0,168855,61.68,0.5632,1.34,0.41,False,O,▲,242871,▲,O,X,2.68,250,0,1,1,1,200500.0,172700.0,281500.0,330000.0,391500.0,split,50.0,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,13.87,4.0,2.9,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,0.0,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",인프라·에너지,13.898125,28.106875,3.0,51.0,OK,79.5,79.5,6,1,85.8,91.8,51.0,81.2,81.2,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열][RSI극단: RSI 85+ 극단과열]
KOSPI,HD현대중공업,329180,선박 및 보트 건조업,690000,2802.01,718984.4,280201230500.0,91.5,91.2,27.82,65.37,0,0,0,3.45,7.64,45.42,52.82,17.35,13.67,45.33,-5.33,-27.16,0.0,0.0,1,23.36,9.5,10.34,1,0,1.24,0.93,23460,19320,42780,,1,1,575750.0,549717,25.52,0.0173,1.27,0.86,False,O,▲,683244,▲,O,X,-1.2,250,0,1,1,1,567000.0,502000.0,710000.0,787000.0,885000.0,split,50.0,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,11.46,4.0,2.2,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,0.0,선박 및 보트 건조업,조선·기계·설비,8.74876712328767,23.237945205479452,6.0,48.6,OK,50.522074789054734,50.522074789054734,6,1,84.4,56.1,48.6,65.9,65.9,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[RSI극단: RSI 85+ 극단과열]
KOSPI,POSCO홀딩스,005490,1차 철강 제조업,469000,2630.13,366095.9,263012627000.0,85.9,89.5,21.28,39.49,0,0,0,0.54,12.07,27.45,35.55,28.85,50.56,28.06,6.17,9.73,0.01,0.01,1,36.93,7.2,9.35,1,0,1.41,0.91,0,0,0,,1,1,411150.0,376590,24.54,0.1438,1.21,0.73,False,O,▲,441279,▲,O,X,2.25,250,0,1,1,1,406000.0,372500.0,482000.0,527000.0,584000.0,split,50.0,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,8.25,4.0,2.3,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,0.0,1차 철강 제조업,철강·금속,16.06222222222222,30.944074074074074,2.0,36.2,OK,70.5,70.5,6,1,86.3,81.9,36.2,74.5,74.5,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[RSI극단: RSI 85+ 극단과열]
KOSPI,효성중공업,298040,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",3982000,2136.3,364776.3,213630130500.0,91.6,80.2,28.61,57.34,0,0,0,0.15,29.12,34.3,50.09,56.4,71.05,42.6,33.72,30.22,0.011,0.011,1,71.47,9.3,18.17,1,0,1.07,0.89,0,0,0,,1,1,3419400.0,2754311,44.57,0.5399,0.92,1.04,False,O,▲,3677874,▲,O,X,-0.96,250,0,1,1,1,3251000.0,2880000.0,4170000.0,4733000.0,5449000.0,split,50.0,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,11.41,4.0,2.5,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,0.0,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",인프라·에너지,13.898125,28.106875,3.0,22.0,OK,66.49471835369695,66.49471835369695,4,1,81.7,77.4,22.0,68.0,68.0,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[RSI극단: RSI 85+ 극단과열]
KOSPI,SK증권,001510,금융 지원 서비스업,5320,2022.41,12096.7,202241313795.0,90.4,87.6,33.99,55.87,0,0,0,-3.45,42.63,42.63,23.89,197.37,282.46,16.4,174.69,241.63,0.013,0.013,1,29.18,8.1,1.28,0,0,8.59,0.65,0,0,0,,1,1,4839.5,3891,36.69,1.0765,1.93,1.88,False,O,▲,4436,▲,O,X,-2.0,250,0,1,1,1,4170.0,3740.0,6190.0,7430.0,9000.0,split,50.0,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,10.31,5.0,4.7,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,0.0,금융 지원 서비스업,서비스 기타,6.231111111111112,7.1503703703703705,11.0,48.0,OK,66.0,66.0,6,1,66.8,68.8,48.0,63.8,63.8,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열][RSI극단: RSI 85+ 극단과열]
KOSDAQ,KBI메탈,024840,1차 비철금속 제조업,3925,1812.25,1780.4,181225335223.0,84.4,87.7,47.4,57.96,0,0,0,29.97,48.67,36.05,78.0,122.51,103.05,70.51,99.83,62.22,0.0,0.0,1,53.6,12.0,26.1,1,0,1.34,1.0,0,0,0,,1,1,2460.5,2573,52.52,0.4583,1.29,0.94,False,O,▲,3021,▲,O,X,4.14,250,1,1,1,1,2795.0,2375.0,3925.0,4540.0,5320.0,hold,0.0,NORMAL+PM_BLOCK_INTRADAY+EF:당일 15%+ 급등 진입 보류+ENTRY:hold,15.03,6.0,2.7,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:당일 15%+ 급등 진입 보류+ENTRY:hold,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,0.0,1차 비철금속 제조업,철강·금속,16.06222222222222,30.944074074074074,2.0,20.9,OK,79.38842416611361,79.38842416611361,6,1,86.8,92.2,20.9,75.8,75.8,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSDAQ,파두,440110,반도체 제조업,81500,1666.01,39159.0,166601167700.0,88.1,86.7,33.43,68.47,0,0,0,-0.12,24.62,33.83,53.77,262.22,337.7,46.28,239.54,296.87,0.005,0.005,1,255.5,12.0,23.41,1,0,0.83,0.93,13692,-2690,11002,,1,1,63560.0,55292,47.4,0.4892,0.72,2.48,False,X,▼,75727,▲,O,X,-1.96,221,0,1,1,1,64100.0,54500.0,84000.0,101100.0,122900.0,split,50.0,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,14.98,5.0,2.1,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,0.0,반도체 제조업,반도체,11.74551724137931,41.896206896551725,1.0,54.5,OK,57.16807495030569,57.16807495030569,4,1,79.3,67.3,54.5,69.5,69.5,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[RSI극단: RSI 85+ 극단과열]
KOSPI,LG이노텍,011070,전자부품 제조업,592000,1650.97,135612.5,165097460500.0,90.7,83.3,41.75,85.54,0,0,0,2.6,18.4,54.57,72.59,138.71,149.79,65.1,116.03,108.96,0.0,0.0,1,126.96,11.8,16.8,1,0,1.29,0.99,0,0,0,,1,1,465600.0,336715,75.82,0.2225,0.81,-0.53,False,O,▲,555610,▲,O,X,1.73,250,0,1,1,1,438500.0,375000.0,596000.0,697000.0,825000.0,split,50.0,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,14.48,4.0,2.5,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,0.0,전자부품 제조업,IT/전기전자,2.5103370786516854,19.41247191011236,8.0,19.6,OK,49.15612184222783,49.15612184222783,6,1,86.0,50.6,19.6,58.6,58.6,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[RSI극단: RSI 85+ 극단과열]
KOSDAQ,제룡산업,147830,"구조용 금속제품, 탱크 및 증기발생기 제조업",11180,1578.57,2338.0,157857108205.0,82.5,98.0,36.69,55.7,0,0,0,11.13,40.81,39.4,44.63,54.85,65.88,37.14,32.17,25.05,0.0,0.0,1,0.76,12.0,8.82,1,0,2.07,0.8,0,0,0,,1,1,8704.0,9022,23.91,0.7354,8.46,1.32,False,O,▲,9444,▲,O,X,-0.6,250,0,1,1,1,8590.0,7370.0,12220.0,13910.0,16040.0,split,50.0,NORMAL+PM_BLOCK_INTRADAY+EF:당일 10%+ 급등 분할 진입 + RSI 80+ 과열 분할 진입+ENTRY:split,14.2,6.0,3.0,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:당일 10%+ 급등 분할 진입 + RSI 80+ 과열 분할 진입+ENTRY:split,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,0.0,"구조용 금속제품, 탱크 및 증기발생기 제조업",기타,7.5329411764705885,10.005210084033612,10.0,62.6,OK,20.5,20.5,6,1,92.0,22.8,62.6,58.4,58.4,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
