종목코드,종목명,시장,종가,시가,저가,고가
005930,삼성전자,KOSPI,360500,360500,342000,370000
000660,SK하이닉스,KOSPI,2360000,2376000,2259000,2407000
005935,삼성전자우,KOSPI,231500,231500,223500,243500
402340,SK스퀘어,KOSPI,1346000,1281000,1212000,1375000
005380,현대차,KOSPI,729000,770000,697000,772000
009150,삼성전기,KOSPI,1813000,1839000,1659000,1886000
373220,LG에너지솔루션,KOSPI,442500,458500,438000,497500
032830,삼성생명,KOSPI,480000,421000,412000,485000
028260,삼성물산,KOSPI,485500,464000,441500,498000
329180,HD현대중공업,KOSPI,673000,679000,645000,702000
012330,현대모비스,KOSPI,759000,763000,698000,775000
000270,기아,KOSPI,168800,171300,163900,172700
034020,두산에너빌리티,KOSPI,100000,108800,99700,109300
066570,LG전자,KOSPI,392500,423000,330000,438000
207940,삼성바이오로직스,KOSPI,1367000,1363000,1350000,1401000
105560,KB금융,KOSPI,156600,155800,150000,156900
012450,한화에어로스페이스,KOSPI,1070000,1111000,1044000,1115000
006400,삼성SDI,KOSPI,602000,641000,595000,670000
034730,SK,KOSPI,668000,657000,633000,670000
055550,신한지주,KOSPI,96400,96200,91800,96400
035420,NAVER,KOSPI,280500,285000,244000,289500
068270,셀트리온,KOSPI,187900,190500,185700,191700
010120,LS ELECTRIC,KOSPI,241500,266500,240000,266500
267260,HD현대일렉트릭,KOSPI,995000,1065000,982000,1065000
042660,한화오션,KOSPI,116000,122700,116000,124700
298040,효성중공업,KOSPI,3544000,3778000,3513000,3779000
006800,미래에셋증권,KOSPI,57800,60300,56900,60300
086790,하나금융지주,KOSPI,117000,114800,112500,117000
005490,POSCO홀딩스,KOSPI,399000,405500,392500,416500
000150,두산,KOSPI,1918000,2115000,1810000,2168000
011070,LG이노텍,KOSPI,1252000,1381000,1150000,1381000
000810,삼성화재,KOSPI,641000,629000,604000,649000
010130,고려아연,KOSPI,1322000,1352000,1302000,1368000
009540,HD한국조선해양,KOSPI,383500,404000,378000,404500
017670,SK텔레콤,KOSPI,125200,134000,112100,139500
042700,한미반도체,KOSPI,275500,295500,273000,296500
051910,LG화학,KOSPI,355000,358000,354000,381000
307950,현대오토에버,KOSPI,898000,900000,805000,928000
010140,삼성중공업,KOSPI,27700,27300,26050,28650
015760,한국전력,KOSPI,37750,38350,37300,38600
018260,삼성에스디에스,KOSPI,300500,310500,284500,322500
064350,현대로템,KOSPI,203000,215000,197000,217500
316140,우리금융지주,KOSPI,29900,29300,28950,29900
267250,HD현대,KOSPI,276500,275000,258000,278500
003550,LG,KOSPI,140000,152700,133100,154200
003670,포스코퓨처엠,KOSPI,222500,227500,221500,244500
096770,SK이노베이션,KOSPI,116300,115800,115000,119900
247540,에코프로비엠,KOSDAQ GLOBAL,198000,203500,197900,218000
033780,KT&G,KOSPI,184600,187100,181600,188000
196170,알테오젠,KOSDAQ GLOBAL,357000,368000,353500,381000
035720,카카오,KOSPI,42550,43300,41100,43300
011200,HMM,KOSPI,19510,19630,19190,19640
272210,한화시스템,KOSPI,97400,99100,95300,101000
138040,메리츠금융지주,KOSPI,106100,107000,103500,107000
086520,에코프로,KOSDAQ GLOBAL,127600,128800,126900,138200
086280,현대글로비스,KOSPI,221500,233000,218000,234000
024110,기업은행,KOSPI,20350,20050,19780,20350
079550,LIG디펜스앤에어로스페이스,KOSPI,726000,757000,720000,760000
278470,에이피알,KOSPI,401000,425000,395000,425000
000720,현대건설,KOSPI,134200,135900,129500,137000
277810,레인보우로보틱스,KOSDAQ,763000,819000,740000,845000
047810,한국항공우주,KOSPI,147000,161400,146900,162500
030200,KT,KOSPI,53900,55000,53400,55400
071050,한국금융지주,KOSPI,241500,243500,234500,245500
006260,LS,KOSPI,425500,465000,420500,465500
064400,LG씨엔에스,KOSPI,135700,144500,121000,153300
010950,S-Oil,KOSPI,108300,102900,102500,110900
259960,크래프톤,KOSPI,252000,250000,238000,254500
0126Z0,삼성에피스홀딩스,KOSPI,464000,473500,456500,473500
005940,NH투자증권,KOSPI,30650,31500,29950,31500
454910,두산로보틱스,KOSPI,166700,165600,138400,170000
016360,삼성증권,KOSPI,120600,125000,116200,125100
047050,포스코인터내셔널,KOSPI,59900,60900,59300,61500
323410,카카오뱅크,KOSPI,22000,21950,21300,22150
443060,HD현대마린솔루션,KOSPI,227000,227000,216000,231500
007660,이수페타시스,KOSPI,136300,139400,129500,144000
005387,현대차2우B,KOSPI,282000,300500,277000,309500
028050,삼성E&A,KOSPI,49300,48800,47700,49850
039490,키움증권,KOSPI,364000,384500,359500,385000
005830,DB손해보험,KOSPI,145500,141100,138300,146300
047040,대우건설,KOSPI,22800,23650,21750,23750
003490,대한항공,KOSPI,25300,25650,25000,25650
352820,하이브,KOSPI,213500,213500,206500,216500
036930,주성엔지니어링,KOSDAQ GLOBAL,196900,184500,175000,208500
950160,코오롱티슈진,KOSDAQ,108000,92900,89700,110800
161390,한국타이어앤테크놀로지,KOSPI,69800,69000,65900,70000
003230,삼양식품,KOSPI,1140000,1166000,1127000,1170000
000880,한화,KOSPI,118900,124000,116800,127000
034220,LG디스플레이,KOSPI,16690,16020,15250,17750
001440,대한전선,KOSPI,42500,47900,41800,47950
353200,대덕전자,KOSPI,157500,171700,152100,173500
180640,한진칼,KOSPI,114300,112800,109000,115800
000990,DB하이텍,KOSPI,170100,182500,165600,183000
036570,NC,KOSPI,338000,292500,286000,343500
000250,삼천당제약,KOSDAQ,302000,307500,298500,313500
267270,HD건설기계,KOSPI,147800,141400,137600,148500
058470,리노공업,KOSDAQ GLOBAL,92800,97400,91900,97400
009830,한화솔루션,KOSPI,40800,39500,38950,41800
028300,HLB,KOSDAQ,52100,54300,51200,54600
326030,SK바이오팜,KOSPI,88400,87700,87300,89900
062040,산일전기,KOSPI,225000,244000,220500,244000
032640,LG유플러스,KOSPI,16150,16830,15600,17030
078930,GS,KOSPI,72600,73900,70300,73900
021240,코웨이,KOSPI,94600,91900,90400,95000
005385,현대차우,KOSPI,282000,300500,276500,305000
128940,한미약품,KOSPI,507000,553000,503000,578000
000100,유한양행,KOSPI,81500,83000,80500,83200
090430,아모레퍼시픽,KOSPI,109300,111400,107650,111400
000500,가온전선,KOSPI,386000,439000,373000,440000
087010,펩트론,KOSDAQ,270500,261000,260500,282000
377300,카카오페이,KOSPI,46600,46500,45100,47100
241560,두산밥캣,KOSPI,65200,66200,62500,66500
066970,엘앤에프,KOSPI,150000,152800,149700,164000
298380,에이비엘바이오,KOSDAQ,107100,110100,106300,112300
108490,로보티즈,KOSDAQ,405000,433000,355000,464000
010060,OCI홀딩스,KOSPI,316500,334000,304000,339500
141080,리가켐바이오,KOSDAQ GLOBAL,147700,147000,142700,155900
336260,두산퓨얼셀,KOSPI,82800,85200,80500,87600
029780,삼성카드,KOSPI,46750,45600,45150,46850
004170,신세계,KOSPI,569000,520000,512000,571000
022100,포스코DX,KOSPI,35300,37250,33500,37250
440110,파두,KOSDAQ,107100,111100,104500,112900
138930,BNK금융지주,KOSPI,17170,16970,16700,17220
039030,이오테크닉스,KOSDAQ GLOBAL,432000,447000,430000,459500
011790,SKC,KOSPI,140200,156400,138500,158100
001040,CJ,KOSPI,181500,178500,172300,185700
088980,맥쿼리인프라,KOSPI,10960,10800,10700,11000
