시장,종목명,종목코드,종가,거래대금(억원),시가총액(억원),RSI14,乖離%,MACD_hist,MACD_slope,Vol_Z,ret_5d_%,ret_10d_%,EBS,통과,근거,추천매수가,추천매도가1,추천매도가2,손절가
KOSPI,삼성에스디에스,018260,180500,956.88,139666.9,64.3,7.84,671.7017,698.76026,2.39,7.44,9.33,6,🚀초입,"RSI 45~65, MACD↑, 거래량↑, 상승구조, MACD>sig, 과열X",169050,177700,186350,162360
KOSDAQ,에스티팜,237690,100800,806.86,20862.9,62.5,7.87,397.6194,383.30945,3.45,5.88,5.66,6,🚀초입,"RSI 45~65, MACD↑, 거래량↑, 상승구조, MACD>sig, 과열X",94380,102430,110480,90650
KOSPI,LG디스플레이,034220,14500,547.84,72500.0,49.2,0.61,-112.0707,25.86403,1.2,2.18,0.07,6,🚀초입,"RSI 45~65, MACD↑, MA20 근처, 거래량↑, 상승구조, 과열X",14500,15500,16500,13980
KOSDAQ,에이비엘바이오,298380,93000,535.05,51266.4,45.6,2.58,435.66,204.93021,0.95,7.76,3.22,6,🚀초입,"RSI 45~65, MACD↑, MA20 근처, 상승구조, MACD>sig, 과열X",91570,98030,104490,87940
KOSPI,카카오페이,377300,53700,532.82,72568.6,55.4,1.76,393.3124,31.9096,1.55,-0.92,3.67,6,🚀초입,"RSI 45~65, MACD↑, MA20 근처, 거래량↑, MACD>sig, 과열X",53300,56010,58720,51190
KOSDAQ,엠디바이스,226590,18610,450.23,1978.4,45.7,0.35,-256.8944,157.40412,2.37,6.77,12.86,6,🚀초입,"RSI 45~65, MACD↑, MA20 근처, 거래량↑, 상승구조, 과열X",18610,21350,24090,17990
KOSPI,NH투자증권,005940,19950,370.37,71090.7,52.8,-0.08,13.3442,-48.12284,2.32,-3.86,1.01,6,🚀초입,"RSI 45~65, MA20 근처, 거래량↑, 상승구조, MACD>sig, 과열X",19950,21040,22130,19370
KOSDAQ,코닉오토메이션,391710,2570,322.04,1081.1,55.4,1.71,-18.92,4.27093,5.08,-3.56,-2.1,6,🚀초입,"RSI 45~65, MACD↑, MA20 근처, 거래량↑, 상승구조, 과열X",2550,2920,3290,2450
KOSDAQ,주성엔지니어링,036930,32000,266.99,15125.9,54.6,2.36,-125.5133,97.0172,1.7,4.4,0.63,6,🚀초입,"RSI 45~65, MACD↑, MA20 근처, 거래량↑, 상승구조, 과열X",31580,33420,35270,30320
KOSPI,카카오뱅크,323410,23500,252.1,112092.8,48.4,1.18,134.7282,16.23457,1.26,-0.63,4.21,6,🚀초입,"RSI 45~65, MACD↑, MA20 근처, 거래량↑, MACD>sig, 과열X",23460,24370,25280,22550
KOSPI,현대해상,001450,27800,129.67,24853.2,49.4,-0.37,14.3852,2.729,0.98,0.18,0.36,6,🚀초입,"RSI 45~65, MACD↑, MA20 근처, 상승구조, MACD>sig, 과열X",27800,28870,29930,27070
KOSDAQ,태웅,044490,32300,112.47,6462.4,51.6,0.29,30.0479,85.42461,1.23,3.86,-9.27,6,🚀초입,"RSI 45~65, MACD↑, MA20 근처, 거래량↑, MACD>sig, 과열X",32300,35800,39300,31240
KOSDAQ,케어젠,214370,66100,105.02,35505.6,56.9,5.92,110.116,129.9524,1.22,4.42,5.76,6,🚀초입,"RSI 45~65, MACD↑, 거래량↑, 상승구조, MACD>sig, 과열X",63030,68900,74770,60530
KOSPI,GS건설,006360,19100,101.52,16346.1,58.8,2.26,60.2428,9.72288,1.38,1.0,-0.98,6,🚀초입,"RSI 45~65, MACD↑, MA20 근처, 거래량↑, MACD>sig, 과열X",18860,19660,20450,18120
KOSPI,LG유플러스,032640,15250,94.04,65548.8,51.2,0.85,10.7849,1.87715,0.64,1.8,0.53,6,🚀초입,"RSI 45~65, MACD↑, MA20 근처, 상승구조, MACD>sig, 과열X",15250,15760,16270,14740
KOSDAQ,스튜디오드래곤,253450,44500,78.93,13376.0,52.6,1.81,207.7456,86.56665,2.25,4.34,3.25,6,🚀초입,"RSI 45~65, MACD↑, MA20 근처, 거래량↑, MACD>sig, 과열X",44150,45510,46870,42790
KOSDAQ,퓨쳐켐,220100,19180,74.37,4239.2,51.1,3.82,82.2174,35.36175,1.34,1.54,4.98,6,🚀초입,"RSI 45~65, MACD↑, MA20 근처, 거래량↑, MACD>sig, 과열X",18660,20000,21340,17920
KOSDAQ,원익머트리얼즈,104830,34000,68.08,4286.7,46.8,2.53,-354.3208,125.88479,1.57,4.94,0.74,6,🚀초입,"RSI 45~65, MACD↑, MA20 근처, 거래량↑, 상승구조, 과열X",33490,35820,38150,32170
KOSDAQ,비츠로테크,042370,9220,61.7,2415.6,63.7,5.37,32.0239,12.21855,2.34,2.1,2.1,6,🚀초입,"RSI 45~65, MACD↑, 거래량↑, 상승구조, MACD>sig, 과열X",8840,9340,9840,8490
KOSDAQ,에이직랜드,445090,32650,59.27,3549.6,53.0,3.22,-66.0834,75.5116,2.18,3.0,0.77,6,🚀초입,"RSI 45~65, MACD↑, MA20 근처, 거래량↑, 상승구조, 과열X",31950,34310,36660,30680
