RULE_ID,REC_DATE,종목코드,종목명,FILL_STATUS,FILL_DAY,FILL_DATE,ENTRY_USED,RET_5D,MDD_5D,ALPHA_5D
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260720,377300,카카오페이,PENDING,1,20260721,39700.0,,,
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260721,316140,우리금융지주,PENDING,0,0,30500.0,,,
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260721,090430,아모레퍼시픽,PENDING,1,20260722,119700.0,,,
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260721,028670,팬오션,PENDING,1,20260722,5010.0,,,
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260721,081660,미스토홀딩스,PENDING,1,20260722,46000.0,,,
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260721,192820,코스맥스,PENDING,1,20260722,172200.0,,,
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260721,096770,SK이노베이션,PENDING,0,0,116300.0,,,
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260721,175330,JB금융지주,PENDING,1,20260722,26000.0,,,
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260721,000810,삼성화재,PENDING,0,0,618000.0,,,
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260721,071050,한국금융지주,PENDING,1,20260722,219000.0,,,
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260721,278470,에이피알,PENDING,1,20260722,365000.0,,,
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260721,017670,SK텔레콤,PENDING,0,0,85100.0,,,
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260721,003550,LG,PENDING,0,0,97300.0,,,
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260721,047810,한국항공우주,PENDING,0,0,142500.0,,,
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260721,068270,셀트리온,PENDING,1,20260722,171600.0,,,
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260721,006280,녹십자,PENDING,1,20260722,118600.0,,,
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260721,086280,현대글로비스,PENDING,0,0,189700.0,,,
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260721,009540,HD한국조선해양,PENDING,0,0,338000.0,,,
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260721,375500,DL이앤씨,PENDING,0,0,59000.0,,,
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260721,005490,POSCO홀딩스,PENDING,1,20260722,303000.0,,,
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260721,039490,키움증권,PENDING,1,20260722,305500.0,,,
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260721,088350,한화생명,PENDING,0,0,4340.0,,,
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260721,112610,씨에스윈드,PENDING,0,0,38700.0,,,
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260721,069540,빛과전자,PENDING,0,0,2400.0,,,
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260721,267250,HD현대,PENDING,0,0,198000.0,,,
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260721,241560,두산밥캣,PENDING,0,0,60700.0,,,
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260721,003230,삼양식품,PENDING,1,20260722,1100000.0,,,
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260721,139480,이마트,PENDING,0,0,78700.0,,,
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260721,017800,현대엘리베이터,PENDING,0,0,67000.0,,,
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260721,105560,KB금융,PENDING,0,0,171400.0,,,
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260722,028670,팬오션,PENDING,0,0,5080.0,,,
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260722,439090,마녀공장,PENDING,0,0,16430.0,,,
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260722,000270,기아,PENDING,0,0,146800.0,,,
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260722,316140,우리금융지주,PENDING,0,0,30650.0,,,
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260722,004310,현대약품,PENDING,0,0,6510.0,,,
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260722,005950,이수화학,PENDING,0,0,13200.0,,,
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260722,021240,코웨이,PENDING,0,0,91800.0,,,
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260722,069540,빛과전자,PENDING,0,0,2520.0,,,
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260722,192820,코스맥스,PENDING,0,0,169200.0,,,
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260722,383220,F&F,PENDING,0,0,74000.0,,,
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260722,278470,에이피알,PENDING,0,0,357500.0,,,
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260722,000810,삼성화재,PENDING,0,0,630000.0,,,
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260722,005940,NH투자증권,PENDING,0,0,29050.0,,,
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260722,068270,셀트리온,PENDING,0,0,170100.0,,,
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260722,006280,녹십자,PENDING,0,0,118700.0,,,
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260722,071050,한국금융지주,PENDING,0,0,215000.0,,,
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260722,139130,iM금융지주,PENDING,0,0,17510.0,,,
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260722,047810,한국항공우주,PENDING,0,0,147100.0,,,
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260722,088350,한화생명,PENDING,0,0,4430.0,,,
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260722,005490,POSCO홀딩스,PENDING,0,0,303000.0,,,
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260722,017800,현대엘리베이터,PENDING,0,0,67700.0,,,
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260722,105560,KB금융,PENDING,0,0,175100.0,,,
