시장,종목명,종목코드,종가,거래대금(억원),시가총액(억원),RSI14,乖離%,MACD_hist,MACD_slope,Vol_Z,ret_5d_%,ret_10d_%,EBS,통과,근거,추천매수가,추천매도가1,추천매도가2,손절가
KOSPI,한국전력,015760,47250,3881.72,303328.0,58.8,3.45,62.1741,-181.79019,1.34,-0.84,8.62,6,초입,"RSI 45~65, MA20 근처, 거래량증가, 상승구조, MACD>sig, 과열아님",46130,47960,49780,44300
KOSPI,한국항공우주,047810,106800,1430.29,104103.4,51.5,2.75,755.2648,-164.73798,1.85,2.89,6.8,6,초입,"RSI 45~65, MA20 근처, 거래량증가, 상승구조, MACD>sig, 과열아님",104980,109140,113290,100820
KOSDAQ,티엘비,356860,70300,596.52,6912.3,53.5,2.78,-693.9234,120.90737,1.36,2.03,7.0,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, 과열아님",69080,71820,74560,66350
KOSPI,롯데관광개발,032350,19440,453.21,15462.5,57.0,3.55,163.6,-52.67411,1.77,2.64,13.88,6,초입,"RSI 45~65, MA20 근처, 거래량증가, 상승구조, MACD>sig, 과열아님",18960,19710,20460,18210
KOSPI,아모레퍼시픽,090430,127700,426.55,74695.3,61.3,3.79,475.9095,31.56623,1.04,1.11,6.33,6,초입,"RSI 45~65, MACD상승, MA20 근처, 상승구조, MACD>sig, 과열아님",124270,129190,134110,119340
KOSDAQ,엘앤씨바이오,290650,54600,377.16,13441.9,52.0,3.17,155.9314,24.59721,1.15,8.76,-6.02,6,초입,"RSI 45~65, MACD상승, MA20 근처, 상승구조, MACD>sig, 과열아님",53450,55570,57690,51330
KOSDAQ,글로벌텍스프리,204620,5950,248.37,4181.9,60.8,5.1,41.7969,6.21229,2.88,3.12,12.9,6,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",5720,5940,6170,5490
KOSDAQ,토모큐브,475960,41400,199.16,5515.2,53.7,2.33,184.5714,163.28115,1.45,3.11,1.1,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, MACD>sig, 과열아님",40860,42480,44100,39240
KOSPI,LG유플러스,032640,15640,166.33,67225.2,58.5,2.2,7.3096,9.20471,1.02,0.58,4.48,6,초입,"RSI 45~65, MACD상승, MA20 근처, 상승구조, MACD>sig, 과열아님",15460,16070,16680,14840
KOSPI,더존비즈온,012510,93300,166.17,28347.1,56.0,2.87,208.9507,48.09233,0.51,0.21,-0.96,6,초입,"RSI 45~65, MACD상승, MA20 근처, 상승구조, MACD>sig, 과열아님",91610,95240,98860,87980
