시장,종목명,종목코드,업종,종가,거래대금(억원),시가총액(억원),거래대금(원),RSI14,MFI14,이격도,BB_BW,TTM_SQUEEZE,TTM_SQUEEZE_CNT,BB_SQUEEZE_BW,ret_1d_%,ret_5d_%,ret_10d_%,ret_20d_%,ret_60d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,RES_RATIO,RES_RATIO_NEAR,IS_ABOVE_POC,POC_GAP,NEAR_THRES,Low_Trend_PCT,RSI_Rising,BB_Expanding,Vol_Quality,Range_Pos,외인순매수,기관순매수,메이저순매수,TRIGGER,Above_MA20,SUPERTREND_DIR,SUPERTREND_VAL,VWAP,VWAP_GAP,MACD_Slope_PCT,거래강도,V_POWER,IS_SWING_SUPPORT,주봉20선_상회,주봉추세,HMA20,HMA_Trend,HMA_On,OBV_Div,gap_pct,_data_length,consecutive_limit_up,MTF_WEEKLY_TREND,MTF_MONTHLY_TREND,MTF_DATA_SUFFICIENT,추천매수가,손절가,추천매도가1,추천매도가2,추천매도가3,ENTRY_ACTION,POSITION_PCT,PLAN_REASON,STOP_PCT,MAX_LOSS_PCT,RR_MULT,REGIME,TIME_STOP_DAYS,EXEC_RULE_ID,STOP_REASON,TP1_METHOD,TP1_PROB,TP2_METHOD,TP2_PROB,TP3_METHOD,TP3_PROB,개인순매수,업종_상세,업종_대분류,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,ML_RAW_SCORE,ML_TRUSTED,V23_ATR_Pct,V23_OBV_Slope,V23_Upper_Shadow_Ratio,V23_SIGNAL_STATUS,ML_SCORE,ML_STATUS,TRIGGER_SCORE,RAW_TRIGGER_SCORE,ML_EFFECTIVE_SCORE,EBS,PASS_EBS,STRUCT_SCORE,TIMING_SCORE,AI_SCORE,FINAL_SCORE,DISPLAY_SCORE,W_STRUCT,W_TIMING,W_AI,SCORING_AXES,BLOCK_REASON
KOSDAQ,코오롱티슈진,950160,기초 의약물질 제조업,15910,2530.45,13518.8,253045284970.0,14.7,29.2,-77.01,164.45,0,0,0,6.07,-74.0,-82.32,-83.31,-84.55,-83.81,-73.15,-46.93,-54.46,1.0,0.0,0,-12.87,12.0,-81.33,0,0,6.18,0.01,8735,-175,8560,,0,-1,52139.0,50943,-68.77,-4.5616,6.28,0.41,False,X,▼,24955,▼,X,X,3.53,250,0,-1,-1,1,15670.0,14410.0,102300.0,126200.0,149000.0,enter,100.0,NORMAL+WARN:ATR%=68.1% > 20% — 이상치 의심+PM_BLOCK_INTRADAY+EF:정상,8.04,5.0,68.8,normal,7,v1_sl_first_gap_at_open,NORMAL+WARN:ATR%=68.1% > 20% — 이상치 의심+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,BB_UPPER,75,SWING_60D,60,0.0,기초 의약물질 제조업,기타,0.686875,14.923541666666667,11.0,86.0,0,0.7097063841249888,-0.31489196135132247,0.5236051502145923,OK,0.0,UNVALIDATED_MODEL,0.0,0.0,0.0,2,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,STRUCT+TIMING+SECTOR,[급락종목: 5일 -25% 이하 급락]
KOSPI,미래산업,025560,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",10210,361.43,2598.9,36143285245.0,100.0,100.0,14.16,50.69,0,0,0,22.28,22.28,22.28,19.84,205.69,295.74,39.52,203.56,262.88,0.014,0.014,1,84.31,6.0,-8.68,0,0,5.28,0.51,0,0,0,,1,1,8350.0,7019,45.45,0.4231,5.12,2.85,False,O,▲,8371,▲,O,X,-4.31,250,0,1,1,1,9100.0,8370.0,13400.0,16210.0,19780.0,hold,0.0,NORMAL+PM_BLOCK_INTRADAY+EF:당일 15%+ 급등 진입 보류+ENTRY:hold,8.02,6.0,5.9,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:당일 15%+ 급등 진입 보류+ENTRY:hold,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,0.0,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",기타,0.686875,14.923541666666667,11.0,57.7,0,0.027214215754862176,-0.009130750490388261,0.15938303341902313,OK,0.0,UNVALIDATED_MODEL,39.5,39.5,0.0,4,1,53.5,39.3,0.0,46.4,46.4,0.5,0.5,0.0,STRUCT+TIMING+SECTOR,[RSI극단: RSI 85+ 극단과열]
KOSDAQ,삼천당제약,000250,의약품 제조업,149400,321.62,35045.5,32162366100.0,38.4,24.2,-22.54,56.63,0,0,0,0.4,-37.49,-25.15,-29.03,-66.43,-64.13,-18.87,-28.81,-34.78,1.0,0.0,0,-70.52,12.0,-22.26,1,0,0.96,0.06,0,0,0,,0,-1,230600.0,272055,-45.08,-0.7146,0.87,-2.76,True,X,▼,163933,▼,X,X,-0.27,250,0,-1,-1,1,149400.0,138200.0,254000.0,448000.0,507000.0,enter,100.0,SWING+PM_BLOCK_INTRADAY+EF:정상,7.5,5.0,9.3,normal,7,v1_sl_first_gap_at_open,SWING+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,SWING_60D,60,VP_RESISTANCE,50,0.0,의약품 제조업,바이오·의약품,-0.3825000000000001,8.495833333333332,15.0,75.9,0,0.16394148020654042,-0.17399658576945487,0.31645569620253167,OK,0.0,UNVALIDATED_MODEL,28.90383215402377,28.90383215402377,0.0,0,0,0.0,17.1,0.0,8.6,8.6,0.5,0.5,0.0,STRUCT+TIMING+SECTOR,[급락종목: 5일 -25% 이하 급락]
KOSDAQ,PS일렉트로닉스,332570,전자부품 제조업,7250,301.81,3386.6,30181397915.0,71.5,85.4,22.31,50.51,0,0,0,2.55,41.6,18.66,34.51,-22.29,0.55,44.67,15.33,29.9,0.593,0.115,1,1.65,12.0,9.57,1,0,2.23,0.87,0,0,0,,1,1,5186.0,9980,-27.36,0.3487,1.41,0.7,False,X,▲,6889,▲,O,X,4.81,250,0,1,-1,1,6220.0,5720.0,7660.0,14990.0,,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,8.04,6.0,2.9,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,SWING_60D,60,,0,0.0,전자부품 제조업,IT/전기전자,7.1626666666666665,6.834222222222222,13.0,56.4,0,0.09610837438423646,0.028264616673750905,0.3870967741935484,OK,0.0,UNVALIDATED_MODEL,70.0,70.0,0.0,6,1,88.0,82.8,0.0,85.4,85.4,0.5,0.5,0.0,STRUCT+TIMING+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSDAQ,아진엑스텍,059120,반도체 제조업,6540,293.89,1197.5,29389160035.0,61.9,87.1,25.46,42.89,0,0,0,19.34,51.56,26.99,29.76,-15.94,-22.97,39.92,21.68,6.38,0.828,0.038,0,-23.44,12.0,-8.52,1,0,2.8,0.89,0,0,0,,1,1,3946.0,9612,-31.97,0.6356,5.06,1.25,False,X,▼,5363,▲,O,X,3.83,250,0,-1,-1,1,5470.0,5030.0,6840.0,14500.0,,hold,0.0,NORMAL+PM_BLOCK_INTRADAY+EF:당일 15%+ 급등 진입 보류+ENTRY:hold,8.04,6.0,3.1,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:당일 15%+ 급등 진입 보류+ENTRY:hold,SWING_20D,80,SWING_60D,60,,0,0.0,반도체 제조업,반도체,4.6000000000000005,3.465454545454546,16.0,75.3,0,0.10878112712975098,0.04633791209799269,0.24390243902439024,OK,0.0,UNVALIDATED_MODEL,70.0,70.0,0.0,6,1,28.4,67.8,0.0,48.1,48.1,0.5,0.5,0.0,STRUCT+TIMING+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSDAQ,티엑스알로보틱스,484810,일반 목적용 기계 제조업,13440,283.04,2076.6,28304258160.0,65.0,90.5,35.63,66.86,0,0,0,13.51,72.31,46.56,47.69,-26.36,-36.3,57.85,11.26,-6.95,0.831,0.191,0,-31.46,12.0,-10.34,1,0,2.09,0.8,0,0,0,,1,1,9510.0,14575,-7.79,0.9945,9.58,0.76,False,X,▼,11190,▲,O,X,7.18,250,0,-1,-1,1,10400.0,9570.0,14900.0,19610.0,20150.0,split,50.0,NORMAL+PM_BLOCK_INTRADAY+EF:갭 7%+ 분할 진입 + 당일 10%+ 급등 분할 진입+ENTRY:split,7.98,6.0,5.4,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:갭 7%+ 분할 진입 + 당일 10%+ 급등 분할 진입+ENTRY:split,SWING_20D,80,VP_RESISTANCE,65,SWING_60D,60,0.0,일반 목적용 기계 제조업,조선·기계·설비,6.303513513513514,5.782432432432432,14.0,83.5,0,0.1016156462585034,0.013902306415980623,0.5615384615384615,OK,0.0,UNVALIDATED_MODEL,28.0,28.0,0.0,6,1,27.0,11.1,0.0,19.0,19.0,0.5,0.5,0.0,STRUCT+TIMING+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSDAQ,셀바스AI,108860,소프트웨어 개발 및 공급업,8060,255.16,2169.3,25515571820.0,56.6,84.8,13.94,30.94,0,0,0,17.66,29.37,12.26,14.49,-41.42,-37.28,24.65,-3.8,-7.93,0.863,0.045,0,-36.35,12.0,-8.27,1,0,3.33,0.71,0,0,0,,1,1,6025.0,9677,-16.72,0.6182,7.88,0.56,False,X,▼,6744,▲,O,X,17.52,250,0,-1,-1,1,8070.0,7420.0,8850.0,9390.0,14200.0,hold,0.0,NORMAL+PM_BLOCK_INTRADAY+EF:갭 12%+ 진입 보류 + 당일 15%+ 급등 진입 보류+ENTRY:hold,8.05,6.0,1.2,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:갭 12%+ 진입 보류 + 당일 15%+ 급등 진입 보류+ENTRY:hold,SWING_20D,80,ATR_2x,70,SWING_60D,60,0.0,소프트웨어 개발 및 공급업,IT/전기전자,7.1626666666666665,6.834222222222222,13.0,76.2,0,0.08161999291031549,0.03389175984090623,0.7053571428571429,OK,0.0,UNVALIDATED_MODEL,15.0,15.0,0.0,6,1,31.7,0.0,0.0,15.8,15.8,0.5,0.5,0.0,STRUCT+TIMING+SECTOR,[갭과대: 갭 15%+ 비정상]
KOSDAQ,이랜시스,264850,전자부품 제조업,5300,216.69,1605.6,21668788426.0,62.3,76.2,24.68,44.51,0,0,0,17.52,46.41,30.38,30.06,-18.08,-35.21,40.22,19.54,-5.86,0.866,0.036,0,-35.83,12.0,-2.76,1,0,5.78,0.76,0,0,0,,1,1,3874.5,7454,-28.9,0.4372,4.59,-0.46,False,X,▼,4629,▲,O,X,3.1,250,0,-1,-1,1,4465.0,4105.0,5850.0,9530.0,,hold,0.0,NORMAL+PM_BLOCK_INTRADAY+EF:당일 15%+ 급등 진입 보류+ENTRY:hold,8.06,6.0,3.8,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:당일 15%+ 급등 진입 보류+ENTRY:hold,SWING_20D,80,SWING_60D,60,,0,0.0,전자부품 제조업,IT/전기전자,7.1626666666666665,6.834222222222222,13.0,63.8,0,0.09966307277628031,0.05148607890092698,0.13333333333333333,OK,0.0,UNVALIDATED_MODEL,64.10478941278026,64.10478941278026,0.0,6,1,26.4,61.2,0.0,43.8,43.8,0.5,0.5,0.0,STRUCT+TIMING+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSDAQ,로킷헬스케어,376900,의료용품 및 기타 의약 관련제품 제조업,42700,124.06,6778.1,12405882925.0,53.7,66.7,-3.24,63.13,0,0,0,-3.17,-30.46,16.51,-4.04,-51.59,-37.02,6.12,-13.97,-7.67,0.979,0.081,0,-21.12,12.0,-4.64,1,0,1.03,0.34,0,0,0,,0,1,36305.0,55246,-22.71,-1.185,0.85,-2.25,False,X,▼,52410,▼,X,X,2.04,250,0,-1,-1,1,42700.0,39250.0,62000.0,87800.0,153800.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,8.08,5.0,5.6,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,SWING_60D,60,SWING_120D,45,0.0,의료용품 및 기타 의약 관련제품 제조업,기타,0.686875,14.923541666666667,11.0,80.2,0,0.1562395449983272,0.002469622121933298,0.36153846153846153,OK,0.0,UNVALIDATED_MODEL,19.918995551740302,19.918995551740302,0.0,2,0,0.0,12.1,0.0,6.0,6.0,0.5,0.5,0.0,STRUCT+TIMING+SECTOR,[급락종목: 5일 -25% 이하 급락]
KOSDAQ,솔트룩스,304100,소프트웨어 개발 및 공급업,12910,109.94,1625.9,10993963535.0,54.0,76.9,10.03,32.43,0,0,0,16.62,25.95,7.4,9.69,-48.26,-56.01,19.85,-10.64,-26.66,0.938,0.096,0,-40.88,12.0,-9.78,1,0,1.22,0.71,0,0,0,,1,1,9874.0,16471,-21.62,0.528,8.79,-0.75,False,X,▼,10835,▲,O,X,21.59,250,0,-1,-1,1,13180.0,12130.0,14090.0,15300.0,25300.0,hold,0.0,NORMAL+PM_BLOCK_INTRADAY+EF:갭 12%+ 진입 보류 + 당일 15%+ 급등 진입 보류+ENTRY:hold,7.97,6.0,0.9,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:갭 12%+ 진입 보류 + 당일 15%+ 급등 진입 보류+ENTRY:hold,SWING_20D,80,ATR_2x,70,SWING_60D,60,0.0,소프트웨어 개발 및 공급업,IT/전기전자,7.1626666666666665,6.834222222222222,13.0,54.6,0,0.08205156578510567,0.004312109195283601,0.3351063829787234,OK,0.0,UNVALIDATED_MODEL,12.292888921783897,12.292888921783897,0.0,6,1,25.9,0.0,0.0,13.0,13.0,0.5,0.5,0.0,STRUCT+TIMING+SECTOR,[갭과대: 갭 15%+ 비정상]
