시장,종목명,종목코드,업종,종가,거래대금(억원),시가총액(억원),거래대금(원),RSI14,MFI14,이격도,BB_BW,TTM_SQUEEZE,TTM_SQUEEZE_CNT,BB_SQUEEZE_BW,ret_1d_%,ret_5d_%,ret_10d_%,ret_20d_%,ret_60d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,RES_RATIO,RES_RATIO_NEAR,IS_ABOVE_POC,POC_GAP,NEAR_THRES,Low_Trend_PCT,RSI_Rising,BB_Expanding,Vol_Quality,Range_Pos,추천매수가,손절가,추천매도가1,추천매도가2,추천매도가3,TP1_METHOD,TP1_PROB,TP2_METHOD,TP2_PROB,TP3_METHOD,TP3_PROB,EXEC_RULE_ID,STOP_PCT,MAX_LOSS_PCT,RR_MULT,STOP_REASON,ENTRY_ACTION,POSITION_PCT,TRIGGER,Above_MA20,SUPERTREND_DIR,SUPERTREND_VAL,VWAP,VWAP_GAP,MACD_Slope_PCT,거래강도,V_POWER,IS_SWING_SUPPORT,주봉20선_상회,주봉추세,HMA20,HMA_Trend,HMA_On,OBV_Div,외인순매수,기관순매수,메이저순매수,gap_pct,_data_length,consecutive_limit_up,MTF_WEEKLY_TREND,MTF_MONTHLY_TREND,MTF_DATA_SUFFICIENT,개인순매수,업종_상세,업종_대분류,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,ML_SCORE,ML_STATUS,TRIGGER_SCORE,RAW_TRIGGER_SCORE,EBS,PASS_EBS,STRUCT_SCORE,TIMING_SCORE,AI_SCORE,FINAL_SCORE,DISPLAY_SCORE,W_STRUCT,W_TIMING,W_AI,SCORING_AXES,BLOCK_REASON
KOSPI,HD현대중공업,329180,선박 및 보트 건조업,673000,3582.2,706389.0,358219814500.0,88.4,91.6,29.97,59.53,0,0,0,0.3,28.44,45.36,40.21,14.46,13.3,30.39,-15.31,-40.28,0.015,0.015,1,21.75,9.0,9.23,1,0,1.16,0.91,544000.0,482000.0,697000.0,771000.0,864000.0,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,11.4,4.0,2.5,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,split,50.0,,1,1,575750.0,544469,23.61,0.4647,0.93,2.34,False,O,▲,630497,▲,O,X,0,0,0,2.09,250,0,1,1,1,0.0,선박 및 보트 건조업,조선·기계·설비,14.058311688311688,27.71727272727273,3.0,23.2,OK,80.10351889862784,80.10351889862784,6,1,83.2,92.4,23.2,74.9,74.9,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[RSI극단: RSI 85+ 극단과열]
KOSPI,HD현대일렉트릭,267260,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",1306000,3319.6,470775.6,331959660000.0,91.9,82.9,27.72,48.42,0,0,0,4.65,20.15,29.69,49.77,44.95,47.57,39.95,15.18,-6.01,0.0,0.0,1,56.0,9.1,24.58,1,0,1.08,0.96,1074000.0,959000.0,1324000.0,1465000.0,1645000.0,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,10.71,4.0,2.2,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,split,50.0,,1,1,1103000.0,983752,32.76,0.2591,1.63,0.91,False,O,▲,1180438,▲,O,X,0,0,0,4.17,250,0,1,1,1,0.0,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",인프라·에너지,16.87625,26.76,2.0,45.5,OK,85.5,85.5,4,1,82.9,99.0,45.5,81.9,81.9,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[RSI극단: RSI 85+ 극단과열]
KOSPI,한화엔진,082740,일반 목적용 기계 제조업,88500,3136.2,73850.7,313620415950.0,93.5,97.0,65.75,95.35,0,0,0,16.45,62.98,91.97,98.43,59.75,78.43,88.61,29.98,24.85,0.0,0.0,1,106.87,12.0,8.98,1,0,3.15,0.89,56100.0,47650.0,94400.0,108600.0,126600.0,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,15.06,4.0,4.5,NORMAL+PM_BLOCK_INTRADAY+EF:당일 15%+ 급등 진입 보류+ENTRY:hold,hold,0.0,,1,1,65185.0,58116,52.28,0.6638,2.58,3.21,False,O,▲,70582,▲,O,X,2744,1770,4514,6.84,250,0,1,1,1,0.0,일반 목적용 기계 제조업,조선·기계·설비,14.058311688311688,27.71727272727273,3.0,28.9,OK,60.5,60.5,6,1,93.4,61.2,28.9,67.6,67.6,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열][RSI극단: RSI 85+ 극단과열]
KOSPI,효성중공업,298040,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",3941000,3055.29,367480.4,305528802500.0,90.4,86.7,33.43,47.98,0,0,0,10.95,30.93,28.88,57.45,65.1,87.67,47.63,35.33,34.09,0.0,0.0,1,70.4,9.4,22.29,1,0,1.13,0.96,3101000.0,2732000.0,4006000.0,4525000.0,5184000.0,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,11.9,4.0,2.5,NORMAL+PM_BLOCK_INTRADAY+EF:갭 12%+ 진입 보류+ENTRY:hold,hold,0.0,,1,1,3359900.0,2694743,46.25,0.4271,1.55,1.8,False,O,▲,3332870,▲,O,X,0,0,0,12.58,250,0,1,1,1,0.0,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",인프라·에너지,16.87625,26.76,2.0,70.5,OK,90.0,90.0,6,1,83.5,94.0,70.5,85.1,85.1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[RSI극단: RSI 85+ 극단과열]
KOSPI,SK증권,001510,금융 지원 서비스업,4845,2618.47,11206.2,261847179642.0,100.0,100.0,26.57,28.7,0,0,0,29.89,29.89,29.89,21.06,255.99,245.82,11.24,226.22,192.24,0.035,0.035,1,27.9,6.0,1.28,0,0,7.4,1.0,4020.0,3670.0,4845.0,5660.0,6830.0,SWING_20D,80,SWING_60D,60,FIBO_1.272,40,v1_sl_first_gap_at_open,8.71,5.0,2.4,NORMAL+PM_BLOCK_INTRADAY+EF:갭 12%+ 진입 보류 + 당일 15%+ 급등 진입 보류+ENTRY:hold,hold,0.0,,1,1,4165.5,3716,30.37,0.4168,5.44,2.93,False,O,▲,3832,▲,O,X,0,0,0,19.03,250,1,1,1,1,0.0,금융 지원 서비스업,서비스 기타,7.698108108108108,8.379189189189189,12.0,69.3,OK,53.5,53.5,6,1,72.1,44.0,69.3,60.3,60.3,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[갭과대: 갭 15%+ 비정상][RSI극단: RSI 85+ 극단과열]
KOSPI,한화갤러리아,452260,종합 소매업,3480,2355.07,6746.3,235506593070.0,85.4,96.0,36.9,47.97,0,3,0,4.19,42.04,47.15,44.4,85.3,222.82,34.58,55.53,169.24,0.0,0.0,1,115.15,12.0,3.7,1,0,2.56,0.71,2670.0,2265.0,3965.0,4565.0,5330.0,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,15.17,5.0,3.2,NORMAL+PM_BLOCK_INTRADAY+EF:갭 7%+ 분할 진입 + RSI 80+ 과열 분할 진입+ENTRY:split,split,50.0,,1,1,2846.5,2734,27.26,0.7412,8.43,1.23,False,O,▲,2778,▲,O,X,0,0,0,7.34,250,0,1,1,1,0.0,종합 소매업,유통·소비재,11.287272727272727,11.204545454545455,10.0,64.4,OK,42.0,42.0,6,1,90.6,32.7,64.4,62.2,62.2,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열][RSI극단: RSI 85+ 극단과열]
KOSDAQ,SFA반도체,036540,반도체 제조업,9960,2352.31,16380.2,235231426500.0,95.8,98.0,38.26,57.38,0,0,0,3.32,35.88,44.98,57.84,71.43,131.9,48.02,41.66,78.32,0.047,0.047,1,37.13,11.5,15.13,1,0,1.54,0.89,7560.0,6500.0,10450.0,11690.0,13270.0,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,14.02,5.0,2.7,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,split,50.0,,1,1,8159.0,7750,28.51,0.5305,3.78,1.95,False,O,▲,8459,▲,O,X,0,0,0,5.71,250,0,1,1,1,0.0,반도체 제조업,반도체,19.75485714285714,43.56771428571428,1.0,73.7,OK,42.0,42.0,6,1,87.6,38.8,73.7,65.3,65.3,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[RSI극단: RSI 85+ 극단과열]
KOSDAQ,와이제이링크,209640,특수 목적용 기계 제조업,9050,2342.06,2574.1,234205768340.0,90.6,96.3,76.75,106.61,0,0,0,20.35,47.63,114.96,101.78,109.98,199.67,91.96,80.21,146.09,0.0,0.0,1,107.23,12.0,8.8,1,0,1.91,0.88,5380.0,4565.0,9770.0,11560.0,13840.0,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,15.15,6.0,5.4,NORMAL+PM_BLOCK_INTRADAY+EF:당일 15%+ 급등 진입 보류+ENTRY:hold,hold,0.0,,1,1,5883.5,5856,54.52,0.5998,3.1,1.73,False,O,▲,6910,▲,O,X,0,0,0,4.52,250,0,1,1,1,0.0,특수 목적용 기계 제조업,조선·기계·설비,14.058311688311688,27.71727272727273,3.0,72.8,OK,38.93495055989069,38.93495055989069,6,1,92.1,47.3,72.8,70.3,70.3,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열][RSI극단: RSI 85+ 극단과열]
KOSPI,LG이노텍,011070,전자부품 제조업,536000,2238.52,126855.7,223851783000.0,87.7,77.9,37.08,75.16,0,0,0,-1.11,30.89,48.27,74.03,108.16,134.57,64.21,78.39,80.99,0.018,0.018,1,108.96,11.9,23.5,1,0,1.23,0.88,410500.0,348500.0,568000.0,662000.0,780000.0,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,15.1,4.0,2.5,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,split,50.0,,1,1,446000.0,323245,65.82,0.4845,1.36,0.51,False,O,▲,498326,▲,O,X,0,0,0,0.0,250,0,1,1,1,0.0,전자부품 제조업,IT/전기전자,4.268910891089109,25.288712871287128,5.0,47.2,OK,64.0,64.0,6,1,83.6,70.4,47.2,71.0,71.0,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[RSI극단: RSI 85+ 극단과열]
KOSDAQ,파두,440110,반도체 제조업,81300,1966.31,40711.3,196631185500.0,86.1,86.6,40.48,57.78,0,0,0,19.38,38.27,42.38,62.93,255.8,374.33,53.11,226.03,320.75,0.0,0.0,1,233.74,12.0,23.41,1,0,0.91,0.98,60800.0,51600.0,82200.0,98800.0,119900.0,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,15.13,5.0,2.3,NORMAL+PM_BLOCK_INTRADAY+EF:당일 15%+ 급등 진입 보류+ENTRY:hold,hold,0.0,,1,1,58615.0,54521,49.11,0.428,2.37,3.2,False,X,▼,68170,▲,O,X,2358,15935,18293,1.76,221,0,1,1,1,0.0,반도체 제조업,반도체,19.75485714285714,43.56771428571428,1.0,54.8,OK,77.45544340511604,77.45544340511604,4,1,81.1,90.1,54.8,79.4,79.4,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[RSI극단: RSI 85+ 극단과열]
