시장,종목명,종목코드,업종,종가,거래대금(억원),시가총액(억원),거래대금(원),RSI14,MFI14,이격도,BB_BW,TTM_SQUEEZE,TTM_SQUEEZE_CNT,BB_SQUEEZE_BW,ret_1d_%,ret_5d_%,ret_10d_%,ret_20d_%,ret_60d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,RES_RATIO,RES_RATIO_NEAR,IS_ABOVE_POC,POC_GAP,NEAR_THRES,Low_Trend_PCT,RSI_Rising,BB_Expanding,Vol_Quality,Range_Pos,외인순매수,기관순매수,메이저순매수,TRIGGER,Above_MA20,SUPERTREND_DIR,SUPERTREND_VAL,VWAP,VWAP_GAP,MACD_Slope_PCT,거래강도,V_POWER,IS_SWING_SUPPORT,주봉20선_상회,주봉추세,HMA20,HMA_Trend,HMA_On,OBV_Div,gap_pct,_data_length,consecutive_limit_up,MTF_WEEKLY_TREND,MTF_MONTHLY_TREND,MTF_DATA_SUFFICIENT,추천매수가,손절가,추천매도가1,추천매도가2,추천매도가3,ENTRY_ACTION,POSITION_PCT,PLAN_REASON,STOP_PCT,MAX_LOSS_PCT,RR_MULT,REGIME,TIME_STOP_DAYS,EXEC_RULE_ID,STOP_REASON,TP1_METHOD,TP1_PROB,TP2_METHOD,TP2_PROB,TP3_METHOD,TP3_PROB,개인순매수,업종_상세,업종_대분류,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,ML_RAW_SCORE,ML_TRUSTED,V23_ATR_Pct,V23_OBV_Slope,V23_Upper_Shadow_Ratio,V23_SIGNAL_STATUS,ML_SCORE,ML_STATUS,TRIGGER_SCORE,RAW_TRIGGER_SCORE,ML_EFFECTIVE_SCORE,EBS,PASS_EBS,STRUCT_SCORE,TIMING_SCORE,AI_SCORE,FINAL_SCORE,DISPLAY_SCORE,W_STRUCT,W_TIMING,W_AI,SCORING_AXES,BLOCK_REASON
KOSPI,삼성전기,009150,전자부품 제조업,1289000,17939.09,962801.7,1793908910850.0,27.0,35.9,-32.84,58.22,0,0,0,-18.62,-29.49,-36.75,-35.52,120.72,353.08,-15.17,106.66,308.96,0.383,0.012,1,206.26,12.0,-33.67,0,0,1.19,0.02,0,0,0,,0,-1,2082700.0,1539160,-16.25,-0.5403,1.21,-2.43,True,O,▲,1543405,▼,X,X,-1.26,250,0,1,1,1,1289000.0,1223000.0,2417000.0,2478000.0,2910000.0,enter,100.0,SWING+PM_BLOCK_INTRADAY+EF:정상,5.12,4.0,17.1,normal,7,v1_sl_first_gap_at_open,SWING+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,BB_UPPER,75,FIBO_1.272,40,0.0,전자부품 제조업,IT/전기전자,-5.914347826086956,-7.1265217391304345,15.0,86.3,0,0.1626399202039233,-0.010729799176182308,0.0,OK,0.0,UNVALIDATED_MODEL,27.989532830712047,27.989532830712047,0.0,2,0,2.4,31.1,0.0,11.4,11.4,0.688,0.312,0.0,STRUCT+TIMING+SECTOR,[급락종목: 5일 -25% 이하 급락]
KOSPI,한화오션,042660,선박 및 보트 건조업,78800,1574.11,241453.8,157410663150.0,34.1,40.1,-24.72,64.21,0,0,0,-3.08,-32.13,-25.31,-36.14,-36.5,-44.51,-15.79,-50.56,-88.63,1.0,0.049,0,-36.71,12.0,-18.64,0,0,1.01,0.02,0,0,0,,0,-1,114830.0,117251,-32.79,-0.6172,0.74,-2.35,True,X,▼,84985,▼,X,X,2.09,250,0,-1,-1,1,78800.0,75300.0,141900.0,154800.0,,enter,100.0,SWING+PM_BLOCK_INTRADAY+EF:정상,4.44,4.0,18.0,normal,7,v1_sl_first_gap_at_open,SWING+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,SWING_120D,45,,0,0.0,선박 및 보트 건조업,조선·기계·설비,-5.2402500000000005,-1.9622499999999998,10.0,20.5,0,0.13433647570703408,-0.009401274802719238,0.33783783783783783,OK,0.0,UNVALIDATED_MODEL,12.167633343041363,12.167633343041363,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.688,0.312,0.0,STRUCT+TIMING+SECTOR,[급락종목: 5일 -25% 이하 급락]
KOSPI,금호건설,002990,건물 건설업,13970,1695.16,5205.2,169516348055.0,68.2,88.2,59.15,218.64,0,0,0,-16.94,47.05,110.71,262.86,173.39,225.64,283.21,159.33,181.52,0.0,0.0,1,2.83,12.0,97.57,1,0,1.63,0.65,0,0,0,,1,1,8375.5,12282,13.74,0.1579,0.99,1.4,False,O,▲,16320,▲,X,X,-4.7,249,0,1,1,1,9220.0,7830.0,19380.0,21100.0,23700.0,enter,100.0,NORMAL+WARN:ATR%=27.0% > 20% — 이상치 의심+PM_BLOCK_INTRADAY+EF:정상,15.08,5.0,7.3,normal,7,v1_sl_first_gap_at_open,NORMAL+WARN:ATR%=27.0% > 20% — 이상치 의심+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,0.0,건물 건설업,건설·부동산,0.9457142857142854,40.84285714285714,1.0,63.4,0,0.31033336741998163,1.0173864831594384,0.2222222222222222,OK,0.0,UNVALIDATED_MODEL,54.29908127288467,54.29908127288467,0.0,6,1,85.1,88.3,0.0,86.1,86.1,0.688,0.312,0.0,STRUCT+TIMING+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSDAQ,HLB,028300,의료용품 및 기타 의약 관련제품 제조업,25650,1253.71,34165.3,125371256050.0,27.7,54.2,-46.37,51.57,0,4,0,-29.92,-47.38,-49.71,-43.63,-59.09,-51.14,-20.94,-30.34,-35.98,1.0,0.043,0,-48.86,12.0,-39.29,0,0,0.96,0.0,0,0,0,,0,-1,43855.0,50800,-49.51,-1.9417,4.56,-1.97,False,X,▼,45506,▼,X,X,-19.26,250,0,-1,-1,1,25650.0,24850.0,55900.0,60200.0,68500.0,enter,100.0,SWING+PM_BLOCK_INTRADAY+EF:정상,3.12,5.0,37.8,normal,7,v1_sl_first_gap_at_open,SWING+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,BB_UPPER,75,SWING_60D,60,0.0,의료용품 및 기타 의약 관련제품 제조업,바이오·의약품,-14.540714285714287,4.696428571428571,9.0,59.9,0,0.18100807574491787,0.013334764082194753,0.1958762886597938,OK,0.0,UNVALIDATED_MODEL,1.5,1.5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.688,0.312,0.0,STRUCT+TIMING+SECTOR,[급락종목: 5일 -25% 이하 급락]
KOSDAQ,펩트론,087010,기초 의약물질 제조업,108200,1113.56,25229.4,111356184500.0,31.8,17.3,-41.24,72.53,0,0,0,-3.05,-42.35,-45.85,-53.26,-58.38,-52.75,-30.57,-29.63,-37.59,1.0,0.107,0,-61.23,12.0,-36.0,1,0,0.64,0.03,14391,-3571,10820,,0,-1,176490.0,214452,-49.55,-1.3933,2.91,-0.34,True,X,▼,148126,▼,X,X,-2.33,250,0,-1,-1,1,108200.0,100800.0,249000.0,279500.0,332000.0,enter,100.0,SWING+WARN:ATR%=20.7% > 20% — 이상치 의심+PM_BLOCK_INTRADAY+EF:정상,6.84,5.0,19.0,normal,7,v1_sl_first_gap_at_open,SWING+WARN:ATR%=20.7% > 20% — 이상치 의심+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,VP_RESISTANCE,65,SWING_60D,60,0.0,기초 의약물질 제조업,기타,-3.479661016949153,16.391186440677966,4.0,84.1,0,0.2239899656720359,-0.17694144196386907,0.7252747252747253,OK,0.0,UNVALIDATED_MODEL,6.286457352525152,6.286457352525152,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.688,0.312,0.0,STRUCT+TIMING+SECTOR,[급락종목: 5일 -25% 이하 급락]
KOSDAQ,서산,079650,"시멘트, 석회, 플라스터 및 그 제품 제조업",5610,880.36,1122.0,88036496255.0,47.0,38.5,23.09,130.98,0,0,0,0.54,52.65,31.84,331.54,287.97,303.02,354.23,316.72,318.18,0.314,0.314,0,-1.62,12.0,121.04,0,0,1.07,0.47,0,0,0,,1,-1,8935.0,4890,14.72,0.614,1.13,0.77,False,O,▲,4700,▲,O,X,-0.54,248,0,1,1,1,4785.0,4065.0,10300.0,10600.0,12850.0,enter,100.0,NORMAL+WARN:ATR%=29.7% > 20% — 이상치 의심+PM_BLOCK_INTRADAY+EF:정상,15.05,6.0,7.7,normal,7,v1_sl_first_gap_at_open,NORMAL+WARN:ATR%=29.7% > 20% — 이상치 의심+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,0.0,"시멘트, 석회, 플라스터 및 그 제품 제조업",기타,-3.479661016949153,16.391186440677966,4.0,49.3,0,0.6482517482517482,-1.9640727405018907,0.0,OK,0.0,UNVALIDATED_MODEL,58.0,58.0,0.0,6,1,63.6,53.0,0.0,60.3,60.3,0.688,0.312,0.0,STRUCT+TIMING+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSPI,삼성전기우,009155,기타,470000,353.22,13662.8,35321808250.0,12.4,31.8,-32.91,70.32,0,0,0,-16.81,-28.79,-39.51,-25.04,107.51,273.61,-4.69,93.45,229.49,0.427,0.028,1,172.22,12.0,-23.38,0,0,1.25,0.02,0,0,0,,0,-1,738000.0,603741,-22.15,-0.5017,0.5,-1.91,True,O,▲,539880,▼,X,X,-0.18,250,0,1,1,1,470000.0,446500.0,1008000.0,1219000.0,1488000.0,enter,100.0,SWING+WARN:ATR%=20.5% > 20% — 이상치 의심+PM_BLOCK_INTRADAY+EF:정상,5.0,5.0,22.9,normal,7,v1_sl_first_gap_at_open,SWING+WARN:ATR%=20.5% > 20% — 이상치 의심+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,0.0,기타,기타,-3.479661016949153,16.391186440677966,4.0,87.9,0,0.1768237082066869,-0.06794095963807076,0.0,OK,0.0,UNVALIDATED_MODEL,3.6009304080404854,3.6009304080404854,0.0,2,0,1.6,8.0,0.0,3.6,3.6,0.688,0.312,0.0,STRUCT+TIMING+SECTOR,[급락종목: 5일 -25% 이하 급락]
KOSDAQ,HLB제약,047920,자연과학 및 공학 연구개발업,6170,74.55,2023.7,7454899725.0,25.4,25.4,-47.24,54.61,0,2,0,-28.0,-48.92,-49.8,-43.7,-67.08,-64.44,-21.01,-38.33,-49.28,1.0,0.065,0,-63.12,12.0,-41.46,0,0,1.17,0.02,0,0,0,,0,-1,10695.0,13202,-53.27,-2.0868,6.65,-2.26,True,X,▼,10729,▼,X,X,-16.57,250,0,-1,-1,1,6170.0,5820.0,13950.0,14890.0,19490.0,enter,100.0,SWING+WARN:ATR%=21.6% > 20% — 이상치 의심+PM_BLOCK_INTRADAY+EF:정상,5.67,6.0,22.2,normal,7,v1_sl_first_gap_at_open,SWING+WARN:ATR%=21.6% > 20% — 이상치 의심+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,BB_UPPER,75,SWING_60D,60,0.0,자연과학 및 공학 연구개발업,바이오·의약품,-14.540714285714287,4.696428571428571,9.0,85.8,0,0.19495253530909934,-0.014779084949267328,0.30303030303030304,OK,0.0,UNVALIDATED_MODEL,1.5,1.5,0.0,2,0,0.0,0.0,0.0,0.0,0.0,0.688,0.312,0.0,STRUCT+TIMING+SECTOR,[급락종목: 5일 -25% 이하 급락]
KOSDAQ,HLB생명과학,067630,의료용품 및 기타 의약 관련제품 제조업,1640,55.62,1999.4,5561634919.0,21.4,23.4,-46.62,54.4,0,3,0,-26.46,-47.52,-49.23,-46.75,-63.68,-61.59,-24.06,-34.93,-46.43,1.0,0.0,0,-58.91,12.0,-44.78,0,0,0.87,0.0,0,0,0,,0,-1,2716.5,3396,-51.71,-1.8815,8.29,-3.08,False,X,▼,2790,▼,X,X,-14.35,250,0,-1,-1,1,1640.0,1590.0,3835.0,4830.0,5330.0,enter,100.0,SWING+PM_BLOCK_INTRADAY+EF:정상,3.05,6.0,43.9,normal,7,v1_sl_first_gap_at_open,SWING+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,SWING_60D,60,SWING_120D,45,0.0,의료용품 및 기타 의약 관련제품 제조업,바이오·의약품,-14.540714285714287,4.696428571428571,9.0,53.3,0,0.16245644599303136,-0.04250029386736462,0.22857142857142856,OK,0.0,UNVALIDATED_MODEL,12.0,12.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.688,0.312,0.0,STRUCT+TIMING+SECTOR,[급락종목: 5일 -25% 이하 급락]
