시장,종목명,종목코드,업종,종가,거래대금(억원),시가총액(억원),RSI14,MFI14,이격도,MACD_Hist,MACD_Slope,거래강도,ret_5d_%,ret_10d_%,EBS,통과,근거,추천매수가,손절가,추천매도가1,추천매도가2,RR1,Now%,LDY_SCORE,ROUTE,AI_COMMENT,기준일,시총기준일
KOSPI,산일전기,062040,기타,148800,1142.92,45302.5,,64.0,3.72,-652.2179,868.48067,1.57,11.13,7.59,6,★,"MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI)",147800,137400,163300,178800,1.4903846153846154,0.6765899864682002,84.9,🔼 BRK (돌파),💸 자금 유입이 꾸준히 이어지고 있습니다. 🚀 상승 에너지가 폭발적으로 증가하는 중입니다.  (매수 유효),20251202,20251202
KOSPI,삼성SDI,006400,전기전자,305000,959.64,245785.9,,44.7,-0.7,-3394.6762,853.69189,0.55,7.21,1.16,4,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑)",305000,283500,330500,358500,1.186046511627907,0.0,81.7,🔺 Watch (관찰·돌파예상),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다. (매수 유효),20251202,20251202
KOSPI,신한지주,055550,금융업,81400,1646.38,395192.9,,63.7,3.99,40.249,173.81303,1.31,5.03,6.54,7,★,"MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",80600,76200,87300,94000,1.5227272727272727,0.9925558312655087,80.6,🔼 BRK (돌파),💸 자금 유입이 꾸준히 이어지고 있습니다. 🚀 상승 에너지가 폭발적으로 증가하는 중입니다.  (매수 유효),20251202,20251202
KOSPI,LS ELECTRIC,010120,전기전자,472500,856.88,141750.0,,45.3,1.97,-6295.3953,1691.89564,0.7,7.39,2.94,4,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑)",472500,439500,512000,555000,1.196969696969697,0.0,80.3,🔺 Watch (관찰·돌파예상),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다. (매수 유효),20251202,20251202
KOSPI,SK하이닉스,000660,전기전자,558000,14900.29,4062253.2,,49.2,-1.49,-9244.575,2742.47466,0.58,7.51,-2.11,3,,"MACD상승, 정배열(단), 장기추세(120↑)",558000,519000,605000,656000,1.205128205128205,0.0,80.2,🔺 Watch (관찰·돌파예상),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다. (매수 유효),20251202,20251202
KOSPI,삼성전자우,005935,전기전자,77900,1722.81,635644.3,,62.0,2.35,-104.4756,184.52727,0.73,4.01,5.13,5,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI)",77900,72400,84400,91500,1.1818181818181819,0.0,80.1,🔺 Watch (관찰·돌파예상),💸 자금 유입이 꾸준히 이어지고 있습니다. 🚀 상승 에너지가 폭발적으로 증가하는 중입니다.  (매수 유효),20251202,20251202
KOSPI,HD현대일렉트릭,267260,전기전자,781000,1186.52,281528.1,,40.5,-3.84,-12417.3453,2286.67769,0.76,0.13,-3.82,3,,"MACD상승, 정배열(단), 장기추세(120↑)",781000,726000,847000,918000,1.2,0.0,79.8,🔺 Watch (상승 준비),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ,20251202,20251202
KOSPI,삼성전자,005930,전기전자,103400,14014.7,6120905.6,,60.3,3.29,-124.7001,187.59403,0.62,4.13,5.73,5,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI)",103100,95900,111800,121200,1.2083333333333333,0.2909796314258002,79.3,🔼 BRK (돌파),💸 자금 유입이 꾸준히 이어지고 있습니다. 🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ,20251202,20251202
KOSPI,효성중공업,298040,전기전자,1861000,1214.44,173529.8,,43.3,-10.05,-50298.6145,3292.33193,0.99,-4.07,-10.4,3,,"MACD상승, 정배열(단), 장기추세(120↑)",1861000,1731000,2017000,2187000,1.2,0.0,78.2,↩️ PULL (눌림),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. 📉 과매도 구간으로 기술적 반등이 기대됩니다.,20251202,20251202
KOSPI,한화에어로스페이스,012450,기타,824000,2428.96,424882.4,,34.6,-9.22,-8987.6613,576.56527,1.25,-4.07,-10.53,1,,"MACD상승, 거래량↑",824000,766000,893000,968000,1.1896551724137931,0.0,77.9,↩️ PULL (눌림),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. 📉 과매도 구간으로 기술적 반등이 기대됩니다.,20251202,20251202
