시장,종목명,종목코드,종가,거래대금(억원),시가총액(억원),RSI14,乖離%,MACD_hist,MACD_slope,Vol_Z,ret_5d_%,ret_10d_%,EBS,통과,근거,추천매수가,추천매도가1,추천매도가2,손절가
KOSDAQ,글로벌텍스프리,204620,5840,156.69,4104.5,49.4,3.82,22.9359,11.54558,2.7,3.18,5.23,7,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, MACD>sig, 과열아님",5680,5910,6130,5460
KOSPI,농심홀딩스,072710,96000,91.34,4452.3,49.0,1.36,130.694,114.94625,2.35,-0.83,4.58,7,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, MACD>sig, 과열아님",95660,99450,103240,91870
KOSPI,한국항공우주,047810,111200,1524.76,108392.3,59.4,7.93,505.3756,558.77228,2.17,9.88,2.11,6,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",104060,108180,112300,99940
KOSPI,롯데관광개발,032350,20600,657.28,16385.1,58.8,10.23,125.4225,123.63943,2.89,8.36,12.75,6,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",18880,19620,20370,18130
KOSPI,CJ,001040,174600,424.18,50943.0,48.6,2.11,200.6017,506.01775,1.61,-1.08,0.52,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, MACD>sig, 과열아님",172700,179540,186380,165870
KOSPI,엔씨소프트,036570,227000,367.35,48904.9,57.7,3.19,1288.439,-627.8645,1.3,0.0,1.11,6,초입,"RSI 45~65, MA20 근처, 거래량증가, 상승구조, MACD>sig, 과열아님",222170,230970,239770,213380
KOSPI,KCC,002380,428000,244.77,38034.1,48.3,1.02,-1703.787,825.10501,1.91,0.0,-2.73,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, 과열아님",427910,444860,461810,410960
KOSPI,솔루엠,248070,18810,223.24,8994.2,57.0,5.08,43.134,38.24823,4.0,4.62,4.97,6,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",18080,18800,19510,17360
KOSPI,DB증권,016610,10750,218.76,4563.0,64.0,6.93,44.25,30.96561,1.38,4.37,8.92,6,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",10150,10560,10960,9750
KOSPI,티에이치엔,019180,6730,152.66,1211.4,62.2,10.02,49.0052,27.32563,5.16,7.17,17.66,6,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",6180,6420,6670,5930
