시장,종목명,종목코드,업종,종가,거래대금(억원),시가총액(억원),RSI14,MFI14,이격도,MACD_Hist,MACD_Slope,거래강도,ret_5d_%,ret_10d_%,ret_60d_%,idx_60d_%,rel_60d_%,EBS,통과,근거,추천매수가,손절가,추천매도가1,추천매도가2,업종_상세,업종_대분류,RR1,Now%,LDY_SCORE,ENTRY_SCORE,ROUTE,REGIME,AI_COMMENT,기준일,시총기준일,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,60일_종목수익률_%,60일_지수수익률_%,60일_초과수익(α)_%
KOSPI,대덕전자,353200,전자부품 제조업,49500,1042.71,24461.4,46.0,50.0,0.16,-700.2235,99.71384,1.29,-0.8,-2.17,90.75,24.75,66.0,6,★,"RSI적정, MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑)",49500,46050,54700,59900,전자부품 제조업,IT/전기전자,1.5072463768115942,0.0,92.5,87.0,↩️ PULL (눌림),⑤ 하락 / 약세,📈 상승 추세가 견고하게 유지되고 있습니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다. (강력 매수 추천),20251210,20251210,24.75,12.24,90.75,24.75,66.0
KOSPI,하이브,352820,오디오물 출판 및 원판 녹음업,299000,969.4,127260.2,52.2,56.6,1.9,111.8711,571.90523,1.49,1.01,4.91,2.57,24.75,-22.18,7,★,"RSI적정, MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), MACD>Sig",299000,279500,328000,357000,오디오물 출판 및 원판 녹음업,미디어·콘텐츠,1.4871794871794872,0.0,91.6,86.3,🔺 Watch (상승 준비),④ 바닥 반등 시도,🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다. (강력 매수 추천),20251210,20251210,24.75,12.24,2.57,24.75,-22.18
KOSPI,LG에너지솔루션,373220,일차전지 및 이차전지 제조업,441500,903.24,1033110.0,50.2,50.4,1.69,1389.9461,703.50373,0.61,5.62,1.38,29.66,24.75,4.91,6,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), MACD>Sig",441500,410500,488000,534000,일차전지 및 이차전지 제조업,2차전지,1.5,0.0,91.3,86.6,🔺 Watch (관찰·돌파예상),③ 박스 / 중립,🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다. (강력 매수 추천),20251210,20251210,24.75,12.24,29.66,24.75,4.91
KOSPI,삼성SDI,006400,일차전지 및 이차전지 제조업,317500,2043.97,255859.1,59.5,57.7,4.3,-171.8345,623.09403,1.57,4.1,4.27,60.27,24.75,35.52,6,★,"RSI적정, MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑)",313500,292000,345500,377500,일차전지 및 이차전지 제조업,2차전지,1.4883720930232558,1.2759170653907497,90.8,84.4,🔺 Watch (관찰·돌파예상),① 강한 상승 추세,🚀 상승 에너지가 폭발적으로 증가하는 중입니다.  (강력 매수 추천),20251210,20251210,24.75,12.24,60.27,24.75,35.52
KOSPI,HD현대중공업,329180,선박 및 보트 건조업,571000,847.76,506894.5,46.3,63.3,2.55,1783.7126,1705.02147,0.46,6.93,3.07,13.29,24.75,-11.46,7,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",571000,531000,631000,691000,선박 및 보트 건조업,조선·기계·설비,1.5,0.0,89.3,86.5,🔺 Watch (관찰·돌파예상),④ 바닥 반등 시도,💸 자금 유입이 꾸준히 이어지고 있습니다. 🚀 상승 에너지가 폭발적으로 증가하는 중입니다.  (매수 유효),20251210,20251210,24.75,12.24,13.29,24.75,-11.46
KOSPI,삼성중공업,010140,선박 및 보트 건조업,26250,906.66,231000.0,48.6,64.4,3.09,108.7401,29.5635,0.94,6.28,3.55,21.81,24.75,-2.94,7,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",26250,24400,29000,31750,선박 및 보트 건조업,조선·기계·설비,1.4864864864864864,0.0,88.6,82.1,🔺 Watch (관찰·돌파예상),③ 박스 / 중립,💸 자금 유입이 꾸준히 이어지고 있습니다. 📈 상승 추세가 견고하게 유지되고 있습니다.  (매수 유효),20251210,20251210,24.75,12.24,21.81,24.75,-2.94
KOSDAQ,올릭스,226950,자연과학 및 공학 연구개발업,132700,1237.77,26692.3,46.1,38.5,1.87,-1686.135,862.74986,1.09,9.31,1.3,49.94,12.24,37.7,5,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑)",132700,123400,143800,155900,자연과학 및 공학 연구개발업,기타,1.1935483870967742,0.0,87.6,84.4,🔺 Watch (관찰·돌파예상),⑤ 하락 / 약세,🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다. (매수 유효),20251210,20251210,24.75,12.24,49.94,12.24,37.7
KOSPI,한미반도체,042700,특수 목적용 기계 제조업,121100,964.54,115423.1,46.3,62.7,-1.39,-243.6713,163.51221,0.78,-0.33,-5.76,38.72,24.75,13.97,5,★,"RSI적정, MACD상승, 정배열(단), 장기추세(120↑), 자금유입(MFI)",121100,112600,131300,142300,특수 목적용 기계 제조업,반도체,1.2,0.0,86.4,82.2,↩️ PULL (눌림),⑤ 하락 / 약세,💸 자금 유입이 꾸준히 이어지고 있습니다. 🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다. (매수 유효),20251210,20251210,24.75,12.24,38.72,24.75,13.97
KOSPI,HD한국조선해양,009540,기타 금융업,442000,592.42,312817.2,53.2,56.6,3.48,2834.0371,339.74963,0.67,4.49,3.27,6.63,24.75,-18.12,6,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), MACD>Sig",440000,409000,486000,532000,기타 금융업,금융,1.4838709677419355,0.45454545454545453,85.7,84.9,🔻 REV (역추세 반등),④ 바닥 반등 시도,🚀 상승 에너지가 폭발적으로 증가하는 중입니다.  (매수 유효),20251210,20251210,24.75,12.24,6.63,24.75,-18.12
KOSPI,현대로템,064350,철도장비 제조업,187000,1597.78,204096.1,47.4,54.9,2.01,2586.6722,121.01596,1.23,7.1,4.24,-10.31,24.75,-35.06,4,★,"RSI적정, MACD상승, 20선근접, 거래량↑, MACD>Sig",187000,173900,202500,219500,철도장비 제조업,기타,1.183206106870229,0.0,85.1,80.4,🔺 Watch (관찰·돌파예상),④ 바닥 반등 시도,🚀 상승 에너지가 폭발적으로 증가하는 중입니다.  (매수 유효),20251210,20251210,24.75,12.24,-10.31,24.75,-35.06
