종목코드,종목명,기준일,업종,종가,거래대금(억원),RSI14,MFI14,MACD_Slope,BandWidth,ret_5d_%,ret_10d_%,ret_60d_%,rel_60d_%,EBS,근거,추천매수가,손절가,추천매도가1,RR1,Now%,ma20_above,업종_대분류,Sector_Mom_5d,LDY_SCORE,ENTRY_SCORE,ROUTE,REGIME,오늘종가,전일추천매수가,전일→오늘_수익률%,검증기준일,비교대상추천일
069960,현대백화점,20251212,종합 소매업,95000,62.6,54.7,69.4,137.31706,11.7,0.85,4.17,18.9,-3.82,4,수급↑,93355,85869,108326,2.0,1.76,1,기타,5.58321554770318,77.5,93.0,🔺 Watch (상승 준비),③ 박스 / 중립,92900,93355,-0.48738685662257364,20251215,20251212
408900,스튜디오미르,20251212,"영화, 비디오물, 방송프로그램 제작 및 배급업",3235,102.5,58.2,73.2,12.41746,10.2,3.35,-1.97,-27.95,-38.61,4,수급↑,3178,2883,3768,2.0,1.77,1,기타,5.58321554770318,76.1,92.9,🔼 BRK (돌파),④ 바닥 반등 시도,3135,3178,-1.3530522341094975,20251215,20251212
032350,롯데관광개발,20251212,여행사 및 기타 여행보조 서비스업,23400,148.8,56.6,60.7,16.85502,24.4,9.6,21.43,35.89,13.17,4,수급↑,21372,19234,25646,2.0,9.49,1,기타,5.58321554770318,75.5,62.0,🔼 BRK (돌파),① 강한 상승 추세,23600,21372,10.424854950402395,20251215,20251212
381620,제닉스로보틱스,20251212,특수 목적용 기계 제조업,15750,208.1,59.9,73.0,29.03419,17.6,0.25,-2.36,29.52,18.86,4,수급↑,15210,13689,18252,2.0,3.55,1,조선·기계·방산,6.275344827586206,75.4,85.8,🔺 Watch (상승 준비),① 강한 상승 추세,15720,15210,3.3530571992110403,20251215,20251212
071970,HD현대마린엔진,20251212,일반 목적용 기계 제조업,88700,108.7,62.7,69.1,78.98258,18.1,6.74,14.45,-4.11,-26.83,4,수급↑,81835,74077,97349,2.0,8.39,1,조선·기계·방산,6.275344827586206,75.1,66.4,🔼 BRK (돌파),④ 바닥 반등 시도,84300,81835,3.0121586118408983,20251215,20251212
100090,SK오션플랜트,20251212,1차 철강 제조업,19940,278.3,63.2,64.0,93.47277,13.2,10.72,7.49,-34.19,-56.91,4,수급↑,18707,17291,21538,2.0,6.59,1,기타,5.58321554770318,75.0,73.6,🔼 BRK (돌파),④ 바닥 반등 시도,20200,18707,7.980969690490181,20251215,20251212
226950,올릭스,20251212,자연과학 및 공학 연구개발업,131200,1043.5,50.6,50.1,91.62199,20.8,9.7,1.94,50.63,39.97,3,,130030,117027,149534,1.5,0.9,1,기타,5.58321554770318,74.8,88.9,🔺 Watch (상승 준비),① 강한 상승 추세,141300,130030,8.667230639083279,20251215,20251212
373220,LG에너지솔루션,20251212,일차전지 및 이차전지 제조업,445500,953.8,62.8,51.9,316.98313,15.0,4.58,9.19,25.32,2.6,3,,431350,400207,478064,1.5,3.28,1,2차전지,6.867999999999999,74.6,79.4,🔺 Watch (상승 준비),③ 박스 / 중립,442500,431350,2.584907847455664,20251215,20251212
460940,피앤에스로보틱스,20251212,의료용 기기 제조업,13700,1234.5,48.3,63.2,106.33382,35.8,11.65,15.32,91.74,81.08,4,수급↑,12018,10816,14422,2.0,13.99,1,바이오·의약품,10.354210526315793,73.7,60.0,🔺 Watch (상승 준비),⑤ 하락 / 약세,13200,12018,9.835247129306035,20251215,20251212
023530,롯데쇼핑,20251212,종합 소매업,75400,209.5,63.2,67.9,184.2857,7.8,1.62,5.45,10.4,-12.32,4,"수급↑,Squeeze",73030,69001,81087,2.0,3.25,1,기타,5.58321554770318,72.6,87.0,⚡ Squeeze (급변동 임박),④ 바닥 반등 시도,75700,73030,3.6560317677666765,20251215,20251212
267250,HD현대,20251212,기타 금융업,209500,388.4,56.9,51.6,274.47064,17.1,0.48,6.62,41.08,18.36,3,,205610,188560,231185,1.5,1.89,1,금융,2.2256249999999995,72.4,77.2,🔺 Watch (상승 준비),① 강한 상승 추세,203500,205610,-1.0262146782744064,20251215,20251212
001440,대한전선,20251212,절연선 및 케이블 제조업,24000,1346.7,67.5,61.2,111.46058,14.4,3.23,8.11,45.72,23.0,3,수급↑,22800,20785,25821,1.5,5.26,1,기타,5.58321554770318,72.3,71.5,🔺 Watch (상승 준비),① 강한 상승 추세,24400,22800,7.017543859649122,20251215,20251212
328130,루닛,20251212,소프트웨어 개발 및 공급업,38800,119.1,59.8,66.0,71.57264,17.1,-1.15,-3.12,-10.5,-21.16,4,수급↑,37545,34323,43987,2.0,3.34,1,기타,5.58321554770318,72.2,86.6,🔺 Watch (상승 준비),④ 바닥 반등 시도,39600,37545,5.473431881741919,20251215,20251212
042660,한화오션,20251212,선박 및 보트 건조업,114100,2154.9,43.0,43.9,226.28212,25.9,5.16,5.84,0.8,-21.92,1,,114100,105728,126657,1.5,0.0,0,기타,5.58321554770318,71.8,92.5,🔻 REV (역추세 반등),④ 바닥 반등 시도,113300,114100,-0.7011393514461006,20251215,20251212
459510,나우로보틱스,20251212,특수 목적용 기계 제조업,25150,471.1,63.2,61.8,115.49366,24.5,9.35,11.04,-0.4,-11.06,4,수급↑,22168,19951,26602,2.0,13.45,1,조선·기계·방산,6.275344827586206,71.8,60.0,🔺 Watch (상승 준비),④ 바닥 반등 시도,24900,22168,12.324070732587522,20251215,20251212
082740,한화엔진,20251212,일반 목적용 기계 제조업,46150,330.7,61.2,55.5,37.47331,13.8,7.08,9.36,3.36,-19.36,3,,43337,39337,49337,1.5,6.49,1,조선·기계·방산,6.275344827586206,71.6,66.5,🔻 REV (역추세 반등),④ 바닥 반등 시도,43850,43337,1.1837459907238612,20251215,20251212
005440,현대지에프홀딩스,20251212,기타 금융업,8630,55.0,63.8,67.1,17.73866,10.2,2.98,7.61,3.98,-18.74,4,수급↑,8232,7659,9378,2.0,4.83,1,금융,2.2256249999999995,71.4,72.9,🔻 REV (역추세 반등),④ 바닥 반등 시도,8670,8232,5.320699708454812,20251215,20251212
034730,SK,20251212,기타 금융업,267500,232.8,62.7,62.8,77.14415,11.3,1.33,0.75,20.22,-2.5,4,수급↑,260800,240514,301371,2.0,2.57,1,금융,2.2256249999999995,70.5,82.0,🔺 Watch (상승 준비),③ 박스 / 중립,259000,260800,-0.6901840490797562,20251215,20251212
