시장,종목명,종목코드,종가,거래대금(억원),시가총액(억원),RSI14,乖離%,MACD_hist,MACD_slope,Vol_Z,ret_5d_%,ret_10d_%,EBS,통과,근거,추천매수가,추천매도가1,추천매도가2,손절가
KOSPI,한국전력,015760,49250,5399.63,316167.3,62.7,10.35,355.1855,59.59105,1.97,6.83,14.67,6,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",45080,46860,48650,43290
KOSPI,LG에너지솔루션,373220,484500,2976.94,1133730.0,46.6,2.86,-3609.0908,653.41228,1.23,3.09,-0.41,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, 과열아님",475740,494580,513420,456890
KOSPI,POSCO홀딩스,005490,321500,2048.07,260199.4,47.1,3.67,-239.4411,773.68675,1.37,5.41,0.63,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, 과열아님",313230,325630,338040,300820
KOSPI,하이브,352820,304000,1983.68,128615.8,55.9,-0.43,-3420.0475,237.61534,1.63,-4.85,-6.32,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, 과열아님",304000,311860,319720,296140
KOSPI,LG전자,066570,92500,1096.4,150669.9,62.4,3.69,34.031,56.80096,1.18,0.87,5.59,6,초입,"RSI 45~65, MACD상승, MA20 근처, 상승구조, MACD>sig, 과열아님",90100,93670,97230,86530
KOSPI,유한양행,000100,121200,1007.52,96921.7,61.2,3.43,235.3051,349.66662,1.8,5.85,4.48,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, MACD>sig, 과열아님",118360,123040,127730,113670
KOSPI,우리금융지주,316140,27000,713.38,198200.6,64.7,4.0,122.5028,28.41457,1.12,1.5,5.88,6,초입,"RSI 45~65, MACD상승, MA20 근처, 상승구조, MACD>sig, 과열아님",26220,27260,28300,25180
KOSPI,KT&G,033780,140700,451.55,168661.0,61.3,2.69,542.7936,109.51872,1.19,2.18,4.61,6,초입,"RSI 45~65, MACD상승, MA20 근처, 상승구조, MACD>sig, 과열아님",138390,143200,148010,133570
KOSDAQ,에코플라스틱,038110,3255,418.33,1340.1,45.8,1.61,9.5996,13.37709,13.18,8.14,2.68,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, MACD>sig, 과열아님",3240,3360,3490,3110
KOSDAQ,유일로보틱스,388720,85600,246.21,10012.5,56.5,3.85,-672.2063,371.70914,1.2,3.76,7.0,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, 과열아님",83250,86550,89840,79950
KOSDAQ,나이벡,138610,39300,231.65,4464.1,53.7,-0.32,-757.3701,147.06513,1.78,-4.15,1.16,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, 과열아님",39300,40360,41410,38240
KOSPI,롯데지주,004990,32700,187.6,34305.3,62.6,8.76,388.775,29.63932,1.67,6.51,9.73,6,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",30370,31570,32770,29160
KOSPI,금호석유화학,011780,121000,148.11,31498.4,56.8,4.79,243.4345,294.29052,1.22,4.58,4.85,6,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",116620,121240,125860,112000
KOSPI,SK아이이테크놀로지,361610,32600,128.94,26662.6,45.6,1.91,-142.3255,165.22116,1.55,6.36,2.03,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, 과열아님",32310,33590,34870,31030
KOSPI,롯데관광개발,032350,19080,122.65,15176.1,51.2,2.59,39.565,29.3586,0.61,5.41,5.41,6,초입,"RSI 45~65, MACD상승, MA20 근처, 상승구조, MACD>sig, 과열아님",18780,19530,20270,18040
KOSPI,HL만도,204320,38000,108.8,17843.7,56.1,2.68,15.6628,35.29864,1.0,1.88,4.25,6,초입,"RSI 45~65, MACD상승, MA20 근처, 상승구조, MACD>sig, 과열아님",37380,38860,40340,35900
KOSDAQ,에스티아이,039440,24800,102.57,3925.8,54.2,7.77,45.1778,123.12651,1.91,9.49,5.08,6,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",23240,24160,25080,22320
KOSPI,한전KPS,051600,52500,97.46,23625.0,50.6,2.73,127.7655,81.02552,0.81,5.21,2.74,6,초입,"RSI 45~65, MACD상승, MA20 근처, 상승구조, MACD>sig, 과열아님",51610,53660,55700,49570
KOSDAQ,SFA반도체,036540,4870,89.54,8009.2,63.6,10.61,20.2582,21.53852,1.77,7.98,13.39,6,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",4450,4620,4800,4270
KOSDAQ,HLB바이오스텝,278650,1589,84.79,1382.5,62.6,14.06,17.7592,4.82382,1.64,-0.63,22.89,6,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",1410,1460,1520,1350
KOSDAQ,아이엠비디엑스,461030,11150,79.44,1563.0,57.7,3.97,-47.2713,64.46561,1.51,3.15,4.21,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, 과열아님",10830,11260,11690,10400
KOSPI,HS효성첨단소재,298050,215000,75.21,9631.9,59.6,9.66,1641.0416,717.50673,1.69,7.23,9.41,6,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",198030,205870,213710,190180
KOSPI,한화생명,088350,3230,64.84,28053.5,57.3,3.81,22.1536,4.04439,1.3,3.19,5.73,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, MACD>sig, 과열아님",3140,3270,3390,3020
KOSPI,롯데정밀화학,004000,47850,57.2,12345.3,46.4,2.52,-9.8759,166.82789,1.34,1.92,2.79,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, 과열아님",47140,49010,50880,45270
KOSDAQ,현대바이오,048410,5340,55.18,5128.6,51.6,0.87,12.1496,8.92976,1.87,3.09,0.95,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, MACD>sig, 과열아님",5340,5540,5750,5140
