시장,종목명,종목코드,업종,종가,거래대금(억원),시가총액(억원),거래대금(원),RSI14,MFI14,이격도,BB_BW,TTM_SQUEEZE,TTM_SQUEEZE_CNT,BB_SQUEEZE_BW,ret_1d_%,ret_5d_%,ret_10d_%,ret_20d_%,ret_60d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,RES_RATIO,RES_RATIO_NEAR,IS_ABOVE_POC,POC_GAP,NEAR_THRES,Low_Trend_PCT,RSI_Rising,BB_Expanding,Vol_Quality,Range_Pos,외인순매수,기관순매수,메이저순매수,TRIGGER,Above_MA20,SUPERTREND_DIR,SUPERTREND_VAL,VWAP,VWAP_GAP,MACD_Slope_PCT,거래강도,V_POWER,IS_SWING_SUPPORT,주봉20선_상회,주봉추세,HMA20,HMA_Trend,HMA_On,OBV_Div,gap_pct,_data_length,consecutive_limit_up,MTF_WEEKLY_TREND,MTF_MONTHLY_TREND,MTF_DATA_SUFFICIENT,추천매수가,손절가,추천매도가1,추천매도가2,추천매도가3,ENTRY_ACTION,POSITION_PCT,PLAN_REASON,STOP_PCT,MAX_LOSS_PCT,RR_MULT,REGIME,TIME_STOP_DAYS,EXEC_RULE_ID,STOP_REASON,TP1_METHOD,TP1_PROB,TP2_METHOD,TP2_PROB,TP3_METHOD,TP3_PROB,개인순매수,업종_상세,업종_대분류,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,ML_RAW_SCORE,ML_TRUSTED,V23_ATR_Pct,V23_OBV_Slope,V23_Upper_Shadow_Ratio,V23_SIGNAL_STATUS,ML_SCORE,ML_STATUS,TRIGGER_SCORE,RAW_TRIGGER_SCORE,ML_EFFECTIVE_SCORE,EBS,PASS_EBS,STRUCT_SCORE,TIMING_SCORE,AI_SCORE,FINAL_SCORE,DISPLAY_SCORE,W_STRUCT,W_TIMING,W_AI,SCORING_AXES,BLOCK_REASON
KOSDAQ,JW신약,067290,의약품 제조업,3430,2592.8,1922.1,259279515075.0,79.6,97.0,48.55,68.77,0,1,0,10.65,72.36,49.46,71.07,155.4,70.65,72.24,173.75,101.14,0.071,0.071,1,51.8,12.0,-4.99,0,0,2.92,0.8,0,0,0,,1,1,2480.7,2393,43.33,1.1543,4.62,1.12,False,O,▲,2573,▲,O,X,1.61,250,0,1,1,1,2425.0,2230.0,3105.0,3820.0,4515.0,split,50.0,NORMAL+PM_BLOCK_INTRADAY+EF:당일 10%+ 급등 분할 진입+ENTRY:split,8.04,6.0,3.5,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:당일 10%+ 급등 분할 진입+ENTRY:split,BB_UPPER,23,SWING_20D,5,FIBO_1.272,2,0.0,의약품 제조업,바이오·의약품,4.962307692307691,10.07076923076923,4.0,45.9,0,0.08685964181591004,0.10916559114978878,0.527027027027027,OK,0.0,UNVALIDATED_MODEL,16.0,16.0,0.0,4,1,52.0,11.9,0.0,32.0,32.0,0.5,0.5,0.0,STRUCT+TIMING+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSDAQ,서산,079650,"시멘트, 석회, 플라스터 및 그 제품 제조업",7570,1680.97,1514.0,168097476235.0,73.4,84.9,47.61,68.06,0,3,0,11.49,59.37,40.71,71.66,604.84,441.88,72.83,623.19,472.37,0.049,0.049,1,27.5,12.0,17.75,1,0,4.65,0.79,0,0,0,,1,1,4936.0,5067,49.39,0.7991,3.96,1.57,False,O,▲,5592,▲,O,X,5.89,248,0,1,1,1,5380.0,4950.0,6880.0,8600.0,10300.0,split,50.0,NORMAL+PM_BLOCK_INTRADAY+EF:당일 10%+ 급등 분할 진입+ENTRY:split,7.99,6.0,3.5,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:당일 10%+ 급등 분할 진입+ENTRY:split,BB_UPPER,23,SWING_20D,5,SWING_60D,2,0.0,"시멘트, 석회, 플라스터 및 그 제품 제조업",기타,2.35758064516129,11.571451612903225,5.0,70.6,0,0.1097376863559162,0.24366695468767427,0.515,OK,0.0,UNVALIDATED_MODEL,34.0,34.0,0.0,6,1,91.8,45.8,0.0,68.8,68.8,0.5,0.5,0.0,STRUCT+TIMING+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSDAQ,원익,032940,기계장비 및 관련 물품 도매업,8580,1267.12,1561.0,126712437395.0,71.9,97.4,34.14,50.97,0,1,0,18.84,40.43,42.29,42.52,23.1,-20.33,43.69,41.45,10.16,0.139,0.047,1,4.85,12.0,-1.08,1,0,3.97,0.79,0,0,0,,1,1,5725.0,7632,12.41,0.4357,8.53,1.8,False,O,▼,7323,▲,O,X,0.55,250,0,-1,-1,1,6720.0,6170.0,9380.0,9700.0,11700.0,hold,0.0,NORMAL+PM_BLOCK_INTRADAY+EF:당일 15%+ 급등 진입 보류+ENTRY:hold,8.18,6.0,4.8,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:당일 15%+ 급등 진입 보류+ENTRY:hold,SWING_20D,12,ATR_3.5x,12,SWING_120D,2,0.0,기계장비 및 관련 물품 도매업,조선·기계·설비,-1.745,10.84068181818182,7.0,85.1,0,0.09915084915084915,0.05476287240021609,0.3225806451612903,OK,0.0,UNVALIDATED_MODEL,36.534452457313705,36.534452457313705,0.0,4,1,26.8,55.0,0.0,40.9,40.9,0.5,0.5,0.0,STRUCT+TIMING+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSPI,금호전기,001210,전구 및 조명장치 제조업,12870,688.37,1592.8,68837276650.0,79.6,82.0,64.38,169.18,0,0,0,-3.23,56.57,72.52,248.78,421.05,222.96,249.06,439.79,205.68,0.016,0.016,1,97.39,12.0,153.98,1,0,1.81,0.87,0,0,0,,1,1,8357.0,7757,65.89,0.3741,0.55,1.97,False,O,▲,12706,▲,O,X,3.53,250,0,1,1,1,8220.0,7560.0,11620.0,14350.0,17620.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,8.03,6.0,5.2,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,ATR_2x,23,SWING_20D,5,FIBO_1.272,2,0.0,전구 및 조명장치 제조업,기타,2.35758064516129,11.571451612903225,5.0,71.5,0,0.1318126318126318,0.3847597697726168,0.20707070707070707,OK,0.0,UNVALIDATED_MODEL,35.3855757550252,35.3855757550252,0.0,6,1,90.7,38.7,0.0,64.7,64.7,0.5,0.5,0.0,STRUCT+TIMING+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSDAQ,강동씨앤엘,198440,"시멘트, 석회, 플라스터 및 그 제품 제조업",2095,260.8,1276.5,26080057584.0,82.9,97.2,46.87,90.45,0,0,0,-1.87,59.07,52.36,90.45,112.04,99.33,91.62,130.39,129.82,0.074,0.074,1,15.04,12.0,12.2,1,0,3.9,0.83,0,0,0,,1,1,1498.6,1899,10.32,1.1155,2.7,1.04,False,O,▲,1805,▲,O,X,6.56,250,0,1,1,1,1498.0,1377.0,2075.0,2310.0,2930.0,split,50.0,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,8.08,6.0,4.8,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,BB_UPPER,12,SWING_20D,5,SWING_60D,2,0.0,"시멘트, 석회, 플라스터 및 그 제품 제조업",기타,2.35758064516129,11.571451612903225,5.0,67.7,0,0.0924309580634163,0.1967331114850298,0.1076923076923077,OK,0.0,UNVALIDATED_MODEL,61.5594334351093,61.5594334351093,0.0,6,1,92.4,52.4,0.0,72.4,72.4,0.5,0.5,0.0,STRUCT+TIMING+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSPI,TCC스틸,002710,1차 철강 제조업,11700,216.7,3067.0,21669967075.0,63.7,91.5,10.22,23.72,0,0,0,7.83,1.56,13.15,22.26,-2.42,-14.97,22.54,16.32,-32.25,0.844,0.123,0,-30.6,12.0,4.72,0,0,0.44,0.53,0,0,0,,1,1,9976.0,10977,6.59,-0.1852,12.78,-3.09,False,X,▼,11522,▲,O,X,20.65,250,0,-1,-1,1,12400.0,11400.0,13770.0,16860.0,22950.0,hold,0.0,NORMAL+PM_BLOCK_INTRADAY+EF:갭 12%+ 진입 보류+ENTRY:hold,8.06,6.0,1.4,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:갭 12%+ 진입 보류+ENTRY:hold,SWING_20D,23,VP_RESISTANCE,2,SWING_120D,2,0.0,1차 철강 제조업,철강·금속,0.29333333333333345,14.615,2.0,23.5,0,0.06929181929181928,0.07501609425342042,0.3222748815165877,OK,0.0,UNVALIDATED_MODEL,13.257585114610432,13.257585114610432,0.0,4,1,6.8,2.7,0.0,4.8,4.8,0.5,0.5,0.0,STRUCT+TIMING+SECTOR,[갭과대: 갭 15%+ 비정상]
