종목코드,종목명,시장,업종,업종_상세,업종_대분류,종가,거래대금(억원),시가총액(억원),추천매수가,손절가,추천매도가1,추천매도가2,RANK_SCORE,LDY_SCORE,ENTRY_SCORE,ROUTE,REGIME,ret_20d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,TTM_SQUEEZE_CNT,NORM_RR,NORM_T1,NORM_SL,NORM_NEAR,NORM_MOM,NORM_LIQ,NORM_TEC,RSI14,MFI14,이격도,MACD_Hist,MACD_Slope_PCT,거래강도,V_POWER,BB_BW,BB_SQUEEZE_BW,TTM_SQUEEZE,BB_SQUEEZE,Above_MA20,IS_SWING_SUPPORT,ret_5d_%,ret_10d_%,ret_60d_%,EBS,통과,근거,ATR_MULT,SECTOR_RET_5D,SECTOR_RANK,RR1,Now%,AI_COMMENT,MKT_BREADTH_ALL_%,MKT_BREADTH_KOSPI_%,MKT_BREADTH_KOSDAQ_%,MKT_TEMP,TOP_SECTORS_5D,REGIME_RANK,LDY_RANK,기준일,시총기준일,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,60일_종목수익률_%,60일_초과수익(α)_%,오늘종가,전일추천매수가,전일→오늘_수익률%,검증기준일,비교대상추천일
000150,두산,KOSPI,기타 금융업,기타 금융업,금융,846000,866.18,136999.8,846000,786000,918000,989000,78.5,71.6,85.5,↩️ PULL (눌림),② 상승 후 조정,-13.23,39.83,-13.26,17.07,4.46,3,0.98,0.88,1.0,1.0,0.16,0.87,0.7,52.2,33.2,-3.56,-7829.4105,-0.0682,0.83,-0.49,13.94,0,1,1,0,True,-4.94,1.56,37.12,3,,"RSI적정, 정배열(단), 장기추세(120↑)",1.8,2.128108108108108,10.0,1.2,0.0,🌪️ 에너지 응축 시작 (3일차). 🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. ,76.2,70.6,82.1,🔥 과열,1.유통·소비재(+13.1%) / 2.철강·금속(+12.1%) / 3.기타(+9.8%) / 4.IT/전기전자(+6.2%) / 5.건설·부동산(+6.0%),2,21,20251215,20251215,20.05,10.1,37.12,17.07,821000,846000,-2.9550827423167836,20251216,20251215
034020,두산에너빌리티,KOSPI,일반 목적용 기계 제조업,일반 목적용 기계 제조업,조선·기계·설비,77100,3312.37,493872.6,77100,71700,85200,93300,78.2,84.2,87.3,🔺 Watch (상승 준비),① 강한 상승 추세,-2.16,28.07,-2.19,11.07,-7.3,0,1.0,1.0,1.0,1.0,0.36,1.0,0.8,58.3,61.8,0.74,132.5473,0.031,1.12,0.36,11.29,0,0,0,1,True,0.39,2.94,31.12,7,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입, MACD>Sig",1.8,4.067833333333334,8.0,1.5,0.0,🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. 💸 자금 유입 지속. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간. (매수 유효),76.2,70.6,82.1,🔥 과열,1.유통·소비재(+13.1%) / 2.철강·금속(+12.1%) / 3.기타(+9.8%) / 4.IT/전기전자(+6.2%) / 5.건설·부동산(+6.0%),1,22,20251215,20251215,20.05,10.1,31.12,11.07,77300,77100,0.25940337224383825,20251216,20251215
373220,LG에너지솔루션,KOSPI,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2차전지,442500,852.05,1035450.0,442500,411500,489000,536000,77.5,80.2,88.1,↩️ PULL (눌림),③ 박스 / 중립,-4.43,45.08,-4.46,4.42,9.71,0,1.0,1.0,1.0,1.0,0.4,0.85,0.67,61.0,52.2,2.83,2297.4143,0.0955,0.57,-0.3,13.56,0,0,0,1,False,-1.99,7.14,24.47,6,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), MACD>Sig",2.0,1.1777777777777778,11.0,1.5,0.0,📉 매도세 우위. 🚀 단기 모멘텀 가속.  (매수 유효),76.2,70.6,82.1,🔥 과열,1.유통·소비재(+13.1%) / 2.철강·금속(+12.1%) / 3.기타(+9.8%) / 4.IT/전기전자(+6.2%) / 5.건설·부동산(+6.0%),3,23,20251215,20251215,20.05,10.1,24.47,4.42,418000,442500,-5.536723163841806,20251216,20251215
023530,롯데쇼핑,KOSPI,종합 소매업,종합 소매업,유통·소비재,75700,91.09,21414.6,75400,70200,83000,90600,77.3,64.6,78.0,🔻 REV (역추세 반등),④ 바닥 반등 시도,3.56,0.93,3.53,-11.91,-34.44,3,1.0,1.0,1.0,0.96,0.26,0.0,0.82,66.2,74.3,3.47,5.0871,0.0704,1.38,1.61,8.41,1,1,1,1,False,4.56,2.99,8.14,7,★,"MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입, MACD>Sig",1.8,13.071875,1.0,1.3272727272727274,0.3978779840848806,🌪️ 에너지 응축 시작 (3일차). 💪 매수세 장악(Power Buying). 💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속. ,76.2,70.6,82.1,🔥 과열,1.유통·소비재(+13.1%) / 2.철강·금속(+12.1%) / 3.기타(+9.8%) / 4.IT/전기전자(+6.2%) / 5.건설·부동산(+6.0%),4,24,20251215,20251215,20.05,10.1,8.14,-11.91,74500,75400,-1.1936339522546469,20251216,20251215
004800,효성,KOSPI,기타 금융업,기타 금융업,금융,127800,107.74,21394.2,127800,118800,138600,149300,76.9,61.4,88.2,↩️ PULL (눌림),② 상승 후 조정,-9.36,90.46,-9.39,15.91,55.09,4,0.98,0.88,1.0,1.0,0.3,0.01,0.64,48.2,43.1,-3.04,-1068.1702,-0.1481,1.62,-1.92,13.67,0,1,1,0,True,-6.72,0.79,35.96,4,★,"RSI적정, 거래량↑, 정배열(단), 장기추세(120↑)",1.8,2.128108108108108,10.0,1.2,0.0,🌪️ 에너지 응축 시작 (4일차). 🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. ,76.2,70.6,82.1,🔥 과열,1.유통·소비재(+13.1%) / 2.철강·금속(+12.1%) / 3.기타(+9.8%) / 4.IT/전기전자(+6.2%) / 5.건설·부동산(+6.0%),2,25,20251215,20251215,20.05,10.1,35.96,15.91,125600,127800,-1.7214397496087663,20251216,20251215
034730,SK,KOSPI,기타 금융업,기타 금융업,금융,259000,362.71,187782.0,259000,240500,281000,303000,76.8,64.4,86.3,↩️ PULL (눌림),⑤ 하락 / 약세,-3.36,31.67,-3.39,-8.89,-3.7,4,0.98,0.88,1.0,1.0,0.21,0.3,0.74,56.3,57.4,-0.52,-838.744,-0.104,0.7,-0.91,11.0,0,1,1,0,True,-3.54,2.37,11.16,4,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑)",1.8,2.128108108108108,10.0,1.1891891891891893,0.0,🌪️ 에너지 응축 시작 (4일차). 🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. ✅ 20일선 눌림목 구간.,76.2,70.6,82.1,🔥 과열,1.유통·소비재(+13.1%) / 2.철강·금속(+12.1%) / 3.기타(+9.8%) / 4.IT/전기전자(+6.2%) / 5.건설·부동산(+6.0%),5,26,20251215,20251215,20.05,10.1,11.16,-8.89,254000,259000,-1.9305019305019266,20251216,20251215
051910,LG화학,KOSPI,기초 화학물질 제조업,기초 화학물질 제조업,화학·소재,369000,555.42,260485.7,369000,343000,400000,431000,76.3,65.0,85.1,↩️ PULL (눌림),② 상승 후 조정,-8.21,74.47,-8.24,5.67,39.1,1,0.98,0.87,1.0,1.0,0.15,0.52,0.69,52.7,46.3,-2.26,-2515.4495,-0.0469,0.57,-1.86,11.47,0,1,1,0,True,-4.53,-0.81,25.72,3,,"RSI적정, 정배열(단), 장기추세(120↑)",1.8,1.045625,12.0,1.1923076923076923,0.0,🌪️ 에너지 응축 시작 (1일차). 🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. ,76.2,70.6,82.1,🔥 과열,1.유통·소비재(+13.1%) / 2.철강·금속(+12.1%) / 3.기타(+9.8%) / 4.IT/전기전자(+6.2%) / 5.건설·부동산(+6.0%),2,27,20251215,20251215,20.05,10.1,25.72,5.67,354000,369000,-4.0650406504065035,20251216,20251215
069960,현대백화점,KOSPI,종합 소매업,종합 소매업,유통·소비재,92900,71.86,21022.2,92900,86300,102700,112500,75.9,71.0,81.1,🔺 Watch (관찰·돌파예상),③ 박스 / 중립,-0.54,22.08,-0.57,-4.07,-13.29,3,1.0,1.0,1.0,1.0,0.36,0.0,0.82,56.7,68.5,-0.46,-395.8568,0.0896,0.68,0.82,11.66,0,1,1,0,True,3.11,-4.42,15.98,6,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입",1.8,13.071875,1.0,1.4848484848484849,0.0,🌪️ 에너지 응축 시작 (3일차). 🧱 구조적 지지선(Swing Low) 근접. 💸 자금 유입 지속. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간.,76.2,70.6,82.1,🔥 과열,1.유통·소비재(+13.1%) / 2.철강·금속(+12.1%) / 3.기타(+9.8%) / 4.IT/전기전자(+6.2%) / 5.건설·부동산(+6.0%),3,28,20251215,20251215,20.05,10.1,15.98,-4.07,91800,92900,-1.1840688912809427,20251216,20251215
024880,케이피에프,KOSDAQ,기타 금속 가공제품 제조업,기타 금속 가공제품 제조업,기타,5370,87.97,1110.7,5370,4890,6090,6810,75.7,60.1,77.5,🔺 Watch (관찰·돌파예상),④ 바닥 반등 시도,1.51,11.99,-2.5,-17.19,-6.62,8,1.0,1.0,0.66,1.0,0.35,0.0,0.29,55.4,81.0,0.53,17.2666,0.0705,8.7,-2.44,6.57,1,1,1,1,True,1.51,0.75,-7.09,7,★,"RSI적정, MACD상승, 20선근접, 거래량↑, 장기추세(120↑), 자금유입, MACD>Sig",2.5,9.752820512820511,3.0,1.5,0.0,🌪️ 8일 연속 응축 중! 폭발 임박. 🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. 💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간.,76.2,70.6,82.1,🔥 과열,1.유통·소비재(+13.1%) / 2.철강·금속(+12.1%) / 3.기타(+9.8%) / 4.IT/전기전자(+6.2%) / 5.건설·부동산(+6.0%),4,29,20251215,20251215,20.05,10.1,-7.09,-17.19,5280,5370,-1.6759776536312887,20251216,20251215
001040,CJ,KOSPI,기타 금융업,기타 금융업,금융,177000,138.3,51643.3,177000,164600,191900,207000,75.5,59.9,86.4,↩️ PULL (눌림),⑤ 하락 / 약세,1.37,11.39,1.34,-30.2,-23.98,2,0.99,0.87,1.0,1.0,0.21,0.04,0.67,53.0,62.9,-2.39,-587.7259,-0.179,0.49,-2.1,11.0,0,1,1,0,True,-4.84,1.2,-10.15,4,★,"RSI적정, 정배열(단), 장기추세(120↑), 자금유입",1.8,2.128108108108108,10.0,1.2016129032258065,0.0,🌪️ 에너지 응축 시작 (2일차). 🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. 💸 자금 유입 지속. ,76.2,70.6,82.1,🔥 과열,1.유통·소비재(+13.1%) / 2.철강·금속(+12.1%) / 3.기타(+9.8%) / 4.IT/전기전자(+6.2%) / 5.건설·부동산(+6.0%),5,30,20251215,20251215,20.05,10.1,-10.15,-30.2,174200,177000,-1.5819209039548032,20251216,20251215
