시장,종목명,종목코드,종가,거래대금(억원),시가총액(억원),RSI14,乖離%,MACD_hist,MACD_slope,Vol_Z,ret_5d_%,ret_10d_%,EBS,통과,근거,추천매수가,추천매도가1,추천매도가2,손절가
KOSPI,DL,000210,39500,69.26,8277.6,57.0,3.21,-118.676,146.10491,1.85,2.07,0.0,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, 과열아님",38650,40180,41710,37120
KOSPI,LX홀딩스,383800,8650,66.23,6598.3,64.8,5.45,18.7291,31.48527,3.36,5.75,3.47,6,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",8290,8610,8940,7960
KOSPI,농심홀딩스,072710,96800,59.82,4489.4,51.2,2.85,-67.6072,322.95207,1.42,5.45,-0.41,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, 과열아님",95060,98820,102590,91290
KOSPI,LX인터내셔널,001120,30750,57.28,11918.7,63.1,1.89,23.4105,72.89839,1.4,2.67,1.15,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, MACD>sig, 과열아님",30480,31390,32300,29570
KOSDAQ,고영,098460,20350,8803.37,13971.2,64.6,19.26,308.5382,116.31504,5.38,20.13,23.86,5,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, MACD>sig",17230,17920,18600,16550
KOSPI,카카오,035720,62300,5109.81,275564.2,50.0,1.0,20.8497,-67.05326,1.91,-3.41,2.3,5,초입,"RSI 45~65, MA20 근처, 거래량증가, MACD>sig, 과열아님",62300,64770,67230,59830
KOSPI,KB금융,105560,129000,2485.8,492086.1,73.9,9.52,1177.5635,293.0257,1.65,9.32,9.32,5,초입,"MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",118960,123670,128390,114250
KOSPI,DB하이텍,000990,61800,1939.83,26885.8,62.4,6.07,-409.0083,443.52839,5.13,4.92,1.64,5,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, 과열아님",58850,61180,63510,56520
KOSPI,신한지주,055550,78800,1755.39,382570.0,65.8,6.12,362.0713,62.02392,1.71,6.34,5.77,5,초입,"MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",75000,77970,80940,72030
KOSDAQ,실리콘투,257720,44200,1733.49,27038.0,53.5,1.38,-279.8963,214.09056,4.2,-2.32,0.8,5,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 과열아님",44040,45780,47520,42290
KOSPI,SK,034730,270500,1444.94,196119.8,69.8,12.74,1379.3393,1116.99019,1.8,6.92,8.85,5,초입,"MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",242320,251920,261520,232730
KOSPI,코오롱모빌리티그룹,450140,13130,1399.97,8242.7,64.2,36.1,227.7683,265.32469,4.02,72.08,46.7,5,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, MACD>sig",9740,10130,10520,9360
KOSPI,기아,000270,113700,794.91,447738.4,46.3,0.3,-703.3527,67.09415,0.55,-3.4,-0.96,5,초입,"RSI 45~65, MACD상승, MA20 근처, 상승구조, 과열아님",113700,117440,121180,109960
KOSPI,한국금융지주,071050,171600,598.05,95625.8,48.5,1.58,-1512.9746,28.13712,0.89,-5.77,-2.78,5,초입,"RSI 45~65, MACD상승, MA20 근처, 상승구조, 과열아님",170620,177380,184140,163870
KOSPI,삼성생명,032830,158900,598.04,317800.0,48.8,0.37,-802.2978,531.50005,0.98,4.47,-1.91,5,초입,"RSI 45~65, MACD상승, MA20 근처, 상승구조, 과열아님",158900,164240,169580,153560
KOSPI,SK텔레콤,017670,53900,529.17,115771.8,46.3,0.46,52.7675,72.28816,1.05,3.45,0.19,5,초입,"RSI 45~65, MACD상승, MA20 근처, MACD>sig, 과열아님",53900,55200,56490,52600
