시장,종목명,종목코드,업종,종가,거래대금(억원),시가총액(억원),RSI14,MFI14,이격도,MACD_Hist,MACD_Slope,거래강도,ret_5d_%,ret_10d_%,ret_60d_%,idx_60d_%,rel_60d_%,EBS,통과,근거,추천매수가,손절가,추천매도가1,추천매도가2,업종_상세,업종_대분류,RR1,Now%,LDY_SCORE,ENTRY_SCORE,ROUTE,REGIME,AI_COMMENT,기준일,시총기준일,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,60일_종목수익률_%,60일_지수수익률_%,60일_초과수익(α)_%
KOSPI,산일전기,062040,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",148000,508.32,45058.9,,72.5,3.82,372.8617,186.72661,0.94,10.45,10.28,43.27,29.05,14.22,6,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",146800,136600,162300,177700,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",인프라·에너지,1.5196078431372548,0.8174386920980926,81.1,79.9,🔼 BRK (돌파),⑤ 하락 / 약세,💰 외국인/기관의 강력한 수급이 집중되고 있습니다. 🚀 상승 에너지가 폭발적으로 증가하는 중입니다.  (매수 유효),20251208,20251208,29.05,13.34,43.27,29.05,14.22
KOSPI,엘앤에프,066970,일차전지 및 이차전지 제조업,132000,1610.6,52351.2,,48.7,4.64,-600.3208,534.22487,2.07,3.04,18.39,111.54,29.05,82.49,5,★,"MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑)",129900,120800,140800,152700,일차전지 및 이차전지 제조업,2차전지,1.1978021978021978,1.6166281755196306,80.9,77.7,🔺 Watch (관찰·돌파예상),⑤ 하락 / 약세,🚀 상승 에너지가 폭발적으로 증가하는 중입니다.  (매수 유효),20251208,20251208,29.05,13.34,111.54,29.05,82.49
KOSPI,한미반도체,042700,특수 목적용 기계 제조업,121400,929.38,115709.0,,57.3,-1.88,-629.8564,289.73646,0.73,-0.25,1.51,46.62,29.05,17.57,3,,"MACD상승, 정배열(단), 장기추세(120↑)",121400,112900,131600,142600,특수 목적용 기계 제조업,반도체,1.2,0.0,80.9,77.1,↩️ PULL (눌림),⑤ 하락 / 약세,🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다. (매수 유효),20251208,20251208,29.05,13.34,46.62,29.05,17.57
KOSPI,POSCO홀딩스,005490,1차 철강 제조업,319000,965.85,258176.1,,43.3,2.31,-272.3304,712.94513,1.0,3.24,5.45,14.13,29.05,-14.92,4,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑)",319000,300000,341500,366000,1차 철강 제조업,철강·금속,1.1842105263157894,0.0,79.7,77.7,🔺 Watch (관찰·돌파예상),④ 바닥 반등 시도,🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ,20251208,20251208,29.05,13.34,14.13,29.05,-14.92
KOSPI,카카오,035720,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",62000,1256.62,274278.2,,61.4,2.76,296.3935,99.89954,0.67,4.2,5.44,4.73,29.05,-24.32,5,★,"MACD상승, 20선근접, 장기추세(120↑), 자금유입(MFI), MACD>Sig",62000,58600,66100,70600,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",인터넷/플랫폼·게임,1.2058823529411764,0.0,79.3,73.5,🔺 Watch (관찰·돌파예상),④ 바닥 반등 시도,💸 자금 유입이 꾸준히 이어지고 있습니다. 📈 상승 추세가 견고하게 유지되고 있습니다. ,20251208,20251208,29.05,13.34,4.73,29.05,-24.32
KOSPI,셀트리온,068270,기초 의약물질 제조업,187100,1179.91,432128.0,,39.5,0.89,-432.147,241.36251,0.66,0.7,2.75,10.06,29.05,-18.99,4,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑)",187100,177400,198700,211500,기초 의약물질 제조업,바이오·의약품,1.1958762886597938,0.0,79.1,74.4,🔺 Watch (상승 준비),④ 바닥 반등 시도,🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,20251208,20251208,29.05,13.34,10.06,29.05,-18.99
KOSDAQ,강원에너지,114190,기타 전기장비 제조업,15750,322.95,4114.4,,66.4,0.53,-105.3665,72.81421,1.8,5.99,9.91,35.54,13.34,22.2,6,★,"MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI)",15750,14650,17400,19060,기타 전기장비 제조업,IT/전기전자,1.5,0.0,78.4,81.3,🔺 Watch (관찰·돌파예상),⑤ 하락 / 약세,💸 자금 유입이 꾸준히 이어지고 있습니다. 📈 상승 추세가 견고하게 유지되고 있습니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,20251208,20251208,29.05,13.34,35.54,13.34,22.2
KOSPI,두산에너빌리티,034020,일반 목적용 기계 제조업,76800,4479.02,491951.0,,51.1,-0.25,166.6409,-97.05526,1.41,2.54,5.93,26.11,29.05,-2.94,5,★,"20선근접, 거래량↑, 정배열(단), 장기추세(120↑), MACD>Sig",76800,71400,83300,90200,일반 목적용 기계 제조업,조선·기계·설비,1.2037037037037037,0.0,78.1,72.7,↩️ PULL (눌림),③ 박스 / 중립,✅ 20일선 부근의 안전한 눌림목 구간입니다.,20251208,20251208,29.05,13.34,26.11,29.05,-2.94
KOSPI,HD현대일렉트릭,267260,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",842000,968.8,303516.9,,48.0,4.48,31.5664,2862.35875,0.71,12.87,12.27,65.42,29.05,36.37,5,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑), MACD>Sig",830000,772000,900000,975000,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",인프라·에너지,1.206896551724138,1.4457831325301205,77.7,75.9,🔺 Watch (관찰·돌파예상),⑤ 하락 / 약세,🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ,20251208,20251208,29.05,13.34,65.42,29.05,36.37
KOSPI,키움증권,039490,금융 지원 서비스업,286000,142.25,76025.1,,61.1,1.94,681.8322,292.96409,0.49,5.73,7.12,34.59,29.05,5.54,6,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",286000,266000,316000,346000,금융 지원 서비스업,금융,1.5,0.0,77.7,83.3,🔺 Watch (관찰·돌파예상),⑤ 하락 / 약세,💸 자금 유입이 꾸준히 이어지고 있습니다. 🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,20251208,20251208,29.05,13.34,34.59,29.05,5.54
KOSPI,HD한국조선해양,009540,기타 금융업,439000,583.21,310694.0,,48.2,3.33,1213.9246,1239.45878,0.67,8.93,1.15,3.42,29.05,-25.63,4,★,"MACD상승, 20선근접, 장기추세(120↑), MACD>Sig",437500,407000,474500,514000,기타 금융업,금융,1.2131147540983607,0.34285714285714286,77.3,78.5,🔻 REV (역추세 반등),④ 바닥 반등 시도,🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ,20251208,20251208,29.05,13.34,3.42,29.05,-25.63
KOSPI,SK,034730,기타 금융업,268500,488.74,194669.8,,64.8,2.76,-61.6169,329.58745,0.77,6.13,7.62,26.65,29.05,-2.4,5,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI)",268500,249500,291000,315500,기타 금융업,금융,1.1842105263157894,0.0,77.1,79.8,🔺 Watch (관찰·돌파예상),③ 박스 / 중립,💸 자금 유입이 꾸준히 이어지고 있습니다. 🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ,20251208,20251208,29.05,13.34,26.65,29.05,-2.4
KOSPI,현대로템,064350,철도장비 제조업,192100,2141.01,209662.3,,55.0,4.41,1667.584,1262.93462,1.66,12.73,9.77,-8.74,29.05,-37.79,3,,"MACD상승, 20선근접, 거래량↑, MACD>Sig",189500,176200,205500,222500,철도장비 제조업,기타,1.2030075187969924,1.3720316622691293,77.0,71.6,🔻 REV (역추세 반등),④ 바닥 반등 시도,🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ,20251208,20251208,29.05,13.34,-8.74,29.05,-37.79
KOSPI,한화에어로스페이스,012450,"항공기,우주선 및 부품 제조업",937000,2146.24,483149.1,,47.6,4.7,7121.2309,5664.37244,1.12,15.25,9.59,-1.47,29.05,-30.52,4,★,"MACD상승, 20선근접, 장기추세(120↑), MACD>Sig",922000,857000,999000,1083000,"항공기,우주선 및 부품 제조업",기타,1.1846153846153846,1.6268980477223427,76.5,72.7,🔻 REV (역추세 반등),④ 바닥 반등 시도,🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ,20251208,20251208,29.05,13.34,-1.47,29.05,-30.52
KOSPI,대덕전자,353200,전자부품 제조업,48650,575.34,24041.3,,52.3,-1.79,-881.3927,63.6936,0.69,0.72,0.62,105.71,29.05,76.66,3,,"MACD상승, 정배열(단), 장기추세(120↑)",48650,45250,52700,57200,전자부품 제조업,IT/전기전자,1.1911764705882353,0.0,76.3,76.6,🔺 Watch (상승 준비),⑤ 하락 / 약세,📈 상승 추세가 견고하게 유지되고 있습니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,20251208,20251208,29.05,13.34,105.71,29.05,76.66
KOSPI,LIG넥스원,079550,무기 및 총포탄 제조업,387000,486.49,85140.0,,29.3,-1.49,1299.7918,1679.92593,0.97,5.16,-1.78,-19.54,29.05,-48.59,1,,"MACD상승, MACD>Sig",387000,360000,419500,454500,무기 및 총포탄 제조업,기타,1.2037037037037037,0.0,76.3,77.2,🔺 Watch (관찰·돌파예상),④ 바닥 반등 시도,🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,20251208,20251208,29.05,13.34,-19.54,29.05,-48.59
KOSDAQ,제닉스로보틱스,381620,특수 목적용 기계 제조업,15880,181.43,2083.1,,68.5,3.48,59.7092,9.64007,0.54,3.86,10.97,56.76,13.34,43.42,6,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",15810,14700,17470,19130,특수 목적용 기계 제조업,조선·기계·설비,1.4954954954954955,0.4427577482605946,76.2,80.2,🔼 BRK (돌파),⑤ 하락 / 약세,💸 자금 유입이 꾸준히 이어지고 있습니다. 📈 상승 추세가 견고하게 유지되고 있습니다. ,20251208,20251208,29.05,13.34,56.76,13.34,43.42
KOSPI,삼성바이오로직스,207940,기초 의약물질 제조업,1629000,598.06,754079.6,,18.1,-5.29,-14104.2346,923.74856,0.57,-1.21,-8.94,7.36,29.05,-21.69,3,,"MACD상승, 정배열(단), 장기추세(120↑)",1629000,1515000,1766000,1914000,기초 의약물질 제조업,바이오·의약품,1.2017543859649122,0.0,75.8,77.2,↩️ PULL (눌림),④ 바닥 반등 시도,🚀 상승 에너지가 폭발적으로 증가하는 중입니다. 📉 과매도 구간으로 기술적 반등이 기대됩니다.,20251208,20251208,29.05,13.34,7.36,29.05,-21.69
