종목코드,종목명,시장,종가
095570,AJ네트웍스,KOSPI,4640
006840,AK홀딩스,KOSPI,8960
027410,BGF,KOSPI,4100
282330,BGF리테일,KOSPI,111300
138930,BNK금융지주,KOSPI,15970
001460,BYC,KOSPI,43550
001465,BYC우,KOSPI,25750
001040,CJ,KOSPI,172500
079160,CJ CGV,KOSPI,6100
00104K,CJ4우(전환),KOSPI,155200
000120,CJ대한통운,KOSPI,95500
011150,CJ씨푸드,KOSPI,2885
011155,CJ씨푸드1우,KOSPI,16610
001045,CJ우,KOSPI,87000
097950,CJ제일제당,KOSPI,210000
097955,CJ제일제당 우,KOSPI,137100
000480,CR홀딩스,KOSPI,5080
000590,CS홀딩스,KOSPI,80800
012030,DB,KOSPI,1502
005830,DB손해보험,KOSPI,123700
016610,DB증권,KOSPI,10770
000990,DB하이텍,KOSPI,65300
000300,DH오토넥스,KOSPI,1984
001530,DI동일,KOSPI,20100
015590,DKME,KOSPI,515
000210,DL,KOSPI,39050
000215,DL우,KOSPI,24650
375500,DL이앤씨,KOSPI,41750
37550L,DL이앤씨2우(전환),KOSPI,31750
37550K,DL이앤씨우,KOSPI,22950
007340,DN오토모티브,KOSPI,26250
004840,DRB동일,KOSPI,4815
155660,DSR,KOSPI,3920
069730,DSR제강,KOSPI,3890
017860,DS단석,KOSPI,19290
092780,DYP,KOSPI,3405
017940,E1,KOSPI,88200
365550,ESR켄달스퀘어리츠,KOSPI,4160
383220,F&F,KOSPI,78800
007700,F&F홀딩스,KOSPI,20850
114090,GKL,KOSPI,14990
078930,GS,KOSPI,55300
006360,GS건설,KOSPI,20050
001250,GS글로벌,KOSPI,2365
007070,GS리테일,KOSPI,21750
078935,GS우,KOSPI,47550
499790,GS피앤엘,KOSPI,43000
012630,HDC,KOSPI,17340
039570,HDC랩스,KOSPI,8530
089470,HDC현대EP,KOSPI,4360
294870,HDC현대산업개발,KOSPI,21300
009540,HD한국조선해양,KOSPI,421000
267250,HD현대,KOSPI,198800
267270,HD현대건설기계,KOSPI,98700
443060,HD현대마린솔루션,KOSPI,194600
071970,HD현대마린엔진,KOSPI,85000
322000,HD현대에너지솔루션,KOSPI,62300
042670,HD현대인프라코어,KOSPI,15120
267260,HD현대일렉트릭,KOSPI,807000
329180,HD현대중공업,KOSPI,521000
097230,HJ중공업,KOSPI,21950
014790,HL D&I,KOSPI,2675
003580,HLB글로벌,KOSPI,2130
204320,HL만도,KOSPI,54500
060980,HL홀딩스,KOSPI,46900
011200,HMM,KOSPI,20550
035000,HS애드,KOSPI,9040
002460,HS화성,KOSPI,13160
487570,HS효성,KOSPI,63000
298050,HS효성첨단소재,KOSPI,189000
003560,IHQ,KOSPI,10760
015360,INVENI,KOSPI,68000
175330,JB금융지주,KOSPI,24800
234080,JW생명과학,KOSPI,14280
001060,JW중외제약,KOSPI,28150
001067,JW중외제약2우B,KOSPI,60700
001065,JW중외제약우,KOSPI,29650
096760,JW홀딩스,KOSPI,3790
008970,KBI동양철관,KOSPI,1845
105560,KB금융,KOSPI,125200
415640,KB발해인프라,KOSPI,9960
432320,KB스타리츠,KOSPI,3280
002380,KCC,KOSPI,416000
344820,KCC글라스,KOSPI,26800
009070,KCTC,KOSPI,6300
009440,KC그린홀딩스,KOSPI,756
119650,KC코트렐,KOSPI,918
092220,KEC,KOSPI,680
003620,KG모빌리티,KOSPI,3585
016380,KG스틸,KOSPI,5420
001390,KG케미칼,KOSPI,5670
033180,KH 필룩스,KOSPI,5310
001940,KISCO홀딩스,KOSPI,26350
025000,KPX케미칼,KOSPI,52900
092230,KPX홀딩스,KOSPI,76300
000040,KR모터스,KOSPI,489
044450,KSS해운,KOSPI,9550
