시장,종목명,종목코드,업종,종가,거래대금(억원),시가총액(억원),RSI14,MFI14,이격도,MACD_Hist,MACD_Slope,거래강도,ret_5d_%,ret_10d_%,EBS,통과,근거,추천매수가,손절가,추천매도가1,추천매도가2
KOSPI,삼성물산,028260,기타,236000,1459.26,401144.6,62.8,61.3,6.29,40.3685,951.37994,1.79,10.8,3.28,9,★,"RSI적정, MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), MACD>Sig, 과열X",228500,212500,248000,268500
KOSDAQ,에스티팜,237690,기타,103600,209.98,21446.9,56.7,64.3,3.61,-175.8283,283.63347,1.21,4.96,3.39,9,★,"RSI적정, MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), 과열X",103000,95800,111600,121000
KOSDAQ,새빗켐,107600,기타,33100,178.94,1863.5,52.3,79.5,4.06,-316.7222,356.0304,5.53,10.52,3.12,9,★,"RSI적정, MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), 과열X",32750,30450,35500,38500
KOSDAQ,NHN KCP,060250,기타,16830,117.62,6759.0,62.8,72.2,4.9,80.0865,16.70807,1.2,7.2,1.39,9,★,"RSI적정, MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",16530,15370,17910,19420
KOSPI,현대위아,011210,기타,58900,78.05,16017.9,57.8,69.8,4.5,30.825,178.6331,1.11,7.09,3.51,9,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), MACD>Sig, 과열X",58100,54000,62900,68200
KOSPI,이수페타시스,007660,기타,141600,4617.19,103947.5,65.4,63.0,17.87,912.1863,370.96571,1.52,10.97,18.39,8,★,"MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), MACD>Sig, 과열X",123700,115100,134100,145400
KOSPI,한미반도체,042700,기타,128500,1967.46,122476.2,49.5,62.1,-0.92,-1650.7044,809.59598,1.11,6.46,-1.98,8,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), 과열X",128500,119500,139300,151000
KOSPI,LG화학,051910,기타,397000,1962.77,280251.6,53.7,48.9,1.61,-5866.56,2271.20272,1.4,1.66,0.89,8,★,"RSI적정, MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",397000,369000,430500,466500
KOSPI,HD현대미포,010620,기타,223000,1781.1,89071.0,59.6,81.7,-0.49,-1112.5753,-46.13064,1.66,-1.76,5.44,8,★,"RSI적정, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), 과열X",223000,207500,241500,262000
KOSPI,현대건설,000720,기타,65500,1772.49,72938.0,51.0,48.2,2.91,-250.7432,402.28727,1.93,8.09,5.65,8,★,"RSI적정, MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",65500,60900,71000,77000
