시장,종목명,종목코드,업종,종가,거래대금(억원),시가총액(억원),거래대금(원),RSI14,MFI14,이격도,BB_BW,TTM_SQUEEZE,TTM_SQUEEZE_CNT,BB_SQUEEZE_BW,ret_1d_%,ret_5d_%,ret_10d_%,ret_20d_%,ret_60d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,RES_RATIO,RES_RATIO_NEAR,IS_ABOVE_POC,POC_GAP,NEAR_THRES,Low_Trend_PCT,RSI_Rising,BB_Expanding,Vol_Quality,Range_Pos,추천매수가,손절가,추천매도가1,추천매도가2,추천매도가3,TP1_METHOD,TP1_PROB,TP2_METHOD,TP2_PROB,TP3_METHOD,TP3_PROB,EXEC_RULE_ID,STOP_PCT,MAX_LOSS_PCT,RR_MULT,STOP_REASON,ENTRY_ACTION,POSITION_PCT,TRIGGER,Above_MA20,SUPERTREND_DIR,SUPERTREND_VAL,VWAP,VWAP_GAP,MACD_Slope_PCT,거래강도,V_POWER,IS_SWING_SUPPORT,주봉20선_상회,주봉추세,HMA20,HMA_Trend,HMA_On,OBV_Div,외인순매수,기관순매수,메이저순매수,gap_pct,_data_length,consecutive_limit_up,MTF_WEEKLY_TREND,MTF_MONTHLY_TREND,MTF_DATA_SUFFICIENT,개인순매수,업종_상세,업종_대분류,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,ML_SCORE,TRIGGER_SCORE,RAW_TRIGGER_SCORE,EBS,PASS_EBS,STRUCT_SCORE,TIMING_SCORE,AI_SCORE,FINAL_SCORE,DISPLAY_SCORE,W_STRUCT,W_TIMING,W_AI,SCORING_AXES,BLOCK_REASON
KOSPI,HD현대에너지솔루션,322000,반도체 제조업,130700,10094.49,14638.4,1009448893850.0,64.6,84.2,41.11,63.84,0,0,0,24.48,45.06,63.17,55.23,132.56,155.77,48.66,112.65,119.93,0.0,0.0,1,18.53,12.0,0.52,0,0,2.1,0.92,97300.0,82600.0,135300.0,151800.0,158500.0,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,v1_sl_first_gap_at_open,15.11,5.0,2.6,NORMAL+PM_BLOCK_INTRADAY+EF:극단갭(-1.7%)/급등(24.5%) → 진입 보류+ENTRY:hold,hold,0.0,,1,1,61140.0,94559,38.22,0.1496,4.01,2.52,False,O,▲,110321,▲,O,X,0,0,0,-1.71,250,0,1,1,1,0.0,반도체 제조업,2차전지,11.99375,7.646249999999999,7.0,72.4,56.5,56.5,8,1,60.7,78.8,72.4,70.3,70.3,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSDAQ,삼표시멘트,038500,기타 비금속 광물제품 제조업,20200,11253.17,21799.1,1125316532385.0,66.8,89.5,29.98,44.55,0,0,0,11.36,40.96,25.08,2.8,552.67,508.43,-3.77,532.76,472.59,0.061,0.061,1,288.48,12.0,-3.77,0,0,2.02,0.73,16320.0,13870.0,22850.0,23500.0,25050.0,SWING_20D,80,SWING_60D,60,ATR_3.5x,45,v1_sl_first_gap_at_open,15.01,5.0,2.7,NORMAL+PM_BLOCK_INTRADAY+EF:갭(2.1%)/급등(11.4%)/VI → 50% 분할+ENTRY:split,split,50.0,,1,-1,20674.0,10698,88.82,0.5691,3.55,2.06,False,O,▲,15523,▲,O,X,0,0,0,2.15,249,0,1,1,1,0.0,기타 비금속 광물제품 제조업,기타,6.9355932203389825,12.303474576271187,6.0,27.4,34.886655433719696,34.886655433719696,4,1,51.0,48.3,27.4,45.2,45.2,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSDAQ,대한광통신,010170,절연선 및 케이블 제조업,7670,8144.96,10123.3,814495707850.0,75.5,88.3,73.23,108.37,0,0,0,7.12,60.8,85.04,145.44,283.12,530.76,138.87,263.21,494.92,0.0,0.0,1,321.17,12.0,14.38,1,0,3.04,0.79,4650.0,3950.0,8900.0,10790.0,13190.0,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,15.05,5.0,6.1,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,,1,1,5086.0,4113,86.44,0.9185,3.52,2.46,False,O,▲,5619,▲,O,X,0,0,0,2.93,250,0,1,1,1,0.0,절연선 및 케이블 제조업,기타,6.9355932203389825,12.303474576271187,6.0,28.1,32.85482101670033,32.85482101670033,6,1,91.8,36.5,28.1,56.9,56.9,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSDAQ,쏠리드,050890,통신 및 방송 장비 제조업,12400,4916.28,7533.8,491628240135.0,66.6,87.2,38.2,55.42,0,0,0,5.89,57.36,48.5,32.2,60.83,86.47,25.63,40.92,50.63,0.155,0.155,1,46.72,12.0,-16.0,0,0,3.26,0.84,9420.0,8000.0,13410.0,15160.0,17390.0,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,15.07,5.0,2.8,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,,1,1,9388.0,9898,25.27,1.0807,7.01,2.54,False,O,▲,8972,▲,O,X,0,0,0,4.1,250,0,1,1,1,0.0,통신 및 방송 장비 제조업,IT/전기전자,16.111184210526318,18.54263157894737,4.0,64.4,28.0,28.0,4,1,52.6,41.9,64.4,50.7,50.7,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSPI,SK이터닉스,475150,건물 건설업,37350,3954.67,12607.1,395466834775.0,65.9,82.5,35.74,53.91,0,0,0,29.91,55.95,23.27,85.36,77.01,67.87,78.79,57.1,32.03,0.0,0.0,1,29.8,12.0,3.71,0,0,1.66,1.0,28900.0,24550.0,37350.0,40250.0,42400.0,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,v1_sl_first_gap_at_open,15.05,5.0,1.9,NORMAL+PM_BLOCK_INTRADAY+EF:극단갭(0.0%)/급등(29.9%) → 진입 보류+ENTRY:hold,hold,0.0,,1,1,22570.0,27460,36.01,0.5198,3.94,3.46,False,O,▲,28001,▲,O,X,0,0,0,0.0,250,1,1,1,1,0.0,건물 건설업,건설·부동산,20.55,27.548750000000002,1.0,77.4,59.5,59.5,6,1,90.8,90.1,77.4,87.8,87.8,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSDAQ,오르비텍,046120,기타 과학기술 서비스업,8160,1736.81,2684.3,173681088765.0,63.3,79.2,37.69,57.53,0,0,0,29.94,54.55,27.9,74.36,98.54,119.65,67.79,78.63,83.81,0.0,0.0,1,93.23,12.0,-3.84,1,0,2.35,1.0,6220.0,5280.0,8160.0,8960.0,9350.0,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,v1_sl_first_gap_at_open,15.11,6.0,2.1,NORMAL+PM_BLOCK_INTRADAY+EF:극단갭(3.0%)/급등(29.9%) → 진입 보류+ENTRY:hold,hold,0.0,,1,1,4945.0,5706,43.01,0.717,3.88,3.44,False,O,▲,5659,▲,O,X,0,0,0,3.03,250,1,1,1,1,0.0,기타 과학기술 서비스업,서비스 기타,5.653846153846154,26.418076923076924,3.0,76.5,58.0,58.0,6,1,55.0,88.4,76.5,72.7,72.7,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSDAQ,성호전자,043260,전자부품 제조업,49400,1460.73,35035.9,146072621400.0,88.0,85.8,63.66,122.26,0,0,0,2.92,59.87,90.0,133.02,886.03,4482.56,126.45,866.12,4446.72,0.011,0.011,1,2062.81,12.0,20.45,0,0,1.34,0.75,31700.0,26900.0,59600.0,74600.0,93500.0,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,15.14,5.0,5.8,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,,1,1,33615.0,18652,164.85,0.8493,0.89,2.15,False,O,▲,43197,▲,O,X,0,0,0,2.19,250,0,1,1,1,0.0,전자부품 제조업,IT/전기전자,16.111184210526318,18.54263157894737,4.0,20.4,79.79231396866487,79.79231396866487,6,1,83.0,88.2,20.4,72.6,72.6,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열][RSI극단: RSI 85+ 극단과열]
KOSDAQ,오이솔루션,138080,통신 및 방송 장비 제조업,32050,1105.78,3849.3,110578122375.0,74.7,92.5,57.25,85.42,0,0,0,4.57,56.72,67.36,99.81,154.37,211.17,93.24,134.46,175.33,0.0,0.0,1,10.46,12.0,6.57,1,0,3.64,0.78,21400.0,18190.0,36500.0,43050.0,51400.0,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,15.0,6.0,4.7,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,,1,1,21275.5,21801,47.01,0.8508,3.79,2.16,False,O,▲,25003,▲,O,X,0,0,0,2.45,250,0,1,1,1,0.0,통신 및 방송 장비 제조업,IT/전기전자,16.111184210526318,18.54263157894737,4.0,48.2,45.5,45.5,6,1,91.7,74.6,48.2,76.2,76.2,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSPI,한국석유,004090,기타 비금속 광물제품 제조업,20200,933.72,2564.2,93371739235.0,57.6,82.7,5.38,81.9,0,0,0,-0.25,-28.24,15.76,34.76,44.8,46.27,28.19,24.89,10.43,0.208,0.194,1,6.17,12.0,10.88,1,0,2.55,0.3,20200.0,17170.0,33600.0,39000.0,45900.0,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,15.0,6.0,4.4,NORMAL+PM_BLOCK_INTRADAY+EF:갭(7.9%)/급등(-0.2%)/VI → 50% 분할+ENTRY:split,split,50.0,,1,1,18225.0,20950,-3.58,-1.2682,1.25,-1.67,False,O,▲,24030,▼,X,X,0,0,0,7.9,250,0,1,1,1,0.0,기타 비금속 광물제품 제조업,기타,6.9355932203389825,12.303474576271187,6.0,68.9,60.0,60.0,6,1,99.1,69.3,68.9,81.1,81.1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[급락종목: 5일 -25% 이하 급락]
KOSDAQ,로킷헬스케어,376900,의료용품 및 기타 의약 관련제품 제조업,102100,889.09,15990.4,88909087500.0,72.9,84.4,48.79,72.28,0,0,0,5.26,40.25,60.03,95.22,43.6,520.67,88.65,23.69,484.83,0.005,0.005,1,267.27,12.0,18.62,1,0,1.95,0.92,72100.0,61200.0,106400.0,121600.0,140800.0,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,15.12,5.0,3.1,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,,1,1,67380.0,69227,47.49,0.5532,1.47,2.35,False,O,▲,82899,▲,O,X,0,0,0,-0.62,204,0,1,0,0,0.0,의료용품 및 기타 의약 관련제품 제조업,기타,6.9355932203389825,12.303474576271187,6.0,78.4,62.0,62.0,6,1,83.2,88.7,78.4,84.4,84.4,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
